t;vds;corrente;vg
0;-0.00192458;0.0242003;0
2e-05;-0.00192754;0.0200004;0
4e-05;-0.00204122;0.0148779;0
6e-05;-0.00217862;0.0168483;0
8e-05;-0.00108733;0.021283;0
0.0001;-0.000632629;0.0146351;0
0.00012;-0.000422082;0.0202472;0
0.00014;5.1401e-05;0.0219951;0
0.00016;0.00240597;0.0233506;0
0.00018;0.00366727;0.0277286;0
0.0002;0.00589729;0.0342874;0
0.00022;0.00828645;0.03784;0
0.00024;0.00919189;0.0349955;-9.60408e-05
0.00026;0.0120061;0.0430313;0
0.00028;0.0139919;0.0432093;0
0.0003;0.0151346;0.0510387;-4.80204e-05
0.00032;0.0179251;0.057108;0
0.00034;0.0195235;0.0553479;0
0.00036;0.0212118;0.0625704;-0.000192082
0.00038;0.0238411;0.0640634;0
0.0004;0.0250599;0.0729408;0
0.00042;0.027204;0.0757448;0
0.00044;0.0296029;0.0779743;0
0.00046;0.0307605;0.0817089;0
0.00048;0.0331073;0.0857591;0
0.0005;0.0353194;0.0918082;0
0.00052;0.0368229;0.0948105;0
0.00054;0.0391301;0.0991116;0
0.00056;0.0410596;0.102409;0
0.00058;0.0427043;0.107673;0
0.0006;0.0449156;0.109527;0
0.00062;0.0466721;0.113549;0
0.00064;0.0472091;0.117328;0
0.00066;0.045551;0.114014;0
0.00068;0.0434686;0.109094;0
0.0007;0.0416535;0.101454;0
0.00072;0.0396866;0.0958382;0
0.00074;0.0375217;0.0976388;0
0.00076;0.0357544;0.0939446;0
0.00078;0.0337685;0.0883608;0
0.0008;0.0318558;0.0852614;0
0.00082;0.0299371;0.0765378;0
0.00084;0.0279256;0.079358;0
0.00086;0.0261384;0.0689513;0
0.00088;0.0239964;0.0710431;0
0.0009;0.0219679;0.0605756;-0.000144061
0.00092;0.0203627;0.0626999;-0.000336143
0.00094;0.0184875;0.0599808;0
0.00096;0.0162506;0.0513584;0
0.00098;0.0143774;0.049485;0
0.001;0.012614;0.0424446;0
0.00102;0.0105253;0.0417972;0
0.00104;0.00846931;0.0404498;0
0.00106;0.00670686;0.0353799;0
0.00108;0.00478228;0.0311355;0
0.0011;0.00275292;0.0284812;0
0.00112;0.00102703;0.0220315;0
0.00114;-0.00115751;0.0181836;0
0.00116;-0.00305837;0.0166825;0
0.00118;-0.00484554;0.0109409;0
0.0012;-0.00716551;0.00963803;0
0.00122;-0.00883308;0.00771609;0
0.00124;-0.0108377;-0.000226587;0
0.00126;-0.0129511;0.000720224;0
0.00128;-0.0147283;-0.00495255;0
0.0013;-0.0167953;-0.0111108;0
0.00132;-0.0188542;-0.00916059;0
0.00134;-0.0205683;-0.0140443;0
0.00136;-0.0226827;-0.0191506;0
