t;vds;corrente;vg
0;0.0584904;0.0193889;0.39223
2e-05;0.0415251;0.0192397;0.391414
4e-05;0.0303107;0.0188281;0.391398
6e-05;0.00429396;0.019538;0.391382
8e-05;-0.000187812;0.0186968;0.391382
0.0001;-0.000278752;0.0176946;0.391382
0.00012;0.0010814;0.0194486;0.391414
0.00014;0.00302575;0.0191502;0.39143
0.00016;0.00509365;0.0189593;0.391382
0.00018;0.00688478;0.0198423;0.391478
0.0002;0.00902584;0.0189414;0.391574
0.00022;0.0109988;0.0208147;0.391382
0.00024;0.013042;0.0204329;0.391606
0.00026;0.0149913;0.017104;0.391398
0.00028;0.0169841;0.0198482;0.391478
0.0003;0.0189827;0.0188162;0.391862
0.00032;0.0210714;0.0188937;0.391398
0.00034;0.0228972;0.0173426;0.391382
0.00036;0.0249285;0.0200809;0.391382
0.00038;0.0269351;0.0187684;0.391846
0.0004;0.0288142;0.0181957;0.391382
0.00042;0.030894;0.021113;0.391446
0.00044;0.0328146;0.0214829;0.391414
0.00046;0.0347896;0.0208385;0.39143
0.00048;0.0368457;0.0193531;0.391398
0.0005;0.0388868;0.0204329;0.391526
0.00052;0.0409211;0.0208565;0.39143
0.00054;0.0427509;0.0188042;0.391446
0.00056;0.0448197;0.0188818;0.391382
0.00058;0.0468886;0.0212204;0.391494
0.0006;0.0487755;0.0207968;0.391414
0.00062;0.0482497;0.0199019;0.391478
0.00064;0.0462004;0.0189474;0.391382
0.00066;0.0442325;0.0188341;0.391414
0.00068;0.0423484;0.0182494;0.391382
0.0007;0.0402815;0.0186074;0.391766
0.00072;0.0383203;0.0189713;0.391382
0.00074;0.0363325;0.0194366;0.39151
0.00076;0.0342132;0.0172054;0.39159
0.00078;0.0323026;0.0174918;0.391382
0.0008;0.0302435;0.0185477;0.391382
0.00082;0.0282646;0.0189772;0.391382
0.00084;0.026347;0.0202658;0.391446
0.00086;0.0243819;0.0217275;0.391398
0.00088;0.0225047;0.0186133;0.391382
0.0009;0.0204734;0.0188758;0.391478
0.00092;0.01836;0.020421;0.392006
0.00094;0.0163396;0.0191502;0.391638
0.00096;0.0144565;0.0210295;0.391446
0.00098;0.0124173;0.0180585;0.391494
0.001;0.0104937;0.0204985;0.391494
0.00102;0.00831411;0.0181778;0.391382
0.00104;0.00634408;0.0193591;0.391462
0.00106;0.00458656;0.0198124;0.391462
0.00108;0.00248406;0.0194903;0.391382
0.0011;0.000543665;0.0197647;0.39143
0.00112;-0.00144813;0.0187625;0.39159
0.00114;-0.00344783;0.017975;0.391382
0.00116;-0.00544654;0.0192517;0.391446
0.00118;-0.00747985;0.0192695;0.391398
0.0012;-0.00940738;0.0196633;0.39143
0.00122;-0.0114239;0.0201346;0.391382
0.00124;-0.0134087;0.0187386;0.391702
0.00126;-0.0155369;0.0192517;0.391382
0.00128;-0.0174733;0.0193829;0.391414
0.0013;-0.0194147;0.0197826;0.39143
0.00132;-0.0213877;0.0195082;0.391382
0.00134;-0.0234882;0.0192337;0.391478
0.00136;-0.0254691;0.0175096;0.391462
0.00138;-0.0272968;0.0208386;0.391494
0.0014;-0.0292995;0.0195798;0.391542
0.00142;-0.0313585;0.0196275;0.391382
0.00144;-0.0333395;0.0202599;0.391446
0.00146;-0.035432;0.0195321;0.391414
0.00148;-0.0373656;0.0198363;0.391382
0.0015;-0.039217;0.0186909;0.391686
