t;vds;corrente;vg
0.00998;0.00916415;0.0037518;-0.000635056
0.01996;0.011064;0.00469124;-0.000398121
0.02994;0.0130584;0.00564355;-0.00039493
0.03992;0.0149492;0.00663137;-0.000398121
0.0499;0.0168678;0.00761771;-0.000398121
0.05988;0.0187714;0.00859375;-0.000398121
0.06986;0.0206692;0.00958202;-0.000398121
0.07984;0.0226687;0.0105382;-0.000403706
0.08982;0.0244805;0.0114545;-0.000398121
0.0998;0.0264554;0.0124112;-0.000399717
0.10978;0.028432;0.0134065;-0.000398121
0.11976;0.0304206;0.0143845;-0.000398121
0.12974;0.0324564;0.0153549;-0.000398121
0.13972;0.0344036;0.016285;-0.000398121
0.1497;0.0363854;0.0172878;-0.000398121
0.15968;0.0383541;0.018239;-0.000398121
0.16966;0.0403002;0.0192368;-0.000398121
0.17964;0.0422098;0.0201934;-0.000397324
0.18962;0.0441964;0.0211634;-0.000395728
0.1996;0.0460497;0.0221715;-0.000398121
0.20958;0.0479052;0.0230899;-0.000398121
0.21956;0.0473485;0.0227934;-0.000397324
0.22954;0.0454586;0.0218183;-0.000398121
0.23952;0.0435568;0.020835;-0.000393334
0.2495;0.0416284;0.0198942;-0.000396526
0.25948;0.0396569;0.0189576;-0.000390143
0.26946;0.0377374;0.017999;-0.000398121
0.27944;0.0357348;0.0169528;-0.000398121
0.28942;0.0337187;0.0159664;-0.000396526
0.2994;0.031819;0.0150414;-0.000398121
0.30938;0.0297189;0.0140767;-0.000405302
0.31936;0.0278035;0.0131066;-0.000398121
0.32934;0.0258591;0.0121534;-0.000398121
0.33932;0.0239367;0.0111863;-0.000398121
0.3493;0.021969;0.0102336;-0.000397324
0.35928;0.020016;0.00926746;-0.000398121
0.36926;0.018121;0.00828103;-0.000390941
0.37924;0.0162815;0.00729521;-0.000397324
0.38922;0.0143344;0.00632516;-0.000398121
0.3992;0.0125088;0.00535906;-0.000390143
0.40918;0.0104885;0.00437069;-0.000398121
0.41916;0.00841315;0.00341742;-0.000398121
0.42914;0.00648678;0.00245775;-0.000398121
0.43912;0.00453173;0.00144176;-0.000398919
0.4491;0.00248694;0.000484039;-0.000398919
0.45908;0.000656273;-0.000486019;-0.000396526
0.46906;-0.00127505;-0.00144076;-0.00038376
0.47904;-0.00316985;-0.00243107;-0.000398919
0.48902;-0.00526008;-0.0034041;-0.000398121
0.499;-0.00724074;-0.00431785;-0.000397324
0.50898;-0.00921153;-0.00532396;-0.000398121
0.51896;-0.0112199;-0.00628807;-0.000398121
0.52894;-0.0132163;-0.00729178;-0.000398121
0.53892;-0.0151298;-0.00825981;-0.000398121
0.5489;-0.0170494;-0.00925211;-0.0004061
