t;vds;corrente;vg
0.00998;0.00903585;0.00365648;-0.393272
0.01996;0.0109603;0.00462209;-0.398615
0.02994;0.012939;0.00562676;-0.398615
0.03992;0.014811;0.00658198;-0.398615
0.0499;0.0167375;0.00754562;-0.398615
0.05988;0.0185691;0.00850236;-0.398615
0.06986;0.0204877;0.00947388;-0.398615
0.07984;0.0224683;0.0104242;-0.398615
0.08982;0.024369;0.0114027;-0.398615
0.0998;0.0263251;0.0123766;-0.398615
0.10978;0.0282673;0.0133338;-0.398615
0.11976;0.030314;0.0143613;-0.398615
0.12974;0.0322896;0.0152937;-0.398615
0.13972;0.0341905;0.0162489;-0.398615
0.1497;0.0361919;0.0172156;-0.398615
0.15968;0.0382061;0.0182029;-0.398615
0.16966;0.0400909;0.0191849;-0.398615
0.17964;0.0420203;0.0201213;-0.398615
0.18962;0.0440098;0.0210938;-0.398615
0.1996;0.0458779;0.0220688;-0.398615
0.20958;0.0477888;0.0230217;-0.398615
0.21956;0.0475272;0.0229411;-0.398615
0.22954;0.0456353;0.0219418;-0.398615
0.23952;0.0437541;0.0210024;-0.398615
0.2495;0.0417863;0.0199777;-0.398615
0.25948;0.039866;0.0190297;-0.398615
0.26946;0.0378924;0.0180445;-0.398615
0.27944;0.0359026;0.0171005;-0.398615
0.28942;0.033921;0.0161298;-0.398615
0.2994;0.0320746;0.0151515;-0.398615
0.30938;0.0299973;0.0141824;-0.398615
0.31936;0.0280107;0.0132099;-0.398615
0.32934;0.0260782;0.0122176;-0.398615
0.33932;0.0241174;0.0112703;-0.398615
0.3493;0.0222068;0.0102855;-0.398615
0.35928;0.020239;0.0093193;-0.398615
0.36926;0.0183342;0.00839316;-0.398615
0.37924;0.0165036;0.00738016;-0.398615
0.38922;0.0145259;0.00642444;-0.398615
0.3992;0.012641;0.00546472;-0.398615
0.40918;0.0107194;0.00448776;-0.398615
0.41916;0.00866577;0.00353004;-0.398615
0.42914;0.00673151;0.00254764;-0.398615
0.43912;0.00478044;0.00153017;-0.398615
0.4491;0.00269023;0.000549733;-0.398615
0.45908;0.000762856;-0.000401064;-0.398615
0.46906;-0.001128;-0.00140026;-0.398615
0.47904;-0.00301985;-0.00235451;-0.398615
0.48902;-0.00508541;-0.00332903;-0.398615
0.499;-0.00706311;-0.00426352;-0.398615
0.50898;-0.00896084;-0.00521086;-0.398615
0.51896;-0.0110393;-0.00622089;-0.398615
0.52894;-0.0130219;-0.00722065;-0.398615
0.53892;-0.0149492;-0.00818473;-0.398615
0.5489;-0.0168145;-0.00910542;-0.398615
0.55888;-0.0186856;-0.0100315;-0.398615
0.56886;-0.0205804;-0.0110786;-0.398615
0.57884;-0.0224969;-0.0119949;-0.398615
0.58882;-0.0243749;-0.0129624;-0.398615
0.5988;-0.0263715;-0.0139611;-0.398615
0.60878;-0.0283551;-0.0149713;-0.398615
0.61876;-0.0302972;-0.0158982;-0.398615
0.62874;-0.0322965;-0.0168975;-0.398615
0.63872;-0.0342605;-0.017919;-0.398615
0.6487;-0.0362126;-0.0189073;-0.398615
0.65868;-0.0381746;-0.0198807;-0.398615
0.66866;-0.040082;-0.0208572;-0.398615
0.67864;-0.042116;-0.0218421;-0.398615
0.68862;-0.0440838;-0.0227732;-0.398615
0.6986;-0.0460033;-0.0237513;-0.398615
0.70858;-0.0479763;-0.0247653;-0.398615
0.71856;-0.0480621;-0.0248146;-0.398615
0.72854;-0.0461101;-0.0238253;-0.398615
0.73852;-0.0442053;-0.0228685;-0.398615
0.7485;-0.0421377;-0.0218904;-0.398615
0.75848;-0.0401797;-0.0209496;-0.398615
0.76846;-0.0382458;-0.0199155;-0.398615
0.77844;-0.0363014;-0.0189862;-0.398615
0.78842;-0.0343158;-0.0179694;-0.398615
0.7984;-0.0323865;-0.0169775;-0.398615
0.80838;-0.0304058;-0.0159999;-0.398615
0.81836;-0.0284783;-0.0150606;-0.398615
0.82834;-0.0264582;-0.0140085;-0.398615
0.83832;-0.0245537;-0.0130548;-0.398615
0.8483;-0.0226449;-0.0120783;-0.398615
0.85828;-0.0206544;-0.0110949;-0.398615
0.86826;-0.0187734;-0.010163;-0.398615
0.87824;-0.0169201;-0.00912769;-0.398615
0.88822;-0.0150066;-0.00818076;-0.398615
0.8982;-0.0131205;-0.00728978;-0.398615
0.90818;-0.0110333;-0.00626095;-0.398615
0.91816;-0.00907632;-0.00528892;-0.398615
0.92814;-0.00713513;-0.00430894;-0.398615
0.93812;-0.00505777;-0.00336556;-0.398615
0.9481;-0.00306129;-0.00240984;-0.398615
0.95808;-0.00113294;-0.0013978;-0.398615
0.96806;0.000752001;-0.000443044;-0.398615
0.97804;0.00267247;0.000498367;-0.398615
0.98802;0.00472322;0.00144027;-0.398615
0.998;0.00667332;0.00249726;-0.398615
1.00798;0.00865295;0.0034851;-0.398615
1.01796;0.0106573;0.00440873;-0.398615
1.02794;0.012562;0.00540249;-0.398615
1.03792;0.0144449;0.00638242;-0.398615
1.0479;0.0163645;0.00735796;-0.398615
1.05788;0.0182336;0.00831613;-0.398615
1.06786;0.0201927;0.00928767;-0.398615
1.07784;0.0220677;0.010238;-0.398615
1.08782;0.023985;0.0112357;-0.398615
1.0978;0.0260063;0.0121954;-0.398615
1.10778;0.0280008;0.0131343;-0.398615
1.11776;0.0298954;0.0141217;-0.398615
1.12774;0.0319542;0.0151322;-0.398615
1.13772;0.0339162;0.0160331;-0.398615
1.1477;0.0358691;0.0170012;-0.398615
1.15768;0.0378401;0.0180237;-0.398615
1.16766;0.0397605;0.0189621;-0.398615
1.17764;0.0417629;0.0199469;-0.398615
1.18762;0.0436445;0.0209333;-0.398615
1.1976;0.0455523;0.0218777;-0.398615
1.20758;0.047459;0.0228187;-0.398615
1.21756;0.0479063;0.0231036;-0.398615
1.22754;0.0460301;0.022127;-0.398615
1.23752;0.0441609;0.0211999;-0.398615
1.2475;0.0421723;0.0201792;-0.398615
1.25748;0.0401827;0.0192234;-0.398615
1.26746;0.0383149;0.0182751;-0.398615
1.27744;0.0364021;0.0173203;-0.398615
1.28742;0.0343661;0.0163388;-0.398615
1.2974;0.0323994;0.0153472;-0.398615
1.30738;0.0303664;0.0143919;-0.398615
1.31736;0.0284388;0.0134108;-0.398615
1.32734;0.0264661;0.0124483;-0.398615
1.33732;0.0245546;0.0114846;-0.398615
1.3473;0.0226193;0.0105214;-0.398615
1.35728;0.020602;0.00955142;-0.398615
1.36726;0.0187467;0.00861445;-0.398615
1.37724;0.0168707;0.00763011;-0.398615
1.38722;0.0150145;0.00667234;-0.398615
1.3972;0.0130721;0.00569587;-0.398615
1.40718;0.0111389;0.00468285;-0.398615
1.41716;0.00913652;0.00374589;-0.398615
1.42714;0.00711539;0.00275658;-0.398615
1.43712;0.00512291;0.00171539;-0.398615
1.4471;0.00319058;0.000765577;-0.398615
1.45708;0.00118031;-0.000217819;-0.398615
1.46706;-0.000720422;-0.00115133;-0.398615
1.47704;-0.00257675;-0.00215942;-0.398615
1.48702;-0.00457617;-0.0031354;-0.398615
1.497;-0.0066062;-0.00403484;-0.398615
1.50698;-0.00859571;-0.00501675;-0.398615
1.51696;-0.0105399;-0.00600704;-0.398615
1.52694;-0.0125867;-0.00699194;-0.398615
1.53692;-0.0145406;-0.00793135;-0.398615
1.5469;-0.0164464;-0.00887924;-0.398615
1.55688;-0.0183037;-0.00986158;-0.398615
1.56686;-0.0201689;-0.0108163;-0.398615
1.57684;-0.0221387;-0.0117969;-0.398615
1.58682;-0.0240245;-0.0127609;-0.398615
1.5968;-0.0259283;-0.0137423;-0.398615
1.60678;-0.0279248;-0.014711;-0.398615
1.61676;-0.0299123;-0.0157229;-0.398615
1.62674;-0.0318831;-0.0167098;-0.398615
1.63672;-0.0338323;-0.0176869;-0.398615
1.6467;-0.0357665;-0.0186721;-0.398615
1.65668;-0.037699;-0.0196387;-0.398615
1.66666;-0.0396589;-0.0206301;-0.398615
1.67664;-0.0416859;-0.0216396;-0.398615
1.68662;-0.0436326;-0.0226038;-0.398615
1.6966;-0.0456372;-0.0235473;-0.398615
1.70658;-0.0475844;-0.0245366;-0.398615
1.71656;-0.0483531;-0.0249692;-0.398615
1.72654;-0.0464704;-0.024012;-0.398615
1.73652;-0.044606;-0.0230572;-0.398615
1.7465;-0.0426115;-0.0220939;-0.398615
1.75648;-0.0405668;-0.0211155;-0.398615
1.76646;-0.0386137;-0.0201476;-0.398615
1.77644;-0.0366999;-0.0191631;-0.398615
1.78642;-0.0347511;-0.0181699;-0.398615
1.7964;-0.0327872;-0.0171524;-0.398615
1.80638;-0.0307216;-0.016159;-0.398615
1.81636;-0.0289096;-0.0152345;-0.398615
1.82634;-0.026858;-0.014253;-0.398615
1.83632;-0.0249453;-0.0132153;-0.398615
1.8463;-0.0230396;-0.0122522;-0.398615
1.85628;-0.0211073;-0.0112954;-0.398615
1.86626;-0.0191583;-0.0103491;-0.398615
1.87624;-0.0173682;-0.00940672;-0.398615
1.88622;-0.0153805;-0.00843811;-0.398615
1.8962;-0.0135094;-0.00746413;-0.398615
1.90618;-0.0114853;-0.00649062;-0.398615
1.91616;-0.00949281;-0.00549238;-0.398615
1.92614;-0.00757037;-0.00448677;-0.398615
1.93612;-0.00551764;-0.00357597;-0.398615
1.9461;-0.00351034;-0.00263358;-0.398615
1.95608;-0.00160763;-0.00159833;-0.398615
1.96606;0.000339487;-0.000624811;-0.398615
1.97604;0.00217903;0.000276596;-0.398615
1.98602;0.00420508;0.00123776;-0.398615
1.996;0.00621637;0.00225474;-0.398615
2.00598;0.00819601;0.00323616;-0.398615
2.01596;0.0101767;0.00420622;-0.398615
2.02594;0.0121208;0.00516689;-0.398615
2.03592;0.0140394;0.00616803;-0.398615
2.0459;0.0159618;0.0071431;-0.398615
2.05588;0.0178516;0.00813436;-0.398615
2.06586;0.0197219;0.00904518;-0.398615
2.07584;0.0216975;0.0100058;-0.398615
2.08582;0.0235952;0.0109784;-0.398615
2.0958;0.0255169;0.0119302;-0.398615
2.10578;0.0273829;0.0128903;-0.398615
2.11576;0.0294535;0.0139177;-0.398615
2.12574;0.0314085;0.0148809;-0.398615
2.13572;0.0333536;0.0158024;-0.398615
2.1457;0.035422;0.0167804;-0.398615
2.15568;0.0373771;0.0177876;-0.398615
2.16566;0.0393421;0.0187606;-0.398615
2.17564;0.0412052;0.0197019;-0.398615
2.18562;0.0432362;0.0206464;-0.398615
2.1956;0.0450997;0.0216445;-0.398615
2.20558;0.0469931;0.0226275;-0.398615
2.21556;0.0479949;0.0231422;-0.398615
2.22554;0.0462779;0.0222792;-0.398615
2.23552;0.0444532;0.0212972;-0.398615
2.2455;0.0425168;0.0203322;-0.398615
2.25548;0.0405786;0.0193898;-0.398615
2.26546;0.0386975;0.0184376;-0.398615
2.27544;0.0367365;0.0174512;-0.398615
2.28542;0.0347432;0.0164588;-0.398615
2.2954;0.0327931;0.0155284;-0.398615
2.30538;0.03084;0.0146038;-0.398615
2.31536;0.0288366;0.0136119;-0.398615
2.32534;0.0268896;0.0126499;-0.398615
2.33532;0.0248861;0.0116565;-0.398615
2.3453;0.0229508;0.0106898;-0.398615
2.35528;0.0210235;0.0097495;-0.398615
2.36526;0.0190645;0.00876016;-0.398615
2.37524;0.0172182;0.00780892;-0.398615
2.38522;0.0153944;0.00685113;-0.398615
2.3952;0.0134541;0.00586629;-0.398615
2.40518;0.011513;0.00484782;-0.398615
2.41516;0.00947899;0.00387925;-0.398615
2.42514;0.00749142;0.00293093;-0.398615
2.43512;0.00551171;0.00192579;-0.398615
2.4451;0.00353698;0.000938941;-0.398615
2.45508;0.00159381;3.95134e-06;-0.398615
2.46506;-0.000329618;-0.00096265;-0.398615
2.47504;-0.00220667;-0.00195494;-0.398615
2.48502;-0.00421693;-0.0029398;-0.398615
2.495;-0.00618577;-0.00386838;-0.398615
2.50498;-0.00823255;-0.00481423;-0.398615
2.51496;-0.0101579;-0.00581643;-0.398615
2.52494;-0.0121613;-0.00679536;-0.398615
2.53492;-0.0141667;-0.00780094;-0.398615
2.5449;-0.016026;-0.00872761;-0.398615
2.55488;-0.0179375;-0.00964723;-0.398615
2.56486;-0.0198324;-0.0106508;-0.398615
2.57484;-0.0217498;-0.0116087;-0.398615
2.58482;-0.0236949;-0.0125885;-0.398615
2.5948;-0.0255869;-0.0135665;-0.398615
2.60478;-0.0275457;-0.0145475;-0.398615
2.61476;-0.0295097;-0.0155539;-0.398615
2.62474;-0.0314401;-0.0165018;-0.398615
2.63472;-0.033474;-0.0175007;-0.398615
2.6447;-0.0353805;-0.0184711;-0.398615
2.65468;-0.0372784;-0.01946;-0.398615
2.66466;-0.0392019;-0.0204196;-0.398615
2.67464;-0.0412013;-0.0214212;-0.398615
2.68462;-0.043322;-0.0224067;-0.398615
2.6946;-0.0452487;-0.0233576;-0.398615
2.70458;-0.0471322;-0.0243177;-0.398615
2.71456;-0.04852;-0.0249994;-0.398615
2.72454;-0.0468226;-0.0242184;-0.398615
2.73452;-0.044966;-0.0232424;-0.398615
2.7445;-0.0430015;-0.0222565;-0.398615
2.75448;-0.0409388;-0.0212676;-0.398615
2.76446;-0.0389926;-0.020307;-0.398615
2.77444;-0.0370632;-0.0193513;-0.398615
2.78442;-0.0350945;-0.0183512;-0.398615
2.7944;-0.033171;-0.0173539;-0.398615
2.80438;-0.0311853;-0.0163748;-0.398615
2.81436;-0.0293182;-0.0154257;-0.398615
2.82434;-0.0272853;-0.0144432;-0.398615
2.83432;-0.0253727;-0.0134582;-0.398615
2.8443;-0.0234127;-0.0124503;-0.398615
2.85428;-0.021509;-0.011538;-0.398615
2.86426;-0.019563;-0.0105432;-0.398615
2.87424;-0.0176672;-0.0095855;-0.398615
2.88422;-0.0158108;-0.00859864;-0.398615
2.8942;-0.0139051;-0.00763949;-0.398615
2.90418;-0.0119018;-0.00664716;-0.398615
2.91416;-0.00989747;-0.0056855;-0.398615
2.92414;-0.00796218;-0.00472286;-0.398615
2.93412;-0.00596371;-0.00382838;-0.398615
2.9441;-0.00395443;-0.00280943;-0.398615
2.95408;-0.00194021;-0.00182751;-0.398615
2.96406;-3.94752e-05;-0.000842628;-0.398615
2.97404;0.00181586;9.82902e-05;-0.398615
2.98402;0.00383895;0.0010397;-0.398615
2.994;0.00580185;0.00203742;-0.398615
3.00398;0.00776772;0.00307514;-0.398615
