t;vds;corrente;vg
0.00998;0.00925298;0.00381497;0.377103
0.01996;0.011286;0.00474508;0.382927
0.02994;0.0131758;0.00571863;0.382719
0.03992;0.0150953;0.00667238;0.382671
0.0499;0.0170237;0.00767055;0.382671
0.05988;0.0189273;0.00864363;0.382703
0.06986;0.0208369;0.0095776;0.382847
0.07984;0.0227289;0.0105476;0.382895
0.08982;0.0246483;0.0115133;0.382783
0.0998;0.0266103;0.0124764;0.382975
0.10978;0.0286126;0.0134558;0.382927
0.11976;0.0306318;0.0144606;0.382687
0.12974;0.0325265;0.0154013;0.382751
0.13972;0.0345427;0.016323;0.382687
0.1497;0.0365187;0.0173302;0.383039
0.15968;0.0384754;0.0183061;0.382879
0.16966;0.0404315;0.019297;0.383071
0.17964;0.0423302;0.0202117;0.382911
0.18962;0.0442388;0.0211841;0.383007
0.1996;0.0460981;0.0221498;0.383247
0.20958;0.0479901;0.0230592;0.382783
0.21956;0.0472971;0.0227618;0.382847
0.22954;0.0454142;0.0218;0.382719
0.23952;0.0435311;0.0208044;0.382671
0.2495;0.0415248;0.019829;0.382703
0.25948;0.0396145;0.0189127;0.382975
0.26946;0.0376337;0.0179155;0.382847
0.27944;0.0357072;0.0169414;0.383263
0.28942;0.0337285;0.0159604;0.382799
0.2994;0.0317459;0.0150359;0.382767
0.30938;0.0296706;0.0140461;0.382687
0.31936;0.0278193;0.0130992;0.382719
0.32934;0.0258582;0.0121292;0.382671
0.33932;0.0238696;0.0111497;0.382783
0.3493;0.0220124;0.0101965;0.382847
0.35928;0.0200653;0.00923981;0.382975
0.36926;0.0181802;0.00827065;0.383774
0.37924;0.0162835;0.00728978;0.383151
0.38922;0.0143512;0.00630392;0.382863
0.3992;0.0124032;0.00533139;0.383103
0.40918;0.0104777;0.0043781;0.382687
0.41916;0.00845656;0.00338779;0.382719
0.42914;0.00646409;0.00238514;0.382671
0.43912;0.00452285;0.001381;0.383119
0.4491;0.00252642;0.000429214;0.383119
0.45908;0.000624693;-0.000505282;0.382863
0.46906;-0.00132834;-0.00146151;0.383215
0.47904;-0.0032113;-0.00245182;0.382671
0.48902;-0.0051841;-0.00344164;0.382671
0.499;-0.0072812;-0.00436082;0.383503
0.50898;-0.00923818;-0.00537532;0.382671
0.51896;-0.0112228;-0.0063261;0.382815
0.52894;-0.0132193;-0.00732042;0.383295
0.53892;-0.0151792;-0.00830822;0.382815
0.5489;-0.0170237;-0.00920617;0.382671
0.55888;-0.018878;-0.0101792;0.382687
0.56886;-0.0208192;-0.01117;0.382719
0.57884;-0.0227348;-0.0121436;0.383199
0.58882;-0.0246493;-0.0130755;0.382863
0.5988;-0.0265886;-0.0140644;0.383518
0.60878;-0.02858;-0.0150814;0.383343
0.61876;-0.0305232;-0.0160647;0.382911
0.62874;-0.0325018;-0.0170595;0.382959
0.63872;-0.034449;-0.0180464;0.382671
0.6487;-0.0363291;-0.0190056;0.382719
0.65868;-0.0383934;-0.0200141;0.382751
0.66866;-0.0403199;-0.0209802;0.382799
0.67864;-0.0423065;-0.0219547;0.382767
0.68862;-0.0443998;-0.0229367;0.382687
0.6986;-0.0462373;-0.0238777;0.383167
0.70858;-0.0481598;-0.0248374;0.382751
0.71856;-0.0477563;-0.0246412;0.382687
0.72854;-0.045812;-0.0236737;0.382671
0.73852;-0.0438667;-0.0226922;0.382927
0.7485;-0.0418346;-0.0217111;0.382671
0.75848;-0.0398492;-0.0207624;0.382767
0.76846;-0.0378578;-0.0197969;0.382671
0.77844;-0.0359787;-0.0187763;0.382815
0.78842;-0.0340167;-0.0178078;0.382703
0.7984;-0.0320707;-0.0167982;0.382751
0.80838;-0.0301069;-0.0158735;0.382719
0.81836;-0.0281498;-0.0148562;0.382671
0.82834;-0.0262194;-0.0138781;0.382815
0.83832;-0.0242911;-0.0128963;0.382767
0.8483;-0.0223331;-0.011946;0.382783
0.85828;-0.0204816;-0.0109882;0.382719
0.86826;-0.0185188;-0.0100054;0.382735
0.87824;-0.0166733;-0.00902691;0.382671
0.88822;-0.0148398;-0.00811408;0.382671
0.8982;-0.0128659;-0.00712677;0.382735
0.90818;-0.0108724;-0.00616858;0.383023
0.91816;-0.00882959;-0.00517533;0.383087
0.92814;-0.00686868;-0.00420966;0.382671
0.93812;-0.00483768;-0.00326481;0.382815
0.9481;-0.00286984;-0.00229228;0.382671
0.95808;-0.000899046;-0.00127086;0.382911
0.96806;0.000974047;-0.000363524;0.383182
0.97804;0.00287379;0.00061987;0.383438
0.98802;0.00495218;0.00161906;0.383774
0.998;0.00688944;0.00263111;0.383055
1.00798;0.00889176;0.00359672;0.382799
1.01796;0.0108804;0.00450109;0.382671
1.02794;0.0127801;0.00548153;0.382751
1.03792;0.014737;0.00652912;0.382703
1.0479;0.0166576;0.00746019;0.382943
1.05788;0.018506;0.00844852;0.382735
1.06786;0.0203841;0.0093751;0.382735
1.07784;0.0224219;0.0103525;0.382719
1.08782;0.0243187;0.0113543;0.383486
1.0978;0.026249;0.0122784;0.383039
1.10778;0.028215;0.0132519;0.383295
1.11776;0.0300958;0.014258;0.383454
1.12774;0.0322659;0.0152078;0.382671
1.13772;0.0341283;0.0161368;0.382783
1.1477;0.0360774;0.0171376;0.382959
1.15768;0.0380838;0.0181091;0.38355
1.16766;0.0400298;0.0190861;0.383582
1.17764;0.0419819;0.0200111;0.382927
1.18762;0.0439594;0.0210385;0.382735
1.1976;0.0458395;0.021971;0.383247
1.20758;0.0476565;0.0229288;0.383167
1.21756;0.04762;0.0229392;0.382927
1.22754;0.0457735;0.0219863;0.382815
1.23752;0.0438864;0.0210439;0.382751
1.2475;0.0420084;0.0200785;0.382959
1.25748;0.0400258;0.019091;0.383119
1.26746;0.0380128;0.0180899;0.382719
1.27744;0.0361021;0.0171148;0.382767
1.28742;0.0341065;0.0161402;0.383023
1.2974;0.032202;0.0152088;0.383534
1.30738;0.0301611;0.0142481;0.382799
1.31736;0.0282001;0.0132696;0.383406
1.32734;0.0262114;0.0122947;0.382703
1.33732;0.0242526;0.0113434;0.382719
1.3473;0.0223913;0.0103526;0.382671
1.35728;0.0203919;0.00935535;0.382735
1.36726;0.0184546;0.00842873;0.383662
1.37724;0.016622;0.00747845;0.382863
1.38722;0.0147164;0.00648914;0.382703
1.3972;0.0127702;0.0054899;0.382671
1.40718;0.0108823;0.00454752;0.382783
1.41716;0.00886709;0.00357252;0.382671
1.42714;0.00681737;0.00257135;0.382703
1.43712;0.00490776;0.00157265;0.382687
1.4471;0.00282247;0.000611969;0.382671
1.45708;0.000982931;-0.000339818;0.382671
1.46706;-0.000988851;-0.00128913;0.382831
1.47704;-0.00286787;-0.00228487;0.382927
1.48702;-0.004815;-0.00324456;0.382831
1.497;-0.00685293;-0.00420475;0.382671
1.50698;-0.00886116;-0.00515356;0.383358
1.51696;-0.010837;-0.006131;0.383231
1.52694;-0.0128531;-0.0071342;0.382943
1.53692;-0.0147933;-0.00809286;0.382767
1.5469;-0.0167237;-0.00902443;0.382687
1.55688;-0.0185514;-0.00998507;0.382687
1.56686;-0.0205025;-0.0109744;0.382671
1.57684;-0.0223953;-0.0119169;0.382751
1.58682;-0.0243009;-0.0128814;0.382799
1.5968;-0.0262224;-0.0139182;0.382975
1.60678;-0.0282406;-0.0148691;0.382719
1.61676;-0.0302034;-0.0158864;0.382671
1.62674;-0.0320696;-0.0168135;0.382671
1.63672;-0.0340967;-0.017802;0.382751
1.6467;-0.03603;-0.0188179;0.382703
1.65668;-0.0380256;-0.019815;0.382671
1.66666;-0.0399262;-0.020756;0.382703
1.67664;-0.0419157;-0.0217201;0.382719
1.68662;-0.0439417;-0.0227085;0.382751
1.6966;-0.0458582;-0.023692;0.382703
1.70658;-0.0477967;-0.0246729;0.382671
1.71656;-0.0481568;-0.0248324;0.382783
1.72654;-0.0462275;-0.023892;0.382735
1.73652;-0.0442567;-0.0228769;0.382671
1.7465;-0.0423272;-0.0219705;0.382687
1.75648;-0.0402617;-0.0209239;0.382703
1.76646;-0.0383316;-0.0200236;0.383039
1.77644;-0.0364386;-0.0190589;0.382671
1.78642;-0.0345369;-0.0180524;0.382735
1.7964;-0.0325355;-0.017061;0.382671
1.80638;-0.0305025;-0.0160953;0.382831
1.81636;-0.0286461;-0.0150863;0.382751
1.82634;-0.0266231;-0.0141236;0.382959
1.83632;-0.0246434;-0.0130745;0.382671
1.8463;-0.0227406;-0.0121574;0.382671
1.85628;-0.0208912;-0.0111863;0.382799
1.86626;-0.0189195;-0.0102049;0.382799
1.87624;-0.0169813;-0.00924672;0.382687
1.88622;-0.0151566;-0.0082919;0.382703
1.8962;-0.0132606;-0.00735399;0.382687
1.90618;-0.0111685;-0.0063464;0.382687
1.91616;-0.00921843;-0.0053551;0.383182
1.92614;-0.00727231;-0.00437909;0.382671
1.93612;-0.00529264;-0.00345693;0.382671
1.9461;-0.00326954;-0.00249183;0.382671
1.95608;-0.00140038;-0.00152029;0.382735
1.96606;0.00061976;-0.000555168;0.382719
1.97604;0.00245338;0.000423785;0.382703
1.98602;0.00452485;0.00139829;0.382671
1.996;0.00647002;0.00237378;0.382735
2.00598;0.00842893;0.00338879;0.382751
2.01596;0.0105132;0.00435835;0.382671
2.02594;0.0124228;0.00532989;0.382975
2.03592;0.0143433;0.00631523;0.38339
2.0459;0.0163289;0.00731351;0.38411
2.05588;0.0181645;0.00826278;0.38403
2.06586;0.0199755;0.0092126;0.382735
2.07584;0.0219848;0.0101713;0.382959
2.08582;0.0238814;0.0111661;0.383199
2.0958;0.0258395;0.0121055;0.382959
2.10578;0.0278192;0.013076;0.382927
2.11576;0.0297386;0.0140565;0.383614
2.12574;0.0317716;0.0150335;0.382703
2.13572;0.0336428;0.0159501;0.382863
2.1457;0.0356667;0.0168916;0.382751
2.15568;0.0376269;0.017922;0.382991
2.16566;0.0395494;0.0188841;0.382687
2.17564;0.0415774;0.0198669;0.383199
2.18562;0.0435389;0.0208212;0.383406
2.1956;0.0453828;0.0217803;0.383262
