t;vds;corrente;vg
0;0.0497519;0.00508354;0.0189003
2e-05;0.0496424;0.0143874;0.0386315
4e-05;0.0496265;0.023899;0.0576433
6e-05;0.0496464;0.0340662;0.0778542
8e-05;0.0496524;0.0444972;0.0972494
0.0001;0.0496524;0.0541683;0.114999
0.00012;0.0496524;0.0635521;0.134827
0.00014;0.0496524;0.0738553;0.15352
0.00016;0.0496444;0.0834947;0.173043
0.00018;0.0496524;0.092783;0.190649
0.0002;0.0496524;0.103118;0.210507
0.00022;0.0496524;0.112893;0.230685
0.00024;0.0496524;0.122812;0.249474
0.00026;0.0496524;0.132571;0.266057
0.00028;0.0496524;0.142404;0.28635
0.0003;0.0496524;0.152003;0.304243
0.00032;0.0496524;0.16185;0.324613
0.00034;0.0496524;0.171049;0.34353
0.00036;0.0496424;0.180801;0.362733
0.00038;0.0496524;0.190786;0.381923
0.0004;0.0496524;0.20032;0.402979
0.00042;0.0496524;0.21056;0.421447
0.00044;0.0496524;0.220054;0.439451
0.00046;0.0496524;0.229791;0.457185
0.00048;0.0496524;0.239912;0.478053
0.0005;0.0496524;0.248909;0.497433
0.00052;0.0496524;0.259022;0.514623
0.00054;0.0496524;0.268412;0.534065
0.00056;0.0496444;0.278324;0.554129
0.00058;0.0496524;0.288133;0.574681
0.0006;0.0496524;0.298267;0.594026
0.00062;0.0496524;0.307363;0.612716
0.00064;0.0496524;0.317369;0.630229
0.00066;0.0496524;0.327066;0.651174
0.00068;0.0496524;0.3372;0.668801
0.0007;0.0496524;0.346838;0.686514
0.00072;0.0496524;0.356152;0.703659
0.00074;0.0496524;0.366134;0.726071
0.00076;0.0496524;0.375464;0.745847
0.00078;0.0496524;0.377558;0.749831
0.0008;0.0496524;0.368124;0.730559
0.00082;0.0496524;0.358685;0.708705
0.00084;0.0496524;0.348776;0.690777
0.00086;0.0496524;0.338719;0.673559
0.00088;0.0496524;0.32884;0.655108
0.0009;0.0496524;0.319215;0.635916
0.00092;0.0496524;0.310328;0.615323
0.00094;0.0496524;0.300537;0.59837
0.00096;0.0496524;0.290515;0.580048
0.00098;0.0496464;0.281026;0.558859
0.001;0.0496524;0.270803;0.538331
0.00102;0.0496524;0.260388;0.518712
0.00104;0.0496524;0.251042;0.501409
0.00106;0.0496524;0.242205;0.481679
0.00108;0.0496524;0.232684;0.461996
0.0011;0.0496524;0.222718;0.442713
0.00112;0.0496524;0.212838;0.425186
0.00114;0.0496524;0.203101;0.407308
0.00116;0.0496524;0.193695;0.386968
0.00118;0.0496524;0.183071;0.365846
0.0012;0.0496524;0.172937;0.348401
0.00122;0.0496524;0.163377;0.328783
0.00124;0.0496524;0.154361;0.309292
0.00126;0.0496524;0.143978;0.289513
0.00128;0.0496524;0.134171;0.270386
0.0013;0.0496524;0.124339;0.253484
0.00132;0.0496524;0.11533;0.234776
0.00134;0.0496524;0.105251;0.215188
0.00136;0.0496524;0.0952927;0.194227
0.00138;0.0496524;0.0849658;0.176111
0.0014;0.0496524;0.0758777;0.158393
0.00142;0.0496364;0.0656066;0.138964
0.00144;0.0496524;0.0562386;0.118946
0.00146;0.0496384;0.0470466;0.101867
0.00148;0.0496524;0.0364563;0.0819125
0.0015;0.0496524;0.0260812;0.06266
0.00152;0.0496504;0.0162098;0.041779
0.00154;0.0496524;0.00732961;0.0235017
0.00156;0.0496524;-0.00290945;0.00527227
0.00158;0.0496524;-0.0123572;-0.0123659
0.0016;0.0496524;-0.0222285;-0.0316816
0.00162;0.0496424;-0.0321719;-0.0523231
0.00164;0.0496524;-0.0422508;-0.0719749
0.00166;0.0496504;-0.0519222;-0.0898205
0.00168;0.0496504;-0.0615941;-0.10995
0.0017;0.0496524;-0.0705866;-0.129761
0.00172;0.0496464;-0.0802817;-0.148391
0.00174;0.0496524;-0.0898971;-0.166253
0.00176;0.0496424;-0.0997924;-0.184769
0.00178;0.0496524;-0.104084;-0.193269
0.0018;0.0496524;-0.0945251;-0.174657
0.00182;0.0496524;-0.0836147;-0.156028
0.00184;0.0496524;-0.074335;-0.137814
0.00186;0.0496524;-0.0643597;-0.118067
0.00188;0.0496524;-0.0560228;-0.0983039
0.0019;0.0496524;-0.0461434;-0.0783976
0.00192;0.0496524;-0.0361126;-0.0603595
0.00194;0.0496524;-0.0265928;-0.0397979
0.00196;0.0496524;-0.0165056;-0.0206578
0.00198;0.0496484;-0.00743352;-0.00201305
0.002;0.0496524;0.00300536;0.0146985
0.00202;0.0496524;0.0123492;0.034254
0.00204;0.0496484;0.0215572;0.0542722
0.00206;0.0496524;0.0323398;0.0740678
0.00208;0.0496524;0.0423869;0.0938944
0.0021;0.0496524;0.0525855;0.111772
0.00212;0.0496524;0.0619937;0.131024
0.00214;0.0496524;0.0717774;0.150916
0.00216;0.0496504;0.0819523;0.168889
0.00218;0.0496484;0.0920715;0.187086
0.0022;0.0496464;0.101543;0.206721
0.00222;0.0496464;0.111278;0.226787
0.00224;0.0496524;0.12091;0.247588
0.00226;0.0496504;0.131133;0.263517
0.00228;0.0496524;0.14019;0.281604
0.0023;0.0496524;0.149773;0.30092
0.00232;0.0496524;0.159564;0.320826
0.00234;0.0496524;0.169292;0.340366
0.00236;0.0496524;0.179443;0.35901
0.00238;0.0496524;0.188955;0.378279
0.0024;0.0496524;0.198561;0.398937
0.00242;0.0496444;0.208633;0.417773
0.00244;0.0496524;0.21797;0.436305
0.00246;0.0496524;0.227913;0.453479
0.00248;0.0496524;0.237745;0.474265
0.0025;0.0496524;0.247494;0.493709
0.00252;0.0496524;0.256456;0.511667
0.00254;0.0496524;0.266407;0.530424
0.00256;0.0496524;0.27607;0.550712
0.00258;0.0496524;0.286695;0.571295
0.0026;0.0496524;0.296109;0.590113
0.00262;0.0496524;0.306108;0.608726
0.00264;0.0496524;0.315204;0.627192
0.00266;0.0496524;0.324587;0.647145
0.00268;0.0496524;0.334573;0.665396
0.0027;0.0496524;0.34433;0.683798
0.00272;0.0496524;0.353929;0.700497
0.00274;0.0496524;0.363832;0.721661
0.00276;0.0496524;0.373985;0.742714
0.00278;0.0496524;0.37843;0.752272
0.0028;0.0496524;0.370059;0.733772
0.00282;0.0496524;0.359996;0.712605
0.00284;0.0496524;0.35075;0.693747
0.00286;0.0496464;0.340917;0.675938
0.00288;0.0496524;0.330591;0.658938
0.0029;0.0496524;0.320829;0.639
0.00292;0.0496524;0.311407;0.619383
0.00294;0.0496066;0.3014;0.600622
0.00296;0.0496384;0.292162;0.582859
0.00298;0.0496185;0.282137;0.563123
0.003;0.0496524;0.27252;0.542373
0.00302;0.0496524;0.262954;0.522899
0.00304;0.0496524;0.253689;0.504414
0.00306;0.0496524;0.2439;0.486152
0.00308;0.0496524;0.234443;0.46575
0.0031;0.0496524;0.224356;0.446211
0.00312;0.0496524;0.214876;0.429628
0.00314;0.0496524;0.204452;0.411143
0.00316;0.0496524;0.194782;0.391171
