;TEMPO;VDS;VG
0;4.5e-07;0.202339;0.126114
1;9e-07;0.182105;0.126114
2;1.35e-06;0.182105;0.125739
3;1.8e-06;0.182105;0.125364
4;2.25e-06;0.182105;0.125364
5;2.7e-06;0.182105;0.125739
6;3.15e-06;0.182105;0.126865
7;3.6e-06;0.182105;0.125364
8;4.05e-06;0.182105;0.125739
9;4.5e-06;0.182105;0.124988
10;4.95e-06;0.182105;0.125364
11;5.4e-06;0.182105;0.125364
12;5.85e-06;0.182105;0.126114
13;6.3e-06;0.182105;0.12649
14;6.75e-06;0.182105;0.125739
15;7.2e-06;0.182105;0.125364
16;7.65e-06;0.182105;0.124988
17;8.1e-06;0.182105;0.126114
18;8.55e-06;0.182105;0.126114
19;9e-06;0.182105;0.12649
20;9.45e-06;0.182105;0.126114
21;9.9e-06;0.182105;0.12649
22;1.035e-05;0.182105;0.124988
23;1.08e-05;0.182105;0.126865
24;1.125e-05;0.182105;0.126114
25;1.17e-05;0.182105;0.125739
26;1.215e-05;0.182105;0.125364
27;1.26e-05;0.182105;0.126865
28;1.305e-05;0.182105;0.12649
29;1.35e-05;0.182105;0.126114
30;1.395e-05;0.182105;0.126114
31;1.44e-05;0.182105;0.126114
32;1.485e-05;0.182105;0.125739
33;1.53e-05;0.182105;0.126114
34;1.575e-05;0.182105;0.12649
35;1.62e-05;0.182105;0.125364
36;1.665e-05;0.182105;0.126114
37;1.71e-05;0.182105;0.125364
38;1.755e-05;0.182105;0.126865
39;1.8e-05;0.182105;0.126114
40;1.845e-05;0.182105;0.126865
41;1.89e-05;0.182105;0.12649
42;1.935e-05;0.182105;0.12649
43;1.98e-05;0.182105;0.126114
44;2.025e-05;0.182105;0.126114
45;2.07e-05;0.182105;0.126865
46;2.115e-05;0.182105;0.126114
47;2.16e-05;0.182105;0.125364
48;2.205e-05;0.182105;0.12649
49;2.25e-05;0.182105;0.125739
50;2.295e-05;0.182105;0.125739
51;2.34e-05;0.182105;0.125739
52;2.385e-05;0.182105;0.12649
53;2.43e-05;0.182105;0.12724
54;2.475e-05;0.182105;0.127616
55;2.52e-05;0.182105;0.12649
56;2.565e-05;0.182105;0.12649
57;2.61e-05;0.182105;0.126865
58;2.655e-05;0.182105;0.126114
59;2.7e-05;0.182105;0.125364
60;2.745e-05;0.182105;0.126865
61;2.79e-05;0.182105;0.125739
62;2.835e-05;0.182105;0.125739
63;2.88e-05;0.182105;0.12649
64;2.925e-05;0.182105;0.12649
65;2.97e-05;0.182105;0.124988
66;3.015e-05;0.182105;0.125739
67;3.06e-05;0.182105;0.126114
68;3.105e-05;0.182105;0.126114
69;3.15e-05;0.182105;0.12649
70;3.195e-05;0.182105;0.125739
71;3.24e-05;0.182105;0.125364
72;3.285e-05;0.182105;0.12649
73;3.33e-05;0.182105;0.126865
74;3.375e-05;0.182105;0.125364
75;3.42e-05;0.182105;0.12724
76;3.465e-05;0.182105;0.125364
77;3.51e-05;0.182105;0.12649
78;3.555e-05;0.182105;0.126114
79;3.6e-05;0.182105;0.126114
80;3.645e-05;0.182105;0.124988
81;3.69e-05;0.182105;0.124988
82;3.735e-05;0.182105;0.12649
83;3.78e-05;0.182105;0.125364
84;3.825e-05;0.182105;0.124988
85;3.87e-05;0.182105;0.126114
86;3.915e-05;0.182105;0.125364
87;3.96e-05;0.182105;0.126114
88;4.005e-05;0.182105;0.126865
89;4.05e-05;0.182105;0.125364
90;4.095e-05;0.182105;0.126114
91;4.14e-05;0.182105;0.125739
92;4.185e-05;0.182105;0.12649
93;4.23e-05;0.182105;0.125364
94;4.275e-05;0.182105;0.125364
95;4.32e-05;0.182105;0.126114
96;4.365e-05;0.182105;0.125739
