t;vds;corrente;vg
4.5e-08;0.0692342;0;0.120204
9e-08;0.0623108;0;0.120204
1.35e-07;0.0623108;0;0.120204
1.8e-07;0.0623108;0;0.120204
2.25e-07;0.0623108;0;0.120204
2.7e-07;0.0623108;0;0.120204
3.15e-07;0.0623108;0;0.120204
3.6e-07;0.0623108;0;0.120204
4.05e-07;0.0623108;0;0.120204
4.5e-07;0.0623108;0;0.120204
4.95e-07;0.0623108;0;0.120204
5.4e-07;0.0623108;0;0.120204
5.85e-07;0.0623108;0;0.120204
6.3e-07;0.0623108;0;0.120204
6.75e-07;0.0623108;0;0.120204
7.2e-07;0.0623108;0;0.120204
7.65e-07;0.0623108;0;0.120204
8.1e-07;0.0623108;0;0.120204
8.55e-07;0.0623108;0;0.120204
9e-07;0.0623108;0;0.120204
9.45e-07;0.0623108;0;0.120204
9.9e-07;0.0623108;0;0.120204
1.035e-06;0.0623108;0;0.120204
1.08e-06;0.0623108;0;0.120204
1.125e-06;0.0623108;0;0.120204
1.17e-06;0.0623108;0;0.120204
1.215e-06;0.0623108;0;0.120204
1.26e-06;0.0623108;0;0.120204
1.305e-06;0.0623108;0;0.120204
1.35e-06;0.0623108;0;0.120204
1.395e-06;0.0623108;0;0.120204
1.44e-06;0.0623108;0;0.120204
1.485e-06;0.0623108;0;0.120204
1.53e-06;0.0623108;0;0.120204
1.575e-06;0.0618162;0;0.120204
1.62e-06;0.0623108;0;0.120204
1.665e-06;0.0623108;0;0.120204
1.71e-06;0.0623108;0;0.120204
1.755e-06;0.0623108;0;0.120204
1.8e-06;0.0623108;0;0.120204
1.845e-06;0.0623108;0;0.120204
1.89e-06;0.0623108;0;0.120204
1.935e-06;0.0623108;0;0.120204
1.98e-06;0.0623108;0;0.120204
2.025e-06;0.0623108;0;0.120204
2.07e-06;0.0623108;0;0.120204
2.115e-06;0.0623108;0;0.120204
2.16e-06;0.0623108;0;0.120204
2.205e-06;0.0623108;0;0.120204
2.25e-06;0.0623108;0;0.120204
2.295e-06;0.0623108;0;0.120204
2.34e-06;0.0623108;0;0.120204
2.385e-06;0.0623108;0;0.120204
2.43e-06;0.0623108;0;0.120204
2.475e-06;0.0623108;0;0.120204
