;subida[VDS];descida[VDS]
0;0.160228;0.0618162
1;0.160228;0.0623108
2;0.160228;0.0618163
3;0.160228;0.0618162
4;0.160228;0.0618162
5;0.160228;0.0623108
6;0.160228;0.0623108
7;0.160228;0.0623108
8;0.160228;0.0623108
9;0.160228;0.0623108
10;0.160228;0.0623108
11;0.160228;0.0618162
12;0.160228;0.0618162
13;0.160228;0.0623108
14;0.160228;0.0623108
15;0.160228;0.0618162
16;0.160228;0.0623108
17;0.160228;0.0623108
18;0.160228;0.0623108
19;0.160228;0.0618162
20;0.160228;0.0623108
21;0.160228;0.0618162
22;0.160228;0.0623108
23;0.160228;0.0623108
24;0.160228;0.0623108
25;0.160228;0.0618162
26;0.160228;0.0613217
27;0.160228;0.0623108
28;0.160228;0.0618162
29;0.160228;0.0618162
30;0.160228;0.0618162
31;0.160228;0.0618162
32;0.160228;0.0613217
33;0.160228;0.0623108
34;0.160228;0.0618162
35;0.160228;0.0623108
36;0.160228;0.0623108
37;0.160228;0.0623108
38;0.160228;0.0618162
39;0.160228;0.0613217
40;0.160228;0.0623108
41;0.160228;0.0618162
42;0.160228;0.0623108
43;0.160228;0.0613217
44;0.160228;0.0623108
45;0.160228;0.0618162
46;0.160228;0.0623108
47;0.160228;0.0623108
48;0.160228;0.0623108
49;0.160228;0.0618162
50;0.160228;0.0623108
51;0.160228;0.0623108
52;0.160228;0.0623108
53;0.160228;0.0623108
54;0.160228;0.0618162
55;0.160228;0.0623108
56;0.160228;0.0618162
57;0.160228;0.0623108
58;0.160228;0.0623108
59;0.160228;0.0618162
60;0.160228;0.0623108
61;0.160228;0.0623108
62;0.160228;0.0623108
63;0.160228;0.0623108
64;0.160228;0.0613217
65;0.160228;0.0613217
66;0.160228;0.0608272
67;0.160228;0.0618162
68;0.160228;0.0623108
69;0.160228;0.0623108
70;0.160228;0.0623108
71;0.160228;0.0623108
72;0.160228;0.0623108
73;0.160228;0.0618162
74;0.160228;0.0623108
75;0.160228;0.0623108
76;0.160228;0.0623108
77;0.160228;0.0623108
78;0.160228;0.0618162
79;0.160228;0.0623108
80;0.160228;0.0618163
81;0.160228;0.0623108
82;0.160228;0.0623108
83;0.160228;0.0623108
84;0.160228;0.0613217
85;0.160228;0.0613217
86;0.160228;0.0623108
87;0.160228;0.0618162
88;0.160228;0.0623108
89;0.160228;0.0623108
90;0.160228;0.0618162
91;0.160228;0.0623108
92;0.160228;0.0618162
93;0.160228;0.0623108
94;0.160228;0.0623108
95;0.160228;0.0613217
96;0.160228;0.0618162
97;0.160228;0.0613217
98;0.160228;0.0613217
99;0.160228;0.0618162
100;0.149348;0.0796193
101;0.119182;0.11028
102;0.0974224;0.130556
103;0.0825865;0.14193
104;0.073685;0.149348
105;0.0692342;0.153799
106;0.0667616;0.155777
107;0.0647834;0.155777
108;0.0623108;0.156271
109;0.0623108;0.160228
110;0.0623108;0.160228
111;0.0623108;0.160228
112;0.0623108;0.160228
113;0.0623108;0.160228
114;0.0623108;0.160228
115;0.0623108;0.160228
116;0.0623108;0.160228
117;0.0623108;0.160228
118;0.0623108;0.160228
119;0.0623108;0.160228
120;0.0623108;0.160228
121;0.0623108;0.160228
122;0.0623108;0.160228
123;0.0623108;0.160228
124;0.0623108;0.160228
125;0.0623108;0.160228
126;0.0623108;0.160228
127;0.0623108;0.160228
128;0.0623108;0.160228
129;0.0623108;0.160228
130;0.0623108;0.160228
131;0.0623108;0.160228
132;0.0623108;0.160228
133;0.0623108;0.160228
134;0.0623108;0.160228
135;0.0623108;0.160228
136;0.0623108;0.160228
137;0.0623108;0.160228
138;0.0623108;0.160228
139;0.0623108;0.160228
140;0.0623108;0.160228
141;0.0623108;0.160228
142;0.0623108;0.160228
143;0.0623108;0.160228
144;0.0623108;0.160228
145;0.0623108;0.160228
146;0.0623108;0.160228
147;0.0623108;0.160228
148;0.0623108;0.160228
149;0.0623108;0.160228
150;0.0623108;0.160228
151;0.0623108;0.160228
152;0.0623108;0.160228
153;0.0623108;0.160228
154;0.0623108;0.160228
155;0.0623108;0.160228
156;0.0623108;0.160228
157;0.0623108;0.160228
158;0.0623108;0.160228
159;0.0623108;0.160228
160;0.0623108;0.160228
161;0.0623108;0.160228
162;0.0623108;0.160228
163;0.0623108;0.160228
164;0.0623108;0.160228
165;0.0623108;0.160228
166;0.0623108;0.160228
