t;vds;corrente;vg
0.02495;0.0326096;0.196534;0.579918
0.0499;0.0336032;0.197684;0.58356
0.07485;0.034066;0.197381;0.580886
0.0998;0.0347723;0.196671;0.575093
0.12475;0.0355584;0.197149;0.5692
0.1497;0.0365041;0.196918;0.565488
0.17465;0.037362;0.198426;0.55912
0.1996;0.0381162;0.19782;0.554732
0.22455;0.0389063;0.197421;0.549847
0.2495;0.0399996;0.196902;0.543143
0.27445;0.0410729;0.198682;0.538483
0.2994;0.0422541;0.198793;0.534433
0.32435;0.0431002;0.198019;0.527201
0.3493;0.0445966;0.198378;0.522188
0.37425;0.0453627;0.198809;0.518427
0.3992;0.0464521;0.198985;0.511979
0.42415;0.047713;0.198378;0.508487
0.4491;0.0490019;0.19857;0.503204
0.47405;0.0500116;0.198211;0.498758
0.499;0.0514324;0.197955;0.494371
0.52395;0.0525578;0.198849;0.487245
0.5489;0.0538068;0.198387;0.482751
0.57385;0.0545729;0.198522;0.478973
0.5988;0.0556822;0.198801;0.47332
0.62375;0.0568075;0.198674;0.469768
0.6487;0.0578769;0.198363;0.463207
0.67365;0.0588745;0.198897;0.456304
0.6986;0.0596208;0.198378;0.452001
0.72355;0.0604149;0.199201;0.447296
0.7485;0.0604947;0.199224;0.443019
0.77345;0.0610613;0.199033;0.438442
0.7984;0.0615003;0.198945;0.431385
0.82335;0.0615242;0.199209;0.427253
0.8483;0.0612968;0.199041;0.423331
0.87325;0.061604;0.198554;0.418724
0.8982;0.0612289;0.199121;0.414738
0.92315;0.0607581;0.198889;0.407949
0.9481;0.0607381;0.198091;0.403133
0.97305;0.0600957;0.197221;0.399083
0.998;0.0598124;0.198482;0.392486
1.02295;0.0594532;0.197341;0.390198
1.0479;0.0579967;0.19794;0.383557
1.07285;0.0571148;0.197676;0.378273
1.0978;0.0568195;0.196607;0.372444
1.12275;0.0560055;0.196559;0.367418
1.1477;0.0546687;0.196998;0.363499
1.17265;0.0538826;0.198873;0.359433
1.1976;0.052889;0.198346;0.353828
1.22255;0.0521108;0.196711;0.349828
1.2475;0.051157;0.19659;0.343458
1.27245;0.0500235;0.197014;0.337406
1.2974;0.0488183;0.198107;0.335469
1.32235;0.0479365;0.198323;0.328572
1.3473;0.0470466;0.19869;0.326667
1.37225;0.0463084;0.198594;0.319639
1.3972;0.0449118;0.198147;0.313574
1.42215;0.0442694;0.196399;0.310981
1.4471;0.0432438;0.197221;0.303745
1.47205;0.0421623;0.196567;0.300753
1.497;0.041492;0.197556;0.295423
1.52195;0.0408575;0.197524;0.288811
1.5469;0.039441;0.197085;0.287099
1.57185;0.0387506;0.197117;0.279832
1.5968;0.0378967;0.196646;0.27527
1.62175;0.0369431;0.196327;0.271428
1.6467;0.0363245;0.196686;0.264929
1.67165;0.0360133;0.198642;0.262848
1.6966;0.0349798;0.198658;0.255693
1.72155;0.0343892;0.198227;0.25286
1.7465;0.0338546;0.198083;0.24761
1.77145;0.0331204;0.196902;0.24364
1.7964;0.032853;0.197612;0.237446
1.82135;0.0319113;0.19762;0.231636
1.8463;0.0318634;0.19703;0.226209
1.87125;0.0310893;0.196646;0.223328
1.8962;0.0307382;0.197237;0.216365
1.92115;0.0298803;0.197109;0.213068
1.9461;0.0294094;0.197261;0.207481
1.97105;0.0289345;0.197157;0.200166
1.996;0.0285474;0.197684;0.196421
2.02095;0.0284836;0.196136;0.191715
2.0459;0.0276536;0.196463;0.186846
2.07085;0.0270191;0.197732;0.183101
2.0958;0.027494;0.196527;0.175882
2.12075;0.0269832;0.197341;0.170552
2.1457;0.0263407;0.196694;0.167735
2.17065;0.0256265;0.19837;0.163109
2.1956;0.0256184;0.197812;0.159395
2.22055;0.0252792;0.197022;0.152993
2.2455;0.024912;0.197612;0.148911
2.27045;0.0248482;0.197876;0.143933
2.2954;0.0243813;0.197804;0.138299
2.32035;0.0243055;0.197077;0.134729
2.3453;0.0241858;0.19869;0.128103
2.37025;0.0236191;0.19865;0.122933
2.3952;0.023651;0.19837;0.119187
2.42015;0.0233238;0.198235;0.111936
2.4451;0.022845;0.197333;0.109007
2.47005;0.0230206;0.195768;0.103837
2.495;0.0222943;0.195984;0.0990186
2.51995;0.0220589;0.196582;0.0946802
2.5449;0.0217756;0.195768;0.088181
2.56985;0.0219512;0.196215;0.0838433
2.5948;0.0213167;0.198003;0.0798737
2.61975;0.0215162;0.197828;0.0748958
2.6447;0.0213167;0.196894;0.0712944
2.66965;0.021165;0.197325;0.0641715
2.6946;0.0208299;0.196367;0.0606821
2.71955;0.020331;0.195888;0.0557519
2.7445;0.0204547;0.197804;0.0502617
2.76945;0.0201914;0.197101;0.0472362
2.7944;0.0202792;0.195992;0.040289
2.81935;0.0196886;0.19699;0.0349589
2.8443;0.0200916;0.196582;0.0314535
2.86925;0.0195768;0.197261;0.0256591
2.8942;0.0195888;0.196607;0.0204566
2.91915;0.0196606;0.197652;0.0159748
2.9441;0.0192895;0.196631;0.00944401
2.96905;0.0190262;0.19584;0.00617864
2.994;0.0190262;0.197852;0.000112048
3.01895;0.0189304;0.197133;-0.00281719
3.0439;0.0190022;0.197923;-0.00798742
3.06885;0.0189104;0.198163;-0.0133017
3.0938;0.0182201;0.197062;-0.0180077
3.11875;0.0184915;0.197788;-0.0239623
3.1437;0.018256;0.197397;-0.0302529
3.16865;0.0178849;0.197644;-0.0325739
3.1936;0.0179448;0.197516;-0.0395847
3.21855;0.0177413;0.198378;-0.0420501
3.2435;0.0176615;0.197891;-0.0480367
3.26845;0.0174779;0.196966;-0.0547915
3.2934;0.0174221;0.197133;-0.0591773
3.31835;0.0171866;0.197644;-0.0638994
