t;vds;corrente;vg
0.00998;0.0488267;0.0050613;0.0129377
0.01996;0.0487411;0.0144993;0.0385836
0.02994;0.0487571;0.0243946;0.0576593
0.03992;0.0487212;0.0350493;0.0787648
0.0499;0.0487113;0.0448009;0.0974571
0.05988;0.0487729;0.054632;0.114807
0.06986;0.0487591;0.0644952;0.134459
0.07984;0.0487451;0.0737994;0.153008
0.08982;0.0487213;0.0833668;0.172084
0.0998;0.0487829;0.0933826;0.190265
0.10978;0.0487928;0.103262;0.209484
0.11976;0.0487133;0.113205;0.230909
0.12974;0.0487689;0.122964;0.249282
0.13972;0.0487571;0.132499;0.266297
0.1497;0.0488783;0.14226;0.284976
0.15968;0.0488168;0.151635;0.303188
0.16966;0.0488068;0.161707;0.324245
0.17964;0.0488327;0.171265;0.343194
0.18962;0.0488844;0.18073;0.361918
0.1996;0.0488108;0.190418;0.382114
0.20958;0.0489043;0.200032;0.401797
0.21956;0.0488565;0.209992;0.420536
0.22954;0.0489142;0.219862;0.438333
0.23952;0.0488168;0.229583;0.455603
0.2495;0.0487471;0.239464;0.476727
0.25948;0.0488366;0.249093;0.495372
0.26946;0.0488008;0.258174;0.513201
0.27944;0.0487471;0.267725;0.532788
0.28942;0.048767;0.277117;0.552308
0.2994;0.0488546;0.287214;0.573723
0.30938;0.0487093;0.29678;0.591742
0.31936;0.0488028;0.307171;0.610784
0.32934;0.0487988;0.31665;0.629654
0.33932;0.0488187;0.326306;0.649735
0.3493;0.048972;0.33601;0.66749
0.35928;0.0487869;0.345513;0.685092
0.36926;0.0488306;0.355176;0.702718
0.37924;0.0488685;0.365663;0.724169
0.38922;0.0488447;0.375552;0.745239
0.3992;0.0488446;0.377214;0.750965
0.40918;0.0488545;0.368596;0.731358
0.41916;0.0490057;0.359109;0.709903
0.42914;0.0488108;0.349048;0.691591
0.43912;0.0488167;0.339502;0.674038
0.4491;0.0488525;0.329432;0.655746
0.45908;0.0489043;0.31987;0.636875
0.46906;0.0488088;0.31016;0.617928
0.47904;0.0489858;0.300881;0.599185
0.48902;0.0489361;0.291195;0.580895
0.499;0.0489044;0.281082;0.560391
0.50898;0.0487571;0.271226;0.540089
0.51896;0.0488128;0.262027;0.520087
0.52894;0.0487053;0.251754;0.502927
0.53892;0.0487153;0.242652;0.483324
0.5489;0.0488326;0.233451;0.46281
0.55888;0.0487312;0.223021;0.444391
