t;vds;corrente;vg
0;-0.0145574;0.0181917;-0.0531105
2e-05;0.0125191;0.0177507;-0.0018888
4e-05;-0.014412;0.0168443;-0.0520862
6e-05;-0.0626433;0.0190616;-0.362202
8e-05;-0.0626433;0.0187015;-0.393336
0.0001;-0.0584498;0.0205749;-0.394423
0.00012;-0.0427488;0.017168;-0.397338
0.00014;-0.0341984;0.0183697;-0.397754
0.00016;-0.0275875;0.0177628;-0.396618
0.00018;-0.0243403;0.0177183;-0.3946
0.0002;-0.0208945;0.0179003;-0.396442
0.00022;-0.0116146;0.0181674;-0.395337
0.00024;-0.000439875;0.0192922;-0.392791
0.00026;-0.000517965;0.0182119;-0.393319
0.00028;0.000199673;0.0198061;-0.394776
0.0003;0.00208669;0.0212385;-0.395689
0.00032;0.00409627;0.0193367;-0.395049
0.00034;0.00590915;0.0172408;-0.396794
0.00036;0.00779617;0.0192073;-0.395688
0.00038;0.00997773;0.0172975;-0.397178
0.0004;0.0119744;0.0192518;-0.394119
0.00042;0.0141313;0.0197859;-0.395946
0.00044;0.0159946;0.0191304;-0.398491
0.00046;0.0176671;0.0195108;-0.396361
0.00048;0.0199267;0.0196524;-0.393079
0.0005;0.0219936;0.0183171;-0.392487
0.00052;0.0238094;0.0173824;-0.39508
0.00054;0.0258803;0.0179125;-0.393912
0.00056;0.0278128;0.0191223;-0.394856
0.00058;0.0297473;0.0185639;-0.394072
0.0006;0.031657;0.0193732;-0.394008
0.00062;0.0336133;0.0203564;-0.395529
0.00064;0.0356811;0.0172085;-0.395689
0.00066;0.037756;0.0194339;-0.395721
0.00068;0.0398416;0.018398;-0.39697
0.0007;0.0418632;0.0191344;-0.395753
0.00072;0.043835;0.0197616;-0.394633
0.00074;0.0456779;0.0210038;-0.393463
0.00076;0.0477395;0.0185882;-0.395641
0.00078;0.0485541;0.018398;-0.395402
0.0008;0.046599;0.017516;-0.396361
0.00082;0.0445053;0.0197737;-0.396378
0.00084;0.0424741;0.0191264;-0.397675
0.00086;0.0407362;0.0191101;-0.39665
0.00088;0.038605;0.0183616;-0.396506
0.0009;0.0368396;0.0174795;-0.396249
0.00092;0.034575;0.0187622;-0.397146
0.00094;0.0324953;0.0182321;-0.395993
0.00096;0.0305559;0.0189483;-0.397579
0.00098;0.0284919;0.0180015;-0.397722
0.001;0.0266237;0.0169576;-0.397339
0.00102;0.0245143;0.0190697;-0.397194
0.00104;0.0225818;0.0182038;-0.398907
0.00106;0.0206849;0.0178558;-0.398218
0.00108;0.0188187;0.0178235;-0.397754
0.0011;0.0167043;0.019446;-0.398459
0.00112;0.0148401;0.019013;-0.39721
0.00114;0.0128186;0.0179772;-0.39713
0.00116;0.010807;0.018398;-0.398347
0.00118;0.00877574;0.0196969;-0.39737
0.0012;0.00673354;0.0201662;-0.397754
0.00122;0.00487421;0.017253;-0.395993
0.00124;0.00310285;0.0177345;-0.395481
0.00126;0.000876784;0.0190171;-0.395112
0.00128;-0.00101616;0.0189605;-0.395178
0.0013;-0.00299411;0.0184587;-0.396025
0.00132;-0.0049523;0.0192194;-0.395641
0.00134;-0.00697078;0.0181836;-0.395464
0.00136;-0.00898826;0.0184021;-0.397562
0.00138;-0.0109494;0.0182564;-0.397883
0.0014;-0.0130805;0.0167634;-0.398491
0.00142;-0.0150694;0.0188067;-0.39769
0.00144;-0.0169287;0.0184385;-0.39625
0.00146;-0.0189264;0.0188148;-0.397466
0.00148;-0.0209083;0.0178761;-0.398251
0.0015;-0.0229248;0.0184021;-0.398795
0.00152;-0.0249077;0.0179894;-0.397258
0.00154;-0.0268155;0.0189726;-0.39753
0.00156;-0.0289635;0.0186327;-0.397562
0.00158;-0.0307516;0.018305;-0.39894
0.0016;-0.0328245;0.0189443;-0.397578
0.00162;-0.0346749;0.0182079;-0.39894
0.00164;-0.0366815;0.0171559;-0.397882
0.00166;-0.0388819;0.0184749;-0.398299
0.00168;-0.0406828;0.0159056;-0.398219
0.0017;-0.0428595;0.0194865;-0.397562
0.00172;-0.0447368;0.0181998;-0.398379
0.00174;-0.0465506;0.0194905;-0.398539
0.00176;-0.0485778;0.0189483;-0.398059
0.00178;-0.0497422;0.0182766;-0.396857
0.0018;-0.0479562;0.0181107;-0.398091
0.00182;-0.0459761;0.0179044;-0.397819
0.00184;-0.0439923;0.0178235;-0.397018
0.00186;-0.0419084;0.0170021;-0.397146
0.00188;-0.040071;0.0181512;-0.397674
0.0019;-0.0380752;0.0183131;-0.39713
0.00192;-0.0360321;0.0188634;-0.39657
0.00194;-0.0339919;0.0178073;-0.394584
0.00196;-0.0322344;0.0166096;-0.395081
0.00198;-0.030031;0.0185963;-0.396425
0.002;-0.0282082;0.019187;-0.396345
0.00202;-0.0260811;0.0184385;-0.396778
0.00204;-0.0243324;0.0177304;-0.397418
0.00206;-0.0222537;0.0180137;-0.397338
0.00208;-0.0199851;0.0186489;-0.396634
0.0021;-0.0182364;0.0182726;-0.394248
0.00212;-0.0162931;0.0183211;-0.395945
0.00214;-0.0143774;0.0188512;-0.395529
0.00216;-0.0122314;0.0187905;-0.398123
0.00218;-0.0102011;0.0180905;-0.397979
0.0022;-0.00815102;0.018568;-0.397963
0.00222;-0.00632332;0.018746;-0.395193
0.00224;-0.00425443;0.0186732;-0.395273
0.00226;-0.00211931;0.0177304;-0.396522
0.00228;-0.000232293;0.0190737;-0.396041
0.0023;0.00165373;0.0184304;-0.39452
0.00232;0.00375327;0.01875;-0.396682
0.00234;0.00540799;0.0193691;-0.395849
0.00236;0.00751049;0.0188593;-0.397259
0.00238;0.00968811;0.017346;-0.396921
0.0024;0.0113962;0.0177709;-0.395673
0.00242;0.0135679;0.0173258;-0.394584
0.00244;0.0155122;0.0204778;-0.396441
0.00246;0.0175623;0.0167391;-0.397194
0.00248;0.0194849;0.0193165;-0.397018
0.0025;0.0215142;0.0186934;-0.396746
0.00252;0.0232747;0.0191911;-0.397947
0.00254;0.0253179;0.0179247;-0.398763
0.00256;0.0272277;0.0187986;-0.398219
0.00258;0.029347;0.018305;-0.398379
0.0026;0.0314386;0.0177709;-0.397915
0.00262;0.0333454;0.0190292;-0.398299
0.00264;0.0351385;0.0183212;-0.396121
0.00266;0.0373261;0.0162212;-0.397882
0.00268;0.0393247;0.0186448;-0.398187
0.0027;0.0414451;0.0165489;-0.398699
0.00272;0.0435109;0.0170911;-0.397466
0.00274;0.0452686;0.0182241;-0.398459
0.00276;0.0471901;0.0184628;-0.39894
0.00278;0.0485146;0.0168281;-0.397338
0.0028;0.0468097;0.017087;-0.394728
0.00282;0.0449244;0.0196159;-0.395817
0.00284;0.0430525;0.0185963;-0.396122
