t;vds;corrente;vg
0;-0.000310383;0.0188108;-0.00134457
2e-05;0.00170118;0.0174553;8.0034e-05
4e-05;-0.0008066;0.0182484;-0.00124853
6e-05;0.00154302;0.017783;4.80204e-05
8e-05;-0.000327186;0.0191263;-0.00108846
0.0001;0.0012959;0.017783;0
0.00012;0.000673156;0.019357;0
0.00014;0.000197696;0.0183657;0
0.00016;0.00110018;0.0191911;0
0.00018;0.00014333;0.0171518;0
0.0002;0.00077497;0.0174108;0
0.00022;0.000160134;0.0180865;0
0.00024;-0.000189788;0.0166339;0
0.00026;-0.000137399;0.0169859;0
0.00028;-0.000363761;0.015938;0
0.0003;-0.000621755;0.0184992;0
0.00032;0.000654375;0.018572;0
0.00034;0.00273118;0.0167148;0
0.00036;0.00471506;0.0195107;0
0.00038;0.00668017;0.0183778;0
0.0004;0.00871643;0.0182281;0
0.00042;0.0106924;0.0186165;0
0.00044;0.0127692;0.0190131;0
0.00046;0.0147422;0.0178032;0
0.00048;0.0167626;0.0182807;0
0.0005;0.0185775;0.0182767;0
0.00052;0.0207225;0.0179408;0
0.00054;0.0227588;0.020676;0
0.00056;0.0245914;0.0177871;0
0.00058;0.0264695;0.0180946;0
0.0006;0.028406;0.019272;0
0.00062;0.0303266;0.0219587;0
0.00064;0.0325625;0.0174512;0
0.00066;0.0343883;0.0186448;0
0.00068;0.0365925;0.0179004;0
0.0007;0.0387643;0.0186691;0
0.00072;0.0405563;0.0167877;0
0.00074;0.0424711;0.0179772;0
0.00076;0.0442146;0.0193287;0
0.00078;0.0463489;0.0178032;0
0.0008;0.0482189;0.0189038;0
0.00082;0.0476547;0.0183454;0
0.00084;0.0457675;0.0181593;0
0.00086;0.043852;0.0191668;0
0.00088;0.0417672;0.0176495;0
0.0009;0.0397894;0.0180056;0
0.00092;0.0377984;0.0151368;0
0.00094;0.0358275;0.019268;0
0.00096;0.0337141;0.0187905;0
0.00098;0.0319289;0.0190009;0
0.001;0.0298858;0.0180946;0
0.00102;0.0278969;0.0196686;0
0.00104;0.0258517;0.018309;0
0.00106;0.0239973;0.0179287;0
0.00108;0.021707;0.0195714;0
0.0011;0.019991;0.0188836;0
0.00112;0.0179982;0.0180258;0
0.00114;0.0161349;0.018305;0
0.00116;0.0139603;0.0190616;0
0.00118;0.0119754;0.0178761;0
0.0012;0.00994115;0.0184506;0
0.00122;0.00807294;0.0188755;0
0.00124;0.00605545;0.0176333;0
0.00126;0.00416151;0.0190131;0
0.00128;0.00199476;0.0160634;0
0.0013;0.000291602;0.0165085;0
0.00132;-0.00167844;0.0190697;0
0.00134;-0.00374042;0.0200894;0
0.00136;-0.00591805;0.0187136;0
0.00138;-0.00767161;0.0189079;0
0.0014;-0.0096614;0.0187905;0
0.00142;-0.0117145;0.0181876;0
0.00144;-0.0139178;0.0193732;0
0.00146;-0.0158186;0.0175119;0
0.00148;-0.0178332;0.0197778;0
0.0015;-0.0195709;0.0196766;0
0.00152;-0.0218345;0.0179327;0
0.00154;-0.0235535;0.01892;0
0.00156;-0.025738;0.0183333;0
0.00158;-0.0275835;0.0192154;0
0.0016;-0.0296504;0.0191911;0
0.00162;-0.0316709;0.0175484;0
0.00164;-0.0335233;0.0188998;0
0.00166;-0.0356544;0.0179611;0
0.00168;-0.0374644;0.018835;0
0.0017;-0.0394205;0.0176171;0
0.00172;-0.041541;0.0186732;0
0.00174;-0.0434872;0.0155981;0
0.00176;-0.045406;0.0182119;0
0.00178;-0.0473195;0.017953;0
0.0018;-0.0493965;0.0199639;0
0.00182;-0.0490661;0.0197697;0
0.00184;-0.0471586;0.020057;0
0.00186;-0.0451528;0.0176414;0
0.00188;-0.0431542;0.0186084;0
0.0019;-0.0411732;0.0176414;0
0.00192;-0.0392407;0.0185437;0
0.00194;-0.0370551;0.0181067;0
0.00196;-0.0352393;0.018835;0
0.00198;-0.0333325;0.0193448;0
0.002;-0.031234;0.0185882;0
0.00202;-0.0293321;0.0185154;0
0.00204;-0.0274205;0.0180501;0
0.00206;-0.0253822;0.0186084;0
0.00208;-0.0234092;0.0181472;0
0.0021;-0.0214401;0.0177668;0
0.00212;-0.01939;0.0181148;0
0.00214;-0.0172796;0.0174876;0
0.00216;-0.0154569;0.019446;0
0.00218;-0.0134838;0.0183899;0
0.0022;-0.011415;0.019357;0
0.00222;-0.00942813;0.0176495;0
0.00224;-0.00749072;0.017346;0
0.00226;-0.00546829;0.0178194;0
0.00228;-0.00352789;0.0193894;0
0.0023;-0.00135521;0.0181836;0
0.00232;0.000570354;0.0174593;0
0.00234;0.00259773;0.017431;0
0.00236;0.00467552;0.0163426;0
0.00238;0.00626995;0.0186934;0
0.0024;0.00849403;0.0186732;0
0.00242;0.0101072;0.0178599;0
0.00244;0.0122562;0.0184062;0
0.00246;0.0142825;0.0187622;0
0.00248;0.0163663;0.017261;0
0.0025;0.0180496;0.020061;0
0.00252;0.0204754;0.0181067;0
0.00254;0.0223979;0.0178478;0
0.00256;0.0240823;0.0186772;0
0.00258;0.0262906;0.0194096;0
0.0026;0.0280669;0.0178801;0
0.00262;0.0299806;0.0195552;0
0.00264;0.0321038;0.0184709;0
0.00266;0.0340936;0.0171316;0
0.00268;0.0360192;0.0182645;0
0.0027;0.0380763;0.0182443;0
0.00272;0.0402271;0.0194784;0
0.00274;0.0419354;0.0185801;0
0.00276;0.0439536;0.0208177;0
0.00278;0.0460257;0.0188795;0
0.0028;0.0480835;0.0218171;0
0.00282;0.048054;0.0186125;0
0.00284;0.0461431;0.0179934;0
0.00286;0.0442592;0.0204899;0
0.00288;0.0422357;0.0197252;0
0.0029;0.0401165;0.0192518;0
0.00292;0.0381039;0.0187541;0
0.00294;0.0364166;0.0177992;0
0.00296;0.0340808;0.0189807;0
0.00298;0.0323649;0.0184061;0
0.003;0.0302584;0.0179651;0
0.00302;0.0283832;0.0188229;0
0.00304;0.02643;0.0169131;0
0.00306;0.0242375;0.0191911;0
0.00308;0.0221647;0.01769;0
0.0031;0.0204536;0.0176292;0
0.00312;0.0182869;0.0174957;0
0.00314;0.0165392;0.0184871;0
0.00316;0.0145237;0.0163587;0
0.00318;0.0123678;0.0186125;0
0.0032;0.010466;0.0185113;0
0.00322;0.00832697;0.0202876;0
0.00324;0.00645084;0.0195026;0
0.00326;0.00459743;0.0182726;0
0.00328;0.00241783;0.018216;0
0.0033;0.00054663;0.0190212;0
0.00332;-0.00143033;0.0167755;0
0.00334;-0.00345969;0.0177264;0
0.00336;-0.00548509;0.0186489;0
0.00338;-0.00760341;0.0183373;0
0.0034;-0.00935004;0.0188391;0
0.00342;-0.0113487;0.0172974;0
0.00344;-0.0133494;0.01962;0
0.00346;-0.0152868;0.018653;0
0.00348;-0.0173429;0.017779;0
0.0035;-0.0191478;0.0180137;0
0.00352;-0.0210823;0.0175483;0
0.00354;-0.0232817;0.0195229;0
0.00356;-0.0251529;0.0182078;0
0.00358;-0.0272939;0.018568;0
0.0036;-0.0292679;0.0191547;0
0.00362;-0.0311391;0.018831;0
0.00364;-0.0330954;0.0181755;0
0.00366;-0.0352818;0.0164842;0
0.00368;-0.0371739;0.0182767;0
0.0037;-0.039133;0.0185922;0
0.00372;-0.0411387;0.0198789;0
0.00374;-0.0432727;0.0183333;0
0.00376;-0.0450767;0.0197818;0
0.00378;-0.0469707;0.0182686;0
0.0038;-0.0490375;0.0170426;0
0.00382;-0.0494991;0.0171963;0
0.00384;-0.0476695;0.0179408;0
0.00386;-0.0455145;0.018042;0
0.00388;-0.0437779;0.0188108;0
0.0039;-0.0415823;0.0195674;0
0.00392;-0.0396747;0.0168362;0
0.00394;-0.0375434;0.0171478;0
0.00396;-0.0356278;0.0175483;0
0.00398;-0.0336084;0.0182402;0
0.004;-0.031582;0.0195877;0
0.00402;-0.0298264;0.0182969;0
0.00404;-0.0277763;0.019005;0
0.00406;-0.0257687;0.0194137;0
0.00408;-0.0235624;0.0172651;0
0.0041;-0.0218553;0.0195553;0
0.00412;-0.0198319;0.0208621;0
0.00414;-0.0179073;0.0197171;0
0.00416;-0.0158799;0.0190252;0
0.00418;-0.0138664;0.0183616;0
0.0042;-0.0118726;0.0186408;0
0.00422;-0.00980374;0.0206113;0
0.00424;-0.00815498;0.019709;0
0.00426;-0.00602085;0.018568;0
0.00428;-0.00396876;0.0204373;0
0.0043;-0.00198289;0.0179691;0
0.00432;4.44817e-05;0.0199275;0
0.00434;0.00185143;0.0195876;0
0.00436;0.00398754;0.0180622;0
0.00438;0.00597241;0.0180905;0
0.0044;0.00789699;0.0177911;0
0.00442;0.00979288;0.0176697;0
0.00444;0.0117995;0.0191264;0
0.00446;0.0140117;0.0170871;0
0.00448;0.0158503;0.0186125;0
0.0045;0.0179261;0.0147767;-0.000176075
0.00452;0.0200068;0.0179327;0
0.00454;0.0218167;0.0186084;0
0.00456;0.0237867;0.0193367;0
0.00458;0.0258793;0.0164842;0
0.0046;0.02771;0.018657;0
0.00462;0.0297532;0.0203079;0
0.00464;0.0318063;0.0192235;0
0.00466;0.0336271;0.0188472;0
0.00468;0.0357157;0.0204252;0
0.0047;0.0376157;0.0193934;0
0.00472;0.0395174;0.0180905;0
0.00474;0.041799;0.0178073;0
0.00476;0.0435632;0.0177951;0
0.00478;0.0455859;0.0189686;0
0.0048;0.047614;0.0192113;0
0.00482;0.0485047;0.01839;0
0.00484;0.0465427;0.0191709;0
0.00486;0.0446121;0.0192558;0
0.00488;0.0426391;0.0183333;0
0.0049;0.0406364;0.0178923;0
0.00492;0.0386189;0.0179691;0
0.00494;0.0368317;0.0162333;0
0.00496;0.0345068;0.0174107;0
0.00498;0.0325576;0.0177466;0
0.005;0.0306646;0.0188674;0
0.00502;0.0287568;0.0178437;0
0.00504;0.0267739;0.0188269;0
0.00506;0.0247318;0.0182038;0
0.00508;0.0227053;0.0177547;0
0.0051;0.0208717;0.0187177;0
0.00512;0.0186843;0.0177911;0
0.00514;0.016729;0.0180865;0
0.00516;0.0148855;0.0165934;0
0.00518;0.0128453;0.0186975;0
0.0052;0.0109316;0.0190535;0
0.00522;0.0086759;0.0177061;0
0.00524;0.00686798;0.0178558;0
0.00526;0.00482281;0.0192558;0
0.00528;0.00290713;0.0190495;0
0.0053;0.00107745;0.0188269;0
0.00532;-0.000959817;0.0172732;0
0.00534;-0.00299708;0.0185478;0
0.00536;-0.00494142;0.0192842;0
0.00538;-0.00700044;0.0189159;0
0.0054;-0.00913356;0.0197252;0
0.00542;-0.0108337;0.018398;0
0.00544;-0.0131863;0.018309;0
0.00546;-0.0148618;0.0176131;0
0.00548;-0.0169465;0.0191911;0
0.0055;-0.0188938;0.0198425;0
0.00552;-0.0207442;0.0170911;0
0.00554;-0.0228813;0.0179651;0
0.00556;-0.0248781;0.0172368;0
0.00558;-0.0269193;0.0198466;0
0.0056;-0.0288557;0.0178437;0
0.00562;-0.0307527;0.0167108;0
0.00564;-0.0327701;0.0189847;0
0.00566;-0.0348025;0.0204454;0
0.00568;-0.0367468;0.0168322;0
0.0057;-0.0387396;0.0182564;0
0.00572;-0.0407343;0.0158044;0
0.00574;-0.0426342;0.0180015;0
0.00576;-0.0446782;0.0182119;0
0.00578;-0.0467404;0.0187379;0
0.0058;-0.0485184;0.0193125;0
0.00582;-0.0496215;0.0179246;0
0.00584;-0.0480421;0.0189079;0
0.00586;-0.0460215;0.018483;0
0.00588;-0.0440161;0.0155738;0
0.0059;-0.0419016;0.0176212;0
0.00592;-0.0400375;0.0173258;0
0.00594;-0.0380366;0.0189969;0
0.00596;-0.0359254;0.0186004;0
0.00598;-0.0342667;0.0194217;0
0.006;-0.0321147;0.0193893;0
0.00602;-0.0299994;0.0181876;0
0.00604;-0.028147;0.0184021;0
0.00606;-0.0261335;0.021024;0
0.00608;-0.0241268;0.0178963;0
0.0061;-0.0221776;0.0176738;0
0.00612;-0.0200711;0.0181957;0
0.00614;-0.0182513;0.0201865;0
0.00616;-0.0161251;0.0182038;0
0.00618;-0.0143596;0.0194824;0
0.0062;-0.0123056;0.0186772;0
0.00622;-0.0101991;0.0176657;0
0.00624;-0.00841296;0.0209714;0
0.00626;-0.00613749;0.0206599;0
0.00628;-0.00427519;0.0162899;0
0.0063;-0.00228043;0.0196807;0
0.00632;-0.000295556;0.0193974;0
0.00634;0.00170513;0.018224;0
0.00636;0.00362477;0.0186044;0
0.00638;0.00553254;0.0174715;0
0.0064;0.00753521;0.0183414;0
0.00642;0.009524;0.0178275;0
0.00644;0.0113853;0.0175038;0
0.00646;0.0134226;0.017698;0
0.00648;0.0156476;0.0197212;0
0.0065;0.0174961;0.0177506;0
0.00652;0.019383;0.018309;0
0.00654;0.0214648;0.0183899;0
0.00656;0.0233943;0.0205061;0
