t;vds;corrente;vg
0;0.000553548;0.0188876;-0.000304129
2e-05;-0.000876783;0.018479;-0.00104044
4e-05;0.0148322;0.017694;0.0287962
6e-05;-0.00550288;0.0194177;0.0217852
8e-05;-0.00935992;0.017872;0
0.0001;-0.00450847;0.0184466;0
0.00012;0.0590698;0.019709;0.273797
0.00014;0.0631364;0.0186004;0.388613
0.00016;0.0612434;0.0196159;0.391382
0.00018;0.0464981;0.0184506;0.391382
0.0002;0.0328294;0.0174917;0.391382
0.00022;0.0261057;0.018131;0.391382
0.00024;0.0215686;0.0169778;0.391382
0.00026;0.004633;0.0183454;0.391382
0.00028;-0.000590124;0.0170749;0.391382
0.0003;-0.000562447;0.0180663;0.391382
0.00032;0.000119606;0.0179206;0.391382
0.00034;0.00233282;0.0177911;0.391382
0.00036;0.00429694;0.0175605;0.391382
0.00038;0.00600602;0.0181067;0.391382
0.0004;0.00812533;0.0163466;0.391382
0.00042;0.00998069;0.016298;0.391382
0.00044;0.0119942;0.0170223;0.391382
0.00046;0.0141392;0.0161119;0.391382
0.00048;0.0160667;0.0181108;0.391382
0.0005;0.0180269;0.0199113;0.391382
0.00052;0.0200009;0.0189483;0.391382
0.00054;0.0219176;0.0194784;0.391382
0.00056;0.0238055;0.0183252;0.391382
0.00058;0.0259436;0.0175523;0.391382
0.0006;0.0278929;0.0186732;0.391382
0.00062;0.0299499;0.0194015;0.391382
0.00064;0.0318191;0.0185154;0.391382
0.00066;0.0337902;0.0179489;0.391382
0.00068;0.0358955;0.0195188;0.391382
0.0007;0.0379409;0.0187298;0.391382
0.00072;0.0398821;0.0177587;0.391382
0.00074;0.0419235;0.0169859;0.391382
0.00076;0.0439062;0.018309;0.391382
0.00078;0.0459576;0.0167877;0.391382
0.0008;0.0478028;0.0176616;0.391382
0.00082;0.0482101;0.0177021;0.391382
0.00084;0.0464408;0.017872;0.391382
0.00086;0.0444331;0.0170547;0.391382
0.00088;0.042284;0.018309;0.391382
0.0009;0.0404337;0.0179732;0.391382
0.00092;0.0383786;0.0174634;0.391382
0.00094;0.0363988;0.0179772;0.391382
0.00096;0.0343457;0.0174269;0.391382
0.00098;0.032348;0.0177021;0.391382
0.001;0.0304877;0.0175443;0.391382
0.00102;0.0281084;0.0188391;0.391382
0.00104;0.0266998;0.0166865;0.391382
0.00106;0.0244501;0.0195957;0.391382
0.00108;0.0224701;0.0192194;0.391382
0.0011;0.0208203;0.0158975;0.391382
0.00112;0.0183758;0.0183616;0.391382
0.00114;0.0165768;0.0182847;0.391382
0.00116;0.0144862;0.0179691;0.391382
0.00118;0.0124825;0.017868;0.391382
0.0012;0.0106044;0.0172894;0.391382
0.00122;0.00867887;0.018224;0.391382
0.00124;0.00646962;0.0196605;0.391382
0.00126;0.00478524;0.0185841;0.391382
0.00128;0.00277665;0.017083;0.391382
0.0013;0.000715661;0.0190292;0.391382
0.00132;-0.00116344;0.0181957;0.391382
0.00134;-0.0032699;0.0191546;0.391382
0.00136;-0.00527158;0.0196362;0.391382
0.00138;-0.00737408;0.0175119;0.391382
0.0014;-0.00915531;0.0166986;0.391382
0.00142;-0.0110809;0.0183657;0.391382
0.00144;-0.0131537;0.0195512;0.391382
0.00146;-0.0153432;0.0177668;0.391382
0.00148;-0.0169416;0.0163223;0.391382
0.0015;-0.0191014;0.0177547;0.391382
0.00152;-0.0211426;0.0177385;0.391382
0.00154;-0.0230691;0.0170871;0.391382
0.00156;-0.0250965;0.0181431;0.391382
0.00158;-0.0269855;0.016731;0.391382
0.0016;-0.0290465;0.0180177;0.391382
0.00162;-0.0307942;0.017257;0.391382
0.00164;-0.0329135;0.0188917;0.391382
0.00166;-0.0350229;0.0183374;0.391382
0.00168;-0.0370602;0.0172611;0.391382
0.0017;-0.0389966;0.0196079;0.391382
0.00172;-0.0408569;0.0190171;0.391382
