t;vds;corrente;vg
0.000499;0.0638186;0.00587475;-0.201973
0.000998;0.0637189;0.00450536;-0.203693
0.001497;0.0638864;0.00349118;-0.203693
0.001996;0.0653868;0.00297663;-0.203693
0.002495;0.06571;0.00244414;-0.203693
0.002994;0.06571;0.00116672;-0.203693
0.003493;0.0663245;-8.9748e-06;-0.203693
0.003992;0.0676771;-0.00134622;-0.203693
0.004491;0.0677011;-0.00275526;-0.203693
0.00499;0.0681679;-0.00349718;-0.203693
0.005489;0.0695126;-0.00447843;-0.203693
0.005988;0.0696922;-0.00448741;-0.203693
0.006487;0.070195;-0.00450237;-0.203693
0.006986;0.0715756;-0.00450835;-0.203693
0.007485;0.0716834;-0.00474768;-0.203693
0.007984;0.0716834;-0.0052383;-0.203693
0.008483;0.0720465;-0.00480751;-0.203693
0.008982;0.0735029;-0.00439766;-0.203693
0.009481;0.0736745;-0.00337152;-0.203693
0.00998;0.0736745;-0.00298561;-0.203693
0.010479;0.0749115;-0.00244414;-0.203693
0.010978;0.0756658;-0.00148682;-0.203693
0.011477;0.0756937;-0.000200437;-0.203693
0.011976;0.0769666;0.000568403;-0.203693
0.012475;0.0776569;0.00166034;-0.203693
0.012974;0.0776609;0.00288988;-0.203693
0.013473;0.0787183;0.0033446;-0.203693
0.013972;0.0796121;0.0044186;-0.203693
0.014471;0.079648;0.00447843;-0.203693
0.01497;0.0808171;0.00469083;-0.203693
0.015469;0.0816391;0.00574086;-0.203693
0.015968;0.0816391;0.00597121;-0.203693
0.016467;0.0824132;0.00597121;-0.203693
0.016966;0.0836063;0.00588447;-0.203693
0.017465;0.0836302;0.00471478;-0.203693
0.017964;0.0836861;0.0042361;-0.203693
0.018463;0.0853386;0.0030574;-0.203693
0.018962;0.085622;0.00290484;-0.203693
0.019461;0.0857497;0.00166332;-0.203693
0.01996;0.0871981;0.000233345;-0.203693
0.020459;0.0876131;-0.000831666;-0.203693
0.020958;0.0877208;-0.0020313;-0.203693
0.021457;0.0886745;-0.00304843;-0.203693
0.021956;0.0896042;-0.00398182;-0.203693
0.022455;0.0896042;-0.00447843;-0.203693
0.022954;0.0896122;-0.00447843;-0.203693
0.023453;0.0908452;-0.00447843;-0.203693
0.023952;0.0915953;-0.00448442;-0.203693
0.024451;0.0915953;-0.00486435;-0.203693
0.02495;0.0919544;-0.00470879;-0.203693
0.025449;0.0935427;-0.00454724;-0.203693
0.025948;0.0935866;-0.00408951;-0.203693
0.026447;0.0936305;-0.00302749;-0.203693
0.026946;0.0948834;-0.00275826;-0.203693
0.027445;0.0955776;-0.00168725;-0.203693
0.027944;0.0955776;-0.000768842;-0.203693
0.028443;0.0964834;8.9748e-06;-0.203693
0.028942;0.0975688;0.00131331;-0.203693
0.029441;0.0975688;0.0023843;-0.203693
0.02994;0.0980596;0.00305741;-0.203693
0.030439;0.099492;0.00437373;-0.203693
0.030938;0.0995599;0.00448143;-0.203693
