t;vds;corrente;vg
0.000499;-0.0576574;0.00059856;0.19189
0.000998;-0.0561012;0.000335059;0.19573
0.001497;-0.055762;0.00132528;0.195706
0.001996;-0.0557541;0.0014928;0.195778
0.002495;-0.0556982;0.00244115;0.195706
0.002994;-0.0544173;0.00284799;0.195706
0.003493;-0.0537629;0.00296467;0.195706
0.003992;-0.0537629;0.00297663;0.195706
0.004491;-0.0531324;0.00308134;0.195706
0.00499;-0.0517837;0.00365573;0.195706
0.005489;-0.0517717;0.00361085;0.195706
0.005988;-0.0510609;0.00319202;0.195706
0.006487;-0.0497799;0.00298561;0.195706
0.006986;-0.0497799;0.00263261;0.195706
0.007485;-0.0493849;0.00175307;0.195706
0.007984;-0.0478766;0.00150178;0.19577
0.008483;-0.0477888;0.0011757;0.195706
0.008982;-0.047322;0.000116672;0.195706
0.009481;-0.046073;-0.000293177;0.195706
0.00998;-0.0457977;-0.00130733;0.195706
0.010479;-0.0454705;-0.00167529;0.195706
0.010978;-0.0439582;-0.00271337;0.195786
0.011477;-0.0438066;-0.00295569;0.195706
0.011976;-0.0437627;-0.00296766;0.195706
0.012475;-0.0423978;-0.00296766;0.195706
0.012974;-0.0418151;-0.00295868;0.195706
0.013473;-0.0418031;-0.00298561;0.195706
0.013972;-0.0407976;-0.00298561;0.195754
0.014471;-0.039824;-0.00284501;0.195706
0.01497;-0.039824;-0.00195949;0.195706
0.015469;-0.0390419;-0.00151075;0.195706
0.015968;-0.0378488;-0.00148682;0.195706
0.016467;-0.0378329;-0.00104706;0.195706
0.016966;-0.037797;-0.000191462;0.195706
0.017465;-0.0367116;3.88908e-05;0.195706
0.017964;-0.0358616;0.000984238;0.195706
0.018463;-0.0358417;0.0014928;0.195706
0.018962;-0.035311;0.00181889;0.195706
0.019461;-0.0340301;0.0025997;0.195706
0.01996;-0.0338505;0.00291082;0.195706
0.020459;-0.0338346;0.00298561;0.195706
0.020958;-0.0324061;0.00304544;0.195706
0.021457;-0.0319073;0.00363478;0.195706
0.021956;-0.0318435;0.00372752;0.195706
0.022455;-0.030411;0.00314416;0.195706
0.022954;-0.0298763;0.00298561;0.195722
0.023453;-0.0298683;0.00293774;0.195874
0.023952;-0.0288467;0.0023155;0.195706
0.024451;-0.027877;0.0018129;0.195954
0.02495;-0.027877;0.00138212;0.195714
0.025449;-0.0277932;0.000314118;0.19573
0.025948;-0.026241;-0.000119664;0.195714
0.026447;-0.0258859;-0.000915431;0.195778
0.026946;-0.0258859;-0.0014928;0.195834
0.027445;-0.0250357;-0.00211805;0.196378
0.027944;-0.0239543;-0.00275226;0.195882
0.028443;-0.0238585;-0.00285996;0.195906
0.028942;-0.0225577;-0.00297962;0.195874
0.029441;-0.0219192;-0.00298561;0.195906
0.02994;-0.0218833;-0.00298261;0.195706
0.030439;-0.0202632;-0.00298561;0.195882
0.030938;-0.019924;-0.00293774;0.196146
0.031437;-0.019912;-0.0023514;0.195874
0.031936;-0.0193853;-0.00154665;0.19573
0.032435;-0.0179767;-0.0014928;0.195842
0.032934;-0.0179208;-0.0014599;0.196018
0.033433;-0.0175059;-0.000302152;0.195714
0.033932;-0.0161452;0;0.195922
0.034431;-0.0159297;0.000541479;0.195706
0.03493;-0.0158499;0.00144494;0.195762
0.035429;-0.0144573;0.00153768;0.195802
0.035928;-0.0139385;0.00245012;0.195706
0.036427;-0.0139385;0.00287193;0.195706
0.036926;-0.0136631;0.00294672;0.19573
0.037425;-0.0122385;0.00298561;0.195706
0.037924;-0.0119472;0.00338349;0.195706
0.038423;-0.0117437;0.00361983;0.195762
0.038922;-0.0100518;0.00360786;0.195706
0.039421;-0.009956;0.00300356;0.195722
0.03992;-0.00988817;0.00298561;0.19573
0.040419;-0.00853947;0.0026356;0.195754
0.040918;-0.00796486;0.00196846;0.195706
0.041417;-0.00796486;0.00150178;0.195714
0.041916;-0.00731439;0.000957314;0.195706
0.042415;-0.0059736;2.9916e-06;0.195842
0.042914;-0.0059736;-0.000182488;0.195722
0.043413;-0.00569429;-0.00132228;0.195802
0.043912;-0.00410613;-0.00170222;0.195714
0.044411;-0.00398243;-0.00266252;0.195786
0.04491;-0.0039106;-0.00291082;0.195706
0.045409;-0.00233439;-0.00291979;0.195706
0.045908;-0.00199121;-0.00291082;0.195746
0.046407;-0.00185155;-0.00298561;0.195706
0.046906;-0.000371107;-0.00298561;0.195706
0.047405;0;-0.00301253;0.195874
0.047904;0;-0.00276723;0.195738
0.048403;0.00114924;-0.001777;0.195746
0.048902;0.00199121;-0.0014928;0.195706
0.049401;0.00199121;-0.00146289;0.195746
0.0499;0.00202713;-0.000786791;0.195706
0.050399;0.00322425;-2.09412e-05;0.195706
0.050898;0.00398243;6.58152e-05;0.19581
0.051397;0.0039944;0.000939364;0.195706
0.051896;0.00491617;0.0014928;0.19577
0.052395;0.0059736;0.00201933;0.19577
0.052894;0.0059736;0.00288389;0.19589
0.053393;0.00656421;0.00293475;0.195914
0.053892;0.00782918;0.00298561;0.195834
0.054391;0.00796486;0.00301552;0.196106
0.05489;0.00796486;0.00346127;0.19573
0.055389;0.00817634;0.00375445;0.195714
0.055888;0.00984028;0.00344032;0.195706
0.056387;0.009956;0.00298561;0.195706
0.056886;0.00996398;0.00291979;0.195706
0.057385;0.0109895;0.00239927;0.195706
0.057884;0.0119352;0.00165435;0.195706
0.058383;0.0119911;0.00131929;0.19577
0.058882;0.012913;0.000427798;0.195706
0.059381;0.0139385;-2.9916e-05;0.195706
0.05988;0.0139385;-0.00098723;0.195706
0.060379;0.0149521;-0.0014928;0.195706
0.060878;0.0159297;-0.00197146;0.195946
0.061377;0.0159497;-0.00250396;0.195722
0.061876;0.0171148;-0.00266851;0.195722
0.062375;0.0179208;-0.0028121;0.195906
0.062874;0.0179208;-0.0029527;0.195722
0.063373;0.0189224;-0.00301851;0.195706
0.063872;0.0198921;-0.00298561;0.195762
0.064371;0.019912;-0.00291381;0.195762
0.06487;0.01992;-0.00192359;0.195706
