t;vds;corrente;vg
0.000499;0.0438943;-0.00113672;-0.202178
0.000998;0.0446644;-0.00217489;-0.203693
0.001497;0.0457897;-0.00290184;-0.203693
0.001996;0.0457977;-0.00302749;-0.203693
0.002495;0.0465159;-0.00305741;-0.203629
0.002994;0.0477888;-0.00335656;-0.203653
0.003493;0.0477888;-0.00319801;-0.203605
0.003992;0.0478128;-0.0031292;-0.203693
0.004491;0.0490896;-0.00332665;-0.203693
0.00499;0.0497799;-0.00315912;-0.203693
0.005489;0.0497799;-0.00257277;-0.203693
0.005988;0.0505266;-0.00169025;-0.203693
0.006487;0.0517598;-0.00125348;-0.203693
0.006986;0.0517917;-0.00100817;-0.203677
0.007485;0.0527134;-0.000152572;-0.203693
0.007984;0.0537469;8.07732e-05;-0.203693
0.008483;0.0537629;0.00107698;-0.203693
0.008982;0.0544572;0.00166931;-0.203693
0.009481;0.0557022;0.00258473;-0.203693
0.00998;0.0557541;0.00303647;-0.203693
0.010479;0.0559057;0.00317707;-0.203693
0.010978;0.0576175;0.00308134;-0.203693
0.011477;0.0577452;0.00352111;-0.203693
0.011976;0.0580285;0.00427201;-0.203693
0.012475;0.0593774;0.00429594;-0.203693
0.012974;0.0597366;0.00429594;-0.203693
0.013473;0.0597485;0.00386813;-0.203693
0.013972;0.0608738;0.00304245;-0.203693
0.014471;0.0617277;0.002492;-0.203693
0.01497;0.0617277;0.00228857;-0.203693
0.015469;0.0624898;0.00171717;-0.203693
0.015968;0.0637189;0.000308135;-0.203677
0.016467;0.0637189;-0.000161546;-0.203621
0.016966;0.0638066;-0.00105604;-0.203661
0.017465;0.0651912;-0.00199839;-0.203421
0.017964;0.06571;-0.00253687;-0.203589
0.018463;0.06571;-0.00301851;-0.203693
0.018962;0.066516;-0.00315314;-0.203629
0.019461;0.0676851;-0.00303048;-0.203693
0.01996;0.0677011;-0.00312023;-0.203693
0.020459;0.0678607;-0.00344931;-0.203693
0.020958;0.0695326;-0.00322194;-0.203693
0.021457;0.0696922;-0.00297364;-0.203693
0.021956;0.0699556;-0.00288988;-0.203693
0.022455;0.0714918;-0.00231251;-0.203693
0.022954;0.0716834;-0.00142998;-0.203693
0.023453;0.0716834;-0.00143298;-0.203693
0.023952;0.0717672;-0.000520538;-0.203693
0.024451;0.0731917;4.18824e-05;-0.203693
0.02495;0.0736745;0.000936372;-0.203693
0.025449;0.0736745;0.00140605;-0.203693
0.025948;0.0744167;0.00204027;-0.203693
0.026447;0.0756658;0.00287492;-0.203693
0.026946;0.0756658;0.0030933;-0.203693
0.027445;0.076376;0.0031292;-0.203677
0.027944;0.0776569;0.00344631;-0.203693
0.028443;0.0776569;0.00403267;-0.203693
0.028942;0.0782434;0.00422115;-0.203693
0.029441;0.0795922;0.00417926;-0.203693
0.02994;0.079648;0.00399078;-0.203693
0.030439;0.080486;0.00318006;-0.203693
0.030938;0.0816391;0.00288689;-0.203693
0.031437;0.0816391;0.00206121;-0.203693
0.031936;0.0823733;0.00154067;-0.203693
0.032435;0.0835784;0.00102612;-0.203693
0.032934;0.0836302;0.000290185;-0.203693
0.033433;0.083734;-0.000490621;-0.203693
0.033932;0.085179;-0.00159153;-0.203693
0.034431;0.085622;-0.00236037;-0.203693
0.03493;0.085634;-0.00292877;-0.203693
0.035429;0.0869228;-0.0030245;-0.203693
0.035928;0.0875932;-0.00312621;-0.203693
0.036427;0.0876371;-0.0030604;-0.203693
0.036926;0.0889618;-0.00349418;-0.203693
