t;vds;corrente;vg
0.000499;-0.0525259;0.00251602;-0.00520012
0.000998;-0.0517717;0.00282107;-0.00388993
0.001497;-0.0516799;0.00298561;-0.00348173
0.001996;-0.0502468;0.00309929;-0.00376186
0.002495;-0.0497799;0.00337152;-0.00388993
0.002994;-0.0497799;0.00407455;-0.00392194
0.003493;-0.0487983;0.00435876;-0.00373785
0.003992;-0.0477888;0.00433782;-0.0036258
0.004491;-0.0477729;0.00364076;-0.00352975
0.00499;-0.0462765;0.00317707;-0.00332965
0.005489;-0.0457977;0.00277919;-0.00276137
0.005988;-0.0456979;0.00257576;-0.00195297
0.006487;-0.0445009;0.0019236;-0.00152876
0.006986;-0.0438225;0.00100219;-0.00238518
0.007485;-0.0438066;2.39328e-05;-0.0026253
0.007984;-0.0432558;-0.0007479;-0.00171285
0.008483;-0.0418949;-0.00145391;-0.00164882
0.008982;-0.0418151;-0.00245909;-0.0018009
0.009481;-0.0414959;-0.00294373;-0.00192896
0.00998;-0.0399158;-0.00312621;-0.00278538
0.010479;-0.039824;-0.00307835;-0.0026253
0.010978;-0.0396125;-0.00307835;-0.00290544
0.011477;-0.0382559;-0.00313818;-0.00268133
0.011976;-0.0378329;-0.0032369;-0.00344171
0.012475;-0.0378329;-0.00336554;-0.00290544
0.012974;-0.0375137;-0.00300356;-0.00324961
0.013473;-0.0359055;-0.00248004;-0.00355376
0.013972;-0.0358417;-0.00178299;-0.00391394
0.014471;-0.0357858;-0.00126844;-0.00358578
0.01497;-0.0347643;-0.00093338;-0.00384991
0.015469;-0.0338505;-0.000326084;-0.00399398
0.015968;-0.0338106;0.000424807;-0.00389793
0.016467;-0.0331243;0.00143896;-0.00389793
0.016966;-0.0318914;0.00189069;-0.00365781
0.017465;-0.0318594;0.00275525;-0.00384991
0.017964;-0.0315801;0.00297962;-0.00388192
0.018463;-0.029984;0.00298561;-0.00326562
0.018962;-0.0298683;0.00332665;-0.00340169
0.019461;-0.029561;0.00384121;-0.00238518
0.01996;-0.0282721;0.00428098;-0.00341769
0.020459;-0.027877;0.00421217;-0.00376987
0.020958;-0.027877;0.00425705;-0.0032336
0.021457;-0.0268356;0.00337751;-0.00347372
0.021956;-0.0259218;0.00297365;-0.0038419
0.022455;-0.0258859;0.00239328;-0.00308953
0.022954;-0.025826;0.00220182;-0.00296947
0.023453;-0.0243174;0.001424;-0.00329763
0.023952;-0.0238944;0.00041284;-0.00340169
0.024451;-0.0236111;-0.000221379;-0.00272935
0.02495;-0.0221666;-0.00125348;-0.00331364
0.025449;-0.0219033;-0.00196249;-0.00318558
0.025948;-0.0215721;-0.00267449;-0.00360178
0.026447;-0.0200477;-0.00298561;-0.0032176
0.026946;-0.019912;-0.0030215;-0.0036258
0.027445;-0.0197963;-0.00312621;-0.0036418
0.027944;-0.0183718;-0.00303048;-0.00331364
0.028443;-0.0179208;-0.00332665;-0.00284141
0.028942;-0.0179169;-0.00331169;-0.00368182
0.029441;-0.0169393;-0.0032728;-0.00311354
0.02994;-0.0159297;-0.00269843;-0.00308153
0.030439;-0.0159297;-0.00202531;-0.00399398
0.030938;-0.0154948;-0.00169324;-0.00348173
0.031437;-0.0140542;-0.0011039;-0.00299348
0.031936;-0.0139385;-0.000424807;-0.00275337
0.032435;-0.0139385;-9.57312e-05;-0.00348173
0.032934;-0.0130885;0.00101715;-0.00380188
0.033433;-0.0121148;0.00140306;-0.00384991
0.033932;-0.0119472;0.00235139;-0.00367382
0.034431;-0.0111052;0.00303646;-0.00372985
0.03493;-0.009956;0.00296766;-0.00392194
0.035429;-0.009956;0.00299159;-0.00395396
0.035928;-0.00934151;0.00362282;-0.00379388
0.036427;-0.00800077;0.00429294;-0.00397797
0.036926;-0.00796486;0.00448442;-0.00395396
0.037425;-0.00792894;0.00425106;-0.0038339
0.037924;-0.00650831;0.00376641;-0.00392995
0.038423;-0.0059736;0.00314117;-0.00381789
0.038922;-0.00596961;0.00253089;-0.00389793
0.039421;-0.00460094;0.00250098;-0.00399398
0.03992;-0.00398243;0.00198642;-0.00381789
0.040419;-0.00398243;0.000709009;-0.00394595
0.040918;-0.00272944;-5.9832e-05;-0.00379388
0.041417;-0.00201516;-0.00108296;-0.00388192
0.041916;-0.00199121;-0.00162743;-0.00396196
0.042415;-0.00132881;-0.00256679;-0.00399398
0.042914;-5.58656e-05;-0.00287492;-0.00399398
0.043413;0;-0.00295868;-0.00392995
0.043912;0.000283318;-0.0030215;-0.00393795
0.044411;0.00165602;-0.0031292;-0.00372184
0.04491;0.00199121;-0.00319502;-0.00399398
0.045409;0.00199121;-0.00335955;-0.00386592
0.045908;0.0023703;-0.00312023;-0.00361779
0.046407;0.00375897;-0.00282107;-0.00367382
0.046906;0.00398243;-0.00239028;-0.0034337
0.047405;0.00438546;-0.00165734;-0.00381789
0.047904;0.00582596;-0.000993213;-0.00398597
0.048403;0.0059736;-0.00080175;-0.00388993
0.048902;0.00598557;7.479e-05;-0.00349773
0.049401;0.00745807;0.000481647;-0.00381789
0.0499;0.00796486;0.00141203;-0.00372985
0.050399;0.00796486;0.00191761;-0.00320959
0.050898;0.00798481;0.00274628;-0.00390593
0.051397;0.0090502;0.00297962;-0.00399398
0.051896;0.00995201;0.00311724;-0.00399398
0.052395;0.009956;0.0033805;-0.00399398
0.052894;0.0100598;0.00394292;-0.00392194
0.053393;0.011632;0.00446347;-0.00396196
0.053892;0.0119472;0.004275;-0.00393795
0.054391;0.0123144;0.00403267;-0.00381789
0.05489;0.0137629;0.00339246;-0.00358578
0.055389;0.0139385;0.00295869;-0.0034257
0.055888;0.014142;0.00244115;-0.00371384
0.056387;0.0157861;0.00192359;-0.00398597
0.056886;0.0159297;0.00171418;-0.00389793
0.057385;0.0161292;0.000391899;-0.00399398
0.057884;0.0176136;-0.000484638;-0.00349773
0.058383;0.0179208;-0.00128339;-0.00381789
0.058882;0.0181044;-0.00211506;-0.00360979
0.059381;0.0197324;-0.00283005;-0.00378588
0.05988;0.019912;-0.00300954;-0.00361779
0.060379;0.019912;-0.0030604;-0.00384991
0.060878;0.0204467;-0.00321596;-0.0038339
0.061377;0.0217636;-0.00337751;-0.00375386
0.061876;0.0219033;-0.0033775;-0.00384991
0.062375;0.0220629;-0.00326682;-0.00374586
0.062874;0.0232639;-0.002848;-0.00292145
0.063373;0.0238944;-0.00245012;-0.00276137
0.063872;0.0239543;-0.00167828;-0.00299348
0.064371;0.0246847;-0.00165136;-0.00356176
0.06487;0.0258859;-0.000891498;-0.00336167
0.065369;0.0258859;-0.000341042;-0.00294546
0.065868;0.0258899;0.00029916;-0.0032256
0.066367;0.0270271;0.00120561;-0.00334566
0.066866;0.027877;0.00166632;-0.00314556
0.067365;0.0279369;0.00259072;-0.00279339
0.067864;0.0288946;0.00290184;-0.00267333
0.068363;0.0298244;0.00312023;-0.0036258
0.068862;0.0298683;0.00328775;-0.00215307
0.069361;0.0301157;0.00378736;-0.00327362
0.06986;0.0315601;0.00403566;-0.00349773
0.070359;0.0318594;0.00442458;-0.00372184
0.070858;0.0319831;0.00454124;-0.00230514
0.071357;0.0337229;0.00403866;-0.0028174
0.071856;0.0338505;0.00306937;-0.00353775
0.072355;0.0338705;0.00250098;-0.00299348
0.072854;0.0353309;0.00226763;-0.00344171
0.073353;0.0358417;0.00143596;-0.00358578
0.073852;0.0358417;0.000709009;-0.00319358
0.074351;0.0361928;-0.000104706;-0.00317758
0.07485;0.0376214;-0.00108894;-0.00335366
0.075349;0.0378329;-0.00202531;-0.00352975
0.075848;0.0379127;-0.00268944;-0.00249724
0.076347;0.039022;-0.00292578;-0.00360178
0.076846;0.039824;-0.00304245;-0.00399398
0.077345;0.0398958;-0.00306937;-0.00397797
0.077844;0.0410809;-0.00311724;-0.00399398
0.078343;0.0417792;-0.00350913;-0.00349773
0.078842;0.0418431;-0.00324887;-0.00398597
0.079341;0.0430523;-0.003204;-0.00392995
0.07984;0.0438066;-0.00278218;-0.00386592
0.080339;0.0438066;-0.00199838;-0.00354576
0.080838;0.0440779;-0.00152272;-0.00392194
0.081337;0.0455543;-0.000984238;-0.00340969
0.081836;0.0457977;-0.000798758;-0.0032256
0.082335;0.0460051;0.000215395;-0.00344971
0.082834;0.0476252;0.000954322;-0.00375386
0.083333;0.0477888;0.00159751;-0.00373785
0.083832;0.0477928;0.00238131;-0.00396997
0.084331;0.0489859;0.00273731;-0.0038259
