t;vds;corrente;vg
0.000499;-0.0893848;-0.000975177;0.191603
0.000998;-0.0879044;-0.00195052;0.195706
0.001497;-0.0876131;-0.00274329;0.195706
0.001996;-0.0869587;-0.00298561;0.19573
0.002495;-0.0856579;-0.00302151;0.19573
0.002994;-0.085622;-0.00308134;0.195746
0.003493;-0.0848197;-0.00316211;0.195706
0.003992;-0.0836901;-0.00352709;0.195706
0.004491;-0.0836302;-0.00343135;0.195706
0.00499;-0.083323;-0.00312621;0.195706
0.005489;-0.0820262;-0.00257576;0.195706
0.005988;-0.0816391;-0.00227661;0.195706
0.006487;-0.0816112;-0.00178599;0.19573
0.006986;-0.0802506;-0.00125647;0.195778
0.007485;-0.079648;-0.000505579;0.195746
0.007984;-0.079648;-6.58152e-05;0.195818
0.008483;-0.0791612;0.00107997;0.195714
0.008982;-0.0777606;0.00142699;0.195818
0.009481;-0.0776569;0.002136;0.195706
0.00998;-0.0776569;0.00281509;0.19597
0.010479;-0.076388;0.00299757;0.195802
0.010978;-0.0756658;0.003201;0.195706
0.011477;-0.0756658;0.00357196;0.195826
0.011976;-0.0743928;0.00404463;0.195706
0.012475;-0.0736745;0.00426602;0.195722
0.012974;-0.0736745;0.00431688;0.19573
0.013473;-0.0728325;0.00399079;0.195706
0.013972;-0.0717233;0.00323391;0.19577
0.014471;-0.0716834;0.00265355;0.195706
0.01497;-0.0716674;0.00213599;0.195714
0.015469;-0.0700035;0.00184881;0.195794
0.015968;-0.0696922;0.00101415;0.195706
0.016467;-0.0695406;2.39328e-05;0.195706
0.016966;-0.0682597;-0.000762858;0.196018
0.017465;-0.0677011;-0.00169324;0.195706
0.017964;-0.0677011;-0.00266551;0.195706
0.018463;-0.067326;-0.00288689;0.195706
0.018962;-0.0659135;-0.0030245;0.195906
0.019461;-0.06571;-0.00295868;0.195794
0.01996;-0.0654985;-0.00317408;0.195706
0.020459;-0.0637189;-0.00340144;0.195706
0.020958;-0.0637189;-0.00351212;0.196171
0.021457;-0.0637109;-0.00330571;0.19573
0.021956;-0.0627692;-0.00315314;0.19573
0.022455;-0.0617277;-0.00271637;0.195706
0.022954;-0.0617277;-0.00184282;0.195746
0.023453;-0.0613446;-0.00161546;0.195714
0.023952;-0.0598603;-0.00102911;0.195754
0.024451;-0.0597366;-0.000508572;0.195882
0.02495;-0.0592498;0.00048763;0.196411
0.025449;-0.0578849;0.00140904;0.195978
0.025948;-0.0577452;0.00179496;0.19601
0.026447;-0.0572145;0.00251593;0.195954
0.026946;-0.055766;0.00299757;0.196091
0.027445;-0.0557541;0.00319801;0.196082
0.027944;-0.0557541;0.0035929;0.195994
0.028443;-0.0555266;0.00405062;0.195962
