t;vds;corrente;vg
0.02495;0.201515;-0.00225596;0.570033
0.0499;0.201112;-0.000886335;0.575493
0.07485;0.201112;-0.00288259;0.570305
0.0998;0.201112;-0.00174073;0.566896
0.12475;0.201112;-0.00274685;0.560065
0.1497;0.201112;-0.00117379;0.555693
0.17465;0.201112;-0.00220386;0.550632
0.1996;0.201112;-0.00107797;0.543431
0.22455;0.201112;-0.00293848;0.540084
0.2495;0.201112;-0.0018605;0.535137
0.27445;0.201112;-0.00260312;0.52845
0.2994;0.201112;-0.00110991;0.524606
0.32435;0.201112;-0.00200423;0.518955
0.3493;0.201112;-0.000582905;0.513436
0.37425;0.201112;-0.00246737;0.510554
0.3992;0.201112;-0.000774545;0.503796
0.42415;0.201112;-0.00329781;0.500837
0.4491;0.201112;-0.00150916;0.494772
0.47405;0.201112;-0.00249132;0.487966
0.499;0.201112;-0.00158103;0.483263
0.52395;0.201104;-0.00237953;0.479198
0.5489;0.201112;-0.00162095;0.473272
0.57385;0.201112;-0.00278677;0.469928
0.5988;0.201112;-0.00089432;0.463751
0.62375;0.201112;-0.00301834;0.456513
0.6487;0.201112;-0.00153312;0.453249
0.67365;0.201112;-0.00284267;0.447328
0.6986;0.201108;-0.000343355;0.444188
0.72355;0.201112;-0.00227573;0.439305
0.7485;0.201112;-0.0009582;0.43241
0.77345;0.201112;-0.00212401;0.427973
0.7984;0.201112;-0.00118178;0.423331
0.82335;0.201112;-0.0025073;0.418052
0.8483;0.201112;-0.000630815;0.414994
0.87325;0.201112;-0.00240349;0.408077
0.8982;0.201112;-0.00156506;0.405677
0.92315;0.201112;-0.00224379;0.399372
0.9481;0.201112;-0.00110193;0.394407
0.97305;0.201112;-0.00289856;0.391206
0.998;0.201112;-0.000343355;0.383941
1.02295;0.201112;-0.00226774;0.378785
1.0479;0.201112;-0.000359325;0.374526
1.07285;0.201112;-0.00252326;0.36745
1.0978;0.201112;-0.00139737;0.364491
1.12275;0.201112;-0.0022917;0.359433
1.1477;0.201112;-0.00167685;0.354309
1.17265;0.201112;-0.00288259;0.350836
1.1976;0.201112;-0.00142931;0.343731
1.22255;0.201112;-0.00230767;0.337246
1.2475;0.201112;-0.00057492;0.335469
1.27245;0.201112;-0.00291453;0.329821
1.2974;0.201112;-0.000550965;0.327324
1.32235;0.201112;-0.00201222;0.319719
1.3473;0.201112;-0.00078253;0.315479
1.37225;0.201112;-0.00315408;0.311221
1.3972;0.201112;-0.0017567;0.304145
1.42215;0.201112;-0.00211603;0.301793
1.4471;0.201112;-0.000726635;0.295711
1.47205;0.201112;-0.00211603;0.290748
1.497;0.201112;-0.00059089;0.287435
1.52195;0.201112;-0.00210006;0.280969
1.5469;0.201112;-0.00106999;0.276246
1.57185;0.201112;-0.00224379;0.271572
1.5968;0.201112;-0.0012217;0.26549
1.62175;0.201112;-0.00203617;0.262752
1.6467;0.201112;-0.00097417;0.255629
1.67165;0.201112;-0.00237155;0.253132
1.6966;0.201112;-0.00113387;0.247642
1.72155;0.201112;-0.0026111;0.24356
1.7465;0.201112;-0.00121372;0.238246
1.77145;0.201112;-0.00193237;0.231636
1.7964;0.201112;-0.00068671;0.228098
1.82135;0.201112;-0.00237155;0.223648
1.8463;0.201112;-0.000966185;0.217998
1.87125;0.201112;-0.0022917;0.214172
1.8962;0.201112;-0.00130155;0.207673
1.92115;0.201112;-0.00205214;0.202759
1.9461;0.201112;-0.000726635;0.197765
1.97105;0.201112;-0.00258714;0.191699
1.996;0.201112;-0.00110991;0.188079
2.02095;0.201112;-0.00235558;0.183709
2.0459;0.201112;-0.000694695;0.177306
2.07085;0.201112;-0.0020202;0.173321
2.0958;0.201112;-0.00114984;0.167735
2.12075;0.201112;-0.00217991;0.165062
2.1457;0.201112;-0.00078253;0.159747
2.17065;0.201112;-0.00182058;0.153457
2.1956;0.201112;-0.00076656;0.150208
2.22055;0.201112;-0.00186849;0.143869
