t;vds;corrente;vg
0.0002495;-0.00212524;-0.00411227;-0.0114228
0.000499;-0.00206494;-0.0163385;-0.00879221
0.0007485;-0.00187614;-0.0132958;-0.00937834
0.000998;-0.00193051;-0.00406643;-0.00934053
0.0012475;-0.00213315;0.0136357;-0.00943507
0.001497;-0.00206197;0.0164154;-0.00943507
0.0017465;-0.00214402;0.0081895;-0.00918927
0.001996;-0.0019829;0.00193004;-0.00911364
0.0022455;-0.00195028;-0.00184911;-0.00928381
0.002495;-0.00192359;-0.00913226;-0.00934053
0.0027445;-0.00190876;-0.000922534;-0.00943507
0.002994;-0.00197894;0.00753401;-0.00932162
0.0032435;-0.00178817;0.0154362;-0.00935944
0.003493;-0.00194435;0.0147645;-0.00930271
0.0037425;-0.00182968;0.00575774;-0.0092649
0.003992;-0.00179212;-0.00426065;-0.0087544
0.0042415;-0.00192556;-0.00621901;-0.00920818
0.004491;-0.00184649;0.00293754;-0.00856532
0.0047405;-0.00201156;0.00884903;-0.00828171
0.00499;-0.0019651;0.0112889;-0.00735522
0.0052395;-0.00183957;0.00793459;-0.00873549
0.005489;-0.00188306;-0.00404216;-0.00799809
0.0057385;-0.00183067;-0.0100346;-0.00695815
0.005988;-0.00172985;-0.00690281;-0.00773338
0.0062375;-0.0016567;0.00432539;-0.00726068
0.006487;-0.00174368;0.0167755;-0.00676907
0.0067365;-0.00159838;0.0206963;-0.00743085
0.006986;-0.00163297;0.0110137;-0.00748758
0.0072355;-0.00156279;-0.000797101;-0.00864095
0.007485;-0.00161024;-0.0177709;-0.00780901
0.0077345;-0.00168833;-0.00728315;-0.00648545
0.007984;-0.00166164;0.00627161;-0.00714723
0.0082335;-0.00139475;0.0142305;-0.00784683
0.008483;-0.00143725;0.0190414;-0.00803591
0.0087325;-0.00136806;0.0199396;-0.00714723
0.008982;-0.00153116;0.0112322;-0.00727959
0.0092315;-0.00161419;0.00323696;-0.00765775
0.009481;-0.00163199;-0.00110866;-0.00627746
0.0097305;-0.00160134;-0.00532884;-0.00748758
0.00998;-0.00168437;0.00300228;-0.00839515
