t;vds;corrente;vg
0.0002495;-0.00184649;0.0197379;-0.0105029
0.000499;-0.0017941;0.00713345;-0.00934053
0.0007485;-0.00183166;-0.00199073;-0.00924599
0.000998;-0.00176543;-0.0124056;-0.00922708
0.0012475;-0.00179212;-0.00784152;-0.00932162
0.001497;-0.00186527;0.000655484;-0.00858423
0.0017465;-0.00188207;0.0100507;-0.00890566
0.001996;-0.00180793;0.0144935;-0.00843297
0.0022455;-0.00175653;0.0177021;-0.00839515
0.002495;-0.0018198;0.0104189;-0.00818717
0.0027445;-0.00211239;0.00237512;-0.00775229
0.002994;-0.00199871;-0.0069635;-0.00748758
0.0032435;-0.00206494;-0.00374273;-0.00709051
0.003493;-0.00200168;0.00185316;-0.00705269
0.0037425;-0.0018712;0.00825019;-0.0073174
0.003992;-0.00201947;0.00964613;-0.00567241
0.0042415;-0.00206395;-0.00534098;-0.00525643
0.004491;-0.00204418;-0.0106536;-0.00554005
0.0047405;-0.00201552;-0.0173056;-0.00559677
0.00499;-0.00182276;-0.00696755;-0.00595603
0.0052395;-0.00200761;0.00163871;-0.00601275
0.005489;-0.00186922;0.0122883;-0.00710942
0.0057385;-0.00203034;0.00943167;-0.00693924
0.005988;-0.00215786;-0.00118958;-0.00665562
0.0062375;-0.00204814;-0.00719818;-0.00631528
0.006487;-0.00195917;-0.00767564;-0.00752539
0.0067365;-0.00183561;-0.00336644;-0.00831952
0.006986;-0.00173281;0.0134374;-0.00822498
0.0072355;-0.00171502;0.0181108;-0.00797919
0.007485;-0.0017684;0.0101478;-0.00915145
0.0077345;-0.00189789;0.00110461;-0.00865986
0.007984;-0.00204715;-0.0083473;-0.00917036
0.0082335;-0.00148865;-0.00605716;-0.00917036
0.008483;-0.00170019;0.00890972;-0.00905692
0.0087325;-0.00172589;0.017783;-0.00898129
0.008982;-0.00177433;0.00955711;-0.00909473
0.0092315;-0.00184253;0.00617045;-0.00928381
0.009481;-0.00179212;-0.0122357;-0.00862204
0.0097305;-0.00162605;-0.0108317;-0.00828171
0.00998;-0.00157169;-0.0105565;-0.00928381
0.0102295;-0.00156971;0.00135952;-0.0087733
0.010479;-0.00154401;0.0115923;-0.00890566
0.0107285;-0.00155983;0.0160148;-0.00917036
0.010978;-0.00159739;0.00827447;-0.00924599
0.0112275;-0.00151633;-0.00474619;-0.00909473
0.011477;-0.00164483;-0.0052115;-0.00941616
0.0117265;-0.00148569;0.000760686;-0.00941616
0.011976;-0.00173281;-0.00119768;-0.00934053
0.0122255;-0.00177136;0.010249;-0.00943507
0.012475;-0.00168635;0.00757852;-0.00943507
0.0127245;-0.00180695;0.00486353;-0.00918927
0.012974;-0.00188306;0.00135952;-0.00935944
0.0132235;-0.00167745;-0.0015942;-0.00928381
0.013473;-0.00154302;0.00485949;-0.00922708
0.0137225;-0.00168042;0.00674096;-0.00896238
0.013972;-0.00164385;0.0138582;-0.0092649
0.0142215;-0.00177729;0.00391268;-0.00930271
0.014471;-0.00178817;-0.00235084;-0.00943507
0.0147205;-0.00163989;-0.0123894;-0.0092649
0.01497;-0.00158948;-0.0077687;-0.00920818
0.0152195;-0.00146493;-0.00414331;-0.00879221
0.015469;-0.00148668;0.0121709;-0.00920818
0.0157185;-0.00155291;0.0178194;-0.00871658
0.015968;-0.00149261;0.0143721;-0.0092649
0.0162175;-0.00168932;0.000861841;-0.00890566
0.016467;-0.00182474;-0.00700801;-0.0085086
0.0167165;-0.00188603;-0.0146674;-0.00924599
0.016966;-0.0018623;0.00524387;-0.00881112
0.0172155;-0.00183364;0.00462885;-0.00841406
0.017465;-0.00178718;0.0111311;-0.00896238
0.0177145;-0.00178817;0.0140889;-0.00922708
0.017964;-0.00192359;0.0115438;-0.00886784
0.0182135;-0.00198191;-0.00107629;-0.00860314
0.018463;-0.00207087;-0.00669241;-0.00841406
0.0187125;-0.00209064;-0.00763921;-0.0090191
