t;vds;corrente;vg
0.00998;0.0185567;0.22127;0.0105825
0.01996;0.0187857;0.224059;0.0367997
0.02994;0.0184921;0.214205;0.0551756
0.03992;0.0187633;0.210974;0.0740315
0.0499;0.0186229;0.209323;0.0943126
0.05988;0.0187897;0.210164;0.112944
0.06986;0.0186892;0.203236;0.134505
0.07984;0.0188288;0.201032;0.153441
0.08982;0.0189891;0.1995;0.171272
0.0998;0.0188184;0.193492;0.191106
0.10978;0.0191495;0.190754;0.212267
0.11976;0.0188575;0.178668;0.232099
0.12974;0.0189165;0.179429;0.252684
0.13972;0.0190386;0.173687;0.270836
0.1497;0.0190641;0.169052;0.289676
0.15968;0.0191104;0.166087;0.310051
0.16966;0.0191455;0.157479;0.329035
0.17964;0.0192268;0.152657;0.348596
0.18962;0.0192723;0.152242;0.367516
0.1996;0.019392;0.14988;0.389126
0.20958;0.0194087;0.147241;0.408351
0.21956;0.0193776;0.147557;0.428103
0.22954;0.0193983;0.141983;0.447342
0.23952;0.0194255;0.151204;0.467414
0.2495;0.0193705;0.153961;0.488256
0.25948;0.0192699;0.153971;0.507977
0.26946;0.0192308;0.147221;0.527487
0.27944;0.0191694;0.154455;0.549128
0.28942;0.0193976;0.152627;0.568402
0.2994;0.0192468;0.159594;0.589212
0.30938;0.0191168;0.160958;0.608947
0.31936;0.0194694;0.162944;0.627336
0.32934;0.0192205;0.165642;0.648819
0.33932;0.0192947;0.161521;0.668253
0.3493;0.0190186;0.165998;0.685954
0.35928;0.0190521;0.172076;0.707117
0.36926;0.0191686;0.170238;0.727102
0.37924;0.0191615;0.175792;0.746078
0.38922;0.0191798;0.175999;0.765416
0.3992;0.019053;0.173796;0.782731
0.40918;0.0191479;0.18019;0.772526
0.41916;0.0190202;0.174408;0.753426
0.42914;0.019025;0.179498;0.733829
0.43912;0.0190785;0.171345;0.714221
0.4491;0.0189836;0.168558;0.694726
0.45908;0.0191878;0.174171;0.674668
0.46906;0.0193529;0.168785;0.656138
0.47904;0.0189381;0.156254;0.635181
0.48902;0.019439;0.155631;0.616338
0.499;0.0192779;0.16083;0.596447
0.50898;0.0194734;0.146065;0.576742
0.51896;0.0194638;0.152627;0.557934
0.52894;0.0191822;0.147607;0.536531
0.53892;0.0194454;0.142112;0.51518
0.5489;0.0196058;0.144355;0.496179
0.55888;0.0191805;0.144118;0.475882
0.56886;0.0195882;0.140659;0.454675
0.57884;0.0194909;0.146747;0.434698
0.58882;0.0194423;0.140965;0.416097
0.5988;0.0194853;0.146193;0.397001
0.60878;0.0193457;0.154505;0.374781
0.61876;0.0191886;0.153042;0.35607
0.62874;0.0193274;0.15999;0.336623
0.63872;0.0191168;0.171177;0.317639
0.6487;0.0190569;0.166729;0.29715
0.65868;0.019116;0.173341;0.278343
0.66866;0.0191487;0.181425;0.257438
0.67864;0.0190521;0.188204;0.239527
0.68862;0.0190002;0.185882;0.219294
0.6986;0.0188575;0.191031;0.198373
0.70858;0.018974;0.198225;0.178747
0.71856;0.0187793;0.19614;0.160948
0.72854;0.0188934;0.20375;0.141436
0.73852;0.0187115;0.21042;0.12018
0.7485;0.0187314;0.212259;0.101644
0.75848;0.0187059;0.20877;0.0812663
0.76846;0.0188543;0.208405;0.0630191
0.77844;0.0185328;0.216034;0.04285
0.78842;0.018595;0.220511;0.0242023
0.7984;0.0186596;0.218119;0.00342545
0.80838;0.0185216;0.222349;-0.0156386
0.81836;0.0185488;0.223584;-0.0348789
0.82834;0.0185113;0.225985;-0.0572245
0.83832;0.0184937;0.232686;-0.0773288
0.8483;0.0186222;0.228871;-0.0959133
0.85828;0.0185775;0.235087;-0.114913
0.86826;0.018477;0.233585;-0.135898
0.87824;0.01839;0.234307;-0.155282
0.88822;0.0185336;0.239465;-0.175578
0.8982;0.018256;0.229464;-0.193523
0.90818;0.0184227;0.237736;-0.184797
