t;vds;corrente;vg
0.000499;-0.0959964;0.0100025;-0.197285
0.000998;-0.0956724;0.00996385;-0.19907
0.001497;-0.0958084;0.010537;-0.199389
0.001996;-0.0957844;0.0109563;-0.199557
0.002495;-0.0958004;0.0120422;-0.199126
0.002994;-0.0957644;0.0122594;-0.199557
0.003493;-0.0958004;0.0135264;-0.199844
0.003992;-0.0957964;0.0135475;-0.199389
0.004491;-0.0957564;0.0143137;-0.199564
0.00499;-0.0958044;0.0150528;-0.199652
0.005489;-0.0958084;0.0153876;-0.199525
0.005988;-0.0958084;0.016555;-0.199653
0.006487;-0.0958004;0.0165761;-0.200051
0.006986;-0.0957324;0.0177256;-0.199596
0.007485;-0.0958044;0.0180635;-0.199908
0.007984;-0.0957684;0.0185431;-0.199636
0.008483;-0.0958084;0.0195505;-0.200299
0.008982;-0.0957404;0.0196622;-0.199229
0.009481;-0.0958084;0.0208598;-0.199421
0.00998;-0.0958084;0.021074;-0.19911
0.010479;-0.0956964;0.0214632;-0.199357
0.010978;-0.0957964;0.0224889;-0.199525
0.011477;-0.0957884;0.0226397;-0.199963
0.011976;-0.0957924;0.023632;-0.199214
0.012475;-0.0957764;0.0240845;-0.199086
0.012974;-0.0957244;0.0243591;-0.198982
0.013473;-0.0957364;0.0255386;-0.19895
0.013972;-0.0958084;0.0255899;-0.199222
0.014471;-0.0957404;0.025988;-0.199078
0.01497;-0.0957604;0.027095;-0.199038
0.015469;-0.0957404;0.0271885;-0.199134
0.015968;-0.0957164;0.028501;-0.199078
0.016467;-0.0957404;0.0286096;-0.19927
0.016966;-0.0957524;0.029466;-0.199509
0.017465;-0.0957924;0.0301055;-0.199333
0.017964;-0.0957644;0.0304103;-0.199078
0.018463;-0.0957964;0.0315959;-0.198974
0.018962;-0.0958084;0.031611;-0.19919
0.019461;-0.0957324;0.032555;-0.199118
0.01996;-0.0958084;0.033116;-0.19903
0.020459;-0.0957764;0.0335807;-0.19919
0.020958;-0.0957844;0.0346215;-0.198998
0.021457;-0.0956724;0.0346607;-0.198966
0.021956;-0.0956925;0.0357982;-0.199014
0.022455;-0.0957964;0.036127;-0.19895
0.022954;-0.0957684;0.0362687;-0.19899
0.023453;-0.0957164;0.037611;-0.19895
0.023952;-0.0956804;0.0377557;-0.198998
0.024451;-0.0957884;0.0388326;-0.19899
0.02495;-0.0957324;0.0391373;-0.199365
0.025449;-0.0957764;0.0395295;-0.19895
0.025948;-0.0957884;0.0406425;-0.199142
0.026447;-0.0957044;0.0406666;-0.19895
0.026946;-0.0956685;0.041955;-0.199102
0.027445;-0.0956725;0.042148;-0.199245
0.027944;-0.0956724;0.0428087;-0.198974
0.028443;-0.0958004;0.0436532;-0.19899
0.028942;-0.0957924;0.0437045;-0.199214
0.029441;-0.0957404;0.0447757;-0.199995
0.02994;-0.0957484;0.0451588;-0.199971
0.030439;-0.0957524;0.0454693;-0.200362
0.030938;-0.0957924;0.0466155;-0.200402
0.031437;-0.0958084;0.0466637;-0.199876
0.031936;-0.0957924;0.0476622;-0.19907
0.032435;-0.0957204;0.048169;-0.199285
0.032934;-0.0957684;0.0483681;-0.199772
0.033433;-0.0957444;0.0495448;-0.199509
0.033932;-0.0957684;0.0497107;-0.200155
0.034431;-0.0958084;0.0509988;-0.200586
0.03493;-0.0957644;0.0511798;-0.20124
0.035429;-0.0957404;0.0516562;-0.201025
0.035928;-0.0957324;0.0526847;-0.199604
0.036427;-0.0958084;0.0526847;-0.199381
0.036926;-0.0957084;0.0536802;-0.199564
0.037425;-0.0957684;0.0541899;-0.19895
0.037924;-0.0958044;0.0543981;-0.199269
0.038423;-0.0958084;0.0555658;-0.199796
