t;vds;corrente;vg
0.000499;0.00192799;0.0100517;-0.00496442
0.000998;0.00195199;0.01035;-0.00401888
0.001497;0.00190799;0.010537;-0.00425013
0.001996;0.00199599;0.0113665;-0.00405875
0.002495;0.00195999;0.0120241;-0.00397901
0.002994;0.00187999;0.0127843;-0.00401888
0.003493;0.00186399;0.0135475;-0.00401888
0.003992;0.00185999;0.0135686;-0.00413052
0.004491;0.00193199;0.0146636;-0.00419431
0.00499;0.00178399;0.0150558;-0.00417039
0.005489;0.00191599;0.0157586;-0.00409065
0.005988;0.00187999;0.016558;-0.0040428
0.006487;0.00180399;0.016902;-0.00397901
0.006986;0.00192799;0.0180635;-0.00403483
0.007485;0.00190799;0.0180846;-0.00397901
0.007984;0.00187599;0.0190709;-0.00401888
0.008483;0.00189599;0.0195686;-0.00397901
0.008982;0.00187199;0.0196652;-0.00411457
0.009481;0.00187999;0.0208779;-0.00397901
0.00998;0.00179199;0.021074;-0.00397901
0.010479;0.00195999;0.021783;-0.00397901
0.010978;0.00183999;0.0225794;-0.00403483
0.011477;0.00184399;0.02289;-0.00402685
0.011976;0.00181599;0.0238552;-0.00397901
0.012475;0.00185599;0.0240845;-0.00412254
0.012974;0.00191999;0.0247332;-0.00402685
0.013473;0.00196799;0.0255899;-0.0040428
0.013972;0.00191999;0.0255899;-0.00398698
0.014471;0.00192399;0.0263529;-0.00412255
0.01497;0.00176799;0.027095;-0.00424216
0.015469;0.00182799;0.0273273;-0.00397901
0.015968;0.00194399;0.0285432;-0.00421824
0.016467;0.00183599;0.0286035;-0.00417836
0.016966;0.00189199;0.0296712;-0.00441759
0.017465;0.00184399;0.0301055;-0.00397901
0.017964;0.00187599;0.0307875;-0.00420229
0.018463;0.00186799;0.031611;-0.00417039
0.018962;0.00175199;0.0316231;-0.00422621
0.019461;0.00187999;0.0326153;-0.00432988
0.01996;0.00196799;0.033116;-0.00413849
0.020459;0.00195999;0.0336139;-0.00453721
0.020958;0.00192799;0.0346215;-0.00436974
0.021457;0.00169199;0.0347633;-0.00491997
0.021956;0.00191599;0.0359792;-0.00471264
0.022455;0.00191999;0.036127;-0.00460897
0.022954;0.00181199;0.0366186;-0.00471264
0.023453;0.00176399;0.0376321;-0.00470465
0.023952;0.00192399;0.0378221;-0.0043857
0.024451;0.00195999;0.0390347;-0.00418634
0.02495;0.00187599;0.0391373;-0.00433785
0.025449;0.00192799;0.0400482;-0.00477642
0.025948;0.00197199;0.0406425;-0.00419431
0.026447;0.00194399;0.0410016;-0.00419431
0.026946;0.00184399;0.0420304;-0.00431393
0.027445;0.00193199;0.0421661;-0.00397901
0.027944;0.00191999;0.0431585;-0.00397901
0.028443;0.00190799;0.0436532;-0.00409065
0.028942;0.00193199;0.0437588;-0.00409065
0.029441;0.00199599;0.0450683;-0.0040109
0.02994;0.00189599;0.0451588;-0.0040428
0.030439;0.00195999;0.045988;-0.00397901
0.030938;0.00197599;0.0466637;-0.00397901
0.031437;0.00191999;0.0467271;-0.00397901
0.031936;0.00190399;0.0477316;-0.00401091
0.032435;0.00175199;0.048169;-0.00415444
0.032934;0.00185599;0.0487543;-0.0040428
0.033433;0.00178799;0.0496745;-0.00413052
0.033932;0.00192799;0.0500788;-0.00402685
0.034431;0.00192799;0.0511225;-0.00406673
0.03493;0.00193199;0.0511798;-0.00398698
0.035429;0.00195199;0.0521326;-0.00413849
0.035928;0.00198399;0.0526847;-0.00397901
0.036427;0.00181599;0.0529984;-0.00402685
0.036926;0.00195199;0.0540813;-0.0040747
0.037425;0.00184399;0.0541899;-0.00403483
0.037924;0.00187999;0.0547783;-0.00402685
0.038423;0.00187999;0.0556955;-0.00412254
0.038922;0.00198799;0.0557438;-0.00397901
0.039421;0.00185199;0.0569718;-0.00413849
0.03992;0.00188399;0.0572011;-0.00434581
0.040419;0.00197199;0.0576688;-0.00461693
0.040918;0.00197599;0.0586822;-0.00570939
0.041417;0.00194799;0.0587154;-0.00445746
0.041916;0.00197199;0.0599034;-0.00426609
0.042415;0.00184799;0.0602111;-0.0042581
0.042914;0.00184399;0.0611101;-0.00421823
0.043413;0.00199599;0.0617165;-0.00408267
0.043912;0.00193199;0.0617165;-0.00430594
0.044411;0.00190399;0.0627182;-0.00441759
0.04491;0.00188399;0.063222;-0.00465682
0.045409;0.00194399;0.0637259;-0.0040428
0.045908;0.00193599;0.0647274;-0.00415444
0.046407;0.00189599;0.0648148;-0.00411457
0.046906;0.00192399;0.066039;-0.00402685
0.047405;0.00197199;0.066232;-0.00397901
0.047904;0.00195199;0.0668205;-0.00426609
0.048403;0.00181999;0.0677317;-0.00398698
0.048902;0.00164399;0.0677407;-0.00397901
0.049401;0.00199599;0.0687181;-0.0040747
0.0499;0.00197599;0.069243;-0.00423418
0.050399;0.00194399;0.0696411;-0.00397901
0.050898;0.00195199;0.0707423;-0.00397901
0.051397;0.00182799;0.0707725;-0.00405875
0.051896;0.00193599;0.0718799;-0.00400293
0.052395;0.00193999;0.0722539;-0.00405875
0.052894;0.00194399;0.0728478;-0.00397901
0.053393;0.00195999;0.0737193;-0.00402685
0.053892;0.00187999;0.0737676;-0.00402685
0.054391;0.00198799;0.0745131;-0.00397901
0.05489;0.00191599;0.0752642;-0.00397901
0.055389;0.00197999;0.0754903;-0.00449734
0.055888;0.00193999;0.0767092;-0.00441759
0.056387;0.00199199;0.0767816;-0.00431391
0.056886;0.00195599;0.0779971;-0.00425013
0.057385;0.00197599;0.0782746;-0.00464885
0.057884;0.00191599;0.0788995;-0.00415444
0.058383;0.00185199;0.0797353;-0.00432988
0.058882;0.00198799;0.0797805;-0.00399496
