t;vds;corrente;vg
0.000499;0.0979237;0.00999345;0.185546
0.000998;0.0977917;0.00996083;0.188242
0.001497;0.0978037;0.010537;0.188018
0.001996;0.0977437;0.0111554;0.187245
0.002495;0.0977037;0.0120422;0.187013
0.002994;0.0977157;0.0124374;0.187372
0.003493;0.0977757;0.0134781;0.187651
0.003992;0.0977357;0.0135776;0.187516
0.004491;0.0977916;0.0143348;0.187556
0.00499;0.0977837;0.0150528;0.187133
0.005489;0.0977317;0.0152157;0.187157
0.005988;0.0976597;0.0165158;0.187173
0.006487;0.0977277;0.0165972;0.187476
0.006986;0.0977197;0.0178131;0.187939
0.007485;0.0976477;0.0180635;0.187643
0.007984;0.0977437;0.0186698;0.188098
0.008483;0.0977477;0.0195415;0.187468
0.008982;0.0977157;0.0195717;0.187444
0.009481;0.0977197;0.0204496;0.188241
0.00998;0.0977077;0.021074;0.187827
0.010479;0.0977117;0.0212611;0.188896
0.010978;0.0976157;0.022516;0.189055
0.011477;0.0975557;0.0225914;0.189254
0.011976;0.0977757;0.0235687;0.189214
0.012475;0.0977277;0.0240845;0.188242
0.012974;0.0977957;0.0243711;0.188529
0.013473;0.0976997;0.0253878;0.18935
0.013972;0.0977517;0.0255899;0.189126
0.014471;0.0977397;0.0259609;0.190203
0.01497;0.0977277;0.0270889;0.189406
0.015469;0.0977197;0.0271131;0.189908
0.015968;0.0977157;0.0284437;0.190379
0.016467;0.0976437;0.0286156;0.189797
0.016966;0.0977837;0.0293907;0.189629
0.017465;0.0977757;0.0301055;0.188401
0.017964;0.0977557;0.0304465;0.187843
0.018463;0.0977397;0.031611;0.18762
0.018962;0.0977597;0.0316261;0.188856
0.019461;0.0978037;0.0324765;0.189023
0.01996;0.0977957;0.033116;0.188672
0.020459;0.0977197;0.0333846;0.189231
0.020958;0.0977837;0.0346034;0.188553
0.021457;0.0977597;0.0346245;0.187891
0.021956;0.0977517;0.0356232;0.188282
0.022455;0.0977837;0.0361209;0.18833
0.022954;0.0977197;0.0362265;0.188305
0.023453;0.0977277;0.0374994;0.189262
0.023952;0.0977317;0.0377949;0.18872
0.024451;0.0977517;0.0387813;0.189988
0.02495;0.0977757;0.0391373;0.189023
0.025449;0.0977517;0.0395325;0.188975
0.025948;0.0977877;0.0406184;0.189925
0.026447;0.0977877;0.0406455;0.189015
0.026946;0.0977557;0.0420425;0.190379
0.027445;0.0977237;0.042148;0.189685
0.027944;0.0977717;0.0428841;0.18994
0.028443;0.0977877;0.0436532;0.188919
0.028942;0.0977477;0.0436562;0.187396
0.029441;0.0977876;0.0447425;0.188377
0.02994;0.0977957;0.0451588;0.187739
0.030439;0.0977037;0.0454934;0.188066
0.030938;0.0977197;0.0466124;0.18813
0.031437;0.0977477;0.0466848;0.189199
0.031936;0.0977317;0.0475295;0.189079
0.032435;0.0977877;0.048169;0.188808
0.032934;0.0978037;0.0486216;0.188568
0.033433;0.0977797;0.0496293;0.189781
0.033932;0.0977917;0.0498163;0.188872
0.034431;0.0977757;0.0511346;0.189741
0.03493;0.0977997;0.0511798;0.189159
0.035429;0.0977837;0.0518823;0.187731
0.035928;0.0977957;0.0526847;0.18758
0.036427;0.0977117;0.0526967;0.187915
0.036926;0.0977357;0.0539365;0.188425
0.037425;0.0977157;0.0541899;0.187404
0.037924;0.0977277;0.0542986;0.187404
0.038423;0.0978037;0.0556472;0.188162
0.038922;0.0977157;0.0556955;0.188122
0.039421;0.0977717;0.0564589;0.187412
0.03992;0.0977837;0.0572011;0.187899
0.040419;0.0976757;0.0573338;0.187077
0.040918;0.0977997;0.0585495;0.187261
0.041417;0.0977437;0.0587064;0.187069
0.041916;0.0977277;0.059653;0.187867
0.042415;0.0977917;0.0602111;0.188042
0.042914;0.0977357;0.0606637;0.187229
0.043413;0.0977157;0.0616863;0.187221
0.043912;0.0977317;0.0617285;0.187308
0.044411;0.0976837;0.0623169;0.187452
0.04491;0.0977957;0.063222;0.187723
0.045409;0.0977717;0.0633578;0.18789
0.045908;0.0977277;0.0645344;0.187683
0.046407;0.0978037;0.0647274;0.18817
0.046906;0.0977877;0.0657463;0.188704
0.047405;0.0977597;0.066232;0.187787
0.047904;0.0977677;0.0662411;0.187651
0.048403;0.0977517;0.0674722;0.188058
0.048902;0.0977197;0.0677618;0.188361
0.049401;0.0976637;0.0683199;0.188018
0.0499;0.0977717;0.0692279;0.188066
0.050399;0.0977597;0.0692792;0.189605
0.050898;0.0977477;0.0704648;0.189111
0.051397;0.0978037;0.0707484;0.190323
0.051896;0.0977557;0.0715994;0.190084
0.052395;0.0976957;0.0722539;0.189581
0.052894;0.0977077;0.072489;0.188433
0.053393;0.0978037;0.0735956;0.1886
0.053892;0.0977397;0.0737585;0.188265
0.054391;0.0977677;0.0739095;0.189398
0.05489;0.0977397;0.0752099;0.188736
0.055389;0.0977317;0.0752672;0.189549
0.055888;0.0978037;0.0763773;0.189143
0.056387;0.0977037;0.0767695;0.188082
0.056886;0.0977557;0.0773787;0.18955
0.057385;0.0977837;0.0782625;0.188393
0.057884;0.0977797;0.0784709;0.188201
0.058383;0.0977837;0.0795663;0.188601
0.058882;0.0977877;0.0797805;0.188967
0.059381;0.0977877;0.0803622;0.18943
0.05988;0.0977477;0.081285;0.18856
0.060379;0.0976997;0.0814874;0.188936
0.060878;0.0977717;0.0826491;0.189374
0.061377;0.0977637;0.0827939;0.188544
0.061876;0.0978037;0.083756;0.189382
0.062375;0.0978037;0.0842931;0.187907
0.062874;0.0977837;0.0844226;0.18935
0.063373;0.0977877;0.0854843;0.188919
0.063872;0.0977317;0.085801;0.187867
0.064371;0.0978037;0.0866971;0.189007
0.06487;0.0977876;0.0873064;0.187747
0.065369;0.0978037;0.0876924;0.187779
0.065868;0.0978037;0.0887963;0.188768
0.066367;0.0977957;0.0888234;0.189103
0.066866;0.0978037;0.0898921;0.189191
0.067365;0.0977477;0.0903175;0.188298
0.067864;0.0977957;0.0907728;0.188273
0.068363;0.0977437;0.0918226;0.187731
0.068862;0.0977837;0.0918316;0.187747
0.069361;0.0977837;0.0926669;0.187723
0.06986;0.0977837;0.0933275;0.187572
0.070359;0.0977916;0.0933305;0.188202
0.070858;0.0977037;0.0945947;0.189159
0.071357;0.0977797;0.094833;0.188808
0.071856;0.0978037;0.0951435;0.188712
0.072355;0.0977717;0.0962987;0.189334
0.072854;0.0977517;0.0963982;0.189422
0.073353;0.0978037;0.0975352;0.190267
0.073852;0.0977997;0.0978489;0.189223
0.074351;0.0977557;0.0985646;0.1899
0.07485;0.0978037;0.099349;0.1888
0.075349;0.0976997;0.0994394;0.189159
0.075848;0.0977757;0.100476;0.189247
0.076347;0.0977757;0.100853;0.189725
0.076846;0.0977877;0.101385;0.189629
0.077345;0.0977197;0.10233;0.189836
0.077844;0.0977917;0.10236;0.188561
0.078343;0.0977717;0.103165;0.187994
0.078842;0.0977997;0.103849;0.188537
0.079341;0.0978037;0.104112;0.189302
0.07984;0.0977717;0.105363;0.189047
0.080339;0.0977477;0.105409;0.189422
0.080838;0.0978037;0.106435;0.188353
0.081337;0.0977917;0.106876;0.188784
0.081836;0.0977757;0.107279;0.188609
0.082335;0.0977557;0.108356;0.189071
0.082834;0.0977357;0.108745;0.189238
0.083333;0.0978037;0.109841;0.189207
0.083832;0.0977997;0.109886;0.189095
0.084331;0.0977957;0.110429;0.188513
0.08483;0.0978037;0.111349;0.188776
0.085329;0.0977397;0.111518;0.187723
0.085828;0.0978037;0.112624;0.188919
0.086327;0.0978037;0.112896;0.188393
0.086826;0.0977957;0.113627;0.188608
0.087325;0.0977677;0.114402;0.189023
0.087824;0.0977877;0.114499;0.188314
0.088323;0.0977957;0.11581;0.189214
0.088822;0.0977157;0.115906;0.188656
0.089321;0.0977677;0.116305;0.189717
0.08982;0.0977997;0.117392;0.190706
0.090319;0.0978037;0.117416;0.190395
0.090818;0.0977797;0.118601;0.190618
0.091317;0.0978037;0.118918;0.190698
0.091816;0.0978037;0.119297;0.19014
0.092315;0.0978037;0.120407;0.190538
0.092814;0.0977517;0.12044;0.190012
0.093313;0.0978037;0.121406;0.190642
0.093812;0.0978037;0.121928;0.190187
0.094311;0.0977597;0.121961;0.190658
0.09481;0.0977917;0.123071;0.190267
0.095309;0.0977957;0.123433;0.190762
0.095808;0.0977037;0.124194;0.190499
0.096307;0.0977277;0.124939;0.190196
0.096806;0.0977557;0.12537;0.190483
0.097305;0.0977757;0.126402;0.189956
0.097804;0.0978037;0.126541;0.189852
0.098303;0.0977917;0.127698;0.189127
0.098802;0.0977397;0.127949;0.189589
0.099301;0.0977837;0.128157;0.188521
0.0998;0.0977997;0.129391;0.189454
0.100299;0.0977997;0.129566;0.189773
0.100798;0.0977757;0.130377;0.188186
0.101297;0.0977797;0.130959;0.188808
0.101796;0.0977717;0.13127;0.189023
0.102295;0.0978037;0.132446;0.189765
0.102794;0.0977957;0.132464;0.188241
0.103293;0.0977957;0.133156;0.189182
0.103792;0.0977357;0.133961;0.189414
0.104291;0.0978037;0.134522;0.189318
0.10479;0.0977717;0.135436;0.189877
0.105289;0.0978037;0.135506;0.188823
0.105788;0.0978037;0.13664;0.189709
0.106287;0.0977237;0.136981;0.188872
0.106786;0.0977597;0.137358;0.190004
0.107285;0.0977957;0.138444;0.189303
0.107784;0.0977997;0.13854;0.18876
0.108283;0.0977677;0.139626;0.188529
0.108782;0.0977997;0.139991;0.187986
0.109281;0.0978037;0.140274;0.188521
0.10978;0.0978037;0.141473;0.188082
0.110279;0.0977797;0.141497;0.188593
0.110778;0.0978037;0.142085;0.189924
0.111277;0.0977557;0.143001;0.189223
0.111776;0.0977877;0.143001;0.188241
0.112275;0.0977797;0.144128;0.188696
0.112774;0.0978037;0.144508;0.1888
0.113273;0.0977237;0.14484;0.189526
0.113772;0.0977957;0.146004;0.188481
0.114271;0.0977517;0.146076;0.189358
0.11477;0.0977557;0.14698;0.188935
0.115269;0.0977957;0.147517;0.190618
0.115768;0.0978037;0.1481;0.189892
0.116267;0.0978037;0.149021;0.188848
0.116766;0.0977357;0.14903;0.189988
0.117265;0.0978037;0.150173;0.189884
0.117764;0.0977917;0.149461;0.189342
0.118263;0.0977237;0.149024;0.18986
0.118762;0.0978037;0.148694;0.189262
0.119261;0.0978037;0.147674;0.18947
0.11976;0.0978037;0.147484;0.187811
0.120259;0.0977877;0.146634;0.1888
0.120758;0.0977997;0.146013;0.189805
0.121257;0.0977517;0.145545;0.1886
