t;vds;corrente;vg
0.02495;0.255999;0.191054;0.534869
0.0499;0.255487;0.191449;0.541509
0.07485;0.255487;0.191449;0.534195
0.0998;0.255487;0.191449;0.530421
0.12475;0.255487;0.191449;0.526171
0.1497;0.255487;0.191449;0.519273
0.17465;0.255487;0.191449;0.517419
0.1996;0.255487;0.191449;0.51029
0.22455;0.255487;0.191449;0.508566
0.2495;0.255487;0.191449;0.502306
0.27445;0.255487;0.191449;0.4989
0.2994;0.253815;0.191449;0.494282
0.32435;0.251727;0.191449;0.488631
0.3493;0.249452;0.191449;0.48553
0.37425;0.246989;0.191449;0.478338
0.3992;0.244829;0.191449;0.473389
0.42415;0.242454;0.191449;0.469666
0.4491;0.240443;0.191449;0.462856
0.47405;0.237871;0.191449;0.458785
0.499;0.235416;0.191449;0.454424
0.52395;0.233089;0.191449;0.446848
0.5489;0.230621;0.191449;0.445315
0.57385;0.228099;0.191449;0.438607
0.5988;0.225744;0.191449;0.437936
0.62375;0.223232;0.191449;0.43052
0.6487;0.220944;0.191449;0.428525
0.67365;0.218521;0.191449;0.422726
0.6986;0.216361;0.191449;0.418522
0.72355;0.213763;0.191449;0.41456
0.7485;0.211128;0.191449;0.408587
0.77345;0.20862;0.191449;0.405071
0.7984;0.206257;0.191449;0.398615
0.82335;0.203725;0.191449;0.395103
0.8483;0.200987;0.191449;0.390502
0.87325;0.198616;0.191449;0.382719
0.8982;0.196512;0.191449;0.37802
0.92315;0.194124;0.191449;0.374633
0.9481;0.191557;0.191449;0.367558
0.97305;0.189173;0.191449;0.364904
0.998;0.186859;0.191449;0.358833
1.02295;0.184796;0.191449;0.355496
1.0479;0.182391;0.191449;0.350671
1.07285;0.179924;0.191449;0.344295
1.0978;0.177701;0.191369;0.341181
1.12275;0.175249;0.191449;0.334839
1.1477;0.172663;0.191449;0.329932
1.17265;0.170235;0.191449;0.326864
1.1976;0.168016;0.191449;0.321386
1.22255;0.165369;0.191449;0.317455
1.2475;0.162828;0.191449;0.310921
1.27245;0.160777;0.191449;0.305426
1.2974;0.158428;0.191449;0.302294
1.32235;0.155931;0.191449;0.295184
1.3473;0.153352;0.191449;0.293635
1.37225;0.151145;0.191449;0.287006
1.3972;0.148852;0.191449;0.282385
1.42215;0.146384;0.191449;0.279029
1.4471;0.143788;0.191449;0.272432
1.47205;0.141391;0.191449;0.270402
1.497;0.138756;0.191449;0.263101
1.52195;0.136505;0.191449;0.260929
1.5469;0.134116;0.191449;0.255113
1.57185;0.131568;0.191449;0.253372
1.5968;0.129132;0.191433;0.247141
1.62175;0.12672;0.191449;0.242189
1.6467;0.1243;0.191425;0.238802
1.67165;0.12144;0.191449;0.231532
1.6966;0.119248;0.191417;0.227522
1.72155;0.116728;0.191449;0.223192
1.7465;0.114475;0.191449;0.217265
1.77145;0.112064;0.191401;0.21284
1.7964;0.109413;0.191449;0.20728
1.82135;0.10696;0.191449;0.201385
1.8463;0.10472;0.191449;0.197407
1.87125;0.102308;0.191449;0.191336
1.8962;0.0998837;0.191449;0.18854
1.92115;0.0975558;0.191449;0.183364
1.9461;0.0952567;0.191449;0.178475
1.97105;0.0927355;0.191449;0.175391
1.996;0.090528;0.191449;0.169081
2.02095;0.0882922;0.191433;0.165518
2.0459;0.0855161;0.191449;0.159447
2.07085;0.0830681;0.191449;0.156028
2.0958;0.0804083;0.191449;0.151475
2.12075;0.0784195;0.191449;0.146666
2.1457;0.0761122;0.191449;0.143423
2.17065;0.0736877;0.191449;0.135609
2.1956;0.07134;0.191449;0.132206
2.22055;0.0691522;0.191425;0.127125
2.2455;0.0669041;0.191441;0.120208
2.27045;0.0644956;0.191377;0.116725
2.2954;0.0620362;0.191449;0.111612
2.32035;0.0594961;0.191449;0.108609
2.3453;0.0572839;0.191449;0.10364
2.37025;0.0548203;0.191449;0.0992145
2.3952;0.052564;0.191449;0.0956678
2.42015;0.0503798;0.191449;0.0900922
2.4451;0.0478321;0.191449;0.0858585
2.47005;0.045272;0.191449;0.0797235
2.495;0.0429399;0.191449;0.0755857
2.51995;0.0406162;0.191449;0.0717514
2.5449;0.037868;0.191449;0.0654878
2.56985;0.0352201;0.191449;0.0616056
