t;vds;corrente;vg
0.000499;-0.0365737;-0.0266632;-0.217902
0.000998;-0.0369005;-0.0270123;-0.218785
0.001497;-0.0373801;-0.0278071;-0.220249
0.001996;-0.0379387;-0.0278858;-0.217321
0.002495;-0.0384262;-0.0282666;-0.21748
0.002994;-0.0388969;-0.0284818;-0.21487
0.003493;-0.0394259;-0.0285439;-0.214902
0.003992;-0.0399222;-0.0287509;-0.218753
0.004491;-0.0403547;-0.0289164;-0.212515
0.00499;-0.040906;-0.0288751;-0.217671
0.005489;-0.0414815;-0.0290324;-0.21678
0.005988;-0.0418261;-0.0289289;-0.215443
0.006487;-0.0424082;-0.0289247;-0.215093
0.006986;-0.0429688;-0.0295334;-0.220981
0.007485;-0.0433339;-0.0298231;-0.218785
0.007984;-0.0438638;-0.0304483;-0.217385
0.008483;-0.0443898;-0.0308871;-0.219262
0.008982;-0.0448744;-0.0310279;-0.216462
0.009481;-0.0453908;-0.0309906;-0.217066
0.00998;-0.0459105;-0.0311479;-0.217448
0.010479;-0.0462992;-0.031268;-0.217321
0.010978;-0.0467506;-0.0312265;-0.217066
0.011477;-0.0473336;-0.0311976;-0.219581
0.011976;-0.0478755;-0.031537;-0.218626
0.012475;-0.0482702;-0.0324518;-0.221077
0.012974;-0.0487757;-0.032692;-0.220504
0.013473;-0.0490017;-0.0328162;-0.217862
0.013972;-0.0484933;-0.0322324;-0.218308
0.014471;-0.0480293;-0.0320214;-0.21974
0.01497;-0.0475086;-0.0312639;-0.218817
0.015469;-0.0470042;-0.0314294;-0.218594
0.015968;-0.0465194;-0.0312142;-0.218212
0.016467;-0.0460559;-0.0309865;-0.21748
0.016966;-0.0456887;-0.0309865;-0.220567
0.017465;-0.0451152;-0.0308374;-0.220949
0.017964;-0.0447371;-0.0309823;-0.220504
0.018463;-0.0442714;-0.0309161;-0.221809
0.018962;-0.0437819;-0.0308623;-0.220599
0.019461;-0.0431789;-0.0301337;-0.220122
0.01996;-0.0426995;-0.029612;-0.221077
0.020459;-0.0421181;-0.0290903;-0.220345
0.020958;-0.0415159;-0.0290241;-0.219262
0.021457;-0.0410698;-0.0289951;-0.218371
0.021956;-0.0406912;-0.0288916;-0.220822
