t;vds;corrente;vg
0.000499;-0.0399735;-0.0282407;-0.0181225
0.000998;-0.0404099;-0.0289206;-0.0158821
0.001497;-0.0409268;-0.0289951;-0.0158821
0.001996;-0.0414528;-0.0288544;-0.0158503
0.002495;-0.0419643;-0.0289868;-0.0158821
0.002994;-0.0425265;-0.0290531;-0.0158821
0.003493;-0.0430182;-0.0291814;-0.0158821
0.003992;-0.0434731;-0.0294878;-0.0158821
0.004491;-0.0438894;-0.0298397;-0.0158821
0.00499;-0.0443809;-0.0303365;-0.0155957
0.005489;-0.0448388;-0.0307132;-0.0156275
0.005988;-0.0453593;-0.0309658;-0.0158821
0.006487;-0.0458486;-0.0311438;-0.0156593
0.006986;-0.0462558;-0.0309989;-0.0158821
0.007485;-0.0468375;-0.0312307;-0.0158185
0.007984;-0.0473564;-0.0312597;-0.0153411
0.008483;-0.0478143;-0.0314542;-0.0138452
0.008982;-0.0483285;-0.0324891;-0.0155957
0.009481;-0.0488881;-0.0327209;-0.0157867
0.00998;-0.0489979;-0.0327665;-0.0151501
0.010479;-0.0484913;-0.03287;-0.0145454
0.010978;-0.0479937;-0.0318724;-0.0152138
0.011477;-0.0474276;-0.0313053;-0.0144499
0.011976;-0.0468867;-0.0312017;-0.0156912
0.012475;-0.0464719;-0.0309948;-0.0142589
0.012974;-0.0460687;-0.0309865;-0.0158821
0.013473;-0.0455782;-0.0309865;-0.0158503
0.013972;-0.045133;-0.0309285;-0.0157548
0.014471;-0.0446729;-0.0305145;-0.015532
0.01497;-0.0441995;-0.030262;-0.0158821
0.015469;-0.0437;-0.0297072;-0.0158821
0.015968;-0.0432855;-0.02926;-0.0153092
0.016467;-0.0427065;-0.029169;-0.0158821
0.016966;-0.0419958;-0.0289744;-0.0156912
0.017465;-0.041507;-0.0286102;-0.0158821
0.017964;-0.0410737;-0.027774;-0.0158821
0.018463;-0.0405541;-0.0278319;-0.0158821
0.018962;-0.0400435;-0.0274966;-0.0158821
0.019461;-0.0395709;-0.0270247;-0.0158821
0.01996;-0.0391644;-0.0271696;-0.0158821
0.020459;-0.038665;-0.0271448;-0.0158503
0.020958;-0.0381992;-0.0269958;-0.0158821
0.021457;-0.0377266;-0.0270786;-0.0158821
0.021956;-0.0371709;-0.0268053;-0.0158821
0.022455;-0.0366832;-0.0265362;-0.0158821
0.022954;-0.0362569;-0.0262795;-0.0158821
0.023453;-0.0356579;-0.0261719;-0.0158821
0.023952;-0.0351556;-0.0254018;-0.0158821
0.024451;-0.0347333;-0.024996;-0.0158821
0.02495;-0.0342664;-0.0255219;-0.0158821
0.025449;-0.0337069;-0.0248097;-0.0158821
0.025948;-0.0332656;-0.024789;-0.0158821
0.026447;-0.0328512;-0.0244496;-0.0158821
0.026946;-0.0323599;-0.0243088;-0.0158821
0.027445;-0.0318515;-0.0238245;-0.0158821
0.027944;-0.0313857;-0.0235347;-0.0158821
0.028443;-0.0308636;-0.0229842;-0.0158821
0.028942;-0.0303338;-0.022711;-0.0158821
0.029441;-0.029876;-0.0227234;-0.0158821
0.02994;-0.0293676;-0.0225536;-0.0158185
0.030439;-0.0288426;-0.0226406;-0.0158821
0.030938;-0.0283352;-0.0225992;-0.0158821
0.031437;-0.0278843;-0.0216345;-0.0158821
0.031936;-0.0274009;-0.021084;-0.0154684
0.032435;-0.0268224;-0.0212454;-0.0158503
0.032934;-0.0264336;-0.0206865;-0.0158821
0.033433;-0.025943;-0.0205457;-0.0158821
0.033932;-0.0254753;-0.0205582;-0.0158821
0.034431;-0.0250865;-0.0205954;-0.0156593
0.03493;-0.024664;-0.0206741;-0.0158821
0.035429;-0.0240414;-0.0206161;-0.0158821
0.035928;-0.023538;-0.0204464;-0.0158503
0.036427;-0.0230781;-0.0197344;-0.0150864
0.036926;-0.0225581;-0.019279;-0.0158821
0.037425;-0.0221169;-0.0188278;-0.0158821
0.037924;-0.021662;-0.0186539;-0.0158821
0.038423;-0.0212001;-0.0187284;-0.0158821
0.038922;-0.0206228;-0.018567;-0.0158821
0.039421;-0.0201699;-0.0184759;-0.0158821
0.03992;-0.0197721;-0.0181737;-0.0158821
0.040419;-0.019182;-0.0180743;-0.0158821
0.040918;-0.0187922;-0.0179791;-0.0158821
0.041417;-0.0183598;-0.0171263;-0.0158821
0.041916;-0.0178773;-0.0167455;-0.0158821
0.042415;-0.0173158;-0.0165633;-0.0158503
0.042914;-0.016924;-0.0165757;-0.0158821
0.043413;-0.0164345;-0.0164557;-0.0158821
0.043912;-0.0159341;-0.0161783;-0.0158821
0.044411;-0.015487;-0.0161162;-0.0158821
0.04491;-0.0150026;-0.0159754;-0.0158821
0.045409;-0.0144578;-0.0150689;-0.0156593
0.045908;-0.0140216;-0.0148618;-0.0158821
0.046407;-0.0135785;-0.0147004;-0.0158821
0.046906;-0.0130623;-0.0144603;-0.0158185
0.047405;-0.0126073;-0.0144851;-0.0158821
0.047904;-0.012182;-0.0143692;-0.0158821
0.048403;-0.0116403;-0.0138559;-0.0157867
0.048902;-0.011137;-0.0135454;-0.0158821
0.049401;-0.0105388;-0.0133839;-0.0158821
0.0499;-0.0100208;-0.0134543;-0.0155639
0.050399;-0.00953428;-0.0127215;-0.0158185
0.050898;-0.00905163;-0.0127133;-0.0158821
0.051397;-0.00867369;-0.0125394;-0.0158821
0.051896;-0.00814471;-0.0123945;-0.0158821
0.052395;-0.00769472;-0.0120426;-0.0158821
0.052894;-0.00719042;-0.0115997;-0.0157548
0.053393;-0.00675617;-0.011165;-0.0158821
0.053892;-0.00618382;-0.0105399;-0.0158821
0.054391;-0.00573969;-0.0104447;-0.0154366
0.05489;-0.00524032;-0.0103163;-0.0158821
0.055389;-0.00468176;-0.0103909;-0.0157867
0.055888;-0.00414389;-0.00999347;-0.0158821
0.056387;-0.00363863;-0.0094884;-0.0156593
0.056886;-0.0031679;-0.00955877;-0.0158821
0.057385;-0.0026399;-0.00924003;-0.0158821
0.057884;-0.00218988;-0.00846588;-0.0158821
0.058383;-0.00172902;-0.00828372;-0.0158503
0.058882;-0.0012257;-0.00834582;-0.0158821
0.059381;-0.000748052;-0.00813468;-0.0158821
0.05988;-0.000304945;-0.00772898;-0.0158821
0.060379;0.000182573;-0.00762548;-0.0158821
0.060878;0.000658246;-0.00683063;-0.0158821
0.061377;0.00103622;-0.00668576;-0.0158503
0.061876;0.00157309;-0.00627591;-0.0158821
0.062375;0.00206257;-0.00666918;-0.0158821
0.062874;0.00255504;-0.00626349;-0.0155957
0.063373;0.00313236;-0.00616;-0.0157867
0.063872;0.00366231;-0.00619726;-0.0158185
0.064371;0.00415376;-0.00619726;-0.0158821
0.06487;0.00463142;-0.00612274;-0.014991
0.065369;0.00517126;-0.00612688;-0.0153729
0.065868;0.00556305;-0.00567154;-0.0157548
0.066367;0.006017;-0.00492636;-0.015532
0.066866;0.00652723;-0.00505883;-0.0155639
0.067365;0.00709768;-0.00416463;-0.015723
0.067864;0.00751313;-0.00414393;-0.0145454
0.068363;0.0080559;-0.00413151;-0.0155002
0.068862;0.00853256;-0.00419361;-0.0158821
0.069361;0.0090635;-0.00409839;-0.0157548
0.06986;0.00960134;-0.00388726;-0.0158821
0.070359;0.0101007;-0.00293512;-0.0156912
0.070858;0.0105102;-0.00274468;-0.0154684
0.071357;0.0109544;-0.00227689;-0.0155639
0.071856;0.0114834;-0.00209888;-0.0156275
0.072355;0.012028;-0.00218581;-0.0156912
0.072854;0.0124189;-0.00205334;-0.0158821
0.073353;0.0128778;-0.00192914;-0.0158821
0.073852;0.0135094;-0.00165592;-0.0158821
0.074351;0.0139141;-0.0018836;-0.0158821
0.07485;0.0143907;-0.00143651;-0.0158821
0.075349;0.014892;-0.000869357;-0.0157867
0.075848;0.0154713;2.48388e-05;-0.0158821
0.076347;0.0158739;-0.000277367;-0.0158821
0.076846;0.0163279;0;-0.0158821
0.077345;0.016854;6.2097e-05;-0.0158821
0.077844;0.0172527;0;-0.0158821
0.078343;0.0177549;0.000128334;-0.0158821
0.078842;0.0182049;0.000231829;-0.0158821
0.079341;0.0186451;0.00131231;-0.0157548
0.07984;0.0190823;0.000898335;-0.0158821
0.080339;0.0195432;0.00180495;-0.0158821
0.080838;0.0200476;0.00207404;-0.0158185
0.081337;0.0205004;0.00195812;-0.0158821
0.081836;0.0210433;0.00211543;-0.0158821
0.082335;0.0216225;0.00248802;-0.0158821
0.082834;0.0220675;0.00304275;-0.0158821
0.083333;0.0225533;0.0031214;-0.0158821
0.083832;0.0230643;0.0036306;-0.0158821
0.084331;0.0235036;0.00367199;-0.0158821
0.08483;0.0239496;0.00428055;-0.0158821
0.085329;0.0243491;0.00421431;-0.0158821
0.085828;0.0249592;0.00429296;-0.0158821
