t;vds;corrente;vg
0.000499;0.0192412;0.00193022;0.0599514
0.000998;0.0196231;0.00215683;0.0635286
0.001497;0.0201285;0.00268673;0.0635286
0.001996;0.0206326;0.00323733;0.0635286
0.002495;0.0211331;0.00339049;0.0635286
0.002994;0.0215515;0.00358092;0.0635286
0.003493;0.0221781;0.00409425;0.0635286
0.003992;0.0225621;0.00411495;0.0635286
0.004491;0.0230761;0.00383345;0.0635286
0.00499;0.023552;0.00413151;0.0635286
0.005489;0.0239999;0.00446684;0.0635286
0.005988;0.0245238;0.00487667;0.0635286
0.006487;0.0250057;0.00534034;0.0635286
0.006986;0.0254941;0.00588677;0.0635286
0.007485;0.0260122;0.00614344;0.0635286
0.007984;0.0265292;0.00617656;0.0635286
0.008483;0.0269627;0.00622209;0.0635286
0.008982;0.0274254;0.00641666;0.0635286
0.009481;0.0279701;0.00624279;0.0635286
0.00998;0.0284183;0.00661124;0.0636877
0.010479;0.0289056;0.00689687;0.0635286
0.010978;0.0292927;0.00734811;0.063815
0.011477;0.029789;0.00783662;0.0635604
0.011976;0.0304471;0.00826302;0.0642288
0.012475;0.0310384;0.00831684;0.0637195
0.012974;0.0315297;0.00840792;0.063815
0.013473;0.0319504;0.00871428;0.0635286
0.013972;0.03249;0.0083541;0.0635286
0.014471;0.0329251;0.00880118;0.0635286
0.01497;0.0333991;0.00871428;0.0635286
0.015469;0.033845;0.00952565;0.0635286
0.015968;0.034382;0.00993553;0.0635604
0.016467;0.0347589;0.0101011;0.0635286
0.016966;0.0352335;0.010337;0.0635286
0.017465;0.0358227;0.0105647;0.0635286
0.017964;0.0362806;0.0103619;0.0635286
0.018463;0.0367713;0.0106682;0.0637832
0.018962;0.0373535;0.0108959;0.0635286
0.019461;0.0377947;0.0108462;0.0635286
0.01996;0.0383028;0.0107883;0.0635286
0.020459;0.0387538;0.0111567;0.0635286
0.020958;0.0392778;0.0114423;0.0635286
0.021457;0.0396686;0.0120882;0.0635286
0.021956;0.040178;0.0123945;0.0635286
0.022455;0.0406475;0.012556;0.0635286
0.022954;0.0411123;0.0124814;0.0635286
0.023453;0.0415516;0.0125311;0.0635286
0.023952;0.0420807;0.0130734;0.0635286
0.024451;0.0425769;0.0139842;0.0635286
0.02495;0.0431266;0.0143278;0.0635286
0.025449;0.0436172;0.0144437;0.0635286
0.025948;0.0440432;0.01463;0.0635286
0.026447;0.0445536;0.0152344;0.0635286
0.026946;0.045068;0.0156774;0.0635286
0.027445;0.0455458;0.0155822;0.0635286
0.027944;0.0459077;0.0162321;0.0639423
0.028443;0.0463585;0.0163232;0.0635286
0.028942;0.0468809;0.0163108;0.0635286
0.029441;0.0473071;0.0164598;0.0635286
0.02994;0.0477728;0.0165385;0.0635286
0.030439;0.0482149;0.0165426;0.0635286
0.030938;0.0478754;0.0165178;0.0635286
0.031437;0.0473418;0.0167537;0.0635286
0.031936;0.0468453;0.0164184;0.0635286
0.032435;0.0465282;0.016406;0.0635286
0.032934;0.0459523;0.0155491;0.0635286
0.033433;0.0454588;0.0153379;0.0635286
0.033932;0.0450737;0.0148412;0.0635286
0.034431;0.0445752;0.0145845;0.0635286
0.03493;0.0440179;0.0145803;0.0635286
0.035429;0.0436319;0.0147708;0.0635286
0.035928;0.0431256;0.0142699;0.0635286
0.036427;0.04259;0.0133011;0.0635286
0.036926;0.0420954;0.0134171;0.0635286
0.037425;0.0417203;0.0133218;0.0635286
0.037924;0.041201;0.0131645;0.0635286
0.038423;0.0407099;0.0128457;0.0635286
0.038922;0.0402322;0.0123159;0.0635286
0.039421;0.0397643;0.0122869;0.0635286
0.03992;0.0392197;0.0123945;0.0635286
0.040419;0.0388357;0.0119474;0.0635286
0.040918;0.0383275;0.0122041;0.0635286
0.041417;0.0377888;0.0112395;0.0635286
0.041916;0.0373494;0.0103246;0.0635286
0.042415;0.036859;0.0104198;0.0635286
0.042914;0.0362579;0.0104902;0.0635286
0.043413;0.0357754;0.0101135;0.0635286
0.043912;0.0353509;0.010246;0.063815
0.044411;0.0348635;0.00986926;0.0641651
0.04491;0.0343603;0.00892126;0.0636877
0.045409;0.0338499;0.00878879;0.0636877
0.045908;0.0334286;0.00834167;0.0635286
0.046407;0.032937;0.00851556;0.0637832
0.046906;0.0324861;0.00830442;0.0636877
0.047405;0.0320244;0.00813055;0.0635286
0.047904;0.0314755;0.0080229;0.0642606
0.048403;0.0308666;0.00807258;0.0635286
0.048902;0.0304107;0.00773725;0.0635286
0.049401;0.0299026;0.0077;0.0635286
0.0499;0.0294041;0.00715768;0.0635286
0.050399;0.028957;0.00650774;0.0635286
0.050898;0.0284497;0.00630903;0.0635286
0.051397;0.0280076;0.00619726;0.0635286
0.051896;0.0275143;0.00619726;0.0635286
0.052395;0.027014;0.00618898;0.0635286
0.052894;0.02648;0.00608135;0.0635286
0.053393;0.0260201;0.00594889;0.0635286
0.053892;0.0256144;0.0058247;0.0636559
0.054391;0.0250401;0.00599028;0.0635922
0.05489;0.0244983;0.00463658;0.0635286
0.055389;0.0240769;0.0044834;0.0635286
0.055888;0.0235657;0.00430539;0.0635286
0.056387;0.0231412;0.00454964;0.0635286
0.056886;0.0226114;0.00425985;0.0635286
0.057385;0.0221978;0.00413151;0.0639423
0.057884;0.0217499;0.00424743;0.0641333
0.058383;0.0212505;0.00392452;0.0635286
0.058882;0.0207392;0.00370926;0.0635286
0.059381;0.020163;0.00332426;0.0635286
0.05988;0.0196912;0.00273641;0.0635286
0.060379;0.0192679;0.00274884;0.0635286
0.060878;0.0187645;0.00220651;0.0636559
0.061377;0.0182118;0.00203264;0.0635286
0.061876;0.0177292;0.00201194;0.0635604
0.062375;0.0172852;0.0018629;0.0635604
0.062874;0.0168639;0.00100597;0.0635286
0.063373;0.0163595;0.00119226;0.0642288
0.063872;0.0160042;0.000314625;0.0635286
0.064371;0.0154703;4.96776e-05;0.063815
0.06487;0.014974;-2.48388e-05;0.0640696
0.065369;0.0145773;-0.000393281;0.0637195
0.065868;0.0141203;-0.000368442;0.0635286
0.066367;0.0135597;-0.000136613;0.0637832
0.066866;0.0130297;-0.00062925;0.0635922
0.067365;0.0125491;-0.00145307;0.0635286
0.067864;0.0119966;-0.00163522;0.063815
0.068363;0.011509;-0.0015607;0.0636877
0.068862;0.0110945;-0.00204506;0.0635286
