t;vds;corrente;vg
0.00998;0.0185392;0.176079;0.00687858
0.01996;0.0183453;0.175484;0.0287963
0.02994;0.0189715;0.174036;0.0487569
0.03992;0.018615;0.175137;0.0679329
0.0499;0.0183645;0.171096;0.086133
0.05988;0.0189811;0.172989;0.106158
0.06986;0.0185799;0.173794;0.12551
0.07984;0.0188439;0.172511;0.145982
0.08982;0.0191295;0.170802;0.164821
0.0998;0.01852;0.170847;0.184111
0.10978;0.0190155;0.168568;0.204744
0.11976;0.0188639;0.169621;0.223856
0.12974;0.0187091;0.16831;0.244553
0.13972;0.0191877;0.166958;0.262976
0.1497;0.0188296;0.167748;0.282457
0.15968;0.0188702;0.164622;0.302497
0.16966;0.0191399;0.164457;0.322025
0.17964;0.018619;0.163168;0.341424
0.18962;0.0191255;0.157645;0.360695
0.1996;0.0190961;0.15798;0.38093
0.20958;0.0189612;0.152838;0.40121
0.21956;0.0192085;0.154747;0.420979
0.22954;0.0191726;0.150459;0.440157
0.23952;0.0193712;0.148315;0.460484
0.2495;0.019305;0.145422;0.481083
0.25948;0.0192173;0.142526;0.501749
0.26946;0.0192244;0.139723;0.520686
0.27944;0.0193074;0.139714;0.541479
0.28942;0.0193656;0.131849;0.561582
0.2994;0.0194351;0.130634;0.582039
0.30938;0.0195029;0.130063;0.601007
0.31936;0.0195994;0.125411;0.620905
0.32934;0.0194302;0.131627;0.640753
0.33932;0.0194127;0.134801;0.661172
0.3493;0.0194183;0.131508;0.679375
0.35928;0.0195013;0.136324;0.69895
0.36926;0.0194191;0.140264;0.719263
0.37924;0.0195164;0.140737;0.739902
0.38922;0.019384;0.1422;0.75908
0.3992;0.0192755;0.140022;0.777419
0.40918;0.0192939;0.141634;0.78219
0.41916;0.0193042;0.140815;0.763347
0.42914;0.0194782;0.136659;0.743691
0.43912;0.0192276;0.13902;0.723299
0.4491;0.0194207;0.129572;0.703625
0.45908;0.01953;0.132543;0.684051
0.46906;0.0195292;0.131316;0.664601
0.47904;0.0194606;0.130042;0.645231
0.48902;0.0196098;0.123984;0.624364
0.499;0.0193257;0.126727;0.606225
0.50898;0.0194726;0.12635;0.586536
0.51896;0.019487;0.129306;0.56597
0.52894;0.0192627;0.132327;0.545207
0.53892;0.0194015;0.136031;0.524589
0.5489;0.0193936;0.136653;0.504678
0.55888;0.0193026;0.140285;0.484879
0.56886;0.0193058;0.145856;0.463637
0.57884;0.0194518;0.144895;0.443772
0.58882;0.0191375;0.153173;0.424309
0.5988;0.0191885;0.152123;0.405566
0.60878;0.018962;0.15682;0.384996
0.61876;0.019017;0.156895;0.364939
0.62874;0.0190378;0.156826;0.344561
0.63872;0.0190896;0.158223;0.325962
0.6487;0.0189157;0.162647;0.306179
0.65868;0.0188734;0.159934;0.286843
0.66866;0.0190617;0.162094;0.266866
0.67864;0.0190489;0.166034;0.248875
0.68862;0.0189772;0.162516;0.228674
0.6986;0.0188527;0.165238;0.20841
0.70858;0.0189029;0.169364;0.188335
0.71856;0.0188232;0.165786;0.168711
0.72854;0.0189173;0.170282;0.15056
0.73852;0.0187506;0.171051;0.130408
0.7485;0.0188072;0.171135;0.110303
0.75848;0.0188678;0.173624;0.0911582
