t;vds;corrente;vg
0.000499;0.00249002;0.000251092;-0.202733
0.000998;0.00391858;3.88908e-05;-0.203693
0.001497;0.00398243;-0.00101116;-0.203677
0.001996;0.00409416;-0.0018518;-0.203693
0.002495;0.00549875;-0.00286894;-0.203693
0.002994;0.0059736;-0.0032369;-0.203621
0.003493;0.00618511;-0.00322793;-0.203645
0.003992;0.00756582;-0.00337152;-0.203693
0.004491;0.00796486;-0.00352709;-0.203693
0.00499;0.00796486;-0.00368564;-0.203693
0.005489;0.00799678;-0.0036258;-0.203693
0.005988;0.00912601;-0.00318305;-0.203693
0.006487;0.00994004;-0.0028809;-0.203693
0.006986;0.009956;-0.00244414;-0.203693
0.007485;0.0101755;-0.00182487;-0.203693
0.007984;0.0116759;-0.00141203;-0.203693
0.008483;0.0119472;-0.000688068;-0.203693
0.008982;0.0123982;0.000140605;-0.203693
0.009481;0.0138906;0.000712001;-0.203693
0.00998;0.0139385;0.00154366;-0.203693
0.010479;0.0143615;0.00216592;-0.203693
0.010978;0.0158499;0.00289586;-0.203693
0.011477;0.0159297;0.00315015;-0.203693
0.011976;0.0161252;0.00335657;-0.203693
0.012475;0.0177453;0.0039848;-0.203693
0.012974;0.0179208;0.00428996;-0.203693
0.013473;0.0180924;0.00453827;-0.203693
0.013972;0.0197564;0.00434979;-0.203693
0.014471;0.019912;0.00427799;-0.203693
0.01497;0.019912;0.0039489;-0.203693
0.015469;0.0202552;0.00289885;-0.203693
0.015968;0.0217596;0.00251294;-0.203693
0.016467;0.0219033;0.00192658;-0.203693
0.016966;0.0219591;0.000987229;-0.203693
0.017465;0.0233517;0.000257278;-0.203693
0.017964;0.0238944;-0.000457714;-0.203693
0.018463;0.0238984;-0.00150776;-0.203693
0.018962;0.0247246;-0.00240225;-0.203693
0.019461;0.0258699;-0.00305441;-0.203693
0.01996;0.0258859;-0.00321895;-0.203693
0.020459;0.0259018;-0.00326084;-0.203693
0.020958;0.0271069;-0.00335656;-0.203693
0.021457;0.0278371;-0.00365573;-0.203693
0.021956;0.027877;-0.0038442;-0.203693
0.022455;0.0285554;-0.00347623;-0.203693
0.022954;0.0298683;-0.0031651;-0.203693
0.023453;0.0298683;-0.00277321;-0.203693
0.023952;0.0300319;-0.00191462;-0.203693
0.024451;0.0313806;-0.00149579;-0.203693
0.02495;0.0318594;-0.00113082;-0.203693
0.025449;0.0322664;-0.000577378;-0.203693
0.025948;0.0335672;0.000535496;-0.203693
0.026447;0.0338505;0.00131032;-0.203693
0.026946;0.0338545;0.00191762;-0.203693
0.027445;0.0350476;0.00265355;-0.203693
0.027944;0.0358417;0.00297663;-0.203677
0.028443;0.0358417;0.00323092;-0.203693
0.028942;0.0362966;0.00394592;-0.203693
0.029441;0.0375975;0.00411943;-0.203629
0.02994;0.0378329;0.00441561;-0.203693
0.030439;0.0378329;0.00451732;-0.203693
0.030938;0.0389461;0.00438868;-0.203693
0.031437;0.0397881;0.00404463;-0.203693
0.031936;0.039824;0.00349418;-0.203693
0.032435;0.0413203;0.00282407;-0.203693
0.032934;0.0418151;0.00232448;-0.203693
0.033433;0.0418351;0.00157058;-0.203685
0.033932;0.0432838;0.000329076;-0.203693
0.034431;0.0438066;-0.000251295;-0.203693
0.03493;0.0438066;-0.00132528;-0.203693
0.035429;0.0442056;-0.00215694;-0.203693
0.035928;0.0457777;-0.00291082;-0.203693
0.036427;0.0457977;-0.00300356;-0.203693
0.036926;0.0459493;-0.00307835;-0.203693
0.037425;0.0476412;-0.00323091;-0.203693
0.037924;0.0477888;-0.00358692;-0.203693
0.038423;0.0477888;-0.00364974;-0.203693
0.038922;0.0486706;-0.00364077;-0.203685
0.039421;0.049768;-0.00344631;-0.203693
0.03992;0.0497799;-0.00284201;-0.203693
0.040419;0.0499596;-0.00225567;-0.203693
0.040918;0.0515044;-0.00190863;-0.203693
0.041417;0.0517717;-0.00115775;-0.203693
0.041916;0.0522107;-0.000729951;-0.203693
0.042415;0.0536791;0.000200437;-0.203693
0.042914;0.0537629;0.000984238;-0.203693
0.043413;0.0540302;0.00152871;-0.203693
0.043912;0.0557022;0.00244413;-0.203693
0.044411;0.0557541;0.0028121;-0.203693
0.04491;0.055766;0.00332964;-0.203693
0.045409;0.0570948;0.00354204;-0.203677
0.045908;0.0577452;0.00404464;-0.203693
0.046407;0.0578569;0.00431389;-0.203685
0.046906;0.0589544;0.00446348;-0.203693
0.047405;0.0597366;0.00453527;-0.203693
0.047904;0.0597366;0.00414636;-0.203693
0.048403;0.0605027;0.00374846;-0.203693
0.048902;0.0617277;0.00311724;-0.203693
0.049401;0.0617277;0.00255483;-0.203693
0.0499;0.0620389;0.00209412;-0.203693
0.050399;0.0636111;0.000822691;-0.203693
0.050898;0.0637189;0.000104706;-0.203693
0.051397;0.0637468;-0.000586353;-0.203693
0.051896;0.064868;-0.00171718;-0.203693
0.052395;0.06571;-0.00278218;-0.203693
0.052894;0.06571;-0.00305441;-0.203693
0.053393;0.0658018;-0.00324288;-0.203693
0.053892;0.0673579;-0.00332366;-0.203693
0.054391;0.0677011;-0.0033805;-0.203669
0.05489;0.0677131;-0.00342537;-0.203693
0.055389;0.0690498;-0.00364076;-0.203693
0.055888;0.0696922;-0.0033087;-0.203693
0.056387;0.0697441;-0.00307535;-0.203693
0.056886;0.0709651;-0.0024202;-0.203693
0.057385;0.0716834;-0.00189966;-0.203693
0.057884;0.0716834;-0.0014599;-0.203693
0.058383;0.0716913;-0.00108296;-0.203685
0.058882;0.0728764;-0.000275227;-0.203693
0.059381;0.0736745;0.000529512;-0.203693
0.05988;0.0736745;0.0012804;-0.203693
0.060379;0.0739458;0.00217788;-0.203685
0.060878;0.0754902;0.00280013;-0.203693
0.061377;0.0756658;0.00306339;-0.203669
0.061876;0.0762005;0.00337152;-0.203581
0.062375;0.0775851;0.00397582;-0.203693
0.062874;0.0776569;0.00417029;-0.203677
0.063373;0.078024;0.00435877;-0.203669
0.063872;0.0795522;0.00441261;-0.203637
0.064371;0.079648;0.00433483;-0.203549
0.06487;0.0800031;0.00391898;-0.203693
