t;vds;corrente;vg
0.000499;-0.0765756;-0.00243731;0.191139
0.000998;-0.0756658;-0.00291082;0.195706
0.001497;-0.0756259;-0.00310527;0.195706
0.001996;-0.074309;-0.00311424;0.195706
0.002495;-0.0736745;-0.00334161;0.19573
0.002994;-0.0736745;-0.00343733;0.195706
0.003493;-0.0729203;-0.00353905;0.195706
0.003992;-0.0718111;-0.00342537;0.195938
0.004491;-0.0716834;-0.00357495;0.195706
0.00499;-0.0715836;-0.00312322;0.195706
0.005489;-0.0698598;-0.00242918;0.195706
0.005988;-0.0696922;-0.00163341;0.195706
0.006487;-0.0696324;-0.00102313;0.195706
0.006986;-0.0684553;-0.000631227;0.195706
0.007485;-0.0677091;-7.77816e-05;0.195706
0.007984;-0.0676612;0.000870557;0.195706
0.008483;-0.0669789;0.00164538;0.195706
0.008982;-0.06571;0.00252491;0.195706
0.009481;-0.06571;0.00297962;0.195706
0.00998;-0.0649838;0.00336853;0.195746
0.010479;-0.0637189;0.00356897;0.19573
0.010978;-0.0637189;0.0039489;0.195706
0.011477;-0.0636869;0.00427799;0.195706
0.011976;-0.062414;0.00457118;0.195706
0.012475;-0.0617277;0.00449937;0.195706
0.012974;-0.0617277;0.00415233;0.195706
0.013473;-0.061221;0.00371556;0.195706
0.013972;-0.0598762;0.00285099;0.195802
0.014471;-0.0597366;0.00265354;0.195738
0.01497;-0.0594134;0.00181889;0.195706
0.015469;-0.0579487;0.00087953;0.19601
0.015968;-0.0577452;7.17984e-05;0.195714
0.016467;-0.0572744;-0.000978255;0.195722
0.016966;-0.0558099;-0.00158256;0.19581
0.017465;-0.0557541;-0.00272534;0.195706
0.017964;-0.0557541;-0.00303945;0.195706
0.018463;-0.0556064;-0.00323391;0.195802
0.018962;-0.0539464;-0.00323391;0.195778
0.019461;-0.0537629;-0.00332366;0.195706
0.01996;-0.0537509;-0.00328477;0.195706
0.020459;-0.0528092;-0.00365573;0.195706
0.020958;-0.0517957;-0.0035211;0.195706
0.021457;-0.0517717;-0.00310826;0.195706
0.021956;-0.0507376;-0.00225567;0.195722
0.022455;-0.0497799;-0.0018129;0.19585
0.022954;-0.0497799;-0.00119365;0.195746
0.023453;-0.0487465;-0.000834657;0.196018
0.023952;-0.0478048;-0.000311126;0.19577
0.024451;-0.0477888;0.00046968;0.195722
0.02495;-0.0467274;0.0014599;0.195714
0.025449;-0.0457977;0.0022766;0.195874
0.025948;-0.0457977;0.00293774;0.195706
0.026447;-0.0449039;0.0030933;0.195706
0.026946;-0.0438066;0.00338648;0.195834
0.027445;-0.0438066;0.00363478;0.195786
0.027944;-0.0434434;0.0043827;0.195714
0.028443;-0.0421583;0.00447843;0.195866
0.028942;-0.0418151;0.00450835;0.195794
0.029441;-0.0417193;0.00417328;0.195786
0.02994;-0.0399956;0.00381428;0.195786
0.030439;-0.039824;0.00299458;0.195706
0.030938;-0.0397961;0.00270739;0.196043
0.031437;-0.038603;0.00227361;0.195722
0.031936;-0.0378329;0.00126844;0.195762
0.032435;-0.0378329;-8.67564e-05;0.195746
0.032934;-0.037801;-0.000613278;0.195834
0.033433;-0.0363325;-0.00146289;0.195786
0.033932;-0.0358417;-0.0020283;0.195914
0.034431;-0.0358417;-0.00297962;0.195858
0.03493;-0.0348002;-0.00305741;0.195882
0.035429;-0.0338505;-0.00318605;0.195834
0.035928;-0.0338505;-0.00320698;0.196026
0.036427;-0.0336391;-0.00339844;0.196219
0.036926;-0.0320709;-0.00346426;0.196162
0.037425;-0.0318594;-0.00347922;0.196643
0.037924;-0.0315682;-0.00312322;0.196043
0.038423;-0.0300758;-0.00276124;0.196066
0.038922;-0.0298683;-0.00208813;0.19585
0.039421;-0.0298005;-0.00140904;0.195914
0.03992;-0.0282641;-0.00125348;0.195994
0.040419;-0.027877;-0.000448739;0.19605
0.040918;-0.027877;0.000194454;0.195818
0.041417;-0.0271109;0.00125348;0.196235
0.041916;-0.0258859;0.00182487;0.195826
0.042415;-0.0258859;0.0027732;0.196058
0.042914;-0.025834;0.00299458;0.196274
0.043413;-0.0243214;0.0031322;0.195898
0.043912;-0.0238944;0.00361983;0.19601
0.044411;-0.0237188;0.00436176;0.195802
0.04491;-0.0222664;0.00440065;0.195754
0.045409;-0.0219033;0.00467289;0.195906
0.045908;-0.0215202;0.00437073;0.195826
0.046407;-0.0199878;0.00413738;0.195722
0.046906;-0.019912;0.00336853;0.195914
0.047405;-0.019912;0.00273432;0.195706
0.047904;-0.0190421;0.00221079;0.195818
0.048403;-0.0179248;0.00173213;0.195706
0.048902;-0.0179208;0.000798758;0.195746
0.049401;-0.0170709;-4.18824e-05;0.195706
0.0499;-0.0159297;-0.00120262;0.195706
0.050399;-0.0159297;-0.00169025;0.195706
0.050898;-0.0156743;-0.00274628;0.195762
0.051397;-0.0142258;-0.00297364;0.195706
0.051896;-0.0139385;-0.00312621;0.195946
0.052395;-0.0139385;-0.00324288;0.195706
0.052894;-0.0133758;-0.00331169;0.195706
0.053393;-0.0119512;-0.00360487;0.195706
0.053892;-0.0119472;-0.0035929;0.195706
0.054391;-0.0110933;-0.00366171;0.195714
0.05489;-0.0100159;-0.00316211;0.195706
0.055389;-0.009956;-0.00218985;0.195706
0.055888;-0.00949713;-0.00167828;0.195706
0.056387;-0.00801673;-0.00155563;0.195706
0.056886;-0.00796486;-0.000966288;0.195722
0.057385;-0.0078611;2.39328e-05;0.195738
0.057884;-0.00657614;0.000756875;0.195706
0.058383;-0.0059736;0.00163341;0.195706
0.058882;-0.00594567;0.00227661;0.195754
0.059381;-0.00492815;0.00285398;0.195706
0.05988;-0.00398243;0.00306638;0.195706
0.060379;-0.00398243;0.00327579;0.195706
0.060878;-0.00316439;0.00404464;0.195706
0.061377;-0.00199121;0.00429295;0.195706
0.061876;-0.00199121;0.00447245;0.195706
0.062375;-0.00121707;0.00452331;0.195706
0.062874;-4.78848e-05;0.00448741;0.195706
0.063373;0;0.00365273;0.195714
0.063872;3.59136e-05;0.00317408;0.195706
0.064371;0.00142857;0.00282706;0.195722
0.06487;0.00199121;0.00189368;0.195706
0.065369;0.00199121;0.00122656;0.195706
0.065868;0.00206304;0.000128639;0.195706
0.066367;0.00365921;-0.000397882;0.195706
0.066866;0.00398243;-0.00147785;0.195722
0.067365;0.00400238;-0.00236336;0.195722
0.067864;0.00546683;-0.00312023;0.195706
0.068363;0.0059736;-0.00315313;0.195706
