t;vds;corrente;vg
0.000499;-0.0960004;0.0101952;-0.196871
0.000998;-0.0958084;0.0103409;-0.198974
0.001497;-0.0958084;0.0105762;-0.19895
0.001996;-0.0958084;0.0117074;-0.199006
0.002495;-0.0958084;0.0120513;-0.19895
0.002994;-0.0958084;0.0130678;-0.19907
0.003493;-0.0958084;0.0135475;-0.19895
0.003992;-0.0958084;0.0136862;-0.19895
0.004491;-0.0958084;0.0147571;-0.19895
0.00499;-0.0958084;0.0150528;-0.19895
0.005489;-0.0958084;0.0159637;-0.19895
0.005988;-0.0958084;0.016558;-0.199062
0.006487;-0.0958084;0.0171796;-0.19895
0.006986;-0.0958084;0.0180635;-0.19895
0.007485;-0.0958084;0.0181359;-0.19895
0.007984;-0.0958084;0.0192067;-0.19895
0.008483;-0.0958084;0.0195686;-0.19895
0.008982;-0.0958084;0.0198311;-0.19895
0.009481;-0.0958084;0.0209624;-0.198966
0.00998;-0.0958084;0.021074;-0.19895
0.010479;-0.0958084;0.0219791;-0.19895
0.010978;-0.0958084;0.0225794;-0.19895
0.011477;-0.0958084;0.0228538;-0.19895
0.011976;-0.0958084;0.0239879;-0.198982
0.012475;-0.0958084;0.0240875;-0.19911
0.012974;-0.0958084;0.0249987;-0.19895
0.013473;-0.0958084;0.0255899;-0.19895
0.013972;-0.0958084;0.0256261;-0.199014
0.014471;-0.0958084;0.0267209;-0.19895
0.01497;-0.0958084;0.027095;-0.19895
0.015469;-0.0958084;0.0278584;-0.19895
0.015968;-0.0958084;0.0285734;-0.19895
0.016467;-0.0958084;0.0290559;-0.19895
0.016966;-0.0958084;0.0298672;-0.19895
0.017465;-0.0958084;0.0301146;-0.19895
0.017964;-0.0958084;0.0310771;-0.19899
0.018463;-0.0958084;0.031611;-0.19895
0.018962;-0.0958084;0.0318131;-0.198958
0.019461;-0.0958084;0.0330255;-0.19895
0.01996;-0.0958084;0.0331251;-0.19895
0.020459;-0.0958084;0.0339669;-0.198966
0.020958;-0.0958084;0.0346215;-0.199198
0.021457;-0.0958084;0.0349564;-0.198966
0.021956;-0.0958084;0.0360455;-0.19895
0.022455;-0.0958084;0.036127;-0.199237
0.022954;-0.0958084;0.036691;-0.198966
0.023453;-0.0958084;0.0376321;-0.19915
0.023952;-0.0958084;0.0377648;-0.19895
0.024451;-0.0958084;0.0390438;-0.199054
0.02495;-0.0958084;0.0391433;-0.19895
0.025449;-0.0958084;0.0400181;-0.199022
0.025948;-0.0958084;0.0406425;-0.19895
0.026447;-0.0958084;0.0410348;-0.19895
0.026946;-0.0958084;0.042139;-0.19895
0.027445;-0.0958084;0.042148;-0.19895
0.027944;-0.0958084;0.0432581;-0.19895
0.028443;-0.0958084;0.0436532;-0.19895
0.028942;-0.0958084;0.0437317;-0.19895
0.029441;-0.0958084;0.04502;-0.19895
0.02994;-0.0958084;0.0451618;-0.19895
0.030439;-0.0958084;0.0459578;-0.19895
0.030938;-0.0958084;0.0466637;-0.19895
0.031437;-0.0958084;0.0468206;-0.199086
0.031936;-0.0958084;0.0479849;-0.19895
0.032435;-0.0958084;0.0482082;-0.19895
0.032934;-0.0958084;0.0490711;-0.19895
0.033433;-0.0958084;0.0496745;-0.19895
0.033932;-0.0958084;0.0502024;-0.19895
0.034431;-0.0958084;0.0511768;-0.19895
0.03493;-0.0958084;0.0512461;-0.19895
0.035429;-0.0958084;0.0522864;-0.19895
0.035928;-0.0958084;0.0526847;-0.19895
0.036427;-0.0958084;0.0531583;-0.19895
0.036926;-0.0958084;0.0541899;-0.19895
0.037425;-0.0958084;0.0541899;-0.19895
0.037924;-0.0958084;0.0549232;-0.19895
0.038423;-0.0958084;0.0556955;-0.19895
0.038922;-0.0958084;0.0559067;-0.19895
0.039421;-0.0958084;0.0571166;-0.19895
0.03992;-0.0958084;0.0572011;-0.19895
0.040419;-0.0958084;0.0576868;-0.19895
0.040918;-0.0958084;0.0586792;-0.19895
0.041417;-0.0958084;0.0587124;-0.19895
0.041916;-0.0958084;0.0599788;-0.19895
0.042415;-0.0958084;0.0602111;-0.19895
0.042914;-0.0958084;0.0612549;-0.19895
0.043413;-0.0958084;0.0617165;-0.19895
0.043912;-0.0958084;0.0617165;-0.198966
0.044411;-0.0958084;0.0626458;-0.19895
0.04491;-0.0958084;0.063222;-0.19895
0.045409;-0.0958084;0.0636113;-0.19895
0.045908;-0.0958084;0.0646912;-0.19895
0.046407;-0.0958084;0.0648389;-0.19895
0.046906;-0.0958084;0.0659665;-0.19895
0.047405;-0.0958084;0.066232;-0.19895
0.047904;-0.0958084;0.0668989;-0.19895
0.048403;-0.0958084;0.0677377;-0.19895
0.048902;-0.0958084;0.0677437;-0.19895
0.049401;-0.0958084;0.0687483;-0.19895
0.0499;-0.0958084;0.069243;-0.19895
0.050399;-0.0958084;0.0696743;-0.19895
0.050898;-0.0958084;0.0707393;-0.19895
0.051397;-0.0958084;0.0708571;-0.19895
0.051896;-0.0958084;0.0720307;-0.19895
0.052395;-0.0958084;0.0722539;-0.19895
0.052894;-0.0958084;0.0727361;-0.19895
0.053393;-0.0958084;0.0737585;-0.19895
0.053892;-0.0958084;0.0737585;-0.19895
0.054391;-0.0958084;0.0743833;-0.19895
0.05489;-0.0958084;0.0751978;-0.19895
0.055389;-0.0958084;0.0753668;-0.19895
0.055888;-0.0958084;0.0767303;-0.19895
0.056387;-0.0958084;0.0767937;-0.19895
0.056886;-0.0958084;0.0779397;-0.19895
0.057385;-0.0958084;0.0782746;-0.19895
0.057884;-0.0958084;0.0787788;-0.19895
0.058383;-0.0958084;0.0797715;-0.19895
0.058882;-0.0958084;0.0797805;-0.19895
0.059381;-0.0958084;0.0805461;-0.19895
0.05988;-0.0958084;0.081285;-0.19895
0.060379;-0.0958084;0.0818013;-0.19895
0.060878;-0.0958084;0.0827396;-0.19895
0.061377;-0.0958084;0.0828422;-0.19895
0.061876;-0.0958084;0.0839853;-0.19895
0.062375;-0.0958084;0.0842961;-0.19895
0.062874;-0.0958084;0.0845975;-0.19895
0.063373;-0.0958084;0.0857618;-0.19895
0.063872;-0.0958084;0.0858161;-0.19895
0.064371;-0.0958084;0.0870862;-0.19895
0.06487;-0.0958084;0.0873064;-0.19895
0.065369;-0.0958084;0.0879577;-0.19895
0.065868;-0.0958084;0.0888114;-0.19895
0.066367;-0.0958084;0.089047;-0.19895
0.066866;-0.0958084;0.0903025;-0.19895
0.067365;-0.0958084;0.0903296;-0.19895
0.067864;-0.0958084;0.0911106;-0.19895
0.068363;-0.0958084;0.0918196;-0.19895
0.068862;-0.0958084;0.0918618;-0.19895
0.069361;-0.0958084;0.0930228;-0.199062
0.06986;-0.0958084;0.0933275;-0.19895
0.070359;-0.0958084;0.0935056;-0.19895
0.070858;-0.0958084;0.0947757;-0.19895
0.071357;-0.0958084;0.094833;-0.19895
0.071856;-0.0958084;0.0954633;-0.19895
0.072355;-0.0958084;0.0963228;-0.19895
0.072854;-0.0958084;0.0963891;-0.19895
0.073353;-0.0958084;0.0976709;-0.19895
0.073852;-0.0958084;0.0978429;-0.19895
0.074351;-0.0958084;0.0987185;-0.19895
0.07485;-0.0958084;0.099349;-0.19895
0.075349;-0.0958084;0.0994937;-0.19895
0.075848;-0.0958084;0.100681;-0.19895
0.076347;-0.0958084;0.100853;-0.198958
0.076846;-0.0958084;0.101557;-0.19895
0.077345;-0.0958084;0.102336;-0.199198
0.077844;-0.0958084;0.102441;-0.19907
0.078343;-0.0958084;0.103418;-0.199086
0.078842;-0.0958084;0.103864;-0.19895
0.079341;-0.0958084;0.104353;-0.19895
0.07984;-0.0958084;0.10536;-0.19895
0.080339;-0.0958084;0.105427;-0.19895
0.080838;-0.0958084;0.106399;-0.19895
0.081337;-0.0958084;0.106879;-0.19895
0.081836;-0.0958084;0.107738;-0.19895
0.082335;-0.0958084;0.108389;-0.19895
0.082834;-0.0958084;0.1088;-0.19895
0.083333;-0.0958084;0.109886;-0.19895
0.083832;-0.0958084;0.109886;-0.19895
0.084331;-0.0958084;0.110607;-0.19895
0.08483;-0.0958084;0.111385;-0.19895
0.085329;-0.0958084;0.111545;-0.19895
0.085828;-0.0958084;0.1127;-0.19895
0.086327;-0.0958084;0.112896;-0.19895
0.086826;-0.0958084;0.113754;-0.198974
0.087325;-0.0958084;0.114402;-0.19895
0.087824;-0.0958084;0.114601;-0.19895
0.088323;-0.0958084;0.115743;-0.19895
0.088822;-0.0958084;0.115912;-0.19895
0.089321;-0.0958084;0.116628;-0.19895
0.08982;-0.0958084;0.117413;-0.19895
0.090319;-0.0958084;0.117485;-0.19895
0.090818;-0.0958084;0.118709;-0.19895
0.091317;-0.0958084;0.118918;-0.199038
0.091816;-0.0958084;0.119538;-0.199054
0.092315;-0.0958084;0.120422;-0.19899
0.092814;-0.0958084;0.120555;-0.199014
0.093313;-0.0958084;0.121627;-0.19895
0.093812;-0.0958084;0.121928;-0.19895
0.094311;-0.0958084;0.122121;-0.19895
0.09481;-0.0958084;0.123225;-0.19895
0.095309;-0.0958084;0.123439;-0.19895
0.095808;-0.0958084;0.124285;-0.19895
0.096307;-0.0958084;0.124936;-0.19895
0.096806;-0.0958084;0.125358;-0.19895
0.097305;-0.0958084;0.126435;-0.19895
0.097804;-0.0958084;0.126556;-0.19895
0.098303;-0.0958084;0.127713;-0.19895
