t;vds;corrente;vg
0.000499;0.0968961;0.00972388;0.187118
0.000998;0.0969119;0.010175;0.190897
0.001497;0.0962443;0.010537;0.190746
0.001996;0.0966121;0.0114027;0.190371
0.002495;0.0966241;0.0120422;0.190818
0.002994;0.0964922;0.0127511;0.190666
0.003493;0.0966961;0.0135475;0.190929
0.003992;0.0966401;0.0135475;0.190993
0.004491;0.096648;0.014724;0.190802
0.00499;0.097016;0.0150528;0.19065
0.005489;0.0967;0.0156199;0.19053
0.005988;0.0963882;0.0165158;0.190857
0.006487;0.0966281;0.0170468;0.19081
0.006986;0.0967481;0.0180092;0.190371
0.007485;0.0964282;0.0180635;0.190786
0.007984;0.0965081;0.0189563;0.190762
0.008483;0.0964521;0.0195686;0.190491
0.008982;0.0964682;0.0196924;0.190937
0.009481;0.096904;0.0209745;0.190897
0.00998;0.096844;0.021074;0.190993
0.010479;0.0971919;0.0218856;0.190993
0.010978;0.096852;0.0225643;0.190961
0.011477;0.0966521;0.0226548;0.190754
0.011976;0.0966801;0.0239276;0.190818
0.012475;0.0971719;0.0240845;0.190977
0.012974;0.0972119;0.0247814;0.190993
0.013473;0.096992;0.0255537;0.190865
0.013972;0.0968241;0.0255899;0.190993
0.014471;0.0967401;0.0264705;0.190993
0.01497;0.0963642;0.027095;0.190897
0.015469;0.097068;0.0274933;0.19069
0.015968;0.096856;0.0285975;0.190299
0.016467;0.096628;0.0286548;0.190873
0.016966;0.0966081;0.0298491;0.190897
0.017465;0.096844;0.0301055;0.190889
0.017964;0.096812;0.0309655;0.19077
0.018463;0.0972119;0.031611;0.190961
0.018962;0.096936;0.031611;0.190993
0.019461;0.09678;0.0328777;0.190993
0.01996;0.096956;0.033122;0.190993
0.020459;0.0970119;0.0340302;0.190977
0.020958;0.096808;0.0346215;0.190993
0.021457;0.0967801;0.0347633;0.190993
0.021956;0.0969;0.0359791;0.191081
0.022455;0.0966961;0.036127;0.190993
0.022954;0.096824;0.0364799;0.190993
0.023453;0.096916;0.0376321;0.190993
0.023952;0.0971199;0.0379607;0.190961
0.024451;0.09686;0.0389654;0.190953
0.02495;0.0966321;0.0391373;0.190993
0.025449;0.096816;0.039831;0.190993
0.025948;0.096976;0.0406425;0.190993
0.026447;0.0966721;0.0408266;0.190993
0.026946;0.0970159;0.042139;0.190921
0.027445;0.096544;0.0421541;0.190993
0.027944;0.0970399;0.0432641;0.190993
0.028443;0.096756;0.0436532;0.190993
0.028942;0.0968;0.0437287;0.190897
0.029441;0.096864;0.0449295;0.190993
0.02994;0.0967201;0.0451588;0.190993
0.030439;0.096956;0.0459428;0.190953
0.030938;0.096824;0.0466577;0.190993
0.031437;0.0966401;0.0466818;0.190714
0.031936;0.096948;0.0477979;0.190626
0.032435;0.097076;0.048169;0.190913
0.032934;0.096872;0.0488086;0.190985
0.033433;0.0967921;0.0496745;0.190825
0.033932;0.09662;0.0499431;0.190881
0.034431;0.097052;0.0510924;0.190993
0.03493;0.0972838;0.0511829;0.190993
0.035429;0.0971159;0.0520693;0.190969
0.035928;0.096988;0.0526847;0.190826
0.036427;0.0969479;0.0527631;0.190953
0.036926;0.09696;0.0541206;0.190953
0.037425;0.0966241;0.0541899;0.190746
0.037924;0.096948;0.0545068;0.190865
0.038423;0.0965961;0.0556593;0.190714
0.038922;0.0965001;0.0557408;0.190754
0.039421;0.096852;0.056833;0.190945
0.03992;0.0966921;0.0572011;0.190993
0.040419;0.0968;0.0574816;0.190762
0.040918;0.0970199;0.05864;0.190961
0.041417;0.097024;0.0587154;0.190977
0.041916;0.0972238;0.0598038;0.190993
0.042415;0.0971919;0.0602111;0.190993
0.042914;0.0970159;0.0609321;0.190905
0.043413;0.0971919;0.0617165;0.190842
0.043912;0.0967121;0.0617255;0.190586
0.044411;0.0965721;0.0626126;0.190993
0.04491;0.096948;0.063222;0.190985
0.045409;0.096948;0.0632945;0.190897
0.045908;0.0966641;0.0645796;0.190826
0.046407;0.0969879;0.0647485;0.190969
0.046906;0.0971439;0.065686;0.190842
0.047405;0.0970839;0.066232;0.19069
0.047904;0.0967801;0.0665066;0.190706
0.048403;0.0969721;0.0676955;0.190475
0.048902;0.096952;0.0677467;0.190084
0.049401;0.0964922;0.068709;0.190076
0.0499;0.0967401;0.0692309;0.189741
0.050399;0.096976;0.069611;0.190937
0.050898;0.0972159;0.0707484;0.190841
0.051397;0.0967721;0.0707484;0.190746
0.051896;0.097152;0.0718498;0.190993
0.052395;0.0970239;0.0722539;0.190722
0.052894;0.0970839;0.0725222;0.190953
0.053393;0.0971678;0.0737012;0.190889
0.053892;0.096816;0.0737585;0.190993
0.054391;0.0970519;0.0742838;0.190833
0.05489;0.0972839;0.0752159;0.190993
0.055389;0.09688;0.0753848;0.190834
0.055888;0.0971679;0.0766488;0.190794
0.056387;0.0971479;0.0767966;0.190929
0.056886;0.0973677;0.0774843;0.19077
0.057385;0.0972719;0.0782746;0.19077
0.057884;0.097016;0.0785222;0.190818
0.058383;0.097024;0.0797081;0.190993
0.058882;0.0968241;0.0797805;0.190642
0.059381;0.0970839;0.0803471;0.19049
0.05988;0.0972519;0.081285;0.190754
0.060379;0.0973358;0.0815719;0.190993
0.060878;0.0970519;0.0826762;0.190993
0.061377;0.096996;0.0827909;0.190586
0.061876;0.097088;0.0836595;0.190897
0.062375;0.0969759;0.0842961;0.190634
0.062874;0.0971679;0.0844257;0.190666
0.063373;0.0974838;0.0854421;0.190738
0.063872;0.097124;0.085801;0.190993
0.064371;0.09698;0.0867575;0.190993
0.06487;0.0969;0.0873064;0.190993
0.065369;0.0970559;0.0877285;0.190993
0.065868;0.0970879;0.0888114;0.190985
0.066367;0.0970039;0.0888265;0.190993
0.066866;0.0972559;0.0899102;0.190913
0.067365;0.0969081;0.0903175;0.190993
0.067864;0.0971919;0.0906853;0.190969
0.068363;0.0973078;0.0918196;0.190993
0.068862;0.0972159;0.0918226;0.190993
0.069361;0.0971959;0.0926518;0.190993
0.06986;0.0970959;0.0933214;0.190993
0.070359;0.0973958;0.0933728;0.191017
0.070858;0.0974158;0.0945585;0.190786
0.071357;0.0974678;0.094833;0.190937
0.071856;0.0971759;0.0951918;0.190993
0.072355;0.0973878;0.0962836;0.190833
0.072854;0.09706;0.0963681;0.190969
0.073353;0.0970759;0.0972214;0.190993
0.073852;0.0970559;0.0978429;0.190993
0.074351;0.0971479;0.0983472;0.190913
0.07485;0.0973838;0.0993128;0.190993
0.075349;0.0973237;0.0994063;0.190993
0.075848;0.0973718;0.100419;0.190993
0.076347;0.096972;0.100853;0.190993
0.076846;0.096884;0.101316;0.190985
0.077345;0.097208;0.102302;0.190953
0.077844;0.0971559;0.10236;0.190993
0.078343;0.0974238;0.103279;0.190993
0.078842;0.096964;0.103864;0.190993
0.079341;0.097024;0.10425;0.190977
0.07984;0.097176;0.105369;0.190993
0.080339;0.0971998;0.105369;0.190993
0.080838;0.0973478;0.106293;0.190929
0.081337;0.0972199;0.106876;0.190993
0.081836;0.096824;0.107255;0.190993
0.082335;0.0969919;0.10838;0.190993
0.082834;0.096852;0.108715;0.190993
0.083333;0.0972239;0.109856;0.190977
0.083832;0.0972679;0.109886;0.190961
0.084331;0.0973438;0.110133;0.190993
0.08483;0.0970399;0.111391;0.190993
0.085329;0.096972;0.11149;0.190818
0.085828;0.0970759;0.112579;0.190993
0.086327;0.0970879;0.112896;0.190993
0.086826;0.0971719;0.11369;0.190993
0.087325;0.0972638;0.114402;0.190897
0.087824;0.096988;0.114426;0.190754
0.088323;0.0975838;0.115674;0.190993
0.088822;0.0970679;0.115906;0.19081
0.089321;0.0971959;0.116353;0.190961
0.08982;0.097024;0.117401;0.190881
0.090319;0.0972558;0.117428;0.190993
0.090818;0.0970999;0.118592;0.190993
0.091317;0.0972559;0.118918;0.190993
0.091816;0.0971759;0.119291;0.190387
0.092315;0.0972199;0.120383;0.190961
0.092814;0.0973038;0.120458;0.190849
0.093313;0.0973039;0.121545;0.190993
0.093812;0.0971639;0.121928;0.190842
0.094311;0.0971079;0.121928;0.190857
0.09481;0.0970679;0.123152;0.190993
0.095309;0.0972039;0.123433;0.190993
0.095808;0.0972118;0.12427;0.190969
0.096307;0.0972358;0.124918;0.190993
0.096806;0.0974557;0.12518;0.190993
0.097305;0.097056;0.126405;0.190993
0.097804;0.097048;0.126571;0.190993
0.098303;0.0973918;0.127638;0.190993
0.098802;0.0970639;0.127949;0.190993
0.099301;0.0971719;0.128045;0.190993
0.0998;0.0973158;0.12918;0.190993
0.100299;0.09694;0.129476;0.190993
0.100798;0.097016;0.130332;0.190993
0.101297;0.0972518;0.130959;0.190993
0.101796;0.0972398;0.131267;0.190993
0.102295;0.0973158;0.132383;0.190993
0.102794;0.096988;0.132464;0.190937
0.103293;0.0970679;0.132953;0.190961
0.103792;0.0973278;0.13394;0.190993
0.104291;0.0971399;0.134112;0.190969
0.10479;0.0972279;0.135346;0.190937
0.105289;0.096888;0.135578;0.190993
0.105788;0.0971919;0.13652;0.190969
0.106287;0.0970279;0.136981;0.190953
0.106786;0.09696;0.137349;0.190746
0.107285;0.0971039;0.138456;0.190953
0.107784;0.0971959;0.138519;0.190523
0.108283;0.0973517;0.139759;0.190993
0.108782;0.0970879;0.139991;0.190865
0.109281;0.0971999;0.140335;0.190993
0.10978;0.097104;0.141494;0.190794
0.110279;0.096984;0.141497;0.190666
0.110778;0.097084;0.142031;0.190722
0.111277;0.0971359;0.143001;0.190897
0.111776;0.0972838;0.14301;0.190977
0.112275;0.0973398;0.143995;0.190841
0.112774;0.0973079;0.144508;0.190993
0.113273;0.0974878;0.144837;0.190993
0.113772;0.0974798;0.145847;0.19053
0.114271;0.0973158;0.146085;0.19065
0.11477;0.0973278;0.147013;0.190881
0.115269;0.0973638;0.147517;0.190993
0.115768;0.0972159;0.148085;0.190993
0.116267;0.0974598;0.149006;0.190834
0.116766;0.0971239;0.149051;0.190993
0.117265;0.0974078;0.149024;0.190961
0.117764;0.0970439;0.148987;0.190921
0.118263;0.0972559;0.147719;0.190985
0.118762;0.0973838;0.147517;0.190993
0.119261;0.0974198;0.146773;0.190762
0.11976;0.0973638;0.146025;0.190738
0.120259;0.0974317;0.145941;0.190873
0.120758;0.0972079;0.144647;0.190905
0.121257;0.0975997;0.144508;0.190993
0.121756;0.0973318;0.143692;0.190993
0.122255;0.0973158;0.143001;0.190993
0.122754;0.097088;0.142986;0.190993
0.123253;0.0974238;0.141762;0.190993
0.123752;0.0970879;0.141497;0.190881
0.124251;0.0971959;0.141231;0.190993
0.12475;0.0971519;0.140096;0.190977
0.125249;0.0971319;0.139991;0.190993
0.125748;0.0974918;0.139324;0.190993
0.126247;0.0973599;0.138507;0.190953
0.126746;0.0972159;0.138293;0.190642
0.127245;0.0972639;0.137141;0.190714
0.127744;0.0970399;0.136966;0.190833
0.128243;0.0974638;0.1361;0.190594
0.128742;0.0974318;0.135487;0.190706
0.129241;0.0973438;0.13518;0.190626
0.12974;0.0974198;0.134058;0.190977
0.130239;0.0972959;0.133931;0.190993
0.130738;0.0975317;0.132817;0.190865
0.131237;0.0974318;0.132464;0.190993
0.131736;0.0971919;0.132114;0.190993
0.132235;0.0974478;0.131053;0.190993
0.132734;0.0974278;0.130914;0.190993
0.133233;0.0972638;0.129916;0.190993
0.133732;0.0973318;0.129455;0.190961
0.134231;0.0973438;0.129071;0.190993
0.13473;0.0973798;0.128015;0.190993
0.135229;0.0971958;0.127949;0.190977
0.135728;0.0976237;0.127243;0.190889
0.136227;0.0973039;0.12645;0.190993
0.136726;0.0972759;0.126348;0.190929
0.137225;0.0972839;0.125075;0.190993
0.137724;0.09708;0.124903;0.19057
0.138223;0.0972319;0.12381;0.190762
0.138722;0.0971678;0.123433;0.190626
0.139221;0.0973678;0.122942;0.190722
0.13972;0.0972598;0.121928;0.190395
0.140219;0.0972798;0.121925;0.190993
0.140718;0.0975118;0.121128;0.190666
