t;vds;corrente;vg
0.02495;0.0155945;0.198039;0.370014
0.0499;0.0154788;0.199216;0.372204
0.07485;0.015826;0.199129;0.36729
0.0998;0.0157382;0.199224;0.360953
0.12475;0.0157501;0.199224;0.355925
0.1497;0.0159018;0.198985;0.349492
0.17465;0.0159018;0.199193;0.343458
0.1996;0.0159058;0.199224;0.335982
0.22455;0.0159257;0.199193;0.332478
0.2495;0.0158978;0.199224;0.32609
0.27445;0.0159098;0.199224;0.319079
0.2994;0.016205;0.199121;0.312598
0.32435;0.0161212;0.199081;0.309459
0.3493;0.0161811;0.199216;0.303521
0.37425;0.0165482;0.199224;0.296863
0.3992;0.016632;0.199224;0.289339
0.42415;0.017043;0.199224;0.285082
0.4491;0.0173183;0.199089;0.27956
0.47405;0.0173462;0.199224;0.272276
0.499;0.0178091;0.199224;0.266674
0.52395;0.0177533;0.199169;0.261504
0.5489;0.0177892;0.199137;0.255597
0.57385;0.0177692;0.199224;0.248939
0.5988;0.017873;0.199081;0.24625
0.62375;0.0179647;0.199216;0.238262
0.6487;0.0180366;0.198873;0.231443
0.67365;0.0180366;0.198817;0.226193
0.6986;0.0184156;0.198961;0.221215
0.72355;0.0185792;0.199216;0.215324
0.7485;0.0189823;0.198865;0.208217
0.77345;0.019098;0.199209;0.200886
0.7984;0.0196008;0.199185;0.194564
0.82335;0.0197005;0.199001;0.190417
0.8483;0.0198202;0.199224;0.183709
0.87325;0.0198641;0.198889;0.17753
0.8982;0.019924;0.199193;0.17124
0.92315;0.0198721;0.199185;0.167607
0.9481;0.019916;0.199216;0.160708
0.97305;0.0201993;0.199216;0.155106
0.998;0.0205984;0.199224;0.15096
1.02295;0.0213246;0.198937;0.143789
1.0479;0.0216758;0.199209;0.137835
1.07285;0.0216998;0.199224;0.132633
1.0978;0.0219152;0.199224;0.126022
1.12275;0.0218594;0.199224;0.118595
1.1477;0.0221028;0.199081;0.111824
1.17265;0.0225497;0.199224;0.108415
1.1976;0.0235991;0.199224;0.1027
1.22255;0.0236909;0.199224;0.0961054
1.2475;0.0237587;0.199216;0.0896376
1.27245;0.0239543;0.199224;0.0846756
1.2974;0.0239742;0.199113;0.0796656
1.32235;0.0245769;0.199057;0.0728951
1.3473;0.0251037;0.199224;0.0682853
1.37225;0.0257662;0.199224;0.0619946
1.3972;0.0258021;0.199224;0.055912
1.42215;0.0258938;0.199201;0.0492692
1.4471;0.0260614;0.199209;0.045187
1.47205;0.0270431;0.199209;0.0385443
1.497;0.0278371;0.199224;0.0319657
1.52195;0.0279728;0.199049;0.0266835
1.5469;0.0280965;0.199001;0.0203126
1.57185;0.0294573;0.199081;0.0147903
1.5968;0.0297486;0.199224;0.00792339
1.62175;0.0298523;0.199033;0.000944402
1.6467;0.0308419;0.199224;-0.00270515
1.67165;0.0315801;0.199224;-0.00798742
1.6966;0.0318514;0.199224;-0.0150945
1.72155;0.0328969;0.198953;-0.021097
1.7465;0.0337628;0.199073;-0.0272757
1.77145;0.0339264;0.198865;-0.0324139
1.7964;0.0352551;0.199224;-0.0395207
1.82135;0.0357778;0.199073;-0.0454275
1.8463;0.0365878;0.197979;-0.0523104
1.87125;0.037769;0.199224;-0.0577207
1.8962;0.0386549;0.199224;-0.0638994
1.92115;0.0398998;0.199121;-0.0704941
1.9461;0.0413842;0.199081;-0.0769766
1.97105;0.0428448;0.199224;-0.0822907
1.996;0.0442814;0.199129;-0.0878609
2.02095;0.0458376;0.199177;-0.0935763
2.0459;0.0476571;0.199216;-0.0985224
2.07085;0.0495327;0.199065;-0.103885
2.0958;0.0517797;0.199121;-0.1112
2.12075;0.0543854;0.199224;-0.11629
2.1457;0.0566559;0.199224;-0.121268
2.17065;0.059549;0.199129;-0.128183
2.1956;0.0623422;0.199201;-0.135786
2.22055;0.0647962;0.198897;-0.142733
2.2455;0.0675694;0.199033;-0.147519
2.27045;0.0698598;0.199216;-0.151968
2.2954;0.0717432;0.198698;-0.159043
2.32035;0.0736106;0.198793;-0.165222
2.3453;0.0750592;0.199153;-0.1706
2.37025;0.0761286;0.198945;-0.175722
2.3952;0.07719;0.199224;-0.181212
2.42015;0.0776489;0.199224;-0.186016
2.4451;0.0775851;0.199057;-0.191811
2.47005;0.077206;0.199224;-0.199638
2.495;0.0759291;0.198881;-0.20492
2.51995;0.0754663;0.199153;-0.208842
2.5449;0.0740536;0.199224;-0.215677
2.56985;0.0732994;0.199224;-0.22288
2.5948;0.0719388;0.199097;-0.228194
2.61975;0.0708055;0.198993;-0.234421
2.6447;0.0692692;0.199224;-0.240103
2.66965;0.0676732;0.199224;-0.247386
2.6946;0.0657738;0.199224;-0.253228
2.71955;0.0643254;0.199153;-0.256766
2.7445;0.0626974;0.198913;-0.263585
2.76945;0.0611332;0.199216;-0.269235
2.7944;0.0594732;0.199224;-0.27527
2.81935;0.05743;0.199057;-0.28108
2.8443;0.0559097;0.199201;-0.287547
2.86925;0.0540662;0.199224;-0.293198
2.8942;0.0526057;0.199224;-0.298015
2.91915;0.0510171;0.199185;-0.305411
2.9441;0.0496363;0.199224;-0.312229
2.96905;0.0480841;0.199224;-0.319239
2.994;0.0466955;0.199201;-0.323226
3.01895;0.045674;0.199089;-0.329228
3.0439;0.0442854;0.199113;-0.335678
3.06885;0.0434753;0.199224;-0.342658
3.0938;0.0419827;0.198985;-0.346242
3.11875;0.0411767;0.199224;-0.351652
3.1437;0.0397961;0.199224;-0.358681
3.16865;0.0384793;0.198985;-0.364153
3.1936;0.0377451;0.199224;-0.369388
3.21855;0.0368872;0.199145;-0.375407
3.2435;0.036109;0.199193;-0.381892
3.26845;0.0356182;0.199153;-0.388853
3.2934;0.034501;0.199033;-0.39609
3.31835;0.0341259;0.199129;-0.394727
3.3433;0.0349678;0.199001;-0.388199
3.36825;0.035706;0.199224;-0.382099
3.3932;0.0358377;0.199209;-0.375503
3.41815;0.0359215;0.199153;-0.368874
3.4431;0.0366278;0.199216;-0.363579
3.46805;0.0371904;0.199161;-0.358968
3.493;0.037797;0.199209;-0.35146
3.51795;0.0380444;0.199209;-0.345331
3.5429;0.0394649;0.199161;-0.341841
3.56785;0.0399317;0.199224;-0.335085
3.5928;0.0411807;0.199216;-0.329149
3.61775;0.0418071;0.199169;-0.322744
3.6427;0.0430683;0.199224;-0.318439
3.66765;0.0437786;0.198993;-0.311509
3.6926;0.0446724;0.199224;-0.305073
3.71755;0.0457139;0.199201;-0.298144
3.7425;0.0469229;0.199224;-0.292717
3.76745;0.0478048;0.199224;-0.287291
3.7924;0.0490776;0.199089;-0.279976
3.81735;0.0499117;0.199161;-0.274213
3.8423;0.0515761;0.199216;-0.267714
3.86725;0.0531404;0.199041;-0.263569
3.8922;0.054525;0.198897;-0.256062
3.91715;0.055798;0.199216;-0.252092
3.9421;0.0574898;0.199201;-0.24697
3.96705;0.0588705;0.199097;-0.240311
3.992;0.0600079;0.198729;-0.233236
4.01695;0.0617676;0.199224;-0.227218
4.0419;0.0632879;0.199169;-0.221567
4.06685;0.0645209;0.198961;-0.214988
4.0918;0.06569;0.199224;-0.207881
4.11675;0.0674856;0.199224;-0.203448
4.1417;0.0687984;0.199193;-0.199126
4.16665;0.0699037;0.199224;-0.191827
4.1916;0.0715916;0.199216;-0.185598
4.21655;0.0719148;0.199145;-0.18134
4.2415;0.0730879;0.198825;-0.175722
4.26645;0.0737862;0.199224;-0.169992
4.2914;0.0744447;0.199185;-0.163861
4.31635;0.0750752;0.198945;-0.158579
4.3413;0.0754822;0.198977;-0.15176
4.36625;0.0756538;0.198953;-0.146222
4.3912;0.0754304;0.198714;-0.142157
4.41615;0.0746123;0.19853;-0.134937
4.4411;0.0737064;0.199081;-0.127655
4.46605;0.0729961;0.199216;-0.119987
4.491;0.0716834;0.199224;-0.115874
4.51595;0.0700953;0.198857;-0.111088
4.5409;0.0681121;0.199161;-0.103837
4.56585;0.0658257;0.199224;-0.0982983
4.5908;0.0638745;0.199224;-0.0917664
4.61575;0.0615881;0.199224;-0.0878289
4.6407;0.0592458;0.199224;-0.0809782
4.66565;0.057015;0.199216;-0.0747678
4.6906;0.0546608;0.199224;-0.0681892
4.71555;0.0527853;0.199224;-0.0636273
4.7405;0.0503306;0.199224;-0.0561521
4.76545;0.0488343;0.199224;-0.0507579
4.7904;0.0473978;0.199153;-0.0437464
4.81535;0.0457258;0.199113;-0.0392486
4.8403;0.0442575;0.199193;-0.032638
4.86525;0.0433317;0.199193;-0.0263954
4.8902;0.0418351;0.199137;-0.021305
4.91515;0.040235;0.199073;-0.0149344
4.9401;0.0394649;0.198873;-0.00798742
4.96505;0.0381042;0.199224;-0.00134457
4.99;0.0375616;0.199216;0.0016327
5.01495;0.0364482;0.199057;0.00803544
5.0399;0.0359055;0.199041;0.0147583
5.06485;0.0351394;0.199065;0.0222175
5.0898;0.0339982;0.199145;0.0265394
5.11475;0.0336909;0.198977;0.0320297
5.1397;0.0325298;0.199224;0.0388965
5.16465;0.0319472;0.199017;0.0455556
5.1896;0.0315801;0.199121;0.0485489
5.21455;0.030407;0.199105;0.055912
5.2395;0.029984;0.199224;0.0620585
5.26445;0.0297725;0.199224;0.0693096
5.2894;0.0288587;0.198849;0.072751
5.31435;0.0281963;0.198961;0.0798737
5.3393;0.0278172;0.198985;0.0853158
5.36425;0.0276656;0.199224;0.090487
5.3892;0.0270471;0.199224;0.0972899
5.41415;0.0260295;0.199025;0.103709
5.4391;0.0259018;0.199017;0.108527
5.46405;0.0258779;0.199224;0.112224
5.489;0.0255027;0.198945;0.119475
5.51395;0.0250956;0.199009;0.12631
5.5389;0.0242615;0.198219;0.132825
5.56385;0.0239423;0.199057;0.138891
5.5888;0.0239343;0.198809;0.143821
5.61375;0.0238425;0.198594;0.150768
5.6387;0.0236909;0.198354;0.156226
5.66365;0.0230964;0.199224;0.161508
5.6886;0.0222544;0.198865;0.167735
5.71355;0.022035;0.199105;0.171848
5.7385;0.0219312;0.199161;0.178411
5.76345;0.0219153;0.199169;0.184126
5.7884;0.0216958;0.199216;0.191298
5.81335;0.0217756;0.199009;0.195524
5.8383;0.0213885;0.199121;0.202215
5.86325;0.0208777;0.199224;0.208714
5.8882;0.0202472;0.199209;0.215661
5.91315;0.0200118;0.199224;0.220671
5.9381;0.0199838;0.199224;0.226129
5.96305;0.0199878;0.199033;0.231796
5.988;0.0198362;0.199224;0.239495
6.01295;0.0197923;0.199224;0.245257
6.0379;0.0197524;0.199224;0.250363
6.06285;0.0197404;0.199224;0.255597
6.0878;0.0196167;0.199224;0.262192
6.11275;0.0191179;0.199201;0.266402
6.1377;0.0191897;0.199089;0.272468
6.16265;0.0183239;0.199161;0.279752
6.1876;0.0182281;0.199161;0.285962
6.21255;0.0180326;0.199209;0.28958
6.2375;0.0180366;0.199224;0.295727
6.26245;0.0178809;0.199224;0.303521
6.2874;0.017861;0.198897;0.308516
6.31235;0.0178211;0.199073;0.313957
6.3373;0.0177373;0.199121;0.320184
6.36225;0.017845;0.199145;0.327292
6.3872;0.0178331;0.199113;0.33254
6.41215;0.0175019;0.199224;0.336174
6.4371;0.0173861;0.199193;0.343362
6.46205;0.0174181;0.199224;0.350627
6.487;0.0172305;0.199224;0.356488
6.51195;0.0166519;0.199145;0.360728
6.5369;0.0164405;0.199216;0.367418
6.56185;0.0163367;0.199224;0.37235
6.5868;0.0161452;0.199224;0.378755
6.61175;0.0161173;0.199137;0.386164
6.6367;0.0160494;0.199185;0.391542
6.66165;0.0158778;0.199224;0.398427
6.6866;0.0159058;0.199089;0.403483
6.71155;0.0158738;0.199224;0.408862
6.7365;0.0158739;0.199193;0.415458
6.76145;0.0159058;0.199121;0.421826
6.7864;0.0158659;0.199216;0.425077
6.81135;0.0156624;0.199224;0.431577
6.8363;0.0157422;0.199081;0.438441
6.86125;0.0156743;0.199153;0.444847
6.8862;0.0155746;0.199224;0.44792
6.91115;0.0155786;0.199224;0.455264
6.9361;0.0151277;0.199224;0.46183
6.96105;0.0151077;0.199224;0.46975
6.986;0.014988;0.199224;0.47542
7.01095;0.0144373;0.198897;0.480093
7.0359;0.0144213;0.199121;0.487005
7.06085;0.0145371;0.199224;0.493251
7.0858;0.0143535;0.199224;0.499346
