t;vds;corrente;vg
0.0002495;-0.00193193;-0.00139792;-0.00893034
0.000499;-0.00197594;0.000153756;-0.00620183
0.0007485;-0.0016659;0.00710917;-0.00616401
0.000998;-0.00175887;0.0142588;-0.00548333
0.0012475;-0.00168024;0.00653461;-0.00482154
0.001497;-0.00168667;-0.00193004;-0.00359252
0.0017465;-0.00156552;-0.0103016;-0.00346017
0.001996;-0.00149926;-0.0104351;-0.00209879
0.0022455;-0.00128318;-0.00597624;-0.00206097
0.002495;-0.0015591;0.0050011;-0.00260931
0.0027445;-0.00148789;0.00693518;-0.00329
0.002994;-0.00158085;0.00647391;-0.00234459
0.0032435;-0.00148789;-0.00167917;-0.00277948
0.003493;-0.00163673;-0.0128467;-0.00285511
0.0037425;-0.0016214;-0.00851319;-0.00181517
0.003992;-0.00151459;-0.00507798;-0.00276057
0.0042415;-0.00156651;0.00253292;-0.00153155
0.004491;-0.00162387;0.00881262;-0.00264712
0.0047405;-0.00150273;0.00779702;-0.00223115
0.00499;-0.00162931;-0.00190981;-0.00204207
0.0052395;-0.00146168;-0.00424851;-0.00181517
0.005489;-0.00148641;-0.00324505;-0.00276057
0.0057385;-0.00149926;0.000566468;-0.00204207
0.005988;-0.00129653;0.0105484;-0.00232569
0.0062375;-0.0012901;0.0144813;-0.0011723
0.006487;-0.00135735;0.0164518;-0.00155046
0.0067365;-0.00132323;0.00914036;-0.000907584
0.006986;-0.00123472;-0.00123409;-0.00168281
0.0072355;-0.00130444;-0.00927792;-0.00226896
0.007485;-0.00120109;-0.00748141;-0.00310092
0.0077345;-0.00122582;0.00562422;-0.00293074
0.007984;-0.00123274;0.0122357;-0.00351689
0.0082335;-0.00126884;0.0128102;-0.0040085
0.008483;-0.0011111;0.0096259;-0.00588039
0.0087325;-0.0013702;-0.00892186;-0.00427321
0.008982;-0.00144438;-0.0100184;-0.00406522
0.0092315;-0.00162486;-0.0101074;-0.00408413
0.009481;-0.00154772;-0.000752593;-0.00476482
0.0097305;-0.00151113;0.0071294;-0.00582367
0.00998;-0.00146069;0.0157235;-0.00669344
0.0102295;-0.00157195;0.0172692;-0.00760102
0.010479;-0.0016748;0.00587508;-0.00724177
0.0107285;-0.00177963;-0.00416759;-0.00761993
0.010978;-0.00183205;-0.0101195;-0.00633419
0.0112275;-0.00164514;-0.00271095;-0.00765775
0.011477;-0.0016931;0.00481093;-0.00620183
0.0117265;-0.00185133;0.0118108;-0.00726068
0.011976;-0.00173167;0.00939121;-0.00605057
0.0122255;-0.00161448;0.00167917;-0.00763884
0.012475;-0.00163327;-0.00311153;-0.00780901
0.0127245;-0.00181524;-0.00190981;-0.00814935
0.012974;-0.00169607;0.000206356;-0.00746867
0.0132235;-0.0017109;0.00668836;-0.00748758
0.013473;-0.00170299;0.0131178;-0.00733631
0.0137225;-0.00187062;0.00422019;-0.00799809
0.013972;-0.00174008;0.000141617;-0.00692034
0.0142215;-0.00181128;0.000238726;-0.00741194
0.014471;-0.00168766;-0.00665194;-0.00818717
0.0147205;-0.00157442;0.00636871;-0.00750648
0.01497;-0.00184045;0.00897446;-0.00593712
0.0152195;-0.00199968;0.00865481;-0.006372
0.015469;-0.00192402;0.00447105;-0.00508626
0.0157185;-0.00197693;-0.00395314;-0.00434884
0.015968;-0.0018904;0.000967042;-0.00533206
0.0162175;-0.00183353;0.00547451;-0.00523752
0.016467;-0.00175194;0.00811667;-0.00599384
0.0167165;-0.00189139;0.00755829;-0.00323327
0.016966;-0.00164415;0.00241154;-0.00491609
0.0172155;-0.00171931;-0.00541786;-0.00393287
0.017465;-0.00172722;-0.0126727;-0.00476482
0.0177145;-0.00155316;-0.00826233;-0.00463247
0.017964;-0.0016036;-0.00290113;-0.00491609
0.0182135;-0.00165107;0.0103218;-0.0030631
0.018463;-0.00170645;0.0109166;-0.00527534
0.0187125;-0.00144388;0.0061745;-0.00465137
0.018962;-0.00152349;0.00144449;-0.00404632
0.0192115;-0.00158481;-0.00550282;-0.00359252
0.019461;-0.00157986;-0.00823401;-0.00361143
0.0197105;-0.00144833;0.000999411;-0.00346017
0.01996;-0.0015052;0.00555948;-0.00361143
0.0202095;-0.00150569;0.00911203;-0.00240132
0.020459;-0.00138059;0.00617045;-0.00414086
0.0207085;-0.0014157;-0.00243177;-0.00347908
0.020958;-0.00140581;-0.000303465;-0.00206097
0.0212075;-0.0015942;0.000934672;-0.00247695
0.021457;-0.00154228;-0.000145663;-0.00336563
0.0217065;-0.00149086;0.0070242;-0.00126684
0.021956;-0.00138306;0.00992127;-0.00228787
0.0222055;-0.00124164;0.00305084;-0.00192862
0.022455;-0.00125994;-0.00700397;-0.00308201
0.0227045;-0.00141718;-0.0128264;-0.00181517
0.022954;-0.00143844;-0.0180177;-0.0018908
0.0232035;-0.00122087;-0.0021809;-0.00185299
0.023453;-0.00147256;0.0120334;-0.00234459
0.0237025;-0.00142163;0.0127819;-0.00177735
0.023952;-0.00129059;0.0139715;-0.00276057
0.0242015;-0.0013974;-0.00171964;-0.0042354
0.024451;-0.00145674;-0.0130813;-0.00463247
0.0247005;-0.00142114;-0.00437799;-0.00514298
0.02495;-0.00138306;0.00231038;-0.00472701
0.0251995;-0.00124856;0.0140605;-0.00555896
0.025449;-0.00144487;0.0144287;-0.00480264
0.0256985;-0.00140877;0.0163547;-0.00455683
0.025948;-0.0013613;0.00585485;-0.00406522
0.0261975;-0.0014869;-0.00222541;-0.00644764
0.026447;-0.00158085;-0.008671;-0.00595603
0.0266965;-0.00148542;-0.00822187;-0.00720396
0.026946;-0.0015319;0.000250864;-0.00820608
0.0271955;-0.00161349;0.00723055;-0.00459465
0.027445;-0.00161497;0.0102976;-0.00692034
0.0276945;-0.00170447;-0.00139594;-0.00773338
0.027944;-0.00174749;-0.00451151;-0.00675016
