t;vds;corrente;vg
0.0002495;-0.0014869;-0.010506;-0.00323531
0.000499;-0.00131977;-0.00863054;-0.00219333
0.0007485;-0.00127873;-0.00477856;-0.00302528
0.000998;-0.00145031;0.00663577;-0.00268494
0.0012475;-0.00137564;0.0101721;-0.00298747
0.001497;-0.0013168;0.00935076;-0.00294965
0.0017465;-0.00143894;0.00235084;-0.00293074
0.001996;-0.00145031;0.00530052;-0.00281729
0.0022455;-0.00140136;0.00200692;-0.00234459
0.002495;-0.0015141;-0.000198264;-0.00228787
0.0027445;-0.00157888;0.00691495;-0.00444338
0.002994;-0.00182315;0.0057456;-0.00274166
0.0032435;-0.0018182;0.0051144;-0.00395178
0.003493;-0.00175689;-0.000121386;-0.00357362
0.0037425;-0.00194726;-0.0047907;-0.00417867
0.003992;-0.00192946;-0.000501729;-0.00368706
0.0042415;-0.00195171;0.00380343;-0.00620183
0.004491;-0.00186518;0.00794268;-0.0056535
0.0047405;-0.00196556;0.00778893;-0.00506735
0.00499;-0.00168321;0.00170345;-0.00588039
0.0052395;-0.00168123;-0.00654674;-0.00536988
0.005489;-0.00164316;-0.00142831;-0.00459465
0.0057385;-0.00161992;-0.00035202;-0.00432994
0.005988;-0.00163673;0.00426874;-0.00538879
0.0062375;-0.0017203;0.0145784;-0.00491609
0.006487;-0.00167876;0.00973918;-0.00540769
0.0067365;-0.00155811;0.00445487;-0.00548333
0.006986;-0.00170348;-0.000242772;-0.00538879
0.0072355;-0.0016303;-0.0028728;-0.00788464
0.007485;-0.00145674;-0.00294968;-0.00792246
0.0077345;-0.00166145;-0.00141212;-0.00695815
0.007984;-0.00174255;0.0120253;-0.00603166
0.0082335;-0.00202094;0.00879238;-0.00854641
0.008483;-0.00170942;0.00936694;-0.00780901
0.0087325;-0.00188347;0.00187339;-0.00803591
0.008982;-0.00167827;0.00149709;-0.00814935
0.0092315;-0.00180436;8.49703e-05;-0.00892456
0.009481;-0.00180634;0.00360517;-0.00871658
0.0097305;-0.001523;0.00698374;-0.00852751
0.00998;-0.00153734;0.00827447;-0.00805482
0.0102295;-0.00159173;0.00132311;-0.00858423
0.010479;-0.00144883;-0.00621496;-0.00837624
0.0107285;-0.00140383;-0.00565254;-0.00858423
0.010978;-0.0012184;-0.00159825;-0.00769556
