t;vds;corrente;vg
0.0002495;-0.0013435;0.00310941;-0.00172267
0.000499;-0.00139196;-0.00125028;-0.000491608
0.0007485;-0.00130543;-0.000275141;-0.000605056
0.000998;-0.00131927;0.00768373;-0.000340344
0.0012475;-0.00151558;0.00258957;-0.000680688
0.001497;-0.0014335;0.000408666;-0.00100212
0.0017465;-0.00157442;-0.00137571;-0.00126684
0.001996;-0.00141075;-0.00326124;-0.00111557
0.0022455;-0.00152053;0.00143235;-0.000888676
0.002495;-0.0016214;0.00587103;-0.00130465
0.0027445;-0.00171832;0.00266645;-0.0021177
0.002994;-0.00174997;-0.00441036;-0.00113448
0.0032435;-0.00176678;-0.0124785;-0.000983217
0.003493;-0.00170348;-0.0151328;-5.6724e-05
0.0037425;-0.00156552;-0.00523174;-0.00270385
0.003992;-0.00167629;-0.00142426;-0.00105885
0.0042415;-0.00166887;0.00589531;-0.000623964
0.004491;-0.00149432;0.00701206;-0.00151264
0.0047405;-0.00148344;0.00166299;-0.0011912
0.00499;-0.00126785;-0.004467;-0.00266603
0.0052395;-0.00142855;-0.00235084;-0.00177735
0.005489;-0.00149926;-0.00652247;-0.00198534
0.0057385;-0.00137169;0.00305893;-0.00121011
0.005988;-0.00146069;0.00828661;-0.00310092
0.0062375;-0.00141174;0.0129276;-0.0037816
0.006487;-0.00153388;0.0116449;-0.00340344
0.0067365;-0.00160805;0.00932648;-0.00389505
0.006986;-0.00156997;6.47392e-05;-0.00404632
0.0072355;-0.00159816;0.00494446;-0.00546442
0.007485;-0.0017831;0.0107791;-0.00291183
0.0077345;-0.0018271;0.015153;-0.0025904
0.007984;-0.00183848;0.00677333;-0.00313873
0.0082335;-0.00192847;-0.00610166;-0.00262821
0.008483;-0.00194528;-0.00992937;-0.00115339
0.0087325;-0.00181919;-0.013053;-0.00130465
0.008982;-0.00176183;-0.0110987;-0.000680688
0.0092315;-0.00166491;-0.000230633;-0.00037816
0.009481;-0.00159865;0.0151287;-0.000586148
0.0097305;-0.00176777;0.00933861;-0.000453792
0.00998;-0.00179546;0.00551092;-0.000605056
0.0102295;-0.00166046;-0.00443868;-7.5632e-05
0.010479;-0.00157294;-0.0132311;-0.00037816
0.0107285;-0.00157442;-0.00333811;-0.00102103
0.010978;-0.00149976;0.00918891;-0.000869768
0.0112275;-0.00141372;0.016205;-0.000642872
0.011477;-0.00145328;0.0219951;-0.000813044
0.0117265;-0.00145921;0.020057;-0.00151264
0.011976;-0.00170497;0.00622305;-0.00168281
0.0122255;-0.00162981;-0.00240344;-0.00179626
0.012475;-0.00161547;-0.00339476;-0.00132356
0.0127245;-0.00158333;-0.00492827;-0.000983217
0.012974;-0.00160162;0.00690281;-0.000813044
0.0132235;-0.00158382;0.0116368;-0.000926492
0.013473;-0.00159519;0.00822187;-0.00107776
0.0137225;-0.00172277;-0.000441036;-0.000245804
0.013972;-0.00154031;-0.0120779;-0.000605056
0.0142215;-0.00157591;-0.0117461;-0.000586148
0.014471;-0.001523;-0.00872765;-0.000529424
0.0147205;-0.00152646;-0.000708085;-9.454e-05
0.01497;-0.00142855;0.00549878;-0.000586148
0.0152195;-0.00152102;0.00241558;-0.000548332
0.015469;-0.00141718;-0.00198264;-0.000359252
0.0157185;-0.0013346;-0.0029254;-0.000434884
0.015968;-0.00139147;-0.00312367;-0.00122902
0.0162175;-0.00118576;0.00118149;-0.000775228
0.016467;-0.0013524;0.0124501;-0.00107776
0.0167165;-0.00143152;0.0122964;-0.00202316
0.016966;-0.00144042;0.00963804;-0.00105885
0.0172155;-0.00151064;0.00380748;-0.00291183
0.017465;-0.00157195;-0.00077687;-0.00315764
0.0177145;-0.00143943;0.00619068;-0.00272275
0.017964;-0.00164612;0.00901492;-0.00232569
0.0182135;-0.00155712;0.00871146;-0.000964309
0.018463;-0.00174403;0.00203524;-0.000586148
0.0187125;-0.001568;-0.0072872;-0.00221224
0.018962;-0.00169013;-0.0145016;-0.00194753
0.0192115;-0.00161843;-0.0166946;-0.00185299
0.019461;-0.00167283;-0.000695946;-0.00206097
0.0197105;-0.00155662;0.00125837;-0.00219333
0.01996;-0.00145377;0.00648606;-0.0025904
0.0202095;-0.00159223;-0.000780917;-0.00221224
0.020459;-0.00147454;-0.00886925;-0.00289293
0.0207085;-0.00156008;-0.010075;-0.00221224
0.020958;-0.00157294;-0.00440227;-0.00277948
0.0212075;-0.00164909;0.00297396;-0.00145592
0.021457;-0.00164167;0.0102692;-0.00262821
0.0217065;-0.00154723;0.0165813;-0.00412195
0.021956;-0.00167925;0.00706465;-0.00232569
0.0222055;-0.00156552;0.00221732;-0.00302528
0.022455;-0.00164415;-8.90162e-05;-0.00302528
0.0227045;-0.00172079;-0.00456816;-0.00385724
0.022954;-0.00166046;0.000121386;-0.00300638
0.0232035;-0.00166195;0.010156;-0.00349798
0.023453;-0.00171189;0.0138582;-0.00291183
0.0237025;-0.00179842;0.00417163;-0.00202316
0.023952;-0.00176332;-0.00333407;-0.0023635
0.0242015;-0.00172722;-0.0116975;-0.00257149
0.024451;-0.00174898;-0.0133848;-0.00136138
0.0247005;-0.00174008;0.00235084;-0.00198534
0.02495;-0.00175244;0.0104716;-0.00206097
0.0251995;-0.00147899;0.0111392;-0.0018908
0.025449;-0.00159321;0.00239535;-0.00109666
0.0256985;-0.0016125;-0.0103542;-0.000453792
