t;vds;corrente;vg
0.0002495;-0.00153932;0.00513755;-0.00597869
0.000499;-0.0014963;0.00610975;-0.00467028
0.0007485;-0.00146564;-0.000922534;-0.00391396
0.000998;-0.00163376;-0.00158206;-0.00385724
0.0012475;-0.00151756;-0.00384794;-0.00387614
0.001497;-0.00158234;0.000999412;-0.00648545
0.0017465;-0.00153338;0.00929815;-0.0054266
0.001996;-0.00149185;0.0109611;-0.00276057
0.0022455;-0.00173117;0.0046329;-0.00514298
0.002495;-0.00167629;-0.00481498;-0.00571022
0.0027445;-0.00155069;-0.00972704;-0.00758212
0.002994;-0.00147503;-0.00315199;-0.00508626
0.0032435;-0.00167233;0.00457625;-0.00678798
0.003493;-0.00151014;0.0137611;-0.00640982
0.0037425;-0.00162536;0.0127374;-0.00610729
0.003992;-0.0016664;0.00467336;-0.00839515
0.0042415;-0.00171782;-0.00158611;-0.00701488
0.004491;-0.00174947;-0.00835135;-0.0077712
0.0047405;-0.00169013;-0.0109166;-0.00765775
0.00499;-0.00177963;-0.00292136;-0.00797919
0.0052395;-0.00166986;0.00286876;-0.00833843
0.005489;-0.00169607;0.00358089;-0.00886784
0.0057385;-0.00163129;0.00230633;-0.008017
0.005988;-0.0016397;-0.00240749;-0.00746867
0.0062375;-0.00184886;-0.00984844;-0.00616401
0.006487;-0.00167876;-0.00727506;-0.00763884
0.0067365;-0.00168717;-0.00400574;-0.00820608
0.006986;-0.00156058;0.00392481;-0.00841406
0.0072355;-0.00165799;0.0101883;-0.00839515
0.007485;-0.00168964;0.00234275;-0.00673126
0.0077345;-0.00160953;-0.00375083;-0.00841406
0.007984;-0.00161646;-0.00829875;-0.00752539
0.0082335;-0.00138108;-0.00672073;-0.00531315
0.008483;-0.00149679;0.00283234;-0.00862204
0.0087325;-0.00148641;0.00804383;-0.00879221
0.008982;-0.00154476;0.00919295;-0.00688252
0.0092315;-0.00144339;0.00368609;-0.00676907
0.009481;-0.00152992;0.00167108;-0.00678798
0.0097305;-0.00143745;-0.00412712;-0.00756321
0.00998;-0.00147157;-0.00294159;-0.00606947
0.0102295;-0.00133361;-0.000400574;-0.00578585
0.010479;-0.00147157;0.00281616;-0.0037816
0.0107285;-0.00148393;0.00215663;-0.00582367
0.010978;-0.00160953;-0.00272309;-0.00459465
0.0112275;-0.00166046;-0.00257743;-0.00374379
0.011477;-0.00156206;-0.00932243;-0.00514298
0.0117265;-0.00160558;-0.00307916;-0.00429212
0.011976;-0.00156256;0.00311962;-0.00321436
0.0122255;-0.00150174;0.000534098;-0.00344126
0.012475;-0.00151608;0.00296182;-0.00582367
0.0127245;-0.00144734;-0.00482307;-0.0040085
0.012974;-0.0014335;-0.00843227;-0.00287402
0.0132235;-0.00126142;-0.00625946;-0.00187189
0.013473;-0.00131087;0.0019705;-0.00190971
0.0137225;-0.00133955;0.0105241;-0.00251477
0.013972;-0.00134103;0.0122883;-0.00202316
0.0142215;-0.00137367;0.00926174;-0.0028362
0.014471;-0.00150421;0.00473405;-0.00311982
0.0147205;-0.00151954;-0.00137975;-0.00228787
0.01497;-0.00151805;-0.010075;-0.00310092
0.0152195;-0.00152448;-0.00135143;-0.00155046
0.015469;-0.00162387;0.00383985;-0.00179626
0.0157185;-0.00143943;0.00569705;-0.00279839
0.015968;-0.00163673;0.00821782;-0.00196643
0.0162175;-0.00169063;-0.00116126;-0.00215551
0.016467;-0.00178359;-0.00522768;-0.00245804
0.0167165;-0.00170596;-0.00783748;-0.00419758
0.016966;-0.00164909;-0.00159825;-0.00434884
0.0172155;-0.00171288;3.64161e-05;-0.00415976
0.017465;-0.00170793;0.00429302;-0.0042543
0.0177145;-0.00161695;0.00533289;-0.00380051
0.017964;-0.00170793;-0.003678;-0.00421649
0.0182135;-0.00161151;-0.00905538;-0.00368706
0.018463;-0.00154228;-0.00623923;-0.00338454
0.0187125;-0.00152646;0.00393695;-0.00317655
0.018962;-0.00135141;0.0140888;-0.00552114
0.0192115;-0.00140185;0.0167472;-0.00580476
0.019461;-0.00160014;0.00923746;-0.00695815
0.0197105;-0.00154426;-0.00180461;-0.00639091
0.01996;-0.00163228;-0.00710107;-0.00690143
0.0202095;-0.00167382;-0.00470168;-0.00737413
0.020459;-0.00168173;0.00432539;-0.00760102
0.0207085;-0.00164761;0.00307511;-0.00881112
0.020958;-0.00175392;0.0133201;-0.00888675
0.0212075;-0.00165156;0.0088207;-0.00743085
0.021457;-0.00172524;0.00360921;-0.0087544
0.0217065;-0.00173216;-0.000586699;-0.00765775
0.021956;-0.00170002;-0.00704847;-0.00830061
0.0222055;-0.00193193;-0.00872765;-0.00813045
0.022455;-0.00165997;-0.000182079;-0.00775229
0.0227045;-0.00159618;0.00977965;-0.00856532
0.022954;-0.00161992;0.00668836;-0.00790355
0.0232035;-0.00149877;0.00709298;-0.00852751
0.023453;-0.00145031;-0.000190171;-0.00701488
0.0237025;-0.00141619;-0.00513867;-0.00572913
0.023952;-0.00125103;-0.00249651;-0.00571022
0.0242015;-0.00140235;0.00524387;-0.00563459
0.024451;-0.00133361;0.0114265;-0.00525643
0.0247005;-0.00144388;0.01139;-0.00693924
0.02495;-0.00138553;0.00490804;-0.0054266
0.0251995;-0.00145624;-0.00043699;-0.00535097
0.025449;-0.00156948;-0.00760685;-0.00342235
0.0256985;-0.00156008;-0.00714558;-0.00380051
0.025948;-0.00156107;0.000481498;-0.00584258
0.0261975;-0.00152992;0.00535312;-0.00603166
0.026447;-0.00173266;0.0028202;-0.00444338
0.0266965;-0.00153684;0.00158611;-0.0040085
0.026946;-0.00156008;-0.00346355;-0.00366816
0.0271955;-0.00155662;0.000307511;-0.00266603
0.027445;-0.0013613;0.0103097;-0.00285511
0.0276945;-0.0015764;0.00998601;-0.00304419
0.027944;-0.00154673;0.00538549;-0.00245804
0.0281935;-0.00159173;-0.00292945;-0.00257149
0.028443;-0.00132125;-0.00387626;-0.00270385
0.0286925;-0.00129158;-0.00642536;-0.00234459
0.028942;-0.0012545;0.00261789;-0.00103994
0.0291915;-0.00134696;0.0145137;-0.00202316
0.029441;-0.00132916;0.0131218;-0.00223115
0.0296905;-0.00126439;0.0130652;-0.00130465
0.02994;-0.00127477;0.0062716;-0.0018908
0.0301895;-0.00120752;-0.0006393;-0.00298747
0.030439;-0.00140581;-0.00639299;-0.00158827
0.0306885;-0.00143251;-0.00102369;-0.00315764
0.030938;-0.00151064;0.00458434;-0.0011723
0.0311875;-0.0016303;0.00453579;-0.00209879
0.031437;-0.00167827;0.00960162;-0.00427321
0.0316865;-0.00172178;0.0027676;-0.00168281
0.031936;-0.00168766;0.000275142;-0.00158827
0.0321855;-0.00162635;-0.00596005;-0.00255258
0.032435;-0.00170447;0.000598838;-0.00145592
0.0326845;-0.00173019;-0.000712131;-0.00134247
0.032934;-0.00160904;0.00848082;-0.00291183
0.0331835;-0.00153042;0.00975942;-0.00217442
0.033433;-0.0014785;0.0052641;-0.00287402
0.0336825;-0.00154822;-0.00226183;-0.00298747
0.033932;-0.00153635;-0.00827851;-0.00223115
0.0341815;-0.00146663;-0.00118554;-0.00257149
0.034431;-0.00141224;0.00485948;-0.00276057
0.0346805;-0.00131927;0.0125998;-0.00336563
0.03493;-0.00137564;0.0168767;-0.00478373
0.0351795;-0.00139246;0.0101843;-0.00459465
0.035429;-0.00157344;-0.00688662;-0.00548333
0.0356785;-0.00161893;-0.00806811;-0.00294965
0.035928;-0.0016753;-0.00625542;-0.00559677
0.0361775;-0.00159519;0.00331384;-0.00472701
0.036427;-0.00168914;0.00461672;-0.00527534
0.0366765;-0.00172672;0.0136397;-0.00784683
0.036926;-0.00191611;0.00943572;-0.00767666
0.0371755;-0.00194627;-0.0041514;-0.00843297
0.037425;-0.00195616;-0.0120819;-0.00818717
0.0376745;-0.00195567;-0.00397337;-0.00888675
0.037924;-0.00170942;0.00072427;-0.00775229
0.0381735;-0.00160409;0.0137409;-0.00695815
0.038423;-0.00157492;0.0165327;-0.0077712
0.0386725;-0.0014874;0.00811666;-0.00796028
0.038922;-0.00136081;-0.000562422;-0.00830061
0.0391715;-0.00148987;-0.000910395;-0.00928381
0.039421;-0.00137367;-0.00580629;-0.00790355
0.0396705;-0.0013079;0.00401383;-0.00905692
0.03992;-0.00131334;0.0107345;-0.00864095
0.0401695;-0.00138801;0.0108357;-0.00746867
0.040419;-0.0013613;0.00490399;-0.00867877
0.0406685;-0.00144635;0.00135548;-0.00739304
0.040918;-0.00147355;-0.00377106;-0.00733631
0.0411675;-0.00153042;-0.0046855;-0.00693924
0.041417;-0.00150124;0.00176819;-0.00671235
0.0416665;-0.00154772;0.00222541;-0.00693924
0.041916;-0.00155069;0.00567277;-0.00809263
0.0421655;-0.00162091;-0.00385198;-0.00576695
0.042415;-0.00166294;-0.00164276;-0.0049539
0.0426645;-0.00155316;-0.00628779;-0.00733631
0.042914;-0.00136823;0.00328552;-0.00580476
0.0431635;-0.0013346;0.00958948;-0.00584258
0.043413;-0.00155168;0.00584271;-0.00794137
0.0436625;-0.00147751;0.00126241;-0.00584258
0.043912;-0.00146317;-0.00551092;-0.00467028
0.0441615;-0.00139443;-0.00432539;-0.00380051
0.044411;-0.00147405;-0.00492422;-0.0021177
0.0446605;-0.00129257;0.00636466;-0.00102103
0.04491;-0.00139592;0.0125634;-0.00128574
0.0451595;-0.00135883;0.0126241;-0.00198534
0.045409;-0.00145971;0.00379938;-0.000907584
0.0456585;-0.0013885;-0.00163062;-0.000586148
0.045908;-0.00153536;-0.00333407;-0.00238241
0.0461575;-0.00151608;-0.00677333;-0.00138029
0.046407;-0.00158926;0.000942765;-0.00334672
0.0466565;-0.00167728;0.00353233;-0.00289293
0.046906;-0.00159964;0.00289708;-0.00317655
0.0471555;-0.00154377;-0.00114103;-0.00122902
0.047405;-0.00151657;-0.00127455;-0.0018908
0.0476545;-0.00166689;-0.00201096;-0.00149373
0.047904;-0.00177222;-0.00475428;-0.00109666
0.0481535;-0.00167134;-0.0010075;-0.00181517
0.048403;-0.00161299;0.00549474;-0.00085086
0.0486525;-0.0014958;0.00755829;-0.00175845
0.048902;-0.00146416;0.000821379;-0.00124793
0.0491515;-0.00155316;-0.00502538;-0.00173954
0.049401;-0.00160261;-0.00988485;-0.00206097
0.0496505;-0.00156552;-0.00645368;-0.000680688
0.0499;-0.00144833;0.00731552;-0.00272275
0.0501495;-0.0014063;0.0125634;-0.00274166
0.050399;-0.00143993;0.0138542;-0.00204207
0.0506485;-0.00167678;0.00428088;-0.00321436
0.050898;-0.00165601;-0.00254911;-0.0023635
0.0511475;-0.00185925;-0.0137935;-0.00434884
0.051397;-0.00174848;-0.00885307;-0.00368706
0.0516465;-0.00168469;-0.00226587;-0.0014181
0.051896;-0.00178557;0.000695947;-0.0040085
0.0521455;-0.00149432;0.00951665;-0.00374379
0.052395;-0.00155168;0.0104513;-0.00516189
0.0526445;-0.00172475;-0.00323696;-0.00325218
0.052894;-0.0016481;-0.0105848;-0.00616401
0.0531435;-0.0016397;-0.0128305;-0.00487827
0.053393;-0.00163574;-0.00465717;-0.00535097
0.0536425;-0.00150569;-0.000610976;-0.0054266
0.053892;-0.00151855;0.005956;-0.0065989
0.0541415;-0.00160805;0.00795886;-0.00771447
0.054391;-0.00164365;-0.00387221;-0.00763884
0.0546405;-0.00161596;-0.0110704;-0.00692034
0.05489;-0.00160409;-0.00856579;-0.00765775
0.0551395;-0.00154179;0.00403406;-0.00527534
0.055389;-0.00159025;0.00426065;-0.00720396
0.0556385;-0.00154921;0.00748546;-0.00693924
0.055888;-0.00162832;0.0060612;-0.006372
0.0561375;-0.00142658;0.00135143;-0.00865986
0.056387;-0.00157591;-0.00348783;-0.00792246
0.0566365;-0.00153388;-0.00915654;-0.008017
0.056886;-0.00148888;-0.00411903;-0.00807372
0.0571355;-0.00156701;-0.00460457;-0.00690143
0.057385;-0.00155415;0.00470169;-0.00678798
0.0576345;-0.00153981;-0.00289708;-0.0068447
0.057884;-0.00160261;0.000222541;-0.0070716
0.0581335;-0.00150273;-0.000566468;-0.00574804
0.058383;-0.00156256;0.0016994;-0.00642873
0.0586325;-0.00149432;0.00263003;-0.00580476
0.058882;-0.00156107;0.00545427;-0.00669344
0.0591315;-0.00149481;0.00456816;-0.00673126
0.059381;-0.00136526;0.00103987;-0.00185299
0.0596305;-0.000569147;0.00557162;0.19061
0.05988;-0.00138949;-0.00457625;0.180042
0.0601295;-0.00151311;0.00301037;0.164689
0.060379;-0.00156008;0.0102814;0.151018
0.0606285;-0.00143498;0.0123571;0.134208
0.060878;-0.00137861;0.0117501;0.125473
0.0611275;-0.00154871;0.000833517;0.11167
0.061377;-0.00146861;-0.00343522;0.0999666
0.0616265;-0.00156305;-0.00897041;0.092082
0.061876;-0.0016214;-0.00901087;0.0829683
0.0621255;-0.00156997;-4.45083e-05;0.0753482
0.062375;-0.00155761;0.0060086;0.0674257
0.0626245;-0.00161744;0.00203929;0.0624911
0.062874;-0.00169211;0.00131502;0.0566107
0.0631235;-0.00157146;-0.0031439;0.0519023
0.063373;-0.0015764;-0.00524792;0.0463622
0.0636225;-0.00171041;-0.000173986;0.0393663
0.063872;-0.00151558;0.0070242;0.0377403
0.0641215;-0.00160409;0.00540976;0.0330135
0.064371;-0.00165057;0.00414331;0.0285512
0.0646205;-0.00159717;0.00321673;0.0282108
0.06487;-0.0015675;-0.003941;0.022992
0.0651195;-0.00166689;-0.000942765;0.0189079
0.065369;-0.00152448;0.00606525;0.0188701
0.0656185;-0.00153783;0.017783;0.0181516
0.065868;-0.00152794;0.0141617;0.0115716
0.0661175;-0.00163277;0.00411903;0.0095107
0.066367;-0.00181919;-0.00909989;0.00943507
0.0666165;-0.00192748;-0.0118027;0.00943507
0.066866;-0.00173612;-0.00962994;0.00943507
0.0671155;-0.00176678;-0.00434966;0.00862204
0.067365;-0.00177123;0.000962996;0.0077712
0.0676145;-0.00167579;0.00829065;0.00255258
0.067864;-0.00169903;0.00868718;0.000529424
0.0681135;-0.00166145;0.000995365;0.00028362
0.068363;-0.00180139;-0.00680165;0
0.0686125;-0.00185826;-0.0105889;0
0.068862;-0.00163277;-0.00543404;0
0.0691115;-0.00155514;0.00131502;0
0.069361;-0.00158184;0.00821782;0
0.0696105;-0.00166046;0.0139513;0
0.06986;-0.00154822;0.00487567;0
0.0701095;-0.00156008;-2.42774e-05;-1.8908e-05
0.070359;-0.00159124;-0.00357684;0
0.0706085;-0.0015136;0.00147686;-0.000207988
0.070858;-0.00161695;0.00374678;-0.000623964
0.0711075;-0.00163574;0.00657912;-0.000170172
0.071357;-0.00165354;0.00501324;-0.000321436
0.0716065;-0.00161942;0.000878025;-0.000491608
0.071856;-0.00162536;-0.0047381;-0.00264712
0.0721055;-0.00162931;-0.01156;-0.00138029
0.072355;-0.00154624;-0.00677737;-0.00310092
0.0726045;-0.00142658;0.000882072;-0.0018908
0.072854;-0.00153684;0.00582247;-0.00370597
0.0731035;-0.0016214;0.00750569;-0.00510517
0.073353;-0.00144388;-0.00620282;-0.0047081
0.0736025;-0.00147998;-0.0055878;-0.00671235
0.073852;-0.00131383;0.00224564;-0.00512407
0.0741015;-0.00133856;0.00684616;-0.00769556
0.074351;-0.00138158;0.011123;-0.00752539
0.0746005;-0.00154673;0.010864;-0.00690143
0.07485;-0.00145822;-0.0011208;-0.00760102
0.0750995;-0.0013262;-0.00759066;-0.00709051
0.075349;-0.00131927;-0.00262194;-0.00860314
0.0755985;-0.00152547;0.00579415;-0.00722286
0.075848;-0.00138158;0.0101357;-0.008017
0.0760975;-0.00149036;0.013223;-0.00864095
0.076347;-0.00150322;0.00808834;-0.00847078
0.0765965;-0.00148937;0.000728316;-0.00803591
0.076846;-0.00145921;-0.00685021;-0.00786574
0.0770955;-0.00162536;-0.0101843;-0.00848969
0.077345;-0.00170002;-0.00719009;-0.00767666
0.0775945;-0.00160162;0.000173987;-0.00837624
0.077844;-0.00153437;0.00338262;-0.00833843
0.0780935;-0.00159074;0.0111028;-0.00873549
0.078343;-0.00149185;0.00305488;-0.00854641
