t;vds;corrente;vg
0.0002495;-0.00153091;0.0130616;-0.00221732
0.000499;-0.00155316;0.0122761;0
0.0007485;-0.00150025;0.0087236;0
0.000998;-0.00153437;0.000392481;0
0.0012475;-0.00158036;-0.00674906;0
0.001497;-0.00159569;-0.0027676;0
0.0017465;-0.00157442;-0.00147282;0
0.001996;-0.00167827;0.0046329;0
0.0022455;-0.00170793;6.06924e-05;0
0.002495;-0.00187309;-0.00333812;0
0.0027445;-0.00175343;-0.00768373;0
0.002994;-0.00171486;-0.00722246;0
0.0032435;-0.00187062;-0.00509821;0
0.003493;-0.00178013;-0.000849702;0
0.0037425;-0.00173266;0.00585889;0
0.003992;-0.00162437;0.000424851;0
0.0042415;-0.00158926;-0.00671264;0
0.004491;-0.00184194;-0.0111513;0
0.0047405;-0.0016125;-0.00476642;0
0.00499;-0.00166491;0.001226;0
0.0052395;-0.00160706;0.0162293;0
0.005489;-0.0015052;0.0181108;0
0.0057385;-0.00166046;0.00917272;0
0.005988;-0.00144982;0.000457221;0
0.0062375;-0.0016214;-0.0064901;0
0.006487;-0.00151064;-0.00929006;0
0.0067365;-0.0015942;-0.00412308;0
0.006986;-0.00157146;0.00475429;0
0.0072355;-0.00149778;0.0108236;0
0.007485;-0.00147899;0.00732361;0
0.0077345;-0.00148888;-0.00229015;0
0.007984;-0.00155662;-0.00347164;0
0.0082335;-0.00146366;-0.00868717;0
0.008483;-0.00159519;-0.00776464;0
0.0087325;-0.00141322;0.0028728;0
0.008982;-0.0013885;0.0147888;0
0.0092315;-0.00151805;0.0132594;0
0.009481;-0.00148987;0.00501729;0
0.0097305;-0.00141174;-0.00311557;0
0.00998;-0.00128664;-0.0108195;0
0.0102295;-0.0012456;-0.00271095;0
0.010479;-0.00122285;0.00332598;0
0.0107285;-0.00141174;0.0155374;0
0.010978;-0.00137218;0.0165813;0
0.0112275;-0.00142064;0.0123894;0
0.011477;-0.00135834;0.00155374;0
0.0117265;-0.00141273;-0.00854557;0
0.011976;-0.00134647;-0.00632421;0
0.0122255;-0.00129603;-0.00268668;0
0.012475;-0.00138652;0.00832302;0
0.0127245;-0.00151509;0.00767968;0
0.012974;-0.00155069;0.00586699;0
0.0132235;-0.00154179;-0.00423233;0
0.013473;-0.0014513;-0.00615426;0
0.0137225;-0.00141866;0.000542191;0
0.013972;-0.00157146;0.00371846;0
0.0142215;-0.00155514;0.00133525;0
0.014471;-0.00154426;0.00400574;0
0.0147205;-0.00161794;-0.00340286;0
0.01497;-0.00165008;-0.00564445;0
0.0152195;-0.00155168;-0.00193813;0
0.015469;-0.00156157;0.00694328;0
0.0157185;-0.00158679;0.00878024;0
0.015968;-0.00160508;0.00870336;0
0.0162175;-0.00170052;0.00569704;0
0.016467;-0.00169211;0.000380343;0
0.0167165;-0.00173266;-0.00418377;0
0.016966;-0.00154327;0.00121791;0
0.0172155;-0.00166689;0.000845656;0
0.017465;-0.00163277;0.0069109;0
0.0177145;-0.00171535;0.00528433;0
0.017964;-0.00172376;-0.00198264;0
0.0182135;-0.00177123;-0.00423637;0
0.018463;-0.00167975;-0.00872763;0
0.0187125;-0.00159717;-9.68575e-11;-0.000132356
0.018962;-0.00194528;0.0035647;0
0.0192115;-0.00167777;0.00978369;0
0.019461;-0.00172969;0.00907966;0
0.0197105;-0.00164266;-8.49701e-05;0
0.01996;-0.0016031;-0.00773633;0
0.0202095;-0.00166343;-0.0112929;0
0.020459;-0.00168717;-0.00150519;-5.6724e-05
0.0207085;-0.0016303;0.0100912;-9.454e-05
0.020958;-0.00167925;0.0150478;-0.000113448
0.0212075;-0.00170299;0.0123571;-0.000548332
0.021457;-0.00170348;0.0025046;-7.5632e-05
0.0217065;-0.00166887;-0.00780916;0
0.021956;-0.00169903;-0.0102773;-5.6724e-05
0.0222055;-0.00167134;-0.00964208;-5.6724e-05
0.022455;-0.00175046;0.00542191;0
0.0227045;-0.001657;0.00954498;0
0.022954;-0.00125548;0.010945;-3.7816e-05
0.0232035;-0.00145921;0.00663576;0
0.023453;-0.00152053;-0.000987273;0
0.0237025;-0.00156503;-0.0102409;0
0.023952;-0.00166294;-0.00610571;-1.8908e-05
0.0242015;-0.00168766;-0.00208784;0
0.024451;-0.0013257;0.00746523;0
0.0247005;-0.00144438;0.0134374;0
0.02495;-0.00142608;0.0120577;0
0.0251995;-0.00145773;0.00395719;0
0.025449;-0.00135389;-0.00833111;0
0.0256985;-0.0012812;-0.00945191;0
0.025948;-0.00134103;0.00270286;0
0.0261975;-0.00122384;0.0084525;0
0.026447;-0.00140877;0.00886522;0
0.0266965;-0.00149234;0.00769587;0
0.026946;-0.00139196;0.00531266;0
0.0271955;-0.00136674;-0.00994554;0
0.027445;-0.00139246;-0.00264622;0
0.0276945;-0.00129257;0.000254911;0
0.027944;-0.00140778;0.00471382;0
0.0281935;-0.00162832;0.00953688;0
0.028443;-0.00155613;0.0040543;0
0.0286925;-0.00162585;-0.00483925;0
0.028942;-0.00146465;-0.00973514;0
0.0291915;-0.00148097;0.000752593;0
0.029441;-0.00135784;0.00525197;-9.454e-05
0.0296905;-0.00155267;0.0104432;0
0.02994;-0.00144932;0.0074895;0
0.0301895;-0.00153684;-0.00232252;0
0.030439;-0.00169359;0.00122195;0
0.0306885;-0.0016036;-0.00651842;0
0.030938;-0.00161398;0.00235489;0
0.0311875;-0.00171634;0.00869527;0
0.031437;-0.00153833;0.0138865;0
0.0316865;-0.00156404;0.00711726;0
0.031936;-0.00141965;0.00202715;0
0.0321855;-0.00164711;-0.00408262;0
