t;vds;corrente;vg
0.00998;0.0104432;-0.204163;-0.386783
0.01996;0.0124465;-0.205786;-0.390406
0.02994;0.014439;-0.205948;-0.390598
0.03992;0.0164336;-0.205214;-0.390646
0.0499;0.0182839;-0.205703;-0.390614
0.05988;0.0202301;-0.206175;-0.390598
0.06986;0.0222364;-0.205797;-0.390646
0.07984;0.0242466;-0.205827;-0.390646
0.08982;0.0262303;-0.205214;-0.390406
0.0998;0.0281883;-0.205169;-0.390183
0.10978;0.0302962;-0.20502;-0.390502
0.11976;0.0323281;-0.204771;-0.390582
0.12974;0.0343;-0.205111;-0.390518
0.13972;0.0363953;-0.206225;-0.390646
0.1497;0.0383679;-0.206399;-0.390646
0.15968;0.040319;-0.206021;-0.390614
0.16966;0.042345;-0.205554;-0.390646
0.17964;0.0443238;-0.206026;-0.390646
0.18962;0.0462225;-0.205218;-0.390646
0.1996;0.0481716;-0.206283;-0.390646
0.20958;0.04905;-0.206424;-0.390646
0.21956;0.0472487;-0.206151;-0.390646
0.22954;0.0453441;-0.205732;-0.390646
0.23952;0.0433763;-0.206212;-0.390646
0.2495;0.0413975;-0.205741;-0.390646
0.25948;0.0394032;-0.206531;-0.390646
0.26946;0.0374373;-0.20627;-0.390646
0.27944;0.0354141;-0.205785;-0.390646
0.28942;0.0333969;-0.205728;-0.39063
0.2994;0.0313876;-0.206059;-0.390646
0.30938;0.0293459;-0.206209;-0.390646
0.31936;0.0272873;-0.206448;-0.390646
0.32934;0.0252384;-0.206304;-0.390646
0.33932;0.0232627;-0.205549;-0.390614
0.3493;0.0212978;-0.205694;-0.390646
0.35928;0.0192906;-0.206324;-0.390646
0.36926;0.0174234;-0.206473;-0.390646
0.37924;0.0155039;-0.206187;-0.390646
0.38922;0.0135192;-0.205952;-0.390646
0.3992;0.0115218;-0.205682;-0.390614
0.40918;0.00956289;-0.205181;-0.390422
0.41916;0.00747069;-0.20579;-0.390646
0.42914;0.00550381;-0.205711;-0.39063
0.43912;0.00343533;-0.205387;-0.390502
0.4491;0.00144677;-0.205413;-0.390582
0.45908;-0.000529956;-0.206026;-0.390646
0.46906;-0.00252839;-0.206477;-0.390646
0.47904;-0.00451794;-0.206324;-0.390646
0.48902;-0.00656871;-0.206332;-0.390646
0.499;-0.0086273;-0.205989;-0.390646
0.50898;-0.0106524;-0.205496;-0.390566
0.51896;-0.0127002;-0.20528;-0.390646
0.52894;-0.0147499;-0.206233;-0.390646
0.53892;-0.0166398;-0.205744;-0.390646
0.5489;-0.018583;-0.204999;-0.390646
0.55888;-0.0205774;-0.205985;-0.390614
0.56886;-0.0225068;-0.205686;-0.390646
0.57884;-0.0244855;-0.20622;-0.390598
0.58882;-0.0264346;-0.206006;-0.390231
0.5988;-0.0285031;-0.206183;-0.390646
0.60878;-0.0304887;-0.206577;-0.390646
0.61876;-0.0325531;-0.206498;-0.390646
0.62874;-0.034522;-0.206295;-0.390646
0.63872;-0.0364891;-0.20605;-0.390646
0.6487;-0.0385148;-0.206122;-0.390646
0.65868;-0.040466;-0.20586;-0.390646
0.66866;-0.0426451;-0.205711;-0.390646
0.67864;-0.0446001;-0.205326;-0.390614
0.68862;-0.0465789;-0.205744;-0.390646
0.6986;-0.0485948;-0.205902;-0.390646
0.70858;-0.0497909;-0.205898;-0.390598
0.71856;-0.0480631;-0.206291;-0.390614
0.72854;-0.0460134;-0.205815;-0.39055
0.73852;-0.0440711;-0.206138;-0.39063
0.7485;-0.0420222;-0.205922;-0.390646
0.75848;-0.039939;-0.206254;-0.390598
0.76846;-0.038001;-0.206477;-0.390646
0.77844;-0.0360073;-0.206511;-0.390646
0.78842;-0.0340048;-0.206291;-0.390646
0.7984;-0.0319789;-0.206171;-0.390646
0.80838;-0.0299786;-0.206519;-0.390614
0.81836;-0.0279456;-0.206329;-0.390646
0.82834;-0.0259381;-0.206382;-0.390646
0.83832;-0.0239456;-0.205525;-0.390646
0.8483;-0.0220105;-0.205248;-0.390646
0.85828;-0.0200535;-0.205483;-0.390646
0.86826;-0.0180934;-0.205447;-0.390646
0.87824;-0.0161512;-0.20531;-0.390646
0.88822;-0.0141933;-0.205226;-0.39063
0.8982;-0.012261;-0.205603;-0.390646
0.90818;-0.0101876;-0.206515;-0.390646
0.91816;-0.00812501;-0.206432;-0.390646
0.92814;-0.00614137;-0.20603;-0.390646
0.93812;-0.00408667;-0.206067;-0.390646
0.9481;-0.00207147;-0.205459;-0.390646
0.95808;-6.80947e-05;-0.205471;-0.390646
0.96806;0.00180402;-0.205582;-0.390646
0.97804;0.00392087;-0.204878;-0.390566
0.98802;0.0059489;-0.205898;-0.390646
0.998;0.00792758;-0.204924;-0.390646
1.00798;0.00999413;-0.205728;-0.390646
1.01796;0.0119886;-0.2054;-0.390646
1.02794;0.0140049;-0.205666;-0.390646
1.03792;0.0159529;-0.205773;-0.390646
1.0479;0.0178536;-0.205756;-0.390646
1.05788;0.0197939;-0.205558;-0.390646
1.06786;0.0218545;-0.205935;-0.390582
1.07784;0.023836;-0.205744;-0.390646
1.08782;0.0257823;-0.205906;-0.390646
1.0978;0.027757;-0.205893;-0.390646
1.10778;0.029857;-0.206034;-0.39063
1.11776;0.031894;-0.205753;-0.390646
1.12774;0.0338599;-0.205293;-0.390646
1.13772;0.0359412;-0.206233;-0.390646
1.1477;0.037926;-0.206047;-0.390646
1.15768;0.0398739;-0.206291;-0.390646
1.16766;0.0418714;-0.206014;-0.390646
1.17764;0.0438636;-0.206461;-0.390646
1.18762;0.0458237;-0.205616;-0.390646
1.1976;0.047774;-0.205952;-0.390646
1.20758;0.0492008;-0.20588;-0.390646
1.21756;0.0476507;-0.206453;-0.390646
1.22754;0.0457064;-0.206105;-0.390614
1.23752;0.0438153;-0.206146;-0.390646
1.2475;0.0417754;-0.206332;-0.390518
1.25748;0.0397891;-0.205156;-0.390486
1.26746;0.0378569;-0.205417;-0.390646
1.27744;0.0358671;-0.20552;-0.390646
1.28742;0.0337532;-0.20622;-0.39063
1.2974;0.0317449;-0.206009;-0.390646
1.30738;0.0297298;-0.206059;-0.390646
1.31736;0.0276979;-0.206142;-0.390614
1.32734;0.0256766;-0.205321;-0.390646
1.33732;0.0236476;-0.204983;-0.390646
1.3473;0.0217311;-0.20632;-0.390582
1.35728;0.0197337;-0.205065;-0.390646
1.36726;0.0177599;-0.205467;-0.390646
1.37724;0.0159114;-0.206063;-0.390646
1.38722;0.0139169;-0.20608;-0.39063
1.3972;0.0119018;-0.205762;-0.390598
1.40718;0.00995274;-0.206216;-0.390646
1.41716;0.00786645;-0.206461;-0.390646
1.42714;0.00586698;-0.206548;-0.390646
1.43712;0.00382219;-0.206394;-0.390646
1.4471;0.0017606;-0.206051;-0.390454
1.45708;-0.000144085;-0.205476;-0.390582
1.46706;-0.00217114;-0.205761;-0.390614
1.47704;-0.00409751;-0.205239;-0.39063
1.48702;-0.00622427;-0.205603;-0.39047
1.497;-0.0082345;-0.206486;-0.390518
1.50698;-0.0102478;-0.206237;-0.390646
1.51696;-0.0123419;-0.205864;-0.390646
1.52694;-0.0143364;-0.206291;-0.390358
1.53692;-0.016327;-0.205939;-0.390646
1.5469;-0.0181645;-0.205702;-0.390598
1.55688;-0.0201314;-0.205244;-0.390646
1.56686;-0.0221446;-0.205534;-0.390646
1.57684;-0.0241094;-0.206548;-0.390646
1.58682;-0.0260616;-0.206142;-0.390534
1.5968;-0.0281163;-0.206365;-0.39063
1.60678;-0.0301284;-0.206407;-0.39063
1.61676;-0.032111;-0.206444;-0.390646
1.62674;-0.034149;-0.206278;-0.390646
1.63672;-0.0361248;-0.20627;-0.390646
1.6467;-0.0381647;-0.206079;-0.390598
1.65668;-0.0401413;-0.20637;-0.390614
1.66666;-0.0422098;-0.206089;-0.390646
1.67664;-0.0442557;-0.205719;-0.390646
1.68662;-0.0462214;-0.205893;-0.390566
1.6966;-0.0482042;-0.2057;-0.390646
1.70658;-0.0498246;-0.205935;-0.390646
1.71656;-0.04851;-0.205977;-0.390646
1.72654;-0.0464733;-0.206382;-0.390646
1.73652;-0.0445114;-0.206465;-0.390646
1.7465;-0.0424872;-0.206577;-0.390646
1.75648;-0.0404108;-0.206436;-0.390502
1.76646;-0.0384106;-0.206328;-0.390646
1.77644;-0.036405;-0.205993;-0.390646
1.78642;-0.0343957;-0.206191;-0.390646
1.7964;-0.0324309;-0.206399;-0.390646
1.80638;-0.0303931;-0.206577;-0.39063
1.81636;-0.0283856;-0.205818;-0.39063
1.82634;-0.0262934;-0.206394;-0.39055
1.83632;-0.0243425;-0.206105;-0.39055
1.8463;-0.0224545;-0.20654;-0.390342
1.85628;-0.0204175;-0.206494;-0.390646
1.86626;-0.0184783;-0.206291;-0.39063
1.87624;-0.0165697;-0.206225;-0.39047
1.88622;-0.0146266;-0.206564;-0.390646
1.8962;-0.0126627;-0.206266;-0.390646
1.90618;-0.01053;-0.206349;-0.390646
1.91616;-0.00854143;-0.206162;-0.390614
1.92614;-0.00650948;-0.205574;-0.390646
1.93612;-0.00446561;-0.205447;-0.390646
1.9461;-0.00243661;-0.206072;-0.390646
1.95608;-0.000425344;-0.206158;-0.390646
1.96606;0.0014517;-0.206117;-0.39063
1.97604;0.00349453;-0.205284;-0.390646
1.98602;0.00558573;-0.206042;-0.390646
1.996;0.00756936;-0.20576;-0.390646
2.00598;0.00960233;-0.206059;-0.390646
2.01596;0.0116214;-0.20634;-0.390646
2.02594;0.0135913;-0.205806;-0.390598
2.03592;0.0155759;-0.205371;-0.390646
2.0459;0.0175239;-0.205931;-0.390646
2.05588;0.0193932;-0.206257;-0.390646
2.06586;0.0214132;-0.206006;-0.390646
2.07584;0.0233624;-0.206477;-0.390646
2.08582;0.0253708;-0.2061;-0.390646
2.0958;0.0273977;-0.205852;-0.39063
2.10578;0.0294179;-0.205624;-0.39063
2.11576;0.0315023;-0.205413;-0.390646
2.12574;0.0335056;-0.204862;-0.390598
2.13572;0.0355019;-0.204725;-0.390534
2.1457;0.0375706;-0.204949;-0.390534
2.15568;0.0395138;-0.205716;-0.390646
2.16566;0.0414886;-0.20649;-0.390646
2.17564;0.043465;-0.206478;-0.390646
2.18562;0.0454232;-0.205773;-0.390646
2.1956;0.0473889;-0.20557;-0.390646
2.20558;0.0491345;-0.205661;-0.390646
2.21556;0.0480562;-0.205935;-0.390646
2.22554;0.0460864;-0.206167;-0.390646
2.23552;0.0441965;-0.206374;-0.390646
2.2455;0.0422275;-0.20642;-0.390646
