t;vds;corrente;vg
0.00998;0.0103919;-0.00804762;-0.00952882
0.01996;0.012411;-0.00759236;-0.00797229
0.02994;0.0143532;-0.00782833;-0.00797229
0.03992;0.0163398;-0.00730259;-0.00790838
0.0499;0.0182109;-0.00705004;-0.00797229
0.05988;0.020165;-0.00689688;-0.00797229
0.06986;0.0222186;-0.0068886;-0.00784448
0.07984;0.0241045;-0.00710388;-0.0078924
0.08982;0.0261079;-0.00806845;-0.0078924
0.0998;0.0281755;-0.00701691;-0.00797229
0.10978;0.0301531;-0.00649118;-0.00797229
0.11976;0.0322718;-0.00654085;-0.00794033
0.12974;0.0342724;-0.00647462;-0.00797229
0.13972;0.0362778;-0.00680581;-0.00797229
0.1497;0.0382564;-0.00655328;-0.00790838
0.15968;0.0402242;-0.00753855;-0.00797229
0.16966;0.0422818;-0.00702106;-0.00794033
0.17964;0.0442399;-0.00722392;-0.00797229
0.18962;0.0461612;-0.00810157;-0.00797229
0.1996;0.0481628;-0.00715769;-0.00758885
0.20958;0.0492444;-0.00763376;-0.00797229
0.21956;0.0474867;-0.0082092;-0.00797229
0.22954;0.0455909;-0.00804774;-0.00797229
0.23952;0.0435825;-0.00745161;-0.00797229
0.2495;0.0415889;-0.00752199;-0.00797229
0.25948;0.0396046;-0.00772069;-0.00797229
0.26946;0.0376268;-0.00780349;-0.00797229
0.27944;0.0355878;-0.00738952;-0.00786045
0.28942;0.0335716;-0.00753853;-0.00797229
0.2994;0.0315544;-0.00704177;-0.00795631
0.30938;0.0294909;-0.00792769;-0.00787643
0.31936;0.0274443;-0.00690103;-0.00797229
0.32934;0.0254694;-0.00753855;-0.00797229
0.33932;0.0234719;-0.00743506;-0.00797229
0.3493;0.0215544;-0.0076379;-0.00797229
0.35928;0.0194308;-0.00800635;-0.00795631
0.36926;0.0175734;-0.00798565;-0.00797229
0.37924;0.0156598;-0.00781178;-0.00797229
0.38922;0.0137156;-0.00791941;-0.00797229
0.3992;0.0117301;-0.0082092;-0.00797229
0.40918;0.00968231;-0.00753027;-0.00797229
0.41916;0.00760689;-0.00742677;-0.00792436
0.42914;0.00568243;-0.00705832;-0.00790838
0.43912;0.00357547;-0.00695483;-0.00795631
0.4491;0.00152572;-0.00796495;-0.00797229
0.45908;-0.000393766;-0.00762549;-0.00797229
0.46906;-0.00233397;-0.00756338;-0.00784448
0.47904;-0.00441628;-0.00787388;-0.00797229
0.48902;-0.00643153;-0.00823404;-0.00792436
0.499;-0.0084684;-0.00777452;-0.0078924
0.50898;-0.0104738;-0.00738537;-0.00797229
0.51896;-0.0125452;-0.00775796;-0.00797229
0.52894;-0.0145397;-0.00743504;-0.00797229
0.53892;-0.0165056;-0.00663193;-0.00797229
0.5489;-0.018429;-0.00710387;-0.00797229
0.55888;-0.0204373;-0.0081264;-0.00797229
0.56886;-0.0223706;-0.00795253;-0.00797229
0.57884;-0.0243049;-0.00724462;-0.00797229
0.58882;-0.0262984;-0.0073895;-0.00797229
0.5988;-0.0282712;-0.00754268;-0.00792436
0.60878;-0.030309;-0.00726531;-0.00790838
0.61876;-0.0323321;-0.00733984;-0.00797229
0.62874;-0.0343128;-0.00772897;-0.00766873
0.63872;-0.0363459;-0.00817194;-0.00781252
0.6487;-0.0383471;-0.00819265;-0.00797229
0.65868;-0.0403012;-0.0077;-0.0078285
0.66866;-0.042355;-0.00714113;-0.00797229
0.67864;-0.0444027;-0.00695483;-0.0078924
0.68862;-0.0463568;-0.00803118;-0.00797229
0.6986;-0.0484024;-0.00785317;-0.00797229
0.70858;-0.0497988;-0.00744334;-0.00795631
0.71856;-0.0481233;-0.00806431;-0.00797229
0.72854;-0.046116;-0.00774139;-0.00770069
0.73852;-0.0441669;-0.00805188;-0.00797229
0.7485;-0.0420991;-0.0082506;-0.00797229
0.75848;-0.0400139;-0.00753026;-0.00795631
0.76846;-0.0380553;-0.00760064;-0.00790838
0.77844;-0.0360408;-0.00722393;-0.00797229
0.78842;-0.0340601;-0.00730257;-0.00797229
0.7984;-0.0320154;-0.00716182;-0.00797229
0.80838;-0.0300625;-0.00753027;-0.00797229
0.81836;-0.0281044;-0.00784075;-0.00797229
0.82834;-0.0260792;-0.0081678;-0.00795631
0.83832;-0.0240503;-0.00782006;-0.00797229
0.8483;-0.0220736;-0.00784903;-0.00797229
0.85828;-0.020166;-0.00748886;-0.0078924
0.86826;-0.0181891;-0.00760063;-0.00797229
0.87824;-0.0162628;-0.00694241;-0.00797229
0.88822;-0.0142663;-0.00735226;-0.00797229
0.8982;-0.0123183;-0.00675198;-0.00797229
0.90818;-0.0101758;-0.00709973;-0.0078924
0.91816;-0.00819901;-0.00768758;-0.00794033
0.92814;-0.00618973;-0.00751786;-0.00797229
0.93812;-0.00411233;-0.00709973;-0.00797229
0.9481;-0.00206851;-0.00717009;-0.00797229
0.95808;-7.59896e-05;-0.00678511;-0.00795631
0.96806;0.00185237;-0.0077828;-0.00778057
0.97804;0.00387053;-0.00731501;-0.00797229
0.98802;0.00591732;-0.00740192;-0.00797229
0.998;0.00791476;-0.00649117;-0.00794033
1.00798;0.0100217;-0.0066816;-0.00757288
1.01796;0.0120182;-0.00703348;-0.00747702
1.02794;0.0139299;-0.00688033;-0.00770069
1.03792;0.0158927;-0.00721978;-0.00770069
1.0479;0.0178181;-0.00712456;-0.00797229
1.05788;0.0197653;-0.00786974;-0.00784448
1.06786;0.0218347;-0.00705004;-0.00797229
1.07784;0.0237797;-0.00702107;-0.00794033
1.08782;0.0257172;-0.00764205;-0.00797229
1.0978;0.0277846;-0.00643322;-0.00778057
1.10778;0.0298224;-0.00647463;-0.00786045
1.11776;0.0318762;-0.00735225;-0.00797229
1.12774;0.0338204;-0.00680995;-0.00797229
1.13772;0.0358652;-0.00628005;-0.00787643
1.1477;0.0379033;-0.00742678;-0.00786045
1.15768;0.0398936;-0.00632559;-0.00786045
1.16766;0.0418536;-0.00714527;-0.00797229
1.17764;0.04383;-0.00777037;-0.00797229
1.18762;0.0458108;-0.0072736;-0.00797229
1.1976;0.0477197;-0.00742263;-0.00797229
1.20758;0.0492875;-0.00728188;-0.00784448
1.21756;0.0478875;-0.00733569;-0.00778057
1.22754;0.0458999;-0.00789042;-0.00797229
1.23752;0.0439753;-0.0082506;-0.00797229
1.2475;0.041962;-0.00711215;-0.00797229
1.25748;0.0400061;-0.00787387;-0.0078924
1.26746;0.0380948;-0.00721151;-0.00797229
1.27744;0.036028;-0.00714527;-0.00797229
1.28742;0.0339664;-0.00811812;-0.0078924
1.2974;0.0319591;-0.00813054;-0.00797229
1.30738;0.0299026;-0.00794839;-0.00797229
1.31736;0.0279574;-0.00694655;-0.00797229
1.32734;0.0259184;-0.00732328;-0.00795631
1.33732;0.0239387;-0.00786145;-0.00797229
1.3473;0.0219236;-0.00821748;-0.00795631
1.35728;0.0199094;-0.00803119;-0.00797229
1.36726;0.0180105;-0.00782419;-0.00795631
1.37724;0.0160762;-0.00739366;-0.00787643
1.38722;0.014061;-0.00801462;-0.00784448
1.3972;0.0121495;-0.00787388;-0.00792436
1.40718;0.0101304;-0.00814296;-0.00797229
1.41716;0.00801644;-0.00807672;-0.00797229
1.42714;0.00601701;-0.00813055;-0.00770069
1.43712;0.003987;-0.00801877;-0.00797229
1.4471;0.00191258;-0.00759237;-0.00797229
1.45708;4.73703e-05;-0.00758408;-0.00797229
1.46706;-0.00194514;-0.00733156;-0.00797229
1.47704;-0.00393468;-0.00773312;-0.00797229
1.48702;-0.00598049;-0.00770414;-0.00797229
1.497;-0.00806278;-0.00803533;-0.00797229
1.50698;-0.0100849;-0.00780764;-0.00795631
1.51696;-0.0121761;-0.0080643;-0.00797229
1.52694;-0.0141677;-0.00809328;-0.00797229
1.53692;-0.0161177;-0.00809743;-0.00794033
1.5469;-0.0180204;-0.00800635;-0.00797229
1.55688;-0.019935;-0.00819264;-0.00797229
1.56686;-0.0219532;-0.00806845;-0.00797229
1.57684;-0.023913;-0.00814297;-0.00797229
1.58682;-0.0258455;-0.0081057;-0.00797229
1.5968;-0.0278843;-0.00798151;-0.00795631
1.60678;-0.0298876;-0.00792354;-0.00797229
1.61676;-0.0318841;-0.00782419;-0.00797229
1.62674;-0.03393;-0.00700038;-0.00797229
1.63672;-0.0359501;-0.00790699;-0.00787643
1.6467;-0.0379565;-0.0081885;-0.00781252
1.65668;-0.0399055;-0.00815124;-0.00795631
1.66666;-0.0419818;-0.0081885;-0.00797229
1.67664;-0.0440117;-0.00817608;-0.00795631
1.68662;-0.0459806;-0.00815952;-0.00790838
1.6966;-0.0480286;-0.00810984;-0.00797229
1.70658;-0.0497673;-0.00772484;-0.00797229
1.71656;-0.0485959;-0.00821334;-0.00781252
1.72654;-0.0465848;-0.00820092;-0.00797229
1.73652;-0.0445627;-0.00754682;-0.00787643
1.7465;-0.0425503;-0.00799393;-0.00779655
1.75648;-0.040474;-0.00801048;-0.00797229
1.76646;-0.038455;-0.00787386;-0.00797229
1.77644;-0.0364741;-0.00748473;-0.00797229
1.78642;-0.0344816;-0.00804775;-0.00797229
1.7964;-0.0324951;-0.00796494;-0.00795631
1.80638;-0.0304374;-0.00758822;-0.00795631
1.81636;-0.0284635;-0.00714113;-0.00797229
1.82634;-0.0263832;-0.00716596;-0.00794033
1.83632;-0.0244629;-0.00711215;-0.0078924
1.8463;-0.0224585;-0.00769586;-0.00779655
1.85628;-0.0204915;-0.00736881;-0.00792436
1.86626;-0.0185652;-0.00695483;-0.00794033
1.87624;-0.0166526;-0.0077207;-0.00790838
1.88622;-0.0147342;-0.00687619;-0.00797229
1.8962;-0.0127248;-0.00709972;-0.00781252
1.90618;-0.0106207;-0.0077414;-0.00797229
1.91616;-0.00860361;-0.00773725;-0.00797229
1.92614;-0.00657461;-0.00745575;-0.00797229
1.93612;-0.00447844;-0.00786146;-0.00797229
1.9461;-0.00246622;-0.00801877;-0.00795631
1.95608;-0.000534887;-0.00729843;-0.00797229
1.96606;0.00137965;-0.00738125;-0.00778057
1.97604;0.0034669;-0.00775383;-0.00781252
1.98602;0.00549198;-0.0075551;-0.00797229
1.996;0.00747265;-0.00777866;-0.00792436
2.00598;0.00957371;-0.00748061;-0.00797229
2.01596;0.011579;-0.00786559;-0.00797229
2.02594;0.013541;-0.00743918;-0.00797229
2.03592;0.0155532;-0.0073564;-0.00795631
2.0459;0.0174657;-0.00748059;-0.00794033
2.05588;0.0193449;-0.00810156;-0.00792436
2.06586;0.0214152;-0.00771655;-0.00797229
2.07584;0.0234176;-0.00781177;-0.00797229
2.08582;0.0253323;-0.00750128;-0.00797229
2.0958;0.0273819;-0.0065243;-0.00797229
2.10578;0.0293518;-0.00653257;-0.00792436
2.11576;0.0314194;-0.0064622;-0.00784448
2.12574;0.0333822;-0.00754269;-0.00784448
2.13572;0.0354773;-0.00799393;-0.00797229
2.1457;0.0375124;-0.00753025;-0.00797229
2.15568;0.0394408;-0.00709559;-0.00797229
2.16566;0.0414451;-0.00741848;-0.00792436
2.17564;0.0434166;-0.00782419;-0.00794033
