t;vds;corrente;vg
0.00998;0.0104471;0.188054;0.367789
0.01996;0.0124149;0.189387;0.374537
0.02994;0.0143927;0.189971;0.374697
0.03992;0.0164119;0.189884;0.374697
0.0499;0.0182721;0.189437;0.374697
0.05988;0.0202558;0.189909;0.374697
0.06986;0.0222877;0.189627;0.374633
0.07984;0.0242121;0.190037;0.374697
0.08982;0.0261839;0.189996;0.374697
0.0998;0.0281883;0.189801;0.374697
0.10978;0.030237;0.190008;0.374697
0.11976;0.0322807;0.189834;0.374457
0.12974;0.034224;0.189838;0.374697
0.13972;0.0362887;0.189553;0.374697
0.1497;0.0383392;0.189884;0.374697
0.15968;0.0402933;0.189859;0.374697
0.16966;0.0423332;0.190029;0.374697
0.17964;0.0443307;0.190004;0.374697
0.18962;0.0462373;0.189888;0.374697
0.1996;0.0481992;0.190025;0.374681
0.20958;0.0492237;0.189958;0.374569
0.21956;0.0474669;0.18976;0.374553
0.22954;0.0455109;0.189925;0.374697
0.23952;0.0435607;0.190016;0.374697
0.2495;0.0415672;0.190041;0.374697
0.25948;0.0395483;0.190058;0.374697
0.26946;0.0375933;0.189946;0.374697
0.27944;0.0355769;0.189946;0.374697
0.28942;0.0335243;0.189834;0.374697
0.2994;0.031589;0.190058;0.374697
0.30938;0.0294703;0.190049;0.374697
0.31936;0.0274778;0.190103;0.374633
0.32934;0.0254822;0.190058;0.374697
0.33932;0.0235045;0.189847;0.374697
0.3493;0.0215485;0.188816;0.374697
0.35928;0.019491;0.189222;0.374697
0.36926;0.0175971;0.19;0.374697
0.37924;0.0156766;0.189962;0.374697
0.38922;0.0136702;0.189987;0.374537
0.3992;0.0117695;0.190037;0.374697
0.40918;0.00970304;0.190012;0.374697
0.41916;0.00760392;0.190041;0.374697
0.42914;0.00562914;0.189991;0.374665
0.43912;0.00361495;0.190045;0.374697
0.4491;0.00159283;0.190033;0.374697
0.45908;-0.000376988;0.190045;0.374697
0.46906;-0.00233595;0.190049;0.374697
0.47904;-0.00436004;0.190049;0.374697
0.48902;-0.0064414;0.18971;0.374697
0.499;-0.00847136;0.190049;0.374697
0.50898;-0.0104935;0.190041;0.374697
0.51896;-0.0125807;0.190049;0.374697
0.52894;-0.0145712;0.190037;0.374585
0.53892;-0.0165382;0.189809;0.374441
0.5489;-0.0184122;0.189962;0.374697
0.55888;-0.0204048;0.189909;0.374633
0.56886;-0.0223558;0.189801;0.374697
0.57884;-0.0243187;0.189764;0.374697
0.58882;-0.0263418;0.18976;0.374697
0.5988;-0.0283294;0.189818;0.374697
0.60878;-0.030311;0.190049;0.374697
0.61876;-0.0323064;0.189996;0.374697
0.62874;-0.0343099;0.189838;0.374697
0.63872;-0.036337;0.190033;0.374697
0.6487;-0.038352;0.189996;0.374697
0.65868;-0.0403357;0.19;0.374697
0.66866;-0.0423914;0.19002;0.374585
0.67864;-0.0444274;0.189735;0.374697
0.68862;-0.0463765;0.189855;0.374697
0.6986;-0.0484093;0.190049;0.374697
0.70858;-0.0497297;0.190049;0.374553
0.71856;-0.0480947;0.189743;0.374697
0.72854;-0.0460973;0.190049;0.374697
0.73852;-0.0441283;0.189826;0.374697
0.7485;-0.0420202;0.189979;0.374649
0.75848;-0.0399519;0.190049;0.374697
0.76846;-0.0380198;0.189909;0.374697
0.77844;-0.036029;0.189578;0.374697
0.78842;-0.0340502;0.189942;0.374697
0.7984;-0.0319295;0.190033;0.374697
0.80838;-0.0299598;0.190016;0.374697
0.81836;-0.0279614;0.190049;0.374697
0.82834;-0.025949;0.189867;0.374473
0.83832;-0.0240167;0.190087;0.374665
0.8483;-0.0220233;0.190049;0.374649
0.85828;-0.02009;0.190049;0.374697
0.86826;-0.0180746;0.18976;0.374697
0.87824;-0.016172;0.189454;0.374681
0.88822;-0.0142268;0.189913;0.374697
0.8982;-0.012261;0.190012;0.374681
0.90818;-0.0101619;0.190033;0.374697
0.91816;-0.00815164;0.189917;0.374601
0.92814;-0.0061236;0.189532;0.374697
0.93812;-0.00405311;0.190041;0.374697
0.9481;-0.00204976;0.189867;0.374697
0.95808;-7.00686e-05;0.189524;0.374697
0.96806;0.00190172;0.189975;0.374697
0.97804;0.00395343;0.190095;0.374697
0.98802;0.00594989;0.189842;0.374697
0.998;0.00793449;0.190016;0.374697
1.00798;0.0100287;0.189934;0.374697
1.01796;0.0120359;0.189578;0.374697
1.02794;0.013994;0.189127;0.374697
1.03792;0.0159559;0.189296;0.374697
1.0479;0.0178971;0.189872;0.374697
1.05788;0.0197988;0.189155;0.374617
1.06786;0.0218446;0.189577;0.374697
1.07784;0.0237837;0.189934;0.374697
1.08782;0.0257744;0.190008;0.374697
1.0978;0.0278291;0.190049;0.374697
1.10778;0.0298264;0.190033;0.374697
1.11776;0.0319453;0.189921;0.374697
1.12774;0.0338629;0.190049;0.374665
1.13772;0.0359353;0.189768;0.374697
1.1477;0.037925;0.190025;0.374665
1.15768;0.0398531;0.189987;0.374697
1.16766;0.0418586;0.18899;0.374697
1.17764;0.0438656;0.189793;0.374569
1.18762;0.0458237;0.189499;0.374697
1.1976;0.0477483;0.18988;0.374697
1.20758;0.0492648;0.189317;0.374617
1.21756;0.0477928;0.189106;0.374617
1.22754;0.0459038;0.189151;0.374697
1.23752;0.0439545;0.189561;0.374681
1.2475;0.0419255;0.188531;0.374361
1.25748;0.0400031;0.188957;0.374697
1.26746;0.0379684;0.189669;0.374697
1.27744;0.0359638;0.188328;0.374697
1.28742;0.0338627;0.188965;0.374489
1.2974;0.0319828;0.189726;0.374697
1.30738;0.0298877;0.190049;0.374697
1.31736;0.0278617;0.189296;0.374697
1.32734;0.0258641;0.18928;0.374569
1.33732;0.0238874;0.18887;0.374617
1.3473;0.0219157;0.190049;0.374697
1.35728;0.0198364;0.188631;0.374649
1.36726;0.0179661;0.189065;0.374697
1.37724;0.0159933;0.189408;0.374697
1.38722;0.0140166;0.189557;0.374697
1.3972;0.0121189;0.188767;0.374665
1.40718;0.0101116;0.188622;0.374697
1.41716;0.0080204;0.189367;0.374697
1.42714;0.00605846;0.1899;0.374697
1.43712;0.00403831;0.190004;0.374553
1.4471;0.00193725;0.18928;0.374697
1.45708;-6.90819e-06;0.189772;0.374697
1.46706;-0.0019481;0.189565;0.374697
1.47704;-0.00389126;0.189578;0.374697
1.48702;-0.00604365;0.189987;0.374697
1.497;-0.00811904;0.189735;0.374697
1.50698;-0.0101234;0.18945;0.374697
1.51696;-0.0121751;0.189056;0.374697
1.52694;-0.0141617;0.189565;0.374697
1.53692;-0.0161434;0.1894;0.374665
1.5469;-0.0180698;0.189797;0.374697
1.55688;-0.0199942;0.189834;0.374697
1.56686;-0.0219611;0.190016;0.374697
1.57684;-0.023909;0.190049;0.374697
1.58682;-0.0258415;0.189867;0.374697
1.5968;-0.027911;0.189991;0.374697
1.60678;-0.0299616;0.189859;0.374697
1.61676;-0.0319147;0.189462;0.374697
1.62674;-0.0339763;0.189251;0.374697
1.63672;-0.0359659;0.189681;0.374697
1.6467;-0.0379398;0.189449;0.374697
1.65668;-0.0399459;0.189698;0.374697
1.66666;-0.0419759;0.189453;0.374697
1.67664;-0.0440493;0.18988;0.374697
1.68662;-0.0460527;0.18976;0.374697
1.6966;-0.0479911;0.189611;0.374697
1.70658;-0.0497288;0.188436;0.374697
1.71656;-0.048513;0.189126;0.374681
1.72654;-0.0465069;0.189516;0.374697
1.73652;-0.0444976;0.189205;0.374617
1.7465;-0.0424634;0.189582;0.374601
1.75648;-0.0404147;0.189735;0.374697
1.76646;-0.0384214;0.189288;0.374697
1.77644;-0.0363754;0.189967;0.374697
1.78642;-0.0344391;0.189346;0.374697
1.7964;-0.0324122;0.189756;0.374697
1.80638;-0.0304009;0.18918;0.374681
1.81636;-0.0284013;0.18911;0.374617
1.82634;-0.0263585;0.18863;0.374697
1.83632;-0.0243898;0.188419;0.374697
1.8463;-0.0224555;0.18909;0.374697
1.85628;-0.0204925;0.188829;0.374473
1.86626;-0.0185138;0.188353;0.374665
1.87624;-0.0166141;0.189288;0.374697
1.88622;-0.0146671;0.189073;0.374697
1.8962;-0.0126972;0.188448;0.374601
1.90618;-0.0105892;0.188676;0.374649
1.91616;-0.00858485;0.188295;0.374617
1.92614;-0.00652922;0.189536;0.374697
