t;vds;corrente;vg
0;0.0497421;0;0.00974573
2e-05;0.0492545;0.00267766;0.0158168
4e-05;0.0492545;0.00395653;0.0168553
6e-05;0.0492545;0.00595479;0.0237252
8e-05;0.0492545;0.00791307;0.0246039
0.0001;0.0492545;0.00955163;0.0315538
0.00012;0.0492545;0.0118696;0.0325124
0.00014;0.0492247;0.0139877;0.0388232
0.00016;0.0492446;0.0158261;0.0395421
0.00018;0.0492545;0.0163057;0.0462522
0.0002;0.0492545;0.0183439;0.0476102
0.00022;0.0492545;0.0197827;0.0544004
0.00024;0.0492545;0.0230198;0.055359
0.00026;0.0492545;0.0244586;0.0618294
0.00028;0.0492545;0.027456;0.0632673
0.0003;0.0492545;0.0291745;0.070297
0.00032;0.0492545;0.0316523;0.0711757
0.00034;0.0492545;0.0333708;0.0782854
0.00036;0.0492545;0.0356088;0.0790842
0.00038;0.0492545;0.0362083;0.0860339
0.0004;0.0492545;0.0395653;0.0869925
0.00042;0.0492545;0.041164;0.0945015
0.00044;0.0492545;0.0435219;0.094901
0.00046;0.0492545;0.046719;0.101371
0.00048;0.0492446;0.0474784;0.102809
0.0005;0.0492446;0.0498763;0.105126
0.00052;0.0491849;0.0514349;0.110718
0.00054;0.0492545;0.0517946;0.112715
0.00056;0.0492545;0.0553916;0.117907
0.00058;0.0492545;0.0553916;0.118626
0.0006;0.0492545;0.0586686;0.123819
0.00062;0.0491351;0.059348;0.126854
0.00064;0.0492446;0.0619058;0.133325
0.00066;0.0492545;0.0633045;0.134443
0.00068;0.0492545;0.0669015;0.140834
0.0007;0.0492545;0.0672612;0.142351
0.00072;0.0492545;0.069739;0.149061
0.00074;0.0492545;0.0712177;0.15026
0.00076;0.0492545;0.0737354;0.156491
0.00078;0.0492545;0.0751741;0.158168
0.0008;0.0492545;0.0784512;0.161763
0.00082;0.0492545;0.0792505;0.166077
0.00084;0.0492545;0.0830873;0.166396
0.00086;0.0492545;0.0830873;0.173985
0.00088;0.0492446;0.0850056;0.174384
0.0009;0.0492545;0.0870438;0.181814
0.00092;0.0492545;0.0880829;0.181894
0.00094;0.0492545;0.0910003;0.189243
0.00096;0.0492545;0.0922391;0.189802
0.00098;0.0491749;0.0949567;0.193476
0.001;0.0492545;0.0962757;0.19771
0.00102;0.0492446;0.0989134;0.203861
0.00104;0.0492545;0.101351;0.205619
0.00106;0.0491749;0.10287;0.21169
0.00108;0.0492545;0.103829;0.213527
0.0011;0.0492545;0.106826;0.219359
0.00112;0.0492545;0.108225;0.221436
0.00114;0.049155;0.110783;0.228865
0.00116;0.0492446;0.111742;0.229344
0.00118;0.0492545;0.114739;0.233977
