t;vds;corrente;vg
0;0.0193485;0.0137647;0.0187725
2e-05;0.0193058;0.0235446;0.038312
4e-05;0.0192994;0.0332671;0.057883
6e-05;0.0192986;0.0432277;0.0782376
8e-05;0.019244;0.0528961;0.0973452
0.0001;0.0192178;0.0626426;0.114296
0.00012;0.0192717;0.0722746;0.134683
0.00014;0.0192748;0.082154;0.153648
0.00016;0.0193153;0.0919402;0.172516
0.00018;0.019286;0.10155;0.190457
0.0002;0.0193129;0.111315;0.209772
0.00022;0.0192162;0.120978;0.230301
0.00024;0.0193153;0.130817;0.249218
0.00026;0.0193129;0.140574;0.26668
0.00028;0.0193272;0.150149;0.285311
0.0003;0.0193089;0.160215;0.303332
0.00032;0.01932;0.169952;0.32554
0.00034;0.0192931;0.17969;0.34313
0.00036;0.0193256;0.1894;0.361615
0.00038;0.019366;0.192676;0.382194
0.0004;0.0193517;0.192676;0.401797
0.00042;0.0193501;0.192676;0.420808
0.00044;0.019305;0.192676;0.438062
0.00046;0.0192448;0.192676;0.456082
0.00048;0.0192764;0.192676;0.477062
0.0005;0.019255;0.192676;0.495659
0.00052;0.0193073;0.192676;0.51408
0.00054;0.019328;0.192676;0.53282
0.00056;0.019343;0.192676;0.553587
0.00058;0.0193057;0.192676;0.574106
0.0006;0.0192376;0.192676;0.592429
0.00062;0.0193573;0.192676;0.611199
0.00064;0.019362;0.192676;0.628823
0.00066;0.0193517;0.192676;0.650054
0.00068;0.0193168;0.192676;0.66805
0.0007;0.0193501;0.192676;0.685715
0.00072;0.0193018;0.192676;0.703213
0.00074;0.0193327;0.192676;0.724201
0.00076;0.0193406;0.192676;0.745128
0.00078;0.0193549;0.192676;0.747611
0.0008;0.0193565;0.192676;0.727042
0.00082;0.0193525;0.192676;0.707045
0.00084;0.0193644;0.192676;0.687714
0.00086;0.0193668;0.192676;0.670874
0.00088;0.0193351;0.192676;0.653366
0.0009;0.0193454;0.192676;0.633886
0.00092;0.0193581;0.192676;0.615195
0.00094;0.0193406;0.192676;0.595863
0.00096;0.0192915;0.192676;0.577046
0.00098;0.0192709;0.192676;0.556351
0.001;0.0193177;0.192676;0.536622
0.00102;0.0193208;0.192676;0.516363
0.00104;0.0193485;0.192676;0.499795
0.00106;0.0193176;0.192676;0.47997
0.00108;0.0193692;0.192676;0.459568
0.0011;0.0193517;0.192676;0.440971
0.00112;0.0193074;0.192676;0.42354
0.00114;0.019316;0.192676;0.405405
0.00116;0.0193026;0.192676;0.384986
0.00118;0.0193232;0.190598;0.365175
0.0012;0.0193287;0.181409;0.346069
0.00122;0.0193517;0.17159;0.326755
0.00124;0.0193438;0.16194;0.307662
0.00126;0.0193319;0.151877;0.28825
0.00128;0.0193295;0.142115;0.269667
0.0013;0.0193493;0.132492;0.253004
0.00132;0.0193224;0.12283;0.233369
0.00134;0.0193232;0.113032;0.213702
0.00136;0.0193216;0.103213;0.192965
0.00138;0.0192962;0.093524;0.175088
0.0014;0.0192844;0.0838374;0.157418
