t;vds;corrente;vg
0;0.049752;0.000119895;0.00966584
2e-05;0.0492545;0.00287748;0.0151778
4e-05;0.0492545;0.00427626;0.0162162
6e-05;0.0492545;0.00727363;0.0237252
8e-05;0.0492545;0.00791307;0.0251631
0.0001;0.0492545;0.00991131;0.0309946
0.00012;0.0492446;0.0118696;0.0316336
0.00014;0.0492545;0.013668;0.0388232
0.00016;0.0492545;0.0155863;0.0395421
0.00018;0.0492545;0.0158261;0.045054
0.0002;0.0492545;0.0194629;0.0474505
0.00022;0.0492545;0.0207818;0.0525631
0.00024;0.0492545;0.0237392;0.055359
0.00026;0.0492545;0.0253378;0.0619892
0.00028;0.0492545;0.0276958;0.0635868
0.0003;0.0492545;0.0299338;0.0698177
0.00032;0.0492545;0.0316523;0.0711757
0.00034;0.0492545;0.0338903;0.0770073
0.00036;0.0492545;0.0357687;0.0790842
0.00038;0.0492545;0.0367278;0.0848357
0.0004;0.0492545;0.0395653;0.0871523
0.00042;0.0492545;0.0404046;0.0945015
0.00044;0.0492545;0.0435219;0.094901
0.00046;0.0492545;0.044481;0.0980962
0.00048;0.0492545;0.0474784;0.102809
0.0005;0.0492545;0.0492369;0.104807
0.00052;0.0492545;0.0514349;0.110718
0.00054;0.0492545;0.0521943;0.110718
0.00056;0.0492545;0.0551118;0.116949
0.00058;0.0492545;0.0557512;0.118626
0.0006;0.0492545;0.0592281;0.125017
0.00062;0.0492545;0.0599075;0.127813
0.00064;0.0492545;0.0633045;0.134443
0.00066;0.0492545;0.0633045;0.134443
0.00068;0.0492545;0.0665018;0.142192
0.0007;0.0492545;0.0672612;0.142351
0.00072;0.0492545;0.0693393;0.148662
0.00074;0.0492545;0.0712177;0.15026
0.00076;0.0492545;0.0747345;0.156251
0.00078;0.0492545;0.0753739;0.158168
0.0008;0.0492545;0.0777718;0.162722
0.00082;0.0492545;0.0793305;0.166077
0.00084;0.0492545;0.0830873;0.167355
0.00086;0.0492545;0.0830873;0.173985
0.00088;0.0492545;0.0857649;0.175103
0.0009;0.0492545;0.0870438;0.180376
0.00092;0.0492545;0.0893618;0.181894
0.00094;0.0492545;0.0910003;0.188524
0.00096;0.0492446;0.0934381;0.189802
0.00098;0.0492545;0.0949567;0.194435
0.001;0.0492545;0.0954364;0.19771
0.00102;0.0492545;0.0988735;0.202423
0.00104;0.0492545;0.102071;0.205619
0.00106;0.0492545;0.10287;0.210092
0.00108;0.0492545;0.105667;0.213687
0.0011;0.0492545;0.106826;0.219679
0.00112;0.0492545;0.109145;0.221676
0.00114;0.0492545;0.110783;0.227028
0.00116;0.0492545;0.113141;0.229584
0.00118;0.0492545;0.114739;0.236454
0.0012;0.0492545;0.117217;0.237252
0.00122;0.0492545;0.118696;0.241726
0.00124;0.0492545;0.120175;0.245161
0.00126;0.0492545;0.122653;0.249634
0.00128;0.0492545;0.124811;0.253069
0.0013;0.0492545;0.126609;0.253788
0.00132;0.0492545;0.128048;0.260978
0.00134;0.0492545;0.130566;0.260978
0.00136;0.0492545;0.131685;0.267768
0.00138;0.0492545;0.134522;0.268886
0.0014;0.0492545;0.135322;0.273679
0.00142;0.0492545;0.138479;0.276875
0.00144;0.0492545;0.138519;0.27999
0.00146;0.0492545;0.142156;0.284703
0.00148;0.0492545;0.143354;0.286221
0.0015;0.0492545;0.145353;0.292611
0.00152;0.0492545;0.147391;0.292611
0.00154;0.0492545;0.150348;0.30012
0.00156;0.0492545;0.150348;0.303476
0.00158;0.0492545;0.152187;0.308429
0.0016;0.0492545;0.154305;0.310985
0.00162;0.0492545;0.156623;0.316337
0.00164;0.0492545;0.158261;0.320011
0.00166;0.0492545;0.160699;0.324245
0.00168;0.0492545;0.162218;0.325603
0.0017;0.0492545;0.163057;0.330795
0.00172;0.0492545;0.166175;0.332153
0.00174;0.0492545;0.167813;0.339103
0.00176;0.0492545;0.170131;0.340381
0.00178;0.0492545;0.172569;0.34797
0.0018;0.0492545;0.174088;0.34797
0.00182;0.0492545;0.175846;0.353163
0.00184;0.0492446;0.178004;0.355879
0.00186;0.0492545;0.178764;0.359633
0.00188;0.0492545;0.181841;0.363787
0.0019;0.0492545;0.1824;0.366423
0.00192;0.0492545;0.185957;0.371696
0.00194;0.0492545;0.186037;0.374252
0.00196;0.0492545;0.189874;0.379604
0.00198;0.0492545;0.190393;0.383198
0.002;0.0492545;0.192911;0.387512
0.00202;0.0492545;0.19387;0.391985
0.00204;0.0492545;0.195669;0.39542
0.00206;0.0492545;0.197827;0.398696
0.00208;0.0492545;0.200184;0.403329
0.0021;0.0492545;0.201783;0.406125
0.00212;0.0492545;0.203302;0.411238
0.00214;0.0492545;0.20574;0.412516
0.00216;0.0492545;0.208218;0.419146
0.00218;0.0492545;0.209697;0.419625
0.0022;0.0492545;0.211974;0.426096
0.00222;0.0492545;0.213573;0.427055
0.00224;0.0492545;0.215531;0.431368
0.00226;0.0492545;0.217609;0.434963
0.00228;0.0492545;0.219448;0.434963
0.0023;0.0492545;0.221566;0.442233
0.00232;0.0492545;0.223005;0.442872
0.00234;0.0492545;0.225522;0.447505
0.00236;0.0492545;0.227361;0.45094
0.00238;0.0492545;0.229479;0.458289
0.0024;0.0492545;0.231557;0.460366
0.00242;0.0492545;0.233436;0.465718
0.00244;0.0492545;0.235514;0.468514
0.00246;0.0492545;0.237392;0.473786
0.00248;0.0492545;0.24011;0.475383
0.0025;0.0492545;0.241348;0.482413
0.00252;0.0492545;0.243587;0.482413
0.00254;0.0492545;0.245305;0.489124
0.00256;0.0492545;0.245305;0.490322
0.00258;0.0492545;0.248343;0.497751
0.0026;0.0492545;0.249262;0.49823
0.00262;0.0492545;0.252259;0.503981
0.00264;0.0492545;0.253778;0.506138
0.00266;0.0492545;0.257135;0.508216
0.00268;0.0492545;0.257255;0.514048
0.0027;0.0492545;0.260532;0.515006
0.00272;0.0492545;0.261131;0.520199
0.00274;0.0492545;0.264488;0.523554
0.00276;0.0492545;0.265088;0.529864
0.00278;0.0492545;0.268245;0.531222
0.0028;0.0492545;0.269045;0.537773
0.00282;0.0492545;0.271203;0.540649
0.00284;0.0492545;0.272442;0.545681
0.00286;0.0492545;0.274559;0.546719
0.00288;0.0492545;0.276957;0.55343
0.0029;0.0492545;0.278556;0.556225
0.00292;0.0492545;0.281114;0.561498
0.00294;0.0492545;0.284351;0.565172
0.00296;0.0492545;0.284871;0.569406
0.00298;0.0492545;0.287828;0.573799
0.003;0.0492545;0.288827;0.577314
0.00302;0.0492545;0.291464;0.577873
0.00304;0.0492545;0.292783;0.584903
0.00306;0.0492545;0.293423;0.585223
0.00308;0.0492545;0.296661;0.592412
0.0031;0.0492545;0.29738;0.593131
0.00312;0.0492545;0.300697;0.599361
0.00314;0.0492545;0.302495;0.601039
0.00316;0.0492545;0.304653;0.605354
0.00318;0.0492545;0.305612;0.608949
0.0032;0.0492545;0.30821;0.612224
0.00322;0.0492545;0.309089;0.616857
0.00324;0.0492545;0.311527;0.617017
0.00326;0.0492545;0.312606;0.624446
0.00328;0.0492545;0.316523;0.625085
0.0033;0.0492545;0.317002;0.632035
0.00332;0.0492545;0.32048;0.636508
0.00334;0.0492545;0.32048;0.640582
0.00336;0.0492545;0.322917;0.64218
0.00338;0.0492545;0.324955;0.64849
0.0034;0.0492545;0.327993;0.650088
0.00342;0.0492446;0.328392;0.656399
0.00344;0.0492545;0.33171;0.656399
0.00346;0.0492545;0.332349;0.663588
0.00348;0.0492545;0.335027;0.664307
0.0035;0.0492545;0.336306;0.667662
0.00352;0.0492545;0.337225;0.672215
0.00354;0.0492545;0.340022;0.674532
0.00356;0.0492545;0.340461;0.680124
0.00358;0.0492545;0.344219;0.680283
0.0036;0.0492545;0.345378;0.687073
0.00362;0.0492545;0.348175;0.688032
0.00364;0.0492545;0.348455;0.691626
0.00366;0.0492545;0.352131;0.69594
0.00368;0.0492545;0.353291;0.699856
0.0037;0.0492545;0.356088;0.70385
0.00372;0.0492545;0.358047;0.708243
0.00374;0.0492545;0.360045;0.711758
0.00376;0.0492545;0.361204;0.716072
0.00378;0.0492545;0.364001;0.719666
0.0038;0.0492545;0.365719;0.726377
0.00382;0.0492545;0.367957;0.727575
0.00384;0.0492545;0.368597;0.735243
0.00386;0.0492545;0.371915;0.735563
0.00388;0.0492545;0.372274;0.741714
0.0039;0.0492545;0.375871;0.743391
0.00392;0.0492545;0.376111;0.749782
0.00394;0.0492545;0.375911;0.750341
0.00396;0.0492545;0.375072;0.743391
0.00398;0.0492545;0.372754;0.742832
0.004;0.0492545;0.371915;0.735563
0.00402;0.0492545;0.368996;0.734525
0.00404;0.0492545;0.367957;0.727974
0.00406;0.0492545;0.3658;0.727096
0.00408;0.0492545;0.364001;0.720945
0.0041;0.0492545;0.362483;0.718228
0.00412;0.0492545;0.360045;0.711758
0.00414;0.0492545;0.358766;0.71032
