t;vds;corrente;vg
0.00998;0.0194909;0.0291039;0.677831
0.01996;0.0193249;0.0302013;0.673644
0.02994;0.0193824;0.0263866;0.653688
0.03992;0.0192898;0.0272266;0.632972
0.0499;0.0192061;0.0294107;0.613891
0.05988;0.0193369;0.0232439;0.594863
0.06986;0.0193936;0.0215243;0.574772
0.07984;0.019443;0.0226015;0.554811
0.08982;0.0194757;0.0201407;0.534531
0.0998;0.0193345;0.0180358;0.512922
0.10978;0.0194558;0.0225027;0.493825
0.11976;0.0193345;0.0214848;0.473145
0.12974;0.0193377;0.0236293;0.453139
0.13972;0.0195531;0.0186485;0.432696
0.1497;0.0195132;0.0193699;0.414303
0.15968;0.0193473;0.0213168;0.394088
0.16966;0.0195451;0.020625;0.37374
0.17964;0.0194127;0.0237677;0.354166
0.18962;0.0194574;0.0226509;0.334463
0.1996;0.0194135;0.0210598;0.314838
0.20958;0.0193808;0.0297763;0.29523
0.21956;0.0193577;0.0289066;0.276279
0.22954;0.0193003;0.0322964;0.256862
0.23952;0.0193274;0.0263174;0.23775
0.2495;0.0192978;0.0302408;0.217806
0.25948;0.0193433;0.0343915;0.197045
0.26946;0.019238;0.0288177;0.176218
0.27944;0.0192348;0.0388584;0.158419
0.28942;0.019167;0.0334724;0.137787
0.2994;0.0192372;0.0373365;0.118579
0.30938;0.0191526;0.0428114;0.0993384
0.31936;0.0192013;0.0403111;0.0795056
0.32934;0.0191351;0.0435329;0.0608742
0.33932;0.0191941;0.0472092;0.0411533
0.3493;0.0190992;0.0491561;0.0211609
0.35928;0.0192364;0.0476836;0.00100843
0.36926;0.0190138;0.0493834;-0.0173514
0.37924;0.0191838;0.0497095;-0.0383685
0.38922;0.0191263;0.0577144;-0.0580888
0.3992;0.0190521;0.0588312;-0.0794096
0.40918;0.0189572;0.0577737;-0.0973859
0.41916;0.0192404;0.0604519;-0.117634
0.42914;0.0191239;0.0657095;-0.138155
0.43912;0.0190729;0.0713524;-0.157283
0.4491;0.0188958;0.0627842;-0.176874
0.45908;0.0189293;0.0718763;-0.194116
0.46906;0.0188981;0.0751474;-0.183725
0.47904;0.0188399;0.0722418;-0.165302
0.48902;0.0189085;0.0716983;-0.14547
0.499;0.018958;0.0689114;-0.124774
0.50898;0.018808;0.0698206;-0.104909
0.51896;0.0189572;0.0748311;-0.0869485
0.52894;0.0188543;0.0668558;-0.0664125
0.53892;0.019025;0.0733981;-0.0459712
0.5489;0.0188359;0.0696625;-0.0251787
0.55888;0.0188997;0.0717872;-0.00598655
0.56886;0.0188152;0.0675773;0.0133176
0.57884;0.0190689;0.06987;0.0334223
0.58882;0.0189325;0.0656106;0.0541672
0.5988;0.0189277;0.065413;0.0729591
0.60878;0.0191439;0.0648002;0.0919276
0.61876;0.0188981;0.0625964;0.111056
0.62874;0.0190657;0.063812;0.131528
0.63872;0.0189285;0.0609658;0.151232
0.6487;0.0191096;0.0630411;0.170136
0.65868;0.0189205;0.0638911;0.189586
0.66866;0.0190697;0.059434;0.209978
0.67864;0.0190537;0.0572203;0.230483
0.68862;0.0189644;0.0624976;0.249739
0.6986;0.0189038;0.0625569;0.268643
0.70858;0.0191183;0.0575761;0.287771
0.71856;0.019009;0.0580109;0.307683
0.72854;0.0191072;0.0543346;0.327594
0.73852;0.0191447;0.0607582;0.346642
0.7485;0.0190106;0.0517058;0.365914
0.75848;0.0188686;0.0539393;0.386885
0.76846;0.0192077;0.0493142;0.406382
0.77844;0.0194015;0.0503915;0.425254
0.78842;0.0192763;0.0497194;0.445518
0.7984;0.0189604;0.043266;0.466053
0.80838;0.0192547;0.04462;0.485614
0.81836;0.0193002;0.038137;0.507145
0.82834;0.0192715;0.0377021;0.526047
0.83832;0.0193481;0.0346583;0.548327
0.8483;0.019384;0.0268214;0.567137
0.85828;0.0190944;0.0287979;0.587691
0.86826;0.0195156;0.0190833;0.606612
0.87824;0.0196505;0.0221173;0.626952
0.88822;0.0189397;0.0197949;0.646305
0.8982;0.0198802;0.0210697;0.666698
0.90818;0.0192173;0.0190636;0.68541
0.91816;0.0197127;0.0257936;0.704829
0.92814;0.0189117;0.0264953;0.724702
0.93812;0.0198315;0.0267325;0.744206
0.9481;0.0193617;0.0287683;0.764281
0.95808;0.0184802;0.0212476;0.781019
0.96806;0.020532;0.0327608;0.774127
0.97804;0.018733;0.0320888;0.756916
0.98802;0.0188511;0.0316145;0.736807
0.998;0.0204203;0.0293711;0.716673
1.00798;0.0184083;0.0280271;0.696053
1.01796;0.0195124;0.0274737;0.677803
1.02794;0.0202009;0.0264755;0.658249
1.03792;0.0184467;0.0259122;0.637422
1.0479;0.0202807;0.0249832;0.617972
1.05788;0.0194526;0.0196368;0.598783
1.06786;0.0189165;0.0186188;0.579767
1.07784;0.0203198;0.0202989;0.559504
1.08782;0.0189213;0.0216825;0.538676
1.0978;0.0193138;0.0235404;0.518092
1.10778;0.0199305;0.0226608;0.498485
1.11776;0.0190378;0.0182532;0.477786
1.12774;0.0197685;0.0213563;0.456899
1.13772;0.0194821;0.0201506;0.437483
1.1477;0.0192596;0.0172155;0.417474
1.15768;0.0197661;0.0205756;0.398425
1.16766;0.0191822;0.024835;0.377679
1.17764;0.0193936;0.0245879;0.358838
1.18762;0.0197079;0.0250425;0.338271
1.1976;0.0192779;0.0214354;0.319657
1.20758;0.0194407;0.0257837;0.298687
1.21756;0.0195245;0.0269597;0.280136
1.22754;0.0193202;0.028284;0.260848
1.23752;0.0194071;0.0300234;0.241832
1.2475;0.0193002;0.027197;0.222224
1.25748;0.0193529;0.0318615;0.200726
1.26746;0.0194446;0.0290845;0.1819
1.27744;0.019242;0.0323556;0.162453
1.28742;0.019242;0.0344211;0.142845
1.2974;0.019471;0.0366744;0.122116
1.30738;0.0192708;0.0384631;0.103965
1.31736;0.0192603;0.0389375;0.0839874
1.32734;0.0193098;0.04041;0.0648279
1.33732;0.0191821;0.0446101;0.0456831
1.3473;0.0191885;0.0487114;0.0254508
1.35728;0.0192276;0.0437009;0.00555437
1.36726;0.0192228;0.0496107;-0.0139579
1.37724;0.0189947;0.0562914;-0.0337743
1.38722;0.0190489;0.0544828;-0.0548875
1.3972;0.0189516;0.0583766;-0.0749118
1.40718;0.0191383;0.0563803;-0.0937363
1.41716;0.0189747;0.0572598;-0.112912
1.42714;0.0188957;0.0685656;-0.133673
1.43712;0.0191247;0.0697711;-0.153089
1.4471;0.018942;0.0702653;-0.174041
1.45708;0.0189253;0.0753846;-0.191634
1.46706;0.0189165;0.0712438;-0.187967
1.47704;0.0189572;0.0666483;-0.169047
1.48702;0.0188902;0.0702851;-0.149712
1.497;0.0187211;0.0732697;-0.129303
1.50698;0.0187394;0.075256;-0.109599
1.51696;0.0189763;0.0706508;-0.0900537
1.52694;0.0188383;0.0695933;-0.0705261
1.53692;0.0188958;0.0721727;-0.0500692
1.5469;0.0190825;0.067597;-0.030221
1.55688;0.0188032;0.0723902;-0.00880375
1.56686;0.0189117;0.0718861;0.0100843
1.57684;0.0188846;0.0694549;0.030381
1.58682;0.0189301;0.0720343;0.0497013
1.5968;0.0189668;0.0611536;0.0694535
1.60678;0.0190872;0.0677452;0.0879258
1.61676;0.018899;0.0617268;0.107358
1.62674;0.0191455;0.0656007;0.128087
1.63672;0.0188822;0.0668657;0.146959
1.6467;0.0188958;0.0671918;0.166742
1.65668;0.0190074;0.0627052;0.18616
1.66666;0.0190617;0.0654327;0.206409
1.67664;0.0190434;0.0627644;0.225697
1.68662;0.0190138;0.0613018;0.247018
1.6966;0.0189875;0.0600764;0.264577
1.70658;0.019116;0.0565187;0.28489
1.71656;0.0190441;0.0527534;0.30445
1.72654;0.0192205;0.0549671;0.323417
1.73652;0.0193617;0.0556193;0.342672
1.7465;0.0191925;0.0605804;0.361848
1.75648;0.0192124;0.057922;0.383507
1.76646;0.0190425;0.048494;0.403179
