t;vds;corrente;vg
0;0.0194118;0.0106443;0.00894689
2e-05;0.0192177;0.0124465;0.0154174
4e-05;0.0192098;0.014418;0.0158168
6e-05;0.0192177;0.0162203;0.0234057
8e-05;0.0192177;0.0180225;0.0241246
0.0001;0.0192177;0.0201434;0.0308348
0.00012;0.0192177;0.0219755;0.0316336
0.00014;0.0192177;0.0238276;0.0374652
0.00016;0.0192177;0.0258788;0.0395421
0.00018;0.0192177;0.0278403;0.0452138
0.0002;0.0192177;0.0297422;0.0474505
0.00022;0.0192177;0.0315245;0.0544803
0.00024;0.0192177;0.0335956;0.0554389
0.00026;0.0192177;0.0355671;0.0632673
0.00028;0.0192177;0.037449;0.0643857
0.0003;0.0192177;0.0392413;0.0711757
0.00032;0.0192177;0.0410137;0.0711757
0.00034;0.0192177;0.0429654;0.0770073
0.00036;0.0192177;0.0448273;0.0795635
0.00038;0.0192177;0.0468884;0.0869925
0.0004;0.0192177;0.0485215;0.0869925
0.00042;0.0192177;0.0504531;0.0940222
0.00044;0.0192177;0.0525143;0.094901
0.00046;0.0192177;0.0545655;0.0992945
0.00048;0.0192177;0.0562781;0.102809
0.0005;0.0192177;0.0583194;0.104647
0.00052;0.0192177;0.0601614;0.110718
0.00054;0.0192177;0.0619039;0.110718
0.00056;0.0192177;0.0638555;0.117108
0.00058;0.0192177;0.0657972;0.118626
0.0006;0.0192177;0.067699;0.124777
0.00062;0.0192177;0.0695312;0.126535
0.00064;0.0192177;0.0716421;0.134204
0.00066;0.0192177;0.0734642;0.135482
0.00068;0.0192177;0.0752566;0.142351
0.0007;0.0192177;0.0772878;0.14299
0.00072;0.0192177;0.0791696;0.15026
0.00074;0.0192177;0.0810716;0.15026
0.00076;0.0192177;0.0830729;0.155932
0.00078;0.0192058;0.0847258;0.158168
0.0008;0.0192177;0.0867871;0.162242
0.00082;0.0192177;0.0886092;0.166077
0.00084;0.0192177;0.0905507;0.168074
0.00086;0.0192296;0.0925622;0.173985
0.00088;0.0192177;0.0941553;0.174305
0.0009;0.0192177;0.0961965;0.181654
0.00092;0.0192177;0.0980287;0.182772
0.00094;0.0192177;0.10009;0.187965
0.00096;0.0192137;0.102081;0.189802
0.00098;0.0192177;0.103933;0.195713
0.001;0.0192177;0.105975;0.19771
