t,vds,corrente
0,0,-0.00049332
0.02,-0.00398016,0.00098664
0.04,-0.00398016,-0.00197328
0.06,0.0308462,0.013813
0.08,0.024876,0.012333
0.1,0.0407966,0.0197328
0.12,0.0368165,0.0187462
0.14,0.0527371,0.0256526
0.16,0.048757,0.0241727
0.18,0.0646776,0.0315725
0.2,0.0597024,0.0300925
0.22,0.0766181,0.0374923
0.24,0.0726379,0.0360124
0.26,0.0895536,0.0434122
0.28,0.0825883,0.0419322
0.3,0.100499,0.0488387
0.32,0.099504,0.0488387
0.34,0.0825883,0.0419322
0.36,0.0885586,0.0429188
0.38,0.0726379,0.035519
0.4,0.075623,0.0374923
0.42,0.0606974,0.0295992
0.44,0.0646776,0.0310792
0.46,0.048757,0.0236794
0.48,0.0517421,0.0251593
0.5,0.0368165,0.0177595
0.52,0.0427867,0.0192395
0.54,0.024876,0.012333
0.56,0.0298512,0.013813
0.58,0.0109454,0.00641316
0.6,0.0169157,0.00789312
0.62,0.00199008,0
0.64,0.00597024,0.00147996
0.66,-0.0099504,-0.00542652
0.68,-0.00696528,-0.00394656
0.7,-0.0208958,-0.0113464
0.72,-0.0169157,-0.0103597
0.74,-0.0338314,-0.0172662
0.76,-0.0308462,-0.0157862
0.78,-0.0467669,-0.023186
0.8,-0.0417917,-0.026146
0.82,-0.0517421,-0.0212128
0.84,-0.0447768,-0.0226927
0.86,-0.0288562,-0.0157862
0.88,-0.0338314,-0.0167729
0.9,-0.0169157,-0.0098664
0.92,-0.0208958,-0.0113464
0.94,-0.00597024,-0.00394656
0.96,-0.0099504,-0.0049332
0.98,0.00696528,0.00197328
1,0.00199008,0.00098664
1.02,0.0189058,0.00789312
1.04,0.0149256,0.00690648
1.06,0.0298512,0.013813
1.08,0.025871,0.0128263
1.1,0.0407966,0.0197328
1.12,0.0378115,0.0187462
1.14,0.0527371,0.0256526
1.16,0.048757,0.0241727
1.18,0.0646776,0.0315725
1.2,0.0606974,0.0300925
1.22,0.075623,0.0374923
1.24,0.0726379,0.0360124
1.26,0.0885586,0.0434122
1.28,0.0845784,0.0419322
1.3,0.099504,0.0498253
1.32,0.099504,0.0488387
1.34,0.0815933,0.0414389
1.36,0.0885586,0.0429188
1.38,0.0716429,0.035519
1.4,0.0766181,0.036999
1.42,0.0597024,0.0300925
1.44,0.0646776,0.0310792
1.46,0.0477619,0.0241727
1.48,0.0527371,0.0256526
1.5,0.0348264,0.0182528
1.52,0.0398016,0.0192395
1.54,0.024876,0.012333
1.56,0.0298512,0.0133196
1.58,0.0129355,0.00641316
1.6,0.0169157,0.00789312
1.62,0.00099504,0.00049332
1.64,0.00398016,0.00197328
1.66,-0.0099504,-0.00542652
1.68,-0.0049752,-0.00443988
1.7,-0.0218909,-0.0113464
1.72,-0.0179107,-0.0098664
1.74,-0.0338314,-0.0172662
1.76,-0.0308462,-0.0162796
1.78,-0.0457718,-0.023186
1.8,-0.050747,-0.0212128
1.82,-0.0407966,-0.0256526
1.84,-0.0447768,-0.0226927
1.86,-0.0298512,-0.0152929
1.88,-0.0338314,-0.0167729
1.9,-0.0179107,-0.00937308
1.92,-0.0208958,-0.010853
1.94,-0.00398016,-0.00394656
1.96,-0.00895536,-0.00542652
1.98,0.00597024,0.00197328
2,0.00199008,0.00049332
2.02,0.0179107,0.00838644
2.04,0.0139306,0.00690648
2.06,0.0298512,0.013813
2.08,0.025871,0.0128263
2.1,0.0417917,0.0197328
2.12,0.0368165,0.0187462
2.14,0.0527371,0.0256526
2.16,0.0477619,0.0241727
2.18,0.0636826,0.0320658
2.2,0.0606974,0.0300925
2.22,0.0766181,0.0374923
2.24,0.0716429,0.0360124
2.26,0.0885586,0.0434122
2.28,0.0845784,0.0419322
2.3,0.100499,0.049332
2.32,0.098509,0.0488387
2.34,0.0835834,0.0419322
2.36,0.0875635,0.0429188
2.38,0.0716429,0.0360124
2.4,0.075623,0.036999
2.42,0.0587074,0.0300925
2.44,0.0646776,0.0310792
2.46,0.0477619,0.0241727
2.48,0.0517421,0.0251593
2.5,0.0358214,0.0177595
2.52,0.0407966,0.0197328
2.54,0.025871,0.0118397
2.56,0.0298512,0.0133196
2.58,0.0139306,0.00641316
2.6,0.0169157,0.00789312
2.62,0.00099504,0.00049332
2.64,0.00696528,0.00197328
2.66,-0.0099504,-0.00591984
2.68,-0.00597024,-0.00394656
2.7,-0.0228859,-0.0113464
2.72,-0.0179107,-0.0098664
2.74,-0.0358214,-0.0172662
2.76,-0.0308462,-0.0157862
2.78,-0.0457718,-0.023186
2.8,-0.0407966,-0.0217061
2.82,-0.0527371,-0.026146
2.84,-0.0457718,-0.0226927
2.86,-0.0298512,-0.0157862
2.88,-0.0338314,-0.0172662
2.9,-0.0169157,-0.0098664
2.92,-0.023881,-0.010853
2.94,-0.00398016,-0.00394656
2.96,-0.0099504,-0.0049332
2.98,0.00597024,0.00197328
3,0.00099504,0.00098664
3.02,0.0189058,0.00789312
3.04,0.0149256,0.00641316
3.06,0.0288562,0.013813
3.08,0.024876,0.0128263
3.1,0.0417917,0.0197328
3.12,0.0358214,0.0187462
3.14,0.0547272,0.0256526
3.16,0.0467669,0.0241727
3.18,0.0656726,0.0315725
3.2,0.0577123,0.0305858
3.22,0.0786082,0.0374923
3.24,0.0726379,0.0360124
3.26,0.0895536,0.0434122
3.28,0.0835834,0.0419322
3.3,0.099504,0.049332
3.32,0.098509,0.0488387
3.34,0.0825883,0.0414389
3.36,0.0895536,0.0434122
3.38,0.0696528,0.0360124
3.4,0.0766181,0.0374923
3.42,0.0597024,0.0300925
3.44,0.0656726,0.0310792
3.46,0.048757,0.0241727
3.48,0.0527371,0.0251593
3.5,0.0368165,0.0182528
3.52,0.0407966,0.0197328
3.54,0.024876,0.012333
3.56,0.0298512,0.013813
3.58,0.0129355,0.00641316
3.6,0.0199008,0.0073998
3.62,0.00099504,0.00049332
3.64,0.00597024,0.00147996
3.66,-0.0109454,-0.00542652
3.68,-0.00696528,-0.00394656
3.7,-0.0218909,-0.0113464
3.72,-0.0179107,-0.0098664
3.74,-0.0338314,-0.0172662
3.76,-0.0298512,-0.0157862
3.78,-0.0457718,-0.0226927
3.8,-0.050747,-0.026146
3.82,-0.0398016,-0.0212128
3.84,-0.0457718,-0.0226927
3.86,-0.0298512,-0.0157862
3.88,-0.0328363,-0.0172662
3.9,-0.0179107,-0.00937308
3.92,-0.0218909,-0.010853
3.94,-0.00298512,-0.00394656
3.96,-0.0109454,-0.00542652
3.98,0.00597024,0.00197328
4,0.00199008,0.00049332
4.02,0.0199008,0.00789312
4.04,0.0139306,0.00641316
4.06,0.0308462,0.013813
4.08,0.025871,0.0128263
4.1,0.0437818,0.0197328
4.12,0.0368165,0.0187462
4.14,0.0537322,0.026146
4.16,0.0477619,0.0241727
4.18,0.0656726,0.0315725
4.2,0.0597024,0.0300925
4.22,0.0766181,0.0374923
4.24,0.0706478,0.0360124
4.26,0.0895536,0.0434122
4.28,0.0825883,0.0419322
4.3,0.099504,0.049332
4.32,0.100499,0.0488387
4.34,0.0805982,0.0414389
4.36,0.0885586,0.0429188
4.38,0.0706478,0.0360124
4.4,0.0766181,0.036999
4.42,0.0597024,0.0295992
4.44,0.0676627,0.0315725
4.46,0.048757,0.0241727
4.48,0.0537322,0.0256526
4.5,0.0358214,0.0182528
4.52,0.0407966,0.0192395
4.54,0.024876,0.012333
4.56,0.0298512,0.013813
4.58,0.0119405,0.00641316
4.6,0.0189058,0.00789312
4.62,0.00099504,0.00049332
4.64,0.00796032,0.00147996
4.66,-0.0099504,-0.00542652
4.68,-0.00597024,-0.00443988
4.7,-0.0228859,-0.0113464
4.72,-0.0179107,-0.0098664
4.74,-0.0348264,-0.0172662
4.76,-0.0288562,-0.0157862
4.78,-0.0467669,-0.023186
4.8,-0.0527371,-0.0256526
4.82,-0.0398016,-0.0212128
4.84,-0.0457718,-0.023186
4.86,-0.0288562,-0.0157862
4.88,-0.0348264,-0.0167729
4.9,-0.0149256,-0.00937308
4.92,-0.0228859,-0.010853
4.94,-0.00398016,-0.00394656
4.96,-0.00796032,-0.00542652
4.98,0.00696528,0.00197328
5,0.00099504,0
5.02,0.0189058,0.00789312
5.04,0.0139306,0.00690648
5.06,0.0308462,0.013813
5.08,0.024876,0.012333
5.1,0.0407966,0.0197328
5.12,0.0368165,0.0187462
5.14,0.0527371,0.0256526
5.16,0.0467669,0.0241727
5.18,0.0656726,0.0315725
5.2,0.0587074,0.0300925
5.22,0.0776131,0.0374923
5.24,0.0716429,0.0365057
5.26,0.0895536,0.0434122
5.28,0.0835834,0.0419322
5.3,0.099504,0.049332
5.32,0.099504,0.0488387
5.34,0.0825883,0.0419322
5.36,0.0885586,0.0429188
5.38,0.0716429,0.0360124
5.4,0.075623,0.0374923
5.42,0.0587074,0.0300925
5.44,0.0646776,0.0315725
5.46,0.048757,0.0241727
5.48,0.0537322,0.0251593
5.5,0.0358214,0.0182528
5.52,0.0417917,0.0192395
5.54,0.023881,0.012333
5.56,0.0298512,0.013813
5.58,0.0109454,0.00591984
5.6,0.0179107,0.00789312
5.62,0.00099504,0.00049332
5.64,0.00696528,0.00147996
5.66,-0.0099504,-0.00542652
5.68,-0.00597024,-0.00394656
5.7,-0.0228859,-0.0113464
5.72,-0.0169157,-0.0098664
5.74,-0.0348264,-0.0172662
5.76,-0.0288562,-0.0162796
5.78,-0.0457718,-0.023186
5.8,-0.0398016,-0.0217061
5.82,-0.0517421,-0.026146
5.84,-0.0447768,-0.0226927
5.86,-0.0298512,-0.0157862
5.88,-0.0328363,-0.0167729
5.9,-0.0169157,-0.0098664
5.92,-0.0218909,-0.010853
5.94,-0.00597024,-0.00394656
5.96,-0.00895536,-0.00542652
5.98,0.00597024,0.0024666
6,0.00099504,0.00049332
6.02,0.0199008,0.00838644
6.04,0.0139306,0.00690648
6.06,0.0288562,0.0143063
6.08,0.025871,0.012333
6.1,0.0417917,0.0197328
6.12,0.0378115,0.0182528
6.14,0.0517421,0.0256526
6.16,0.048757,0.0241727
6.18,0.0646776,0.0315725
6.2,0.0597024,0.0300925
6.22,0.0766181,0.0374923
6.24,0.0706478,0.0360124
6.26,0.0875635,0.0434122
6.28,0.0835834,0.0419322
6.3,0.101494,0.0488387
6.32,0.100499,0.0488387
6.34,0.0835834,0.0414389
6.36,0.0895536,0.0429188
6.38,0.0726379,0.0360124
