t;vds;corrente;vg
0.000998;0.0196552;0.0703379;0.0015505
0.001996;0.0184977;0.0685952;0.00808346
0.002994;0.0179529;0.0698206;0.0119891
0.003992;0.018725;0.0716389;0.0153986
0.00499;0.0198491;0.0686643;0.0159108
0.005988;0.0198675;0.0691585;0.0160549
0.006986;0.0187761;0.0725977;0.0201847
0.007984;0.0179808;0.073072;0.0238503
0.008982;0.0186158;0.0657688;0.0239623
0.00998;0.0197653;0.0696625;0.0240263
0.010978;0.0199903;0.0729929;0.028028
0.011976;0.0190641;0.0768373;0.0318857
0.012974;0.0182177;0.0683877;0.0319497
0.013972;0.0184618;0.0651659;0.0319497
0.01497;0.0195723;0.0669151;0.0322058
0.015968;0.0197933;0.0806717;0.0370717
0.016966;0.0191072;0.0745445;0.0399369
0.017964;0.018351;0.0644148;0.0399689
0.018962;0.018544;0.0684865;0.0411374
0.01996;0.0191072;0.0672017;0.0469962
0.020958;0.0196361;0.0759379;0.0479246
0.021956;0.0191399;0.0693958;0.0480687
0.022954;0.0183685;0.0645433;0.0506778
0.023952;0.018674;0.067172;0.0555598
0.02495;0.0194151;0.0710559;0.055912
0.025948;0.0195755;0.071056;0.055912
0.026946;0.0190474;0.06988;0.0570324
0.027944;0.0185791;0.0648991;0.0635792
0.028942;0.018796;0.070542;0.0638994
0.02994;0.0191814;0.0676662;0.0638994
0.030938;0.0193728;0.0656897;0.0644596
0.031936;0.0189811;0.070038;0.0707662
0.032934;0.0184315;0.0729633;0.0718866
0.033932;0.0187043;0.0694253;0.0718866
0.03493;0.0194686;0.0637329;0.0723348
0.035928;0.0194055;0.0647311;0.0771527
0.036926;0.0188351;0.0699293;0.0797297
0.037924;0.0183342;0.0702951;0.0798737
0.038922;0.0187211;0.0632289;0.0798737
0.03992;0.019451;0.0616082;0.080466
0.040918;0.0196528;0.0755427;0.0861482
0.041916;0.0190896;0.0790707;0.0878609
0.042914;0.0183581;0.0709275;0.0884854
0.043912;0.01867;0.0591573;0.0936242
0.04491;0.0193401;0.0620628;0.0958333
0.045908;0.0197933;0.0742283;0.0958493
0.046906;0.0191335;0.0731708;0.0959613
0.047904;0.0183007;0.0640492;0.100859
0.048902;0.0186245;0.0653241;0.103629
0.0499;0.0191758;0.0689707;0.103837
0.050898;0.0195237;0.0719751;0.103837
0.051896;0.0190601;0.070463;0.107278
0.052894;0.0184714;0.0622209;0.111824
0.053892;0.0186189;0.0682789;0.111824
0.05489;0.0192827;0.0706012;0.111824
0.055888;0.0197438;0.0677453;0.112208
0.056886;0.0191909;0.0661938;0.116562
0.057884;0.018678;0.0647113;0.119811
0.058882;0.0186142;0.0704135;0.119811
0.05988;0.019262;0.0665001;0.120148
0.060878;0.0193274;0.0660455;0.126678
0.061876;0.0191502;0.0669744;0.127799
0.062874;0.0186118;0.0725185;0.127799
0.063872;0.0186341;0.0638811;0.130888
0.06487;0.0192787;0.0677354;0.13577
0.065868;0.0192827;0.0634364;0.135786
0.066866;0.0190386;0.0723407;0.135786
0.067864;0.0186676;0.0689905;0.139931
0.068862;0.0186684;0.0650473;0.143773
0.06986;0.0192356;0.0586039;0.143773
0.070858;0.0192962;0.0667274;0.143773
0.071856;0.0191407;0.0722616;0.146718
0.072854;0.01867;0.0679627;0.151536
0.073852;0.0188088;0.0571215;0.15176
0.07485;0.0192388;0.064573;0.15176
0.075848;0.0194766;0.0674981;0.153089
0.076846;0.0190888;0.067607;0.159363
0.077844;0.0187809;0.0647311;0.159747
0.078842;0.0186883;0.0607188;0.159747
0.07984;0.019088;0.0708879;0.160292
0.080838;0.019447;0.0720838;0.164821
0.081836;0.0190553;0.0626063;0.167735
0.082834;0.0185137;0.0609065;0.167735
0.083832;0.0186892;0.0625964;0.167735
0.08483;0.0193521;0.067261;0.168551
0.085828;0.0194454;0.0689609;0.173961
0.086826;0.0191758;0.0643556;0.175722
0.087824;0.0186517;0.0652944;0.175898
0.088822;0.0187051;0.0649386;0.179195
0.08982;0.019238;0.0634167;0.183229
0.090818;0.0193194;0.0609362;0.183709
0.091816;0.0191239;0.066085;0.183885
0.092814;0.0187466;0.0667274;0.189505
0.093812;0.018741;0.0632486;0.191699
0.09481;0.0189348;0.0571906;0.191699
0.095808;0.0192316;0.0625075;0.191699
0.096806;0.0191957;0.070127;0.193091
0.097804;0.018804;0.0663024;0.199046
0.098802;0.018824;0.055224;0.199686
0.0998;0.0190809;0.0613907;0.199686
0.100798;0.0193026;0.0680517;0.20079
0.101796;0.0189484;0.0734377;0.207033
0.102794;0.0187601;0.0613413;0.207689
0.103792;0.018816;0.0606199;0.209914
0.10479;0.0192125;0.0604716;0.213644
0.105788;0.0194526;0.0682888;0.215661
0.106786;0.0190258;0.0671128;0.215661
0.107784;0.0187769;0.0603432;0.216269
0.108782;0.0187984;0.0616478;0.22264
0.10978;0.0192723;0.0656205;0.223648
0.110778;0.0193529;0.0708089;0.223648
0.111776;0.0190138;0.0599677;0.223648
0.112774;0.018812;0.0643951;0.227393
0.113772;0.0187873;0.0615093;0.231331
0.11477;0.0192157;0.0667274;0.231636
0.115768;0.0193338;0.0655415;0.231636
0.116766;0.0191104;0.0589497;0.235445
0.117764;0.0188399;0.0694253;0.239511
0.118762;0.0186556;0.061875;0.239623
0.11976;0.0189037;0.058762;0.240135
0.120758;0.0192923;0.0587126;0.245065
