t;vds;corrente;vg
0.000499;-0.0339184;-0.00359692;-0.00550559
0.000998;-0.033667;-0.00382924;-0.00399398
0.001497;-0.0319512;-0.00414336;-0.00384991
0.001996;-0.0318594;-0.0037694;-0.00399398
0.002495;-0.0316679;-0.00356299;-0.00367382
0.002994;-0.0301157;-0.00282407;-0.00340969
0.003493;-0.0298683;-0.00222874;-0.00270534
0.003992;-0.0298483;-0.00183982;-0.00397797
0.004491;-0.0285235;-0.00124749;-0.0036338
0.00499;-0.027877;-0.000544471;-0.00385791
0.005489;-0.027877;0.000209412;-0.00372184
0.005988;-0.0274102;0.00139109;-0.00358578
0.006487;-0.0258938;0.00223173;-0.00348973
0.006986;-0.0258859;0.00298261;-0.00392995
0.007485;-0.0258619;0.00318006;-0.00385791
0.007984;-0.0247403;0.00365872;-0.00353775
0.008483;-0.0238944;0.00389506;-0.00388993
0.008982;-0.0237109;0.00442757;-0.00399398
0.009481;-0.0223023;0.00451134;-0.00388192
0.00998;-0.0219033;0.00480152;-0.00378588
0.010479;-0.0218035;0.00473571;-0.00385791
0.010978;-0.0202671;0.00449039;-0.00365781
0.011477;-0.019912;0.00351512;-0.00326562
0.011976;-0.019912;0.00286296;-0.00340969
0.012475;-0.0190302;0.00239029;-0.00320959
0.012974;-0.0179208;0.00187872;-0.0038339
0.013473;-0.0179208;0.000442756;-0.00352175
0.013972;-0.0172345;-0.000350017;-0.00366582
0.014471;-0.0159297;-0.00143896;-0.00367382
0.01497;-0.0159297;-0.00226763;-0.00378588
0.015469;-0.015806;-0.00294372;-0.00397797
0.015968;-0.0142059;-0.003201;-0.00387392
0.016467;-0.0139385;-0.00344632;-0.00365781
0.016966;-0.0139385;-0.00334161;-0.00398597
0.017465;-0.0136512;-0.00419422;-0.00392995
0.017964;-0.0120629;-0.00402968;-0.00367382
0.018463;-0.0119472;-0.00389505;-0.00399398
0.018962;-0.0112529;-0.00347624;-0.00399398
0.019461;-0.00999192;-0.00311425;-0.00399398
0.01996;-0.009956;-0.00261466;-0.00399398
0.020459;-0.00972856;-0.00183982;-0.00399398
0.020958;-0.00803269;-0.00127442;-0.00351374
0.021457;-0.00796486;-0.000777817;-0.00391394
0.021956;-0.00789702;0.000146588;-0.00398597
0.022455;-0.00662802;0.00087654;-0.00399398
0.022954;-0.0059736;0.0016364;-0.00398597
0.023453;-0.0059736;0.00277321;-0.00356176
0.023952;-0.00507978;0.00304544;-0.00391394
0.024451;-0.00398243;0.0034882;-0.00392995
0.02495;-0.00398243;0.0037006;-0.00389793
0.025449;-0.0035355;0.00398181;-0.00371384
0.025948;-0.00201915;0.00447544;-0.00389793
0.026447;-0.00199121;0.00459809;-0.00395396
0.026946;-0.00167597;0.00467289;-0.00385791
0.027445;-0.000255386;0.0045951;-0.00376186
0.027944;0;0.00389505;-0.00361779
0.028443;6.78368e-05;0.00293775;-0.00309754
0.028942;0.0014126;0.00271637;-0.00336167
0.029441;0.00197525;0.0020642;-0.00373785
0.02994;0.00199121;0.00134023;-0.00263331
0.030439;0.00209896;8.07732e-05;-0.00255327
0.030938;0.00356344;-0.000948339;-0.00240119
0.031437;0.00398243;-0.00183684;-0.00156878
0.031936;0.00399839;-0.00282107;-0.00317758
0.032435;0.00541895;-0.00308433;-0.00166483
0.032934;0.0059736;-0.00329075;-0.00236918
0.033433;0.00599755;-0.00329374;-0.00328163
0.033932;0.00704306;-0.00347922;-0.00310554
0.034431;0.00796486;-0.00394292;-0.00354576
0.03493;0.00796486;-0.00400275;-0.00327362
0.035429;0.00796486;-0.00356597;-0.00357777
0.035928;0.00850353;-0.00335955;-0.00357777
0.036427;0.00992408;-0.00272833;-0.00288943
0.036926;0.009956;-0.00190864;-0.00273736
0.037425;0.010355;-0.00150776;-0.00320959
0.037924;0.011616;-0.00110091;-0.00338568
0.038423;0.0119472;-9.27396e-05;-0.00341769
0.038922;0.0121268;0.000400874;-0.00311354
0.039421;0.0137749;0.00152571;-0.00294546
0.03992;0.0139385;0.00216293;-0.00352175
0.040419;0.0139784;0.00303647;-0.00385791
0.040918;0.0157701;0.00326981;-0.00345771
0.041417;0.0159297;0.00355102;-0.00388192
0.041916;0.0161851;0.00397882;-0.00399398
0.042415;0.0177253;0.00438569;-0.00397797
0.042914;0.0179208;0.00464596;-0.00399398
0.043413;0.0179568;0.00478358;-0.00372985
0.043912;0.0194491;0.00484341;-0.00391394
0.044411;0.019908;0.00413139;-0.00399398
0.04491;0.019912;0.0033446;-0.00386592
0.045409;0.0201794;0.00283603;-0.00298548
0.045908;0.0216599;0.00244713;-0.00334566
0.046407;0.0219033;0.00157357;-0.00333765
0.046906;0.0219432;0.00024232;-0.00351374
0.047405;0.0230564;-0.000287194;-0.00372985
0.047904;0.0238385;-0.00159751;-0.00392995
0.048403;0.0238944;-0.00258474;-0.00393795
0.048902;0.0246567;-0.00294971;-0.00399398
0.049401;0.0257981;-0.00316211;-0.00399398
0.0499;0.0258859;-0.0035241;-0.00370584
0.050399;0.0258859;-0.00357196;-0.00390593
0.050898;0.026664;-0.00384419;-0.00396196
0.051397;0.027877;-0.00389206;-0.00392995
0.051896;0.027877;-0.00361982;-0.00398597
0.052395;0.0281763;-0.0033087;-0.00398597
0.052894;0.0296009;-0.00308134;-0.00399398
0.053393;0.0298683;-0.00219883;-0.00399398
0.053892;0.0299521;-0.00162742;-0.00398597
0.054391;0.0314923;-0.00125647;-0.00399398
0.05489;0.0318594;-0.000478655;-0.00388993
0.055389;0.0319193;0.00024232;-0.00366582
0.055888;0.0333398;0.00115177;-0.00389793
0.056387;0.0338146;0.00183983;-0.0038419
0.056886;0.0338585;0.0028809;-0.00396997
0.057385;0.0348441;0.00319203;-0.00377787
0.057884;0.0357938;0.00362282;-0.00394595
0.058383;0.0358417;0.0041314;-0.00372184
0.058882;0.0359414;0.00432287;-0.00365781
0.059381;0.0373021;0.00448142;-0.00393795
0.05988;0.0378329;0.00469383;-0.00385791
0.060379;0.0378329;0.00453527;-0.00398597
0.060878;0.0384354;0.00414336;-0.00397797
0.061377;0.0398041;0.00356897;-0.00399398
0.061876;0.039824;0.00289886;-0.00389793
0.062375;0.0407338;0.00267748;-0.00387392
0.062874;0.0417832;0.00203129;-0.00396196
0.063373;0.0418151;0.00112185;-0.00368983
0.063872;0.0426812;3.29076e-05;-0.00385791
0.064371;0.0437986;-0.00114877;-0.00399398
0.06487;0.0438066;-0.00175308;-0.00385791
0.065369;0.0439382;-0.0027762;-0.00395396
0.065868;0.0453986;-0.00306638;-0.00399398
0.066367;0.0457977;-0.00343136;-0.00398597
0.066866;0.0458296;-0.00358093;-0.00399398
0.067365;0.0470227;-0.00374847;-0.00394595
0.067864;0.0477888;-0.00373949;-0.00396997
0.068363;0.0477888;-0.00393694;-0.00389793
0.068862;0.0482597;-0.00350913;-0.00380188
0.069361;0.049732;-0.00329972;-0.00297748
0.06986;0.0497799;-0.00266252;-0.00346572
0.070359;0.0499197;-0.00176504;-0.00389793
0.070858;0.0513089;-0.00150477;-0.00315356
0.071357;0.0517717;-0.000816707;-0.00373785
0.071856;0.052051;0.000173513;-0.00399398
0.072355;0.0535713;0.000694051;-0.00319358
0.072854;0.0537629;0.00155264;-0.00336167
0.073353;0.0540182;0.00241422;-0.00375386
0.073852;0.055351;0.00299757;-0.00347372
0.074351;0.0557541;0.00350615;-0.0036338
0.07485;0.0557541;0.00393694;-0.00360178
0.075349;0.0566878;0.00408054;-0.00379388
0.075848;0.0577452;0.00437372;-0.00397797
0.076347;0.0577452;0.0045622;-0.00356977
0.076846;0.0584156;0.0047417;-0.00336967
0.077345;0.0597086;0.00443056;-0.00344971
0.077844;0.0597366;0.00412242;-0.00316957
0.078343;0.0601236;0.00311724;-0.0036258
0.078842;0.0616;0.00288689;-0.00320959
0.079341;0.0617277;0.00229156;-0.00259329
0.07984;0.0618594;0.00140605;-0.00336967
0.080339;0.0633996;8.9748e-05;-0.00304151
0.080838;0.0637189;-0.00069106;-0.00280139
0.081337;0.0637189;-0.00157956;-0.00332165
0.081836;0.0644251;-0.00257576;-0.00294546
0.082335;0.0656741;-0.00296167;-0.00283341
0.082834;0.06571;-0.00313519;-0.00329763
0.083333;0.0657738;-0.00347922;-0.00244922
0.083832;0.0668911;-0.00328776;-0.00292945
0.084331;0.0677011;-0.00367666;-0.00289744
0.08483;0.0677011;-0.00399976;-0.00232916
0.085329;0.0687425;-0.00343434;-0.00286542
0.085828;0.0696683;-0.00325784;-0.00298548
0.086327;0.0696922;-0.00277919;-0.0034257
0.086826;0.0707456;-0.00228558;-0.00294546
0.087325;0.0716834;-0.00158255;-0.00340969
0.087824;0.0716834;-0.00120861;-0.00318558
0.088323;0.0716834;-0.000320101;-0.00352175
0.088822;0.0729642;0.000347025;-0.00372985
0.089321;0.0736745;0.00125946;-0.00395396
0.08982;0.0736745;0.00212404;-0.00364981
0.090319;0.0738341;0.00276124;-0.00352975
0.090818;0.0752907;0.00318904;-0.00367382
0.091317;0.0756658;0.00372753;-0.00397797
0.091816;0.0758493;0.00384719;-0.00380989
0.092315;0.0775332;0.00439766;-0.00335366
0.092814;0.0776569;0.00447843;-0.0034257
0.093313;0.0777566;0.0047028;-0.00286542
0.093812;0.0793687;0.00461904;-0.0036418
0.094311;0.079648;0.00443355;-0.00331364
0.09481;0.0797159;0.00355999;-0.00284141
0.095309;0.0811962;0.00305441;-0.00290544
0.095808;0.0816391;0.00258474;-0.0028174
0.096307;0.0817189;0.00210908;-0.00213706
0.096806;0.0831275;0.000667127;-0.0032176
0.097305;0.0836302;-0.000287194;-0.00186493
0.097804;0.0836302;-0.00117869;-0.00263331
0.098303;0.0843927;-0.00224968;-0.00268133
0.098802;0.0855662;-0.00279714;-0.00213706
0.099301;0.085642;-0.00305142;-0.0018009
0.0998;0.0862804;-0.00332964;-0.00208904
0.100299;0.0875094;-0.00347324;-0.00146473
0.100798;0.0876131;-0.00380531;-0.00251325
0.101297;0.0878166;-0.00372453;-0.00111256
0.101796;0.0894646;-0.00360786;-0.00263331
0.102295;0.0896042;-0.00353906;-0.00132866
0.102794;0.0896042;-0.00312023;-0.00128064
0.103293;0.090103;-0.0024202;-0.00113657
0.103792;0.0914676;-0.0017082;-0.00252125
0.104291;0.0915953;-0.00114279;-0.00210505
0.10479;0.0916033;-0.000741917;-0.00248123
0.105289;0.0931436;9.87228e-05;-0.00128864
0.105788;0.0935866;0.000744909;-0.0016008
0.106287;0.0935866;0.00169025;-0.00217708
0.106786;0.0939936;0.00279415;-0.00298548
0.107285;0.0955258;0.00295868;-0.00313756
0.107784;0.0955776;0.00357196;-0.00305752
0.108283;0.0957612;0.00383522;-0.00227313
0.108782;0.0973573;0.00430192;-0.002009
0.109281;0.0975688;0.00442458;-0.0026253
0.10978;0.0976127;0.00458314;-0.00144872
0.110279;0.0990491;0.00503788;-0.00278538
0.110778;0.0995599;0.00443655;-0.00167283
0.111277;0.0995599;0.00401472;-0.00320159
0.111776;0.100351;0.00276722;-0.00278538
0.112275;0.101381;0.00281808;-0.00353775
0.112774;0.101552;0.00209412;-0.00283341
0.113273;0.101652;0.00116971;-0.0034257
0.113772;0.103132;-1.4958e-05;-0.00244922
0.114271;0.103543;-0.000735934;-0.00334566
0.11477;0.103603;-0.00158555;-0.00203301
0.115269;0.105271;-0.00257876;-0.00255327
0.115768;0.105535;-0.0031292;-0.00156078
0.116267;0.105846;-0.00329374;-0.0024252
0.116766;0.107179;-0.00341041;-0.00288143
0.117265;0.107526;-0.00357794;-0.00190495
0.117764;0.107526;-0.00354204;-0.00244121
0.118263;0.108068;-0.00368863;-0.00232115
0.118762;0.109242;-0.00349118;-0.00280939
0.119261;0.109517;-0.00313219;-0.00264931
0.11976;0.109557;-0.00265056;-0.00279339
0.120259;0.110906;-0.00203129;-0.00326562
0.120758;0.111508;-0.00153169;-0.00211305
0.121257;0.111508;-0.000610286;-0.00258528
0.121756;0.111656;-0.000332068;-0.00319358
0.122255;0.113276;0.000568403;-0.00337767
0.122754;0.113499;0.00149879;-0.00360979
0.123253;0.113499;0.00246806;-0.00374586
0.123752;0.114477;0.00299458;-0.0036418
0.124251;0.11547;0.0034852;-0.00334566
0.12475;0.11549;0.00358991;-0.0032176
0.125249;0.116452;0.00408951;-0.00296147
0.125748;0.117482;0.00443954;-0.00218509
0.126247;0.117482;0.00453229;-0.00174487
0.126746;0.118256;0.00461006;-0.00184892
0.127245;0.119445;0.00468187;-0.00224111
0.127744;0.119473;0.00446348;-0.00227313
0.128243;0.119537;0.00339247;-0.00256928
0.128742;0.120878;0.00291381;-0.00277738
0.129241;0.121464;0.0023484;-0.00311354
0.12974;0.121724;0.00135818;-0.0032176
0.130239;0.123132;0.000436773;-0.00246522
0.130738;0.123455;-0.00043079;-0.00231315
0.131237;0.123455;-0.00138511;-0.00310554
0.131736;0.124373;-0.00223772;-0.00267333
0.132235;0.125411;-0.00275825;-0.00348973
0.132734;0.125447;-0.00307236;-0.00274536
0.133233;0.126396;-0.00336853;-0.00289744
0.133732;0.127438;-0.00343435;-0.00296947
0.134231;0.127438;-0.00352409;-0.00191295
0.13473;0.127757;-0.00350016;-0.00116058
0.135229;0.129026;-0.00371855;-0.00250524
0.135728;0.129429;-0.00336554;-0.00109655
0.136227;0.129429;-0.00319502;-0.00228914
0.136726;0.130035;-0.00217489;-0.00233716
0.137225;0.13136;-0.00127442;-0.00170485
0.137724;0.13142;-0.00115775;-0.00134467
0.138223;0.131863;-0.000664135;-0.00148074
0.138722;0.133383;0.00016753;-0.0022171
0.139221;0.133411;0.00126544;-0.00158479
0.13972;0.133818;0.0020313;-0.00072036
0.140219;0.135175;0.00290783;-0.00168884
0.140718;0.135402;0.00315912;-0.00286542
0.141217;0.135402;0.00340443;-0.00224912
0.141716;0.135638;0.00396386;-0.00311354
0.142215;0.137118;0.00430791;-0.00332165
0.142714;0.137394;0.00454126;-0.00276937
0.143213;0.137394;0.00467587;-0.00316957
