t;vds;corrente;vg
0.000499;-0.0395048;-0.000997338;0.191187
0.000998;-0.0380005;-1.79496e-05;0.19573
0.001497;-0.0378329;0.000688068;0.195706
0.001996;-0.0378329;0.00150178;0.195706
0.002495;-0.0373381;0.00219284;0.195706
0.002994;-0.0359375;0.00287492;0.19597
0.003493;-0.0358417;0.00325186;0.195802
0.003992;-0.0356262;0.00391899;0.195778
0.004491;-0.0341897;0.00407755;0.195706
0.00499;-0.0338505;0.00443056;0.195778
0.005489;-0.0338505;0.00446647;0.195706
0.005988;-0.0329887;0.00461605;0.195746
0.006487;-0.0318754;0.00456517;0.195826
0.006986;-0.0318594;0.00420619;0.195706
0.007485;-0.0312729;0.00318306;0.19585
0.007984;-0.0299202;0.00269244;0.19577
0.008483;-0.0298683;0.00196847;0.195706
0.008982;-0.0293735;0.00153169;0.195722
0.009481;-0.0279967;0.000341042;0.195706
0.00998;-0.027877;-0.000589345;0.195922
0.010479;-0.0278611;-0.00144494;0.195706
0.010978;-0.0269034;-0.00235738;0.195706
0.011477;-0.0258859;-0.00302151;0.195786
0.011976;-0.0258859;-0.00312322;0.19573
0.012475;-0.025794;-0.00318006;0.19573
0.012974;-0.0240939;-0.00340742;0.196186
0.013473;-0.0238944;-0.00346426;0.195778
0.013972;-0.0232241;-0.00403267;0.196507
0.014471;-0.0219113;-0.00383223;0.196339
0.01497;-0.0219033;-0.00336553;0.196571
0.015469;-0.0212688;-0.00253687;0.196291
0.015968;-0.0200956;-0.00194154;0.196195
0.016467;-0.019912;-0.00137913;0.196106
0.016966;-0.0198202;-0.00108894;0.195706
0.017465;-0.0184157;-0.000251295;0.195714
0.017964;-0.0179208;0.000649177;0.19585
0.018463;-0.0179169;0.00140306;0.195706
0.018962;-0.0169033;0.00207617;0.195706
0.019461;-0.0159297;0.002848;0.195706
0.01996;-0.0159297;0.0030963;0.195706
0.020459;-0.0155826;0.00356897;0.195706
0.020958;-0.0142697;0.00387112;0.195714
0.021457;-0.0139385;0.0043109;0.195938
0.021956;-0.0139385;0.00450835;0.195762
0.022455;-0.012833;0.00449638;0.195706
0.022954;-0.0119632;0.00437971;0.195714
0.023453;-0.0119312;0.00440065;0.195706
0.023952;-0.0109297;0.0035929;0.195706
0.024451;-0.00996797;0.00298561;0.195882
0.02495;-0.009956;0.0023484;0.195786
0.025449;-0.00911806;0.00183983;0.19581
0.025948;-0.0080287;0.000622253;0.195714
0.026447;-0.00796486;-9.87228e-05;0.195706
0.026946;-0.00793293;-0.00104108;0.195714
0.027445;-0.00679562;-0.0021031;0.195746
0.027944;-0.0059736;-0.00298262;0.19573
0.028443;-0.00590976;-0.00314416;0.195754
0.028942;-0.00474061;-0.00351213;0.195762
0.029441;-0.00398243;-0.00323989;0.195706
0.02994;-0.00398243;-0.00356598;0.195706
0.030439;-0.00343973;-0.00385018;0.195706
0.030938;-0.0019992;-0.0037724;0.195714
0.031437;-0.00199121;-0.00339845;0.195706
0.031936;-0.0012051;-0.00304544;0.195746
0.032435;0;-0.00217788;0.195706
0.032934;0;-0.00162742;0.195706
0.033433;7.9808e-05;-0.00134322;0.195706
0.033932;0.00151636;-0.000834657;0.195706
0.034431;0.00199121;0.000194454;0.195706
0.03493;0.00199121;0.00122655;0.195706
0.035429;0.0022067;0.00188471;0.195706
0.035928;0.00376296;0.00271936;0.195706
0.036427;0.00398243;0.00292278;0.195746
0.036926;0.00410613;0.00324288;0.195706
0.037425;0.0057262;0.00358393;0.195706
0.037924;0.0059736;0.00417627;0.195714
0.038423;0.0060175;0.00446048;0.195706
0.038922;0.00733836;0.0044904;0.195706
0.039421;0.00796486;0.00469084;0.195706
0.03992;0.00796486;0.00448442;0.195714
0.040419;0.00796486;0.00405062;0.195706
0.040918;0.00882675;0.00335656;0.19573
0.041417;0.009956;0.00272534;0.19585
0.041916;0.009956;0.00203428;0.195706
0.042415;0.0101675;0.00117869;0.195706
0.042914;0.0118275;4.18824e-05;0.195706
0.043413;0.0119472;-0.000592336;0.195706
0.043912;0.0122186;-0.00162444;0.195706
0.044411;0.0137071;-0.0025967;0.195778
0.04491;0.0139385;-0.00310228;0.195762
0.045409;0.0142378;-0.00331468;0.196202
0.045908;0.015818;-0.00319502;0.195722
0.046407;0.0159297;-0.00335656;0.195882
0.046906;0.0161133;-0.0035241;0.196058
0.047405;0.017853;-0.0038771;0.195738
0.047904;0.0179208;-0.00353008;0.195706
0.048403;0.0180006;-0.00318006;0.195706
0.048902;0.019497;-0.00261466;0.195754
0.049401;0.019912;-0.00189069;0.195706
0.0499;0.019912;-0.00169324;0.195706
0.050399;0.0203191;-0.00117271;0.195706
0.050898;0.0218075;-0.000140605;0.195706
0.051397;0.0219033;0.000607294;0.195706
0.051896;0.0219113;0.00136118;0.195762
0.052395;0.0234714;0.00216293;0.195706
0.052894;0.0238944;0.00282406;0.195706
0.053393;0.0239343;0.00307835;0.195706
0.053892;0.0247646;0.00361385;0.195706
0.054391;0.0258699;0.00404464;0.195706
0.05489;0.0258859;0.00432287;0.195706
0.055389;0.0259058;0.00443356;0.195706
0.055888;0.027051;0.00439766;0.195706
0.056387;0.027877;0.00451733;0.195706
0.056886;0.027877;0.00400275;0.195706
0.057385;0.0286831;0.00351511;0.195706
0.057884;0.0298683;0.00291381;0.19573
0.058383;0.0298683;0.00242021;0.195706
0.058882;0.0302713;0.00144494;0.195706
0.059381;0.031624;0.000706018;0.195738
0.05988;0.0318594;-0.000245311;0.195706
0.060379;0.0319313;-0.00111587;0.195706
