t;vds;corrente;vg
0.000499;0.0211341;0.0026789;-0.095919
0.000998;0.0216196;0.00287716;-0.0952935
0.001497;0.0220143;0.00379205;-0.0952935
0.001996;0.0224378;0.0038914;-0.0952935
0.002495;0.0229242;0.00403215;-0.0952935
0.002994;0.0233703;0.00413151;-0.0952935
0.003493;0.023844;0.00413151;-0.0952935
0.003992;0.0243935;0.00437991;-0.0952935
0.004491;0.0248467;0.00453722;-0.0952935
0.00499;0.0253618;0.00572533;-0.0952935
0.005489;0.0258514;0.00549765;-0.0952935
0.005988;0.0263674;0.0056301;-0.0952935
0.006487;0.0267742;0.00587021;-0.0952935
0.006986;0.0273564;0.00619726;-0.095198
0.007485;0.0278368;0.00619726;-0.0952935
0.007984;0.0282238;0.00620554;-0.0952935
0.008483;0.0287507;0.00644977;-0.0953253
0.008982;0.0293223;0.00658639;-0.0952935
0.009481;0.0297485;0.00698796;-0.0952935
0.00998;0.0301896;0.00782419;-0.0952935
0.010479;0.0308145;0.00784076;-0.0952935
0.010978;0.0313383;0.00811398;-0.0952935
0.011477;0.0317974;0.0081678;-0.0952935
0.011976;0.0323223;0.00832926;-0.0952935
0.012475;0.0327662;0.00844517;-0.0952935
0.012974;0.0332421;0.0086439;-0.0952935
0.013473;0.0337374;0.00872256;-0.0952935
0.013972;0.0342408;0.00925657;-0.0952935
0.014471;0.0347549;0.00938904;-0.0952935
0.01497;0.0352433;0.00970367;-0.0952935
0.015469;0.0357418;0.0101715;-0.0952935
0.015968;0.0362766;0.0104447;-0.0952935
0.016467;0.0366963;0.0102708;-0.0952935
0.016966;0.0372222;0.0106061;-0.0952935
0.017465;0.0377709;0.0117446;-0.0951025
0.017964;0.0382081;0.0114424;-0.0952935
0.018463;0.0386364;0.0115997;-0.0952935
0.018962;0.0392492;0.0121213;-0.0952616
0.019461;0.039644;0.0123779;-0.0952935
0.01996;0.0401692;0.0126802;-0.0949752
0.020459;0.0406178;0.0128665;-0.0952935
0.020958;0.0410708;0.0127795;-0.0952935
0.021457;0.041519;0.0128872;-0.0952298
0.021956;0.0420206;0.0138683;-0.0952935
0.022455;0.0425423;0.0142285;-0.0949115
0.022954;0.0430655;0.0143071;-0.0952935
