t;vds;corrente;vg
0.000499;0.0214962;0.00252687;0.765851
0.000998;0.0219639;0.00357678;0.780357
0.001497;0.0224664;0.0039742;0.781981
0.001996;0.0228393;0.00405285;0.780803
0.002495;0.0234039;0.00408597;0.778893
0.002994;0.0239071;0.00416463;0.781472
0.003493;0.0242239;0.00417705;0.778607
0.003992;0.0246818;0.00418947;0.77899
0.004491;0.0252276;0.00460759;0.779308
0.00499;0.0257014;0.00482287;0.779212
0.005489;0.0261523;0.0049388;0.778703
0.005988;0.026786;0.0054935;0.779212
0.006487;0.0273021;0.00559285;0.779148
0.006986;0.0277678;0.00537344;0.77848
0.007485;0.028287;0.00606893;0.778576
0.007984;0.0287842;0.00621795;0.778353
0.008483;0.0292117;0.00649118;0.779117
0.008982;0.0296716;0.00642909;0.778226
0.009481;0.0301955;0.00717839;0.778448
0.00998;0.0307187;0.00700451;0.778576
0.010479;0.0311489;0.00768758;0.778226
0.010978;0.0317569;0.00815124;0.781152
0.011477;0.0322917;0.0082713;0.779498
0.011976;0.0326321;0.00826302;0.779371
0.012475;0.0331938;0.0088923;0.781312
0.012974;0.0337207;0.00865632;0.778226
0.013473;0.0341727;0.00914895;0.778862
0.013972;0.0346011;0.00898336;0.77883
0.014471;0.035192;0.00938495;0.778544
0.01497;0.0356371;0.00951742;0.780452
0.015469;0.0360675;0.00998516;0.782999
0.015968;0.036717;0.0103495;0.785321
0.016467;0.0372025;0.0102087;0.783953
0.016966;0.0376455;0.0104737;0.784271
0.017465;0.0380809;0.0105689;0.781089
0.017964;0.0385673;0.0106599;0.779276
0.018463;0.0389916;0.0117611;0.781026
0.018962;0.0394674;0.011906;0.779689
0.019461;0.0400111;0.0122413;0.77934
0.01996;0.0405341;0.0121958;0.779244
0.020459;0.0409475;0.0124649;0.779244
0.020958;0.0415161;0.0125725;0.779371
0.021457;0.0420019;0.0128747;0.778703
0.021956;0.0424003;0.0139925;0.779085
0.022455;0.0429462;0.0140546;0.77883
0.022954;0.0435096;0.0144023;0.779657
0.023453;0.0439002;0.0147459;0.782647
0.023952;0.0443147;0.0146549;0.784685
0.024451;0.0448922;0.0145969;0.780452
0.02495;0.0453859;0.014924;0.778544
0.025449;0.0458062;0.0152178;0.778226
0.025948;0.0463259;0.0154621;0.778703
0.026447;0.046794;0.0156691;0.778671
0.026946;0.0472342;0.0159382;0.779085
0.027445;0.0476533;0.0164681;0.779371
0.027944;0.0482278;0.0166668;0.779467
0.028443;0.0480924;0.0164929;0.780485
0.028942;0.0475026;0.0162901;0.779594
0.029441;0.0471354;0.0163522;0.779562
0.02994;0.0466735;0.0164018;0.782777
0.030439;0.0461514;0.0155987;0.778925
0.030938;0.0457272;0.015843;0.779626
0.031437;0.0453049;0.0155201;0.78004
0.031936;0.0447558;0.0147045;0.779212
0.032435;0.0442911;0.0148039;0.787261
0.032934;0.0438619;0.0145224;0.780643
0.033433;0.0434454;0.0143651;0.782459
0.033932;0.0428168;0.0135661;0.778512
0.034431;0.0423786;0.0132887;0.782999
0.03493;0.0419198;0.0127298;0.780389
0.035429;0.0413451;0.0123945;0.779753
0.035928;0.0409208;0.0124111;0.784717
0.036427;0.0404485;0.0123531;0.784684
0.036926;0.0398708;0.0121089;0.783221
0.037425;0.039414;0.0113471;0.783794
0.037924;0.0389531;0.0114755;0.787963
0.038423;0.038514;0.0106475;0.784527
0.038922;0.0380601;0.010453;0.787995
0.039421;0.0376427;0.0102294;0.781344
0.03992;0.0371956;0.0104074;0.782584
0.040419;0.0365895;0.0102046;0.785257
0.040918;0.0360369;0.0102377;0.780867
0.041417;0.0356183;0.0101176;0.787359
0.041916;0.0350865;0.00964162;0.780135
0.042415;0.0345152;0.00993136;0.785352
0.042914;0.0341539;0.00924004;0.782427
0.043413;0.0336773;0.00909929;0.786371
0.043912;0.0331008;0.0089337;0.786085
0.044411;0.0326963;0.00826302;0.778989
0.04491;0.0322849;0.00827958;0.781058
0.045409;0.0317241;0.00801048;0.783763
0.045908;0.0311668;0.00824232;0.782872
0.046407;0.0307323;0.00732742;0.785034
0.046906;0.0301542;0.00733155;0.784684
0.047405;0.0296184;0.00665264;0.787198
0.047904;0.0291958;0.00642495;0.786689
0.048403;0.0286926;0.00623451;0.785131
0.048902;0.0281132;0.00619726;0.786243
0.049401;0.027613;0.00619726;0.780898
0.0499;0.0272331;0.00619726;0.78233
0.050399;0.0266793;0.00616828;0.781376
0.050898;0.0261168;0.00587023;0.78214
0.051397;0.0257407;0.00511681;0.782331
0.051896;0.0252425;0.00415221;0.780421
0.052395;0.0247281;0.00435092;0.785035
0.052894;0.024372;0.00449996;0.787357
