t;vds;corrente;vg
0.000499;0.0200052;0.00229723;-0.0176423
0.000998;0.020457;0.00258323;-0.0158821
0.001497;0.0210285;0.00263706;-0.0158821
0.001996;0.0214952;0.00312555;-0.0158821
0.002495;0.0219866;0.00295997;-0.0158821
0.002994;0.02257;0.00372996;-0.0158821
0.003493;0.0229794;0.00383345;-0.0158821
0.003992;0.0233773;0.00409425;-0.0158821
0.004491;0.0238213;0.00425157;-0.0158821
0.00499;0.0243107;0.00430953;-0.0158821
0.005489;0.0247529;0.00476906;-0.0158821
0.005988;0.0251941;0.00502159;-0.0158821
0.006487;0.0257764;0.00582054;-0.0158821
0.006986;0.0263348;0.00607721;-0.0158821
0.007485;0.0267623;0.00598199;-0.0158821
0.007984;0.0272912;0.0061807;-0.0158821
0.008483;0.0278132;0.00635457;-0.0158821
0.008982;0.0282663;0.00685549;-0.0158821
0.009481;0.0287438;0.00666505;-0.0158821
0.00998;0.0292117;0.00725704;-0.0158821
0.010479;0.0297121;0.00762963;-0.0158821
0.010978;0.030233;0.00767103;-0.0158821
0.011477;0.0306821;0.00762549;-0.0158821
0.011976;0.031213;0.00825474;-0.0157867
0.012475;0.0317431;0.00826302;-0.0158821
0.012974;0.0322522;0.00826302;-0.0158821
0.013473;0.0327179;0.00826302;-0.0158821
0.013972;0.0331809;0.00828372;-0.0158821
0.014471;0.0336566;0.00849486;-0.0158821
0.01497;0.0342151;0.00880532;-0.0158821
0.015469;0.0347145;0.00909927;-0.0158821
0.015968;0.035194;0.00953393;-0.0158821
0.016467;0.0357487;0.0101549;-0.0158821
0.016966;0.0362362;0.00969123;-0.0158821
0.017465;0.0366617;0.0103495;-0.0158821
0.017964;0.037095;0.0104654;-0.0158821
0.018463;0.0376722;0.0104198;-0.0158821
0.018962;0.03807;0.0107634;-0.0158821
0.019461;0.0385713;0.0113596;-0.0158821
0.01996;0.0390586;0.0120799;-0.0158821
0.020459;0.0396025;0.0121875;-0.0158821
0.020958;0.0400319;0.0120302;-0.0158821
0.021457;0.0405479;0.0122827;-0.0158821
0.021956;0.0410403;0.0124152;-0.0158821
0.022455;0.0415704;0.0124814;-0.0158821
0.022954;0.0419703;0.0127754;-0.0158821
0.023453;0.0425038;0.0130445;-0.0158821
0.023952;0.0430458;0.0140504;-0.0158821
0.024451;0.0434257;0.013475;-0.0158821
0.02495;0.0438854;0.014125;-0.0158821
0.025449;0.0444214;0.0144272;-0.0158821
0.025948;0.0448536;0.0145431;-0.0158821
0.026447;0.0454086;0.0149322;-0.0158821
0.026946;0.0458347;0.0151268;-0.0158821
0.027445;0.0462104;0.0157395;-0.0158821
0.027944;0.0466558;0.0151806;-0.0158821
0.028443;0.0472085;0.0165799;-0.0158821
0.028942;0.0476405;0.0165385;-0.0158821
0.029441;0.0481695;0.0167082;-0.0158821
0.02994;0.0479247;0.016613;-0.0158821
0.030439;0.0474553;0.0161245;-0.0158821
0.030938;0.0469588;0.0159464;-0.0158821
0.031437;0.0464542;0.0156608;-0.0158821
0.031936;0.046049;0.0158844;-0.0158821
0.032435;0.0456148;0.0156525;-0.0157867
0.032934;0.0450994;0.0153834;-0.0158821
0.033433;0.0447331;0.0147791;-0.0156593
0.033932;0.0442152;0.0145762;-0.0154047
0.034431;0.0437997;0.0144727;-0.0158821
0.03493;0.0432608;0.0132473;-0.0158821
0.035429;0.0427725;0.0133881;-0.0158821
0.035928;0.0422424;0.0131562;-0.0158821
0.036427;0.0418082;0.0130734;-0.0155957
0.036926;0.0413204;0.0126098;-0.0158821
0.037425;0.0407286;0.0123407;-0.0158821
0.037924;0.0402905;0.012349;-0.0158821
0.038423;0.0398432;0.0121461;-0.0157867
0.038922;0.0393401;0.01155;-0.0158821
0.039421;0.0388544;0.0111857;-0.0157867
0.03992;0.038443;0.0110615;-0.0158821
0.040419;0.0379713;0.010395;-0.0158821
0.040918;0.0374364;0.0103412;-0.0158821
0.041417;0.0369598;0.0102253;-0.0156912
0.041916;0.0364858;0.0101218;-0.0158821
0.042415;0.0359836;0.009861;-0.0158185
0.042914;0.0354516;0.00889229;-0.015532
0.043413;0.034976;0.00887988;-0.0145135
0.043912;0.0344748;0.00832926;-0.0158821
0.044411;0.033989;0.00843276;-0.0157867
0.04491;0.033479;0.00826302;-0.0158821
0.045409;0.0330524;0.00830856;-0.0154684
0.045908;0.0324802;0.00817608;-0.0158821
0.046407;0.0320599;0.00816367;-0.0158821
0.046906;0.0315938;0.00820092;-0.0158821
0.047405;0.0311056;0.00813054;-0.0158821
0.047904;0.0305646;0.00822162;-0.0156912
0.048403;0.0300269;0.00753026;-0.0158821
0.048902;0.0295019;0.00719081;-0.0158821
0.049401;0.0290133;0.00639597;-0.0158821
0.0499;0.0285267;0.0064208;-0.0158821
0.050399;0.0280816;0.00622623;-0.0158821
0.050898;0.0275508;0.00617656;-0.0158821
0.051397;0.0270229;0.00575016;-0.0158821
0.051896;0.0265954;0.00549767;-0.015723
0.052395;0.0261573;0.00562185;-0.0158821
0.052894;0.0257121;0.00546454;-0.0158821
0.053393;0.0251705;0.00469453;-0.0158821
0.053892;0.0246897;0.00474422;-0.0156593
0.054391;0.0241914;0.00413151;-0.0158821
0.05489;0.0237168;0.00391624;-0.0158821
0.055389;0.0232498;0.00397006;-0.0158821
0.055888;0.0227733;0.00395764;-0.0158821
0.056387;0.0223034;0.00293512;-0.0158503
0.056886;0.0217854;0.00228517;-0.0158821
0.057385;0.0213226;0.00219823;-0.0158821
0.057884;0.0208142;0.00215269;-0.0155639
0.058383;0.0203397;0.00223963;-0.0156275
0.058882;0.0198057;0.00193328;-0.0158821
0.059381;0.0193241;0.00173457;-0.0157867
0.05988;0.0188613;0.00169317;-0.0158821
0.060379;0.0183934;0.00165178;-0.0158821
0.060878;0.0179404;0.00105151;-0.0158821
0.061377;0.0174126;0.000380862;-0.0158821
0.061876;0.0169961;0.000368442;-0.0158821
0.062375;0.0165895;0.000165592;-0.0158821
0.062874;0.0161029;-0.000111775;-0.0158821
0.063373;0.0155837;-0.000322905;-0.0158821
0.063872;0.0151003;-0.000144893;-0.0158821
0.064371;0.0146039;-0.000256668;-0.0158821
0.06487;0.0140976;-0.00104323;-0.0158821
0.065369;0.0136861;-0.000790701;-0.0158185
0.065868;0.0132004;-0.00150274;-0.0157867
0.066367;0.0127929;-0.00181737;-0.0158821
0.066866;0.0122846;-0.00205748;-0.0158821
0.067365;0.0118002;-0.00234313;-0.0158821
0.067864;0.0112416;-0.00245075;-0.0158821
0.068363;0.0107343;-0.0028192;-0.0158821
0.068862;0.0102359;-0.00291442;-0.0158821
