t;vds;corrente;vg
0.000499;-0.039412;-0.0284077;0.68703
0.000998;-0.0398413;-0.0288875;0.698816
0.001497;-0.040329;-0.0289827;0.698816
0.001996;-0.0408211;-0.0289868;0.698816
0.002495;-0.0412583;-0.0291028;0.698816
0.002994;-0.0418439;-0.0292394;0.698816
0.003493;-0.0423726;-0.0305021;0.698816
0.003992;-0.0428543;-0.0304773;0.698816
0.004491;-0.0433843;-0.0308416;0.698816
0.00499;-0.0438204;-0.0307588;0.698816
0.005489;-0.0442585;-0.0309037;0.698816
0.005988;-0.0447727;-0.0310651;0.698816
0.006487;-0.0453336;-0.0310486;0.698816
0.006986;-0.045815;-0.031181;0.698816
0.007485;-0.0462064;-0.0310155;0.699039
0.007984;-0.046791;-0.0311272;0.698816
0.008483;-0.0472341;-0.0318309;0.698816
0.008982;-0.0477204;-0.0320959;0.698816
0.009481;-0.0481202;-0.0323939;0.698816
0.00998;-0.0486663;-0.032663;0.698976
0.010479;-0.0488666;-0.0329776;0.698816
0.010978;-0.048441;-0.0329527;0.698816
0.011477;-0.0480253;-0.0327706;0.698816
0.011976;-0.0475352;-0.0322656;0.698816
0.012475;-0.0469509;-0.031388;0.698816
0.012974;-0.046545;-0.0314419;0.698816
0.013473;-0.046046;-0.0310196;0.698816
0.013972;-0.0455367;-0.0309865;0.698816
0.014471;-0.0450599;-0.0309782;0.69888
0.01497;-0.0446403;-0.0304689;0.699007
0.015469;-0.0440811;-0.0301957;0.698816
0.015968;-0.0435914;-0.0293429;0.698816
0.016467;-0.0431739;-0.0299391;0.698816
0.016966;-0.0426314;-0.0296616;0.698816
0.017465;-0.0421418;-0.0299307;0.698816
0.017964;-0.0416265;-0.0298605;0.698816
0.018463;-0.0411349;-0.0294091;0.698816
0.018962;-0.0405896;-0.0291028;0.698816
0.019461;-0.0401137;-0.0289868;0.698816
0.01996;-0.0396735;-0.0290075;0.698816
0.020459;-0.039194;-0.0287923;0.69888
0.020958;-0.0387429;-0.0282666;0.698816
0.021457;-0.0382989;-0.0277575;0.698848
0.021956;-0.0377237;-0.0272234;0.698912
0.022455;-0.0372281;-0.0269709;0.698816
0.022954;-0.0368314;-0.0268012;0.698816
0.023453;-0.0362648;-0.0263168;0.698816
0.023952;-0.0357211;-0.0268012;0.698816
0.024451;-0.0351842;-0.0262423;0.698816
0.02495;-0.034752;-0.0256998;0.699294
0.025449;-0.0343089;-0.0253852;0.698976
0.025948;-0.0338144;-0.0254846;0.698816
0.026447;-0.0333535;-0.0249836;0.699643
0.026946;-0.0328936;-0.024789;0.698975
0.027445;-0.0323737;-0.0247518;0.698816
0.027944;-0.0317952;-0.0247642;0.699007
0.028443;-0.0313492;-0.0244123;0.698816
0.028942;-0.030753;-0.0231912;0.698816
0.029441;-0.0302716;-0.0235265;0.698816
0.02994;-0.0299332;-0.023365;0.698816
0.030439;-0.0293873;-0.0232119;0.699293
0.030938;-0.0289126;-0.0228186;0.698816
0.031437;-0.0283925;-0.022711;0.698816
0.031936;-0.027904;-0.0226075;0.698816
0.032435;-0.0274246;-0.0226199;0.698912
0.032934;-0.0269794;-0.0226033;0.699071
0.033433;-0.0264435;-0.0215766;0.698816
0.033932;-0.0260369;-0.0218292;0.69888
0.034431;-0.0255286;-0.0208562;0.698816
0.03493;-0.0251063;-0.0214399;0.698816
0.035429;-0.0245584;-0.0208024;0.698816
0.035928;-0.0240641;-0.0205375;0.699262
0.036427;-0.0236042;-0.0205292;0.698848
0.036926;-0.0231639;-0.0201069;0.699485
0.037425;-0.0226035;-0.0198876;0.698816
0.037924;-0.0220706;-0.0191921;0.698816
0.038423;-0.021595;-0.0189147;0.698816
0.038922;-0.0211824;-0.0186622;0.698816
0.039421;-0.0207481;-0.0186167;0.698816
0.03992;-0.020322;-0.0186829;0.698816
0.040419;-0.0198077;-0.0185421;0.698816
0.040918;-0.0192995;-0.0181737;0.698816
0.041417;-0.0189057;-0.0181903;0.698816
0.041916;-0.0183302;-0.0180247;0.698816
0.042415;-0.0178121;-0.0179957;0.698816
0.042914;-0.017377;-0.0173209;0.698816
0.043413;-0.0169724;-0.0168241;0.698816
0.043912;-0.0164503;-0.016526;0.698816
0.044411;-0.0160476;-0.0164143;0.698816
0.04491;-0.0155591;-0.0164598;0.698816
0.045409;-0.0150678;-0.0162155;0.698816
0.045908;-0.0145378;-0.0157974;0.698816
0.046407;-0.0141193;-0.0147749;0.698816
0.046906;-0.0136614;-0.0148205;0.698816
0.047405;-0.0130988;-0.0146921;0.698816
0.047904;-0.0125461;-0.0146342;0.698816
0.048403;-0.012116;-0.0146217;0.698816
0.048902;-0.0115199;-0.0137979;0.698816
0.049401;-0.0110639;-0.0136779;0.698816
0.0499;-0.010599;-0.0132018;0.698816
0.050399;-0.0100435;-0.0125021;0.698816
0.050898;-0.00953527;-0.01244;0.698816
0.051397;-0.0090842;-0.0122993;0.698816
0.051896;-0.0086727;-0.0121461;0.698816
0.052395;-0.00814965;-0.0115624;0.698816
0.052894;-0.00761184;-0.0111443;0.698816
0.053393;-0.00727136;-0.011757;0.698816
0.053892;-0.00670386;-0.0106392;0.698816
0.054391;-0.00610586;-0.0103288;0.698816
0.05489;-0.00562817;-0.0103329;0.698816
0.055389;-0.00512683;-0.0103826;0.698816
0.055888;-0.00460872;-0.0104116;0.698816
0.056387;-0.00405211;-0.0103122;0.698816
0.056886;-0.00361494;-0.00943873;0.699103
0.057385;-0.00311263;-0.00898336;0.698816
0.057884;-0.00265371;-0.00915309;0.698816
0.058383;-0.00217311;-0.00886745;0.698816
0.058882;-0.00174481;-0.0084576;0.698816
0.059381;-0.00125728;-0.00826302;0.698816
0.05988;-0.000856608;-0.00824232;0.698816
0.060379;-0.000306919;-0.00801876;0.698816
0.060878;0.000236851;-0.00764204;0.698816
0.061377;0.000674036;-0.00779521;0.698816
0.061876;0.00114182;-0.00724875;0.698944
0.062375;0.00161157;-0.00654913;0.698816
0.062874;0.00204382;-0.00630075;0.698816
0.063373;0.00254715;-0.00632973;0.698816
0.063872;0.00305242;-0.00621795;0.698816
0.064371;0.00358435;-0.00615172;0.698816
0.06487;0.00407678;-0.00608134;0.698816
0.065369;0.00456825;-0.00608962;0.698816
0.065868;0.00511007;-0.00584124;0.698816
0.066367;0.00561832;-0.00590335;0.698816
0.066866;0.00607719;-0.00486014;0.698816
0.067365;0.00661211;-0.00459104;0.698816
0.067864;0.00705228;-0.00422259;0.698816
0.068363;0.00752792;-0.00401974;0.699071
0.068862;0.00800062;-0.00413151;0.698816
0.069361;0.00854736;-0.00371339;0.698816
0.06986;0.00906054;-0.00322076;0.698848
0.070359;0.00946612;-0.00360576;0.698816
0.070858;0.0100139;-0.00331184;0.698816
