t;vds;corrente;vg
0.000499;-0.00933983;-0.0122981;-0.194693
0.000998;-0.00882268;-0.0124276;-0.195998
0.001497;-0.00834212;-0.0123945;-0.194915
0.001996;-0.00781608;-0.0120757;-0.194152
0.002495;-0.0073898;-0.0119598;-0.19291
0.002994;-0.00693383;-0.0117156;-0.193896
0.003493;-0.00641768;-0.0108959;-0.191383
0.003992;-0.00589662;-0.0104612;-0.19116
0.004491;-0.00538342;-0.0105813;-0.191701
0.00499;-0.00484658;-0.0103743;-0.191637
0.005489;-0.0042939;-0.0103288;-0.193865
0.005988;-0.00382316;-0.0100969;-0.192432
0.006487;-0.00343534;-0.00985684;-0.192369
0.006986;-0.00284516;-0.00891712;-0.193133
0.007485;-0.00232114;-0.00908272;-0.191383
0.007984;-0.0018652;-0.00868944;-0.191192
0.008483;-0.00143887;-0.00836651;-0.194278
0.008982;-0.00094444;-0.00831684;-0.193165
0.009481;-0.000515149;-0.00823404;-0.192846
0.00998;8.88193e-05;-0.00750956;-0.190651
0.010479;0.000519097;-0.00719495;-0.191351
0.010978;0.000981941;-0.00718667;-0.191605
0.011477;0.00140927;-0.00639597;-0.192337
0.011976;0.00194908;-0.00619312;-0.192497
0.012475;0.00245734;-0.00619726;-0.191956
0.012974;0.00286393;-0.00617656;-0.194215
0.013473;0.00339487;-0.00607307;-0.191001
0.013972;0.00401362;-0.00618898;-0.19326
0.014471;0.00450805;-0.00551421;-0.194056
0.01497;0.00494822;-0.00544798;-0.19342
0.015469;0.00541404;-0.00529482;-0.191733
0.015968;0.0058907;-0.00500088;-0.192655
0.016467;0.00633379;-0.00471524;-0.191128
0.016966;0.00669106;-0.00441716;-0.191669
0.017465;0.0073138;-0.00452066;-0.194406
0.017964;0.00778744;-0.00413151;-0.194692
0.018463;0.00828587;-0.0039742;-0.193515
0.018962;0.00888189;-0.00370926;-0.193801
0.019461;0.00934772;-0.00339878;-0.198957
0.01996;0.00991025;-0.00308001;-0.198194
0.020459;0.0103879;-0.00271985;-0.197333
0.020958;0.0108458;-0.0025377;-0.196506
0.021457;0.0112791;-0.00203264;-0.192369
0.021956;0.0117557;-0.0019871;-0.191542
0.022455;0.0122066;-0.0020492;-0.196379
0.022954;0.0127406;-0.00125022;-0.19186
0.023453;0.0132044;-0.000902475;-0.191064
0.023952;0.0137206;-0.000488497;-0.192433
0.024451;0.0142595;-0.000128334;-0.192846
0.02495;0.0147273;-1.24194e-05;-0.193292
0.025449;0.0151712;-0.000144893;-0.195425
0.025948;0.0156982;0.000149033;-0.193483
0.026447;0.0162006;8.2796e-05;-0.192751
0.026946;0.0166507;0.000587852;-0.191001
0.027445;0.0171234;0.000827959;-0.193356
0.027944;0.0175545;0.00129161;-0.192846
0.028443;0.0179236;0.00182151;-0.193769
0.028942;0.0184685;0.00192914;-0.191605
0.029441;0.0189432;0.00194984;-0.19291
0.02994;0.0193261;0.0020492;-0.193896
0.030439;0.0198443;0.00206576;-0.194756
0.030938;0.0204146;0.00206576;-0.194565
0.031437;0.0208498;0.00223135;-0.193706
0.031936;0.0213363;0.00235969;-0.197811
0.032435;0.0218623;0.00348156;-0.194438
0.032934;0.0223292;0.00360991;-0.195583
0.033433;0.0228107;0.00385001;-0.191287
0.033932;0.0232963;0.00389968;-0.190746
0.034431;0.0237197;0.00413151;-0.191446
0.03493;0.024209;0.00415221;-0.191446
0.035429;0.0245841;0.00413151;-0.193133
0.035928;0.0251783;0.00479804;-0.192465
0.036427;0.0256648;0.00452894;-0.191574
0.036926;0.0261287;0.00522442;-0.191001
0.037425;0.0267515;0.00580812;-0.191192
0.037924;0.0272518;0.00613102;-0.190619
0.038423;0.027677;0.00618898;-0.191096
0.038922;0.028213;0.00620139;-0.191987
