t;vds;corrente;vg
0.000499;-0.00934477;-0.0116678;0.373264
0.000998;-0.00889767;-0.0121875;0.381174
0.001497;-0.00845956;-0.0119598;0.381174
0.001996;-0.00786935;-0.0110739;0.381174
0.002495;-0.00744013;-0.0108131;0.381174
0.002994;-0.00694271;-0.0107345;0.381174
0.003493;-0.0062746;-0.0103743;0.381174
0.003992;-0.00586109;-0.0103288;0.381174
0.004491;-0.00540019;-0.0103205;0.381174
0.00499;-0.00480809;-0.0102915;0.381174
0.005489;-0.00436101;-0.0102253;0.381174
0.005988;-0.00387448;-0.00966228;0.381174
0.006487;-0.00341166;-0.00915308;0.381174
0.006986;-0.00292906;-0.00840378;0.381174
0.007485;-0.00248102;-0.00837894;0.381047
0.007984;-0.00202606;-0.0083748;0.381174
0.008483;-0.00135992;-0.00817194;0.381174
0.008982;-0.000926677;-0.00823404;0.381174
0.009481;-0.000511202;-0.00766688;0.381174
0.00998;6.90817e-05;-0.00781591;0.381174
0.010479;0.00050232;-0.00753855;0.381174
0.010978;0.000937532;-0.00740607;0.381174
0.011477;0.0013846;-0.00666918;0.381174
0.011976;0.00188;-0.00656983;0.381174
0.012475;0.0022945;-0.00619726;0.381174
0.012974;0.00280275;-0.00616414;0.381174
0.013473;0.00332579;-0.00614344;0.381174
0.013972;0.00383599;-0.00606479;0.381174
0.014471;0.00432448;-0.00550594;0.381174
0.01497;0.00496599;-0.00439233;0.381174
0.015469;0.00544165;-0.00427641;0.381174
0.015968;0.00587392;-0.00441717;0.381174
0.016467;0.0063634;-0.00411081;0.381174
0.016966;0.00688055;-0.00408597;0.381174
0.017465;0.0073148;-0.00396178;0.381174
0.017964;0.00775882;-0.00363475;0.381174
0.018463;0.00833718;-0.00292271;0.381174
0.018962;0.008798;-0.00276953;0.381174
0.019461;0.00927373;-0.00301792;0.381174
0.01996;0.00977208;-0.0030469;0.381174
0.020459;0.0102892;-0.00253356;0.381174
0.020958;0.010755;-0.00226861;0.381174
0.021457;0.0113018;-0.00217339;0.381174
0.021956;0.0119027;-0.00177597;0.381174
0.022455;0.0122807;-0.0019043;0.381142
0.022954;0.0127623;-0.000861077;0.381174
0.023453;0.0132577;-0.00101011;0.381174
0.023952;0.0137325;-0.000736884;0.381174
0.024451;0.0141667;-0.000554734;0.381174
0.02495;0.0146582;-0.000111775;0.381174
0.025449;0.0151683;-0.000103495;0.381174
0.025948;0.0155867;2.48388e-05;0.381174
0.026447;0.0161098;0.000604411;0.381174
0.026946;0.0165885;0.00151516;0.381174
0.027445;0.0170948;0.00187532;0.381174
0.027944;0.017525;0.00206576;0.381174
0.028443;0.0179986;0.00205748;0.381174
0.028942;0.0184152;0.00212371;0.381174
0.029441;0.0188701;0.00224377;0.381174
0.02994;0.019403;0.00256254;0.381174
0.030439;0.0199065;0.00310071;0.381174
0.030938;0.0203879;0.00366371;0.381174
0.031437;0.0207827;0.00359334;0.381174
0.031936;0.0213778;0.00394522;0.381174
0.032435;0.0218869;0.00400732;0.381174
0.032934;0.0222542;0.00382931;0.381174
0.033433;0.0227614;0.00413979;0.381174
0.033932;0.0232291;0.00413151;0.381174
0.034431;0.0237591;0.00442545;0.381174
0.03493;0.0242179;0.00469454;0.381174
0.035429;0.0248171;0.00548108;0.381174
0.035928;0.0252158;0.00567565;0.381174
0.036427;0.0256885;0.00605651;0.381174
0.036926;0.0261001;0.00586194;0.381174
0.037425;0.026548;0.0061186;0.381174
0.037924;0.027016;0.00602339;0.381174
0.038423;0.0275873;0.00628833;0.381174
0.038922;0.0280678;0.00656156;0.381174
0.039421;0.02851;0.00752613;0.381174
0.03992;0.0290063;0.00789457;0.381174
0.040419;0.0295661;0.00807673;0.381174
0.040918;0.03001;0.00824232;0.381174
0.041417;0.0305745;0.0081471;0.381174
0.041916;0.0311302;0.00847002;0.381174
0.042415;0.0316186;0.00858594;0.381174
0.042914;0.0320707;0.00957948;0.381174
0.043413;0.0325975;0.00950495;0.381174
0.043912;0.0330782;0.00957118;0.381174
0.044411;0.0334919;0.00954225;0.381174
0.04491;0.0339357;0.0100059;0.381174
0.045409;0.0345606;0.0100555;0.381174
0.045908;0.0349878;0.0102874;0.381174
0.046407;0.0354269;0.010366;0.381174
0.046906;0.0360438;0.0112147;0.381174
0.047405;0.0365254;0.0112685;0.381174
0.047904;0.0369982;0.0118481;0.381174
0.048403;0.0375448;0.0120137;0.381174
0.048902;0.0380493;0.0115831;0.381174
0.049401;0.0384164;0.0123241;0.381174
0.0499;0.0389353;0.0123448;0.381174
0.050399;0.0394111;0.01244;0.381174
0.050898;0.0398037;0.0128002;0.381174
0.051397;0.0402797;0.0128913;0.381174
0.051896;0.0408478;0.0133715;0.381174
0.052395;0.0412938;0.0133839;0.381174
0.052894;0.0417728;0.0137441;0.381174
0.053393;0.0423302;0.0143527;0.381174
0.053892;0.0428316;0.014245;0.381174
0.054391;0.0433497;0.0144562;0.381174
0.05489;0.0438075;0.0149405;0.381174
0.055389;0.0443611;0.0147211;0.381174
0.055888;0.0447411;0.0154621;0.381174
0.056387;0.0451134;0.0159548;0.381174
0.056886;0.045599;0.016257;0.381174
0.057385;0.0460821;0.0166461;0.381174
0.057884;0.0465551;0.016555;0.381174
0.058383;0.0470122;0.016555;0.381174
0.058882;0.0475408;0.0164847;0.381142
0.059381;0.0480018;0.0169649;0.381174
0.05988;0.0481033;0.0169939;0.381174
0.060379;0.047752;0.0167041;0.381174
0.060878;0.047171;0.0165343;0.381174
0.061377;0.0467209;0.0164929;0.381174
0.061876;0.0462874;0.0162776;0.381174
0.062375;0.0457825;0.0155449;0.381174
0.062874;0.0452841;0.0155863;0.380856
0.063373;0.0447864;0.0151185;0.381174
0.063872;0.0443187;0.0145348;0.381174
