t;vds;corrente;vg
0.000499;-0.00798582;-0.0116436;-0.133138
0.000998;-0.00846546;-0.0120633;-0.131227
0.001497;-0.00904969;-0.0123945;-0.132277
0.001996;-0.00952139;-0.0124069;-0.135683
0.002495;-0.00995466;-0.012498;-0.131481
0.002994;-0.010533;-0.0128872;-0.134123
0.003493;-0.0109998;-0.013268;-0.132436
0.003992;-0.0115061;-0.0143568;-0.137115
0.004491;-0.0119274;-0.0140629;-0.13546
0.00499;-0.0125087;-0.0142409;-0.137083
0.005489;-0.0129439;-0.0143816;-0.137784
0.005988;-0.0133574;-0.0146755;-0.137211
0.006487;-0.0139762;-0.0149778;-0.138961
0.006986;-0.014448;-0.0150564;-0.139948
0.007485;-0.014892;-0.0152758;-0.140776
0.007984;-0.0154871;-0.0157022;-0.141635
0.008483;-0.0159588;-0.0154993;-0.138038
0.008982;-0.0164375;-0.0164515;-0.139757
0.009481;-0.0169231;-0.016526;-0.139725
0.00998;-0.0173523;-0.0166337;-0.138261
0.010479;-0.0178457;-0.0170021;-0.140426
0.010978;-0.0182266;-0.0171884;-0.140553
0.011477;-0.0186767;-0.017619;-0.138675
0.011976;-0.0191711;-0.0179874;-0.141571
0.012475;-0.0196468;-0.0184842;-0.13807
0.012974;-0.0200742;-0.018538;-0.138675
0.013473;-0.0206484;-0.0185587;-0.134314
0.013972;-0.0211923;-0.0186291;-0.136542
0.014471;-0.0216324;-0.0188319;-0.131927
0.01497;-0.0221199;-0.019428;-0.13702
0.015469;-0.0226411;-0.0195522;-0.133869
0.015968;-0.0230721;-0.0196433;-0.131227
0.016467;-0.0235105;-0.0201318;-0.13406
0.016966;-0.0240029;-0.0201856;-0.130908
0.017465;-0.0243926;-0.0206368;-0.131036
0.017964;-0.0248546;-0.0206617;-0.133168
0.018463;-0.0253993;-0.0207941;-0.132245
0.018962;-0.025883;-0.0206948;-0.132341
0.019461;-0.0262687;-0.0209267;-0.130718
0.01996;-0.0267297;-0.0215807;-0.130877
0.020459;-0.0273337;-0.0219989;-0.131036
0.020958;-0.0278556;-0.0221893;-0.131099
