t;vds;corrente;vg
0.000499;0.0178881;0.00188933;-0.174379
0.000998;0.0183866;0.00195812;-0.174704
0.001497;0.0189195;0.00225205;-0.174736
0.001996;0.0193843;0.00286888;-0.174704
0.002495;0.0198492;0.00327459;-0.174704
0.002994;0.0203771;0.00340292;-0.174704
0.003493;0.020913;0.00379619;-0.174704
0.003992;0.0213639;0.00417705;-0.174704
0.004491;0.0218563;0.00413151;-0.174704
0.00499;0.0223884;0.00419361;-0.175054
0.005489;0.022718;0.00436749;-0.174704
0.005988;0.0231985;0.00435921;-0.174704
0.006487;0.0237276;0.00471109;-0.174704
0.006986;0.0241755;0.00505056;-0.174704
0.007485;0.0246808;0.00596129;-0.174704
0.007984;0.0252572;0.00596543;-0.174704
0.008483;0.0257172;0.00608134;-0.174704
0.008982;0.026101;0.00595715;-0.174704
0.009481;0.0266833;0.00594473;-0.174704
0.00998;0.0271482;0.00626763;-0.174736
0.010479;0.0275784;0.00632972;-0.174704
0.010978;0.0280806;0.00631731;-0.174704
0.011477;0.0286382;0.00680994;-0.174704
0.011976;0.0290339;0.00656984;-0.174704
0.012475;0.0294566;0.00737708;-0.174704
0.012974;0.0301353;0.00795253;-0.174704
0.013473;0.0305764;0.00813468;-0.174704
0.013972;0.0310049;0.00820506;-0.174704
0.014471;0.0315397;0.00826302;-0.174704
0.01497;0.0322285;0.00842448;-0.174704
0.015469;0.032562;0.00838722;-0.1748
0.015968;0.033087;0.00850728;-0.174704
0.016467;0.0335589;0.00911996;-0.174704
0.016966;0.0340196;0.0087474;-0.174704
0.017465;0.0345646;0.00967883;-0.174704
0.017964;0.0350796;0.00974096;-0.174704
0.018463;0.0355098;0.0101176;-0.174704
0.018962;0.0360428;0.0104033;-0.174704
0.019461;0.0365363;0.0104198;-0.174704
0.01996;0.0370417;0.0104985;-0.174704
0.020459;0.0374619;0.0110863;-0.174704
0.020958;0.0380078;0.0115334;-0.174704
0.021457;0.0384628;0.011699;-0.174704
0.021956;0.039026;0.0119888;-0.174704
0.022455;0.0393874;0.012171;-0.174704
0.022954;0.0399637;0.0123821;-0.174704
0.023453;0.0404592;0.0124483;-0.174704
0.023952;0.0408458;0.0124028;-0.174704
0.024451;0.0413521;0.0130031;-0.174704
0.02495;0.0418222;0.013119;-0.174704
0.025449;0.0422317;0.0138642;-0.174704
0.025948;0.0427743;0.0144355;-0.174704
0.026447;0.0433438;0.0145307;-0.174704
0.026946;0.0438224;0.0148826;-0.174704
0.027445;0.0442071;0.0156111;-0.174704
0.027944;0.0447766;0.0159754;-0.174704
0.028443;0.0452447;0.0161203;-0.174704
0.028942;0.0456878;0.0165095;-0.174704
0.029441;0.0461738;0.016555;-0.174704
0.02994;0.0466765;0.0166254;-0.174704
0.030439;0.047099;0.0166792;-0.174704
0.030938;0.047525;0.0168779;-0.174704
0.031437;0.048058;0.0168738;-0.174895
0.031936;0.0481951;0.0178798;-0.174704
0.032435;0.0477432;0.0168034;-0.174704
0.032934;0.0473348;0.0168407;-0.174704
0.033433;0.0467949;0.0168821;-0.174704
0.033932;0.0462993;0.0165467;-0.174704
0.034431;0.0458359;0.0164267;-0.174704
0.03493;0.0454332;0.0158926;-0.174704
0.035429;0.0448723;0.0145638;-0.174704
0.035928;0.0444164;0.0145721;-0.174704
0.036427;0.0439764;0.0145969;-0.174704
0.036926;0.0435204;0.0144603;-0.174704
0.037425;0.0430151;0.014481;-0.174704
0.037924;0.0424932;0.0142781;-0.174704
0.038423;0.0420215;0.014009;-0.174704
0.038922;0.0415129;0.0141415;-0.174704
0.039421;0.0410343;0.0133343;-0.174704
0.03992;0.0406005;0.0132639;-0.174704
0.040419;0.040008;0.0125353;-0.175054
0.040918;0.039564;0.0124525;-0.174704
0.041417;0.0391901;0.0123862;-0.174704
0.041916;0.0387005;0.0120757;-0.174704
0.042415;0.0380966;0.0111401;-0.174704
0.042914;0.0377296;0.0109249;-0.174704
0.043413;0.0371877;0.010809;-0.174704
0.043912;0.0366397;0.0104116;-0.174736
0.044411;0.0360852;0.0101921;-0.175532
0.04491;0.0356213;0.0101963;-0.174704
