t;vds;corrente;vg
0.000499;-0.0376682;-0.0267706;-0.017721
0.000998;-0.0380966;-0.0269833;-0.0158821
0.001497;-0.0386887;-0.0272979;-0.0155957
0.001996;-0.0392057;-0.027269;-0.0158821
0.002495;-0.0396489;-0.0280016;-0.0158503
0.002994;-0.0402383;-0.0284445;-0.0158821
0.003493;-0.0406268;-0.028904;-0.0158821
0.003992;-0.0410659;-0.0289827;-0.015723
0.004491;-0.041601;-0.0289206;-0.0158503
0.00499;-0.042064;-0.0289496;-0.0158821
0.005489;-0.0425759;-0.0292725;-0.0158821
0.005988;-0.0431582;-0.029082;-0.0158821
0.006487;-0.0436073;-0.0295582;-0.0158821
0.006986;-0.0440501;-0.0301751;-0.0158821
0.007485;-0.0445507;-0.029881;-0.0156912
0.007984;-0.0450927;-0.0300052;-0.0157548
0.008483;-0.0455004;-0.0309285;-0.0158821
0.008982;-0.0459963;-0.0307216;-0.0152138
0.009481;-0.0465136;-0.0309327;-0.0158821
0.00998;-0.0470201;-0.030883;-0.0154047
0.010479;-0.0473751;-0.0309865;-0.0144817
0.010978;-0.0480225;-0.0310941;-0.014609
0.011477;-0.0484747;-0.03121;-0.0158821
0.011976;-0.0488399;-0.0312762;-0.0158821
0.012475;-0.0486939;-0.0310817;-0.0156275
0.012974;-0.0482336;-0.0311065;-0.0158185
0.013473;-0.0476368;-0.0310527;-0.0154047
0.013972;-0.0471581;-0.0309492;-0.0155639
0.014471;-0.0467485;-0.0309782;-0.0158821
0.01497;-0.0461643;-0.0309244;-0.0158503
0.015469;-0.0457342;-0.0305476;-0.015723
0.015968;-0.0453216;-0.0305766;-0.0158821
0.016467;-0.0449157;-0.0305394;-0.0155957
0.016966;-0.0442912;-0.0296451;-0.0158503
0.017465;-0.0438787;-0.0293719;-0.0158821
0.017964;-0.043399;-0.0290613;-0.0157867
0.018463;-0.042881;-0.0289289;-0.0158821
0.018962;-0.0422957;-0.0289206;-0.0158821
0.019461;-0.0418833;-0.028962;-0.0158821
0.01996;-0.0413747;-0.028726;-0.015532
0.020459;-0.0408212;-0.0278361;-0.0148955
0.020958;-0.0403646;-0.0277409;-0.0158185
0.021457;-0.0399073;-0.0272234;-0.0158821
0.021956;-0.0393421;-0.0270206;-0.0158821
0.022455;-0.0389413;-0.026855;-0.0158821
0.022954;-0.0384765;-0.026855;-0.0158821
0.023453;-0.0379664;-0.0267018;-0.0158185
0.023952;-0.0374176;-0.0266687;-0.0158821
0.024451;-0.0370644;-0.0266148;-0.0158821
0.02495;-0.0364966;-0.0261429;-0.0158821
0.025449;-0.0359452;-0.0259772;-0.0158821
0.025948;-0.0355088;-0.0255508;-0.0158185
0.026447;-0.0349918;-0.0249381;-0.0158821
0.026946;-0.0344313;-0.024847;-0.0158821
0.027445;-0.0339515;-0.024789;-0.0158821
0.027944;-0.0335007;-0.0247518;-0.0158821
0.028443;-0.0330208;-0.0247435;-0.0157867
0.028942;-0.0325848;-0.0247228;-0.0158821
0.029441;-0.0321636;-0.0240026;-0.0158821
0.02994;-0.0316205;-0.0237459;-0.0158821
0.030439;-0.0310395;-0.0234768;-0.0158821
0.030938;-0.0305438;-0.0231456;-0.0158185
0.031437;-0.0301206;-0.0229801;-0.0157548
0.031936;-0.0295858;-0.0227027;-0.0154366
0.032435;-0.0290754;-0.0227193;-0.0158185
0.032934;-0.028665;-0.022297;-0.014991
0.033433;-0.0280796;-0.022003;-0.0158821
0.033932;-0.027536;-0.0212619;-0.0150864
0.034431;-0.0271828;-0.0212826;-0.015723
0.03493;-0.0266062;-0.0208107;-0.0158821
0.035429;-0.0261474;-0.0209763;-0.0158821
0.035928;-0.025649;-0.0206037;-0.0157867
0.036427;-0.025208;-0.0201856;-0.0158821
0.036926;-0.0246541;-0.0199124;-0.0158821
0.037425;-0.0241617;-0.0198627;-0.0158821
0.037924;-0.0237128;-0.0186456;-0.0158503
0.038423;-0.0232478;-0.0187947;-0.0151501
0.038922;-0.0227368;-0.0185918;-0.0158821
0.039421;-0.0223626;-0.01848;-0.0158821
0.03992;-0.0217933;-0.0185918;-0.0158821
0.040419;-0.0212634;-0.0176024;-0.0157548
0.040918;-0.0209356;-0.0178508;-0.0158503
0.041417;-0.0204936;-0.0179791;-0.0158821
0.041916;-0.0199044;-0.017441;-0.0152138
0.042415;-0.0194959;-0.0168945;-0.0158821
0.042914;-0.0190192;-0.016613;-0.0157548
0.043413;-0.0184862;-0.0164515;-0.0158821
0.043912;-0.0179365;-0.0162652;-0.0140043
0.044411;-0.0176049;-0.0162321;-0.0155639
0.04491;-0.0171165;-0.0154249;-0.0140679
0.045409;-0.0165599;-0.0149529;-0.0153729
0.045908;-0.0161828;-0.0149819;-0.0154684
0.046407;-0.0156341;-0.0148784;-0.0152138
0.046906;-0.0151112;-0.0144851;-0.0148955
0.047405;-0.0147342;-0.0149115;-0.0150228
