t;vds;corrente;vg
0.000499;0.0171283;0.00151675;0.201509
0.000998;0.0175654;0.00192086;0.206308
0.001497;0.0179631;0.00168489;0.206467
0.001996;0.0183955;0.00205748;0.206467
0.002495;0.0189284;0.00248389;0.206467
0.002994;0.0194198;0.00202022;0.206467
0.003493;0.0198779;0.00209473;0.206404
0.003992;0.0203623;0.00213613;0.206467
0.004491;0.0208755;0.00233899;0.206467
0.00499;0.0213965;0.00266188;0.206467
0.005489;0.0218149;0.00305103;0.206467
0.005988;0.0223559;0.00360162;0.206467
0.006487;0.022865;0.00397833;0.206467
0.006986;0.0232844;0.00411081;0.206467
0.007485;0.0237345;0.00416049;0.206467
0.007984;0.0242298;0.00418533;0.206467
0.008483;0.0246779;0.00509195;0.206467
0.008982;0.0251171;0.00486011;0.206467
0.009481;0.0257152;0.00532791;0.206467
0.00998;0.0261908;0.00542728;0.206467
0.010479;0.0266082;0.00549766;0.206467
0.010978;0.0271758;0.00609376;0.206467
0.011477;0.0276889;0.00613516;0.206467
0.011976;0.0281902;0.00626763;0.206467
0.012475;0.0286146;0.00626349;0.206467
0.012974;0.0291169;0.00636285;0.206467
0.013473;0.0295858;0.00693829;0.206467
0.013972;0.0300209;0.00649945;0.206467
0.014471;0.0305676;0.00732741;0.206467
0.01497;0.0309674;0.0077207;0.206467
0.015469;0.0315476;0.00797323;0.206467
0.015968;0.0321615;0.0081057;0.206467
0.016467;0.0326597;0.0082713;0.206467
0.016966;0.0330683;0.00826302;0.206467
0.017465;0.0335145;0.00832512;0.206467
0.017964;0.0341263;0.00847002;0.206467
0.018463;0.0346149;0.00957946;0.206467
0.018962;0.0350046;0.00948012;0.206276
0.019461;0.0356065;0.00993549;0.206467
0.01996;0.0360764;0.0103702;0.206467
0.020459;0.0365531;0.0103743;0.206467
0.020958;0.0370634;0.0105606;0.206467
0.021457;0.0375152;0.0104861;0.206149
0.021956;0.0380079;0.0108794;0.206467
0.022455;0.0385663;0.0115086;0.206467
0.022954;0.0390005;0.0118936;0.206467
0.023453;0.0394328;0.0122538;0.206467
0.023952;0.0398837;0.0123945;0.206435
0.024451;0.0405055;0.0123655;0.206244
0.02495;0.0409159;0.0124276;0.206467
0.025449;0.0413709;0.012763;0.206467
0.025948;0.0419613;0.0129989;0.206244
0.026447;0.0423935;0.0140132;0.206467
0.026946;0.0428493;0.0143113;0.206467
0.027445;0.0432935;0.0143485;0.206467
0.027944;0.0438647;0.0144355;0.206467
0.028443;0.0442871;0.0146383;0.206467
0.028942;0.0448053;0.0146176;0.206467
0.029441;0.0452575;0.0153752;0.206467
0.02994;0.0457953;0.0161452;0.206467
0.030439;0.0461985;0.0162031;0.206467
0.030938;0.0467299;0.0161866;0.206467
0.031437;0.0472174;0.016584;0.206467
0.031936;0.0476533;0.0167206;0.206467
0.032435;0.0481449;0.0170311;0.206467
0.032934;0.0481349;0.0173706;0.206467
0.033433;0.0475204;0.0167579;0.206467
0.033932;0.0470091;0.0164267;0.206467
0.034431;0.0466557;0.0164308;0.206467
0.03493;0.0461071;0.0162777;0.206467
0.035429;0.0456897;0.0161203;0.206467
0.035928;0.0452308;0.0156277;0.206467
0.036427;0.0448052;0.0151765;0.206467
0.036926;0.044307;0.0146756;0.206467
0.037425;0.0437997;0.0142947;0.206467
0.037924;0.0433961;0.0139718;0.206467
0.038423;0.0428227;0.0131645;0.206467
0.038922;0.042277;0.0127547;0.206467
0.039421;0.0418527;0.0128375;0.206467
0.03992;0.0412839;0.0125394;0.206467
0.040419;0.0407523;0.0122662;0.206467
0.040918;0.0403122;0.0121047;0.206467
0.041417;0.0398106;0.0118398;0.206467
0.041916;0.0393757;0.012055;0.206467
0.042415;0.0389008;0.0108669;0.206467
0.042914;0.0384696;0.0104985;0.206467
0.043413;0.0379368;0.0103288;0.206467
0.043912;0.0374748;0.0103329;0.206467
0.044411;0.0370279;0.0103039;0.206467
0.04491;0.0366279;0.0103205;0.206467
0.045409;0.0360329;0.0101383;0.206467
0.045908;0.0355374;0.00997688;0.206467
0.046407;0.0349849;0.00926487;0.206467
0.046906;0.0344145;0.00879293;0.206467
0.047405;0.0339801;0.00895024;0.206467
0.047904;0.0335313;0.00875982;0.206467
0.048403;0.0329587;0.0084576;0.206467
0.048902;0.0325739;0.00849486;0.206467
0.049401;0.0321419;0.00828372;0.206467
0.0499;0.0315801;0.00826302;0.206467
0.050399;0.0310987;0.00826302;0.206467
0.050898;0.0306139;0.00822162;0.206467
0.051397;0.0301285;0.0072115;0.206467
0.051896;0.0295433;0.00707488;0.205831
0.052395;0.0290497;0.00627177;0.206467
0.052894;0.0285416;0.00639596;0.206467
0.053393;0.0280727;0.00622209;0.206467
0.053892;0.027608;0.00619312;0.206467
0.054391;0.0271394;0.00618898;0.206467
0.05489;0.02662;0.00575431;0.206467
0.055389;0.0261267;0.00528653;0.206467
0.055888;0.0256865;0.00455378;0.206467
0.056387;0.0251912;0.00427641;0.206467
0.056886;0.0246482;0.00416877;0.206467
0.057385;0.0242397;0.00412323;0.206467
0.057884;0.0237493;0.00372996;0.206085
0.058383;0.0232626;0.00381275;0.206467
0.058882;0.0227773;0.00348572;0.206467
0.059381;0.022333;0.00277781;0.206467
0.05988;0.021818;0.00258324;0.206467
0.060379;0.0212762;0.00249216;0.206467
0.060878;0.0208576;0.00242592;0.206467
0.061377;0.0204078;0.00209059;0.206404
0.061876;0.0198304;0.00201194;0.206467
0.062375;0.0194248;0.00195398;0.206467
0.062874;0.0189728;0.0014986;0.206467
0.063373;0.0184832;0.000881776;0.206467
0.063872;0.0180974;0.000563013;0.206467
0.064371;0.0176602;4.1398e-05;0.206467
0.06487;0.0171145;4.1398e-06;0.206467
0.065369;0.0166448;0.000115914;0.206467
0.065868;0.0161473;-0.000107635;0.206467
0.066367;0.0156341;-0.000231829;0.206467
0.066866;0.0151388;-0.000128334;0.206467
0.067365;0.0147362;-0.000509196;0.206467
0.067864;0.014219;-0.000298066;0.206467
0.068363;0.0137769;-0.000496777;0.206467
0.068862;0.0133061;-0.00138683;0.206467
0.069361;0.0128788;-0.00158554;0.206467
0.06986;0.0123922;-0.0019871;0.206467
0.070359;0.0118683;-0.00184635;0.206467
0.070858;0.0114577;-0.00224791;0.206467
0.071357;0.0109396;-0.00253771;0.206467
0.071856;0.0102931;-0.00296823;0.206467
0.072355;0.00982638;-0.00372581;0.206467
0.072854;0.00934378;-0.00371754;0.206467
0.073353;0.00882465;-0.00412737;0.206467
0.073852;0.00834113;-0.00405699;0.206467
0.074351;0.00783384;-0.00411495;0.206467
0.07485;0.0073661;-0.00441302;0.206467
0.075349;0.0068154;-0.00428883;0.206467
0.075848;0.00637524;-0.00447098;0.206467
0.076347;0.00594992;-0.00459104;0.206467
0.076846;0.00545448;-0.00526169;0.206467
0.077345;0.0049729;-0.00589505;0.206467
0.077844;0.00448831;-0.00543556;0.206467
0.078343;0.00389126;-0.00605236;0.206467
0.078842;0.00336626;-0.00612274;0.206467
0.079341;0.00282346;-0.00619726;0.206467
0.07984;0.00229154;-0.00623037;0.206467
0.080339;0.00185731;-0.00664021;0.206467
0.080838;0.00145565;-0.00756339;0.206467
0.081337;0.00101648;-0.0075344;0.206467
0.081836;0.000480609;-0.0078656;0.206467
0.082335;6.6121e-05;-0.00791527;0.206467
0.082834;-0.000364158;-0.00826302;0.206467
0.083333;-0.000935558;-0.00823818;0.206467
0.083832;-0.00138756;-0.00819265;0.206467
0.084331;-0.00186224;-0.00842862;0.206467
0.08483;-0.00239023;-0.00861492;0.206467
0.085329;-0.00293006;-0.00890469;0.206467
0.085828;-0.00339586;-0.010246;0.206467
0.086327;-0.00385474;-0.010068;0.206467
0.086826;-0.00439752;-0.0103081;0.206467
0.087325;-0.00480019;-0.0103826;0.206308
0.087824;-0.00534297;-0.010544;0.206467
0.088323;-0.00580978;-0.0106558;0.206467
0.088822;-0.00633181;-0.0104819;0.206467
0.089321;-0.0067789;-0.0111153;0.206467
0.08982;-0.00734143;-0.0113223;0.20634
0.090319;-0.00785356;-0.0121171;0.206467
0.090818;-0.00832534;-0.0122869;0.206467
0.091317;-0.00876642;-0.0124607;0.206467
0.091816;-0.00928161;-0.0124152;0.206467
0.092315;-0.00980466;-0.0125477;0.206467
0.092814;-0.0102566;-0.0127174;0.206467
0.093313;-0.0107728;-0.0133757;0.206467
0.093812;-0.0113067;-0.0139925;0.206467
0.094311;-0.0117498;-0.0145555;0.205863
0.09481;-0.0122629;-0.0145307;0.206467
0.095309;-0.0127988;-0.0148494;0.206467
0.095808;-0.0132419;-0.0152137;0.206467
0.096307;-0.0137029;-0.0156153;0.206467
0.096806;-0.0141983;-0.014986;0.206467
0.097305;-0.0146572;-0.0162984;0.206467
0.097804;-0.0151693;-0.0163273;0.206467
0.098303;-0.0157308;-0.0164639;0.206467
0.098802;-0.0161898;-0.0164433;0.206467
0.099301;-0.0166576;-0.016526;0.206467
0.0998;-0.0171402;-0.0165385;0.206467
0.100299;-0.0176197;-0.0165385;0.206467
0.100798;-0.0179345;-0.0167537;0.206467
0.101297;-0.0184764;-0.0175569;0.206467
0.101796;-0.0190063;-0.0179253;0.206467
0.102295;-0.0193636;-0.0182731;0.206467
0.102794;-0.0198354;-0.0179419;0.206467
0.103293;-0.0203613;-0.0180743;0.206467
0.103792;-0.0208508;-0.0186332;0.206467
0.104291;-0.0213245;-0.0185753;0.206117
0.10479;-0.021879;-0.0186125;0.206467
0.105289;-0.0223282;-0.0187408;0.206467
0.105788;-0.0227673;-0.0193576;0.206467
0.106287;-0.02324;-0.0195729;0.206467
