t;vds;corrente;vg
0.000499;-0.00918884;-0.0120436;0.0606172
0.000998;-0.00971977;-0.0124939;0.0635286
0.001497;-0.0101076;-0.0125063;0.0635286
0.001996;-0.0106366;-0.0125849;0.0635286
0.002495;-0.0112169;-0.0128789;0.0635286
0.002994;-0.0117123;-0.0139056;0.0635286
0.003493;-0.0121741;-0.01386;0.0635286
0.003992;-0.0126626;-0.0143195;0.0635286
0.004491;-0.0131383;-0.014274;0.0635286
0.00499;-0.0136012;-0.014452;0.0635286
0.005489;-0.014141;-0.0144603;0.0635286
0.005988;-0.0146355;-0.0149943;0.0635286
0.006487;-0.0151051;-0.0156525;0.0635286
0.006986;-0.0156005;-0.0159754;0.0634649
0.007485;-0.016097;-0.0160417;0.0635286
0.007984;-0.0165707;-0.0165178;0.0635286
0.008483;-0.017004;-0.016526;0.0635286
0.008982;-0.0174135;-0.016526;0.0635286
0.009481;-0.0178585;-0.0165633;0.0635286
0.00998;-0.0183076;-0.0166792;0.0635286
0.010479;-0.0188326;-0.0169069;0.0635286
0.010978;-0.0192422;-0.017027;0.0635286
0.011477;-0.0197396;-0.0179667;0.0635286
0.011976;-0.0202617;-0.0184759;0.0635286
0.012475;-0.0208212;-0.0185794;0.0635286
0.012974;-0.0213215;-0.0186084;0.0635286
0.013473;-0.0217439;-0.0186374;0.0635286
0.013972;-0.022271;-0.0187243;0.0632421
0.014471;-0.0227831;-0.0190265;0.0635286
0.01497;-0.0231284;-0.0196806;0.0635286
0.015469;-0.0235628;-0.0196267;0.0635286
0.015968;-0.0240808;-0.020463;0.0635286
0.016467;-0.0245712;-0.0205168;0.0633694
0.016966;-0.0250392;-0.0207527;0.0631466
0.017465;-0.025569;-0.0209556;0.0634331
0.017964;-0.0260063;-0.0215104;0.0635286
0.018463;-0.0264858;-0.0223922;0.0634013
0.018962;-0.0269982;-0.0225205;0.0634649
0.019461;-0.0275508;-0.0226323;0.0635286
0.01996;-0.0279513;-0.0226779;0.0635286
0.020459;-0.0284479;-0.0230753;0.0635286
0.020958;-0.0290142;-0.0232533;0.0632739
0.021457;-0.0294299;-0.0229635;0.0635286
0.021956;-0.0299104;-0.0238825;0.0634649
0.022455;-0.0304254;-0.0243461;0.0635286
0.022954;-0.0309526;-0.0244579;0.0630193
0.023453;-0.0313068;-0.0241639;0.0635286
0.023952;-0.0318349;-0.0246193;0.0635286
0.024451;-0.0323687;-0.0247228;0.0635286
0.02495;-0.032854;-0.0247683;0.0635286
0.025449;-0.0334316;-0.0248014;0.0635286
0.025948;-0.0338489;-0.0248014;0.0635286
0.026447;-0.0344304;-0.0250374;0.0635286
0.026946;-0.0347835;-0.0252486;0.0634013
0.027445;-0.035341;-0.026205;0.0635286
0.027944;-0.0358257;-0.0267391;0.0632103
0.028443;-0.0361602;-0.0267639;0.0635286
0.028942;-0.0367348;-0.026855;0.0635286
0.029441;-0.0372469;-0.0269585;0.0635286
0.02994;-0.0377601;-0.0274097;0.0635286
0.030439;-0.0381992;-0.0278733;0.0635286
0.030938;-0.0387834;-0.0278029;0.0635286
0.031437;-0.0392383;-0.0277408;0.0635286
0.031936;-0.0396775;-0.027687;0.063083
0.032435;-0.040179;-0.0286681;0.0635286
0.032934;-0.0406672;-0.0287509;0.0635286
0.033433;-0.0410916;-0.0288916;0.0635286
0.033932;-0.0415921;-0.0290531;0.0633694
0.034431;-0.0420847;-0.0290489;0.0634013
0.03493;-0.0425956;-0.029641;0.0634331
0.035429;-0.0431829;-0.0298313;0.0634649
0.035928;-0.0436724;-0.0298522;0.0635286
0.036427;-0.0441716;-0.0297568;0.0635286
0.036926;-0.0445901;-0.0306387;0.0635286
0.037425;-0.0451065;-0.0308913;0.0635286
0.037924;-0.0455931;-0.0309782;0.0635286
0.038423;-0.0460387;-0.0310444;0.0633694
0.038922;-0.0465403;-0.0309865;0.0635286
0.039421;-0.0470941;-0.0309865;0.0630194
0.03992;-0.0475418;-0.0310817;0.0635286
0.040419;-0.0480719;-0.0320628;0.0630512
0.040918;-0.0485656;-0.0320587;0.0625101
0.041417;-0.0488202;-0.0324435;0.0626056
0.041916;-0.0486168;-0.0321911;0.0635286
0.042415;-0.0481605;-0.0316322;0.0635286
0.042914;-0.0476604;-0.0312638;0.0632421
0.043413;-0.0470782;-0.031119;0.0629875
0.043912;-0.0466428;-0.0309865;0.0635286
0.044411;-0.0462844;-0.0310569;0.0634649
0.04491;-0.0457391;-0.0309368;0.0630193
0.045409;-0.0452545;-0.0309161;0.0635286
0.045908;-0.044821;-0.0307505;0.0635286
0.046407;-0.0443119;-0.0302909;0.0635286
0.046906;-0.0437641;-0.0295913;0.0635286
0.047405;-0.0432825;-0.0290365;0.0635286
0.047904;-0.0427815;-0.0290075;0.0635286
0.048403;-0.042198;-0.0288709;0.0635286
0.048902;-0.0416354;-0.0289744;0.0635286
0.049401;-0.0412118;-0.0286143;0.0635286
0.0499;-0.0406843;-0.0275836;0.0635286
0.050399;-0.0402411;-0.0276498;0.0632739
0.050898;-0.039777;-0.0274842;0.0635286
0.051397;-0.0392602;-0.0272483;0.0635286
0.051896;-0.0388278;-0.0269254;0.0635286
0.052395;-0.0383383;-0.026855;0.0635286
0.052894;-0.0378884;-0.0267805;0.0635286
0.053393;-0.037311;-0.026532;0.0635286
0.053892;-0.0368126;-0.0260518;0.0635286
0.054391;-0.0363901;-0.0258572;0.0635286
0.05489;-0.0357922;-0.0254266;0.0635286
0.055389;-0.0352799;-0.0253769;0.062892
0.055888;-0.0348822;-0.0249256;0.0630193
0.056387;-0.034456;-0.0249132;0.0631785
0.056886;-0.0338755;-0.0247601;0.0635286
0.057385;-0.0334701;-0.0247311;0.0635286
0.057884;-0.0330041;-0.0244744;0.0635286
0.058383;-0.0325049;-0.0241309;0.0634013
0.058882;-0.0320056;-0.0239736;0.0635286
0.059381;-0.0314922;-0.0231249;0.0635286
0.05988;-0.0309417;-0.0235721;0.0635286
0.060379;-0.030384;-0.0229676;0.0635286
0.060878;-0.0300407;-0.0232532;0.0635286
0.061377;-0.0295137;-0.0227441;0.0635286
0.061876;-0.028958;-0.0227027;0.0635286
0.062375;-0.0285129;-0.0223301;0.0635286
0.062874;-0.0281062;-0.0225868;0.0630511
0.063373;-0.0275459;-0.0214607;0.0635286
0.063872;-0.0271305;-0.0219741;0.0626056
0.064371;-0.0266102;-0.0213158;0.0635286
0.06487;-0.0261761;-0.0212827;0.0635286
0.065369;-0.0256125;-0.0207362;0.0635286
0.065868;-0.0251803;-0.0206079;0.0635286
0.066367;-0.0245989;-0.0203967;0.0635286
0.066866;-0.0241114;-0.0204216;0.0635286
0.067365;-0.0236911;-0.0197013;0.0635286
0.067864;-0.0232804;-0.0194115;0.0635286
0.068363;-0.0227822;-0.0189934;0.0635286
0.068862;-0.0222146;-0.0187905;0.0635286
0.069361;-0.02181;-0.0185711;0.0635286
0.06986;-0.0213098;-0.0185711;0.0635286
0.070359;-0.0207629;-0.0183434;0.0635286
0.070858;-0.0203545;-0.0181158;0.0635286
0.071357;-0.0199498;-0.0170684;0.0635286
0.071856;-0.0193192;-0.0166502;0.0635286
0.072355;-0.0188583;-0.0166461;0.0635286
0.072854;-0.0184684;-0.0166751;0.0635286
0.073353;-0.0179454;-0.016613;0.0635286
0.073852;-0.0174974;-0.0165178;0.0635286
0.074351;-0.0170287;-0.016526;0.0635286
0.07485;-0.016549;-0.016526;0.0635286
0.075349;-0.0161562;-0.0165053;0.0633694
0.075848;-0.0156814;-0.016377;0.063083
0.076347;-0.0153114;-0.0157436;0.0628284
0.076846;-0.0147924;-0.0153793;0.0635286
0.077345;-0.0142437;-0.0150771;0.0635286
0.077844;-0.0138223;-0.0146135;0.0632103
0.078343;-0.0132913;-0.0144313;0.0635286
0.078842;-0.0127534;-0.0142616;0.0635286
0.079341;-0.0122274;-0.013889;0.0635286
0.07984;-0.0117735;-0.0133343;0.0633376
0.080339;-0.011213;-0.0135495;0.0634013
0.080838;-0.0106879;-0.0130859;0.0631466
0.081337;-0.0102793;-0.0125477;0.0627647
0.081836;-0.00978103;-0.0125353;0.0594866
0.082335;-0.00926778;-0.0123117;0.061619
0.082834;-0.00880097;-0.0120137;0.0610143
